Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707714768753, 6788103, -3680, -2288, 5952
1707714768763, 6788113, -3664, -2240, 6080
1707714768773, 6788123, -3696, -2384, 6112
1707714768783, 6788133, -3728, -2272, 6160
1707714768793, 6788143, -3824, -2272, 6176
1707714768803, 6788153, -3776, -2272, 6032
1707714768813, 6788163, -3600, -2176, 5872
1707714768823, 6788173, -3616, -2400, 5952
1707714768833, 6788183, -3632, -2448, 5984
1707714768843, 6788193, -3760, -2592, 6080
1707714768853, 6788203, -3840, -2592, 6240
1707714768863, 6788213, -3856, -2656, 6304
1707714768873, 6788223, -3856, -2496, 6176
1707714768883, 6788233, -3856, -2576, 6064
1707714768893, 6788243, -3952, -2656, 6208
1707714768903, 6788253, -3792, -2608, 6048
1707714768913, 6788263, -3840, -2720, 5856
1707714768923, 6788273, -3856, -2880, 5936
1707714768933, 6788283, -3952, -2928, 5936
1707714768943, 6788293, -3952, -3056, 6032
1707714768953, 6788303, -3920, -3168, 5984
1707714768963, 6788313, -3904, -3184, 5824
1707714768973, 6788323, -3888, -3216, 5648
1707714768983, 6788333, -3920, -3280, 5664
1707714768993, 6788343, -3920, -3264, 5504
1707714769003, 6788353, -3904, -3312, 5520
1707714769013, 6788363, -3984, -3488, 5568
1707714769023, 6788373, -4000, -3472, 5616
1707714769033, 6788383, -3984, -3328, 5552
1707714769043, 6788393, -3952, -3280, 5600
1707714769053, 6788403, -3968, -3264, 5616
1707714769063, 6788413, -3952, -3168, 5648
1707714769073, 6788423, -3952, -3024, 5760
1707714769083, 6788433, -3920, -2992, 5760
1707714769093, 6788443, -4000, -2976, 5648
1707714769103, 6788453, -3920, -2768, 5920
1707714769113, 6788463, -3920, -2816, 5936
1707714769123, 6788473, -3920, -2896, 5888
1707714769133, 6788483, -3808, -2832, 6016
1707714769143, 6788493, -3824, -2864, 6064
1707714769153, 6788503, -3824, -2944, 6224
1707714769163, 6788513, -3744, -2848, 6208
1707714769173, 6788523, -3728, -2864, 6096
1707714769183, 6788533, -3664, -2992, 6048
1707714769193, 6788543, -3632, -2960, 5888
1707714769203, 6788553, -3632, -3008, 5920
1707714769213, 6788563, -3680, -3040, 5904
1707714769223, 6788573, -3632, -3088, 5872
1707714769233, 6788583, -3648, -3152, 5984
1707714769243, 6788593, -3600, -3232, 5920
1707714769253, 6788603, -3616, -3328, 5856
1707714769263, 6788613, -3648, -3264, 5920
1707714769273, 6788623, -3792, -3168, 5920
1707714769283, 6788633, -3808, -3120, 5888
1707714769293, 6788643, -3872, -3088, 5808
1707714769303, 6788653, -3968, -3088, 5872
1707714769313, 6788663, -4000, -3152, 5872
1707714769323, 6788673, -3936, -3168, 5792
1707714769333, 6788683, -3968, -3088, 5776
1707714769343, 6788693, -4000, -3152, 5728
1707714769353, 6788703, -3968, -3264, 5744
1707714769363, 6788713, -3952, -3344, 5744
1707714769373, 6788723, -3968, -3408, 5632
1707714769383, 6788733, -3936, -3392, 5664
1707714769393, 6788743, -3952, -3376, 5584
1707714769403, 6788753, -3968, -3248, 5648
1707714769413, 6788763, -4048, -3248, 5648
1707714769423, 6788773, -4128, -3168, 5616
1707714769433, 6788783, -4080, -3152, 5616
1707714769443, 6788793, -4064, -3152, 5632
1707714769453, 6788803, -4144, -3152, 5648
1707714769463, 6788813, -4128, -3072, 5568
1707714769473, 6788823, -4160, -3104, 5568
1707714769483, 6788833, -4192, -3056, 5408
1707714769493, 6788843, -4160, -3024, 5328
1707714769503, 6788853, -4176, -3152, 5312
1707714769513, 6788863, -4224, -3248, 5184
1707714769523, 6788873, -4256, -3328, 5184
1707714769533, 6788883, -4304, -3440, 5200
1707714769543, 6788893, -4272, -3424, 5152
1707714769553, 6788903, -4304, -3536, 5088
1707714769563, 6788913, -4208, -3712, 5072
1707714769573, 6788923, -4160, -3760, 5136
1707714769583, 6788933, -4160, -3728, 5168
1707714769593, 6788943, -4208, -3616, 5184
1707714769603, 6788953, -4240, -3488, 5152
1707714769613, 6788963, -4192, -3376, 5328
1707714769623, 6788973, -4176, -3344, 5408
1707714769633, 6788983, -4160, -3376, 5568
1707714769643, 6788993, -4080, -3360, 5632
1707714769653, 6789003, -4032, -3392, 5696
1707714769663, 6789013, -4032, -3264, 5728
1707714769673, 6789023, -4016, -3216, 5712
1707714769683, 6789033, -4048, -3120, 5776
1707714769693, 6789043, -4128, -3024, 5840
1707714769703, 6789053, -4080, -3024, 5856
1707714769713, 6789063, -4048, -2944, 5840
1707714769723, 6789073, -4064, -2848, 5776
1707714769733, 6789083, -4064, -2736, 5840
1707714769743, 6789093, -4112, -2656, 5824
1707714769753, 6789103, -4160, -2576, 5840
1707714769763, 6789113, -4208, -2624, 5776
1707714769773, 6789123, -4192, -2656, 5744
1707714769783, 6789133, -4128, -2768, 5616
1707714769793, 6789143, -4128, -2944, 5552
1707714769803, 6789153, -4192, -2992, 5536
1707714769813, 6789163, -4144, -3072, 5520
1707714769823, 6789173, -4160, -3056, 5488
1707714769833, 6789183, -4176, -3072, 5488
1707714769843, 6789193, -4128, -3072, 5488
1707714769853, 6789203, -4096, -3024, 5552
1707714769863, 6789213, -4080, -2992, 5616
1707714769873, 6789223, -4160, -2880, 5536
1707714769883, 6789233, -4128, -2800, 5648
1707714769893, 6789243, -4144, -2704, 5584
1707714769903, 6789253, -4128, -2656, 5680
1707714769913, 6789263, -4192, -2656, 5680
1707714769923, 6789273, -4176, -2736, 5664
1707714769933, 6789283, -4000, -2864, 5712
1707714769943, 6789293, -4032, -2992, 5696
1707714769953, 6789303, -4064, -3056, 5712
1707714769963, 6789313, -4016, -2992, 5728
1707714769973, 6789323, -4016, -2912, 5744
1707714769983, 6789333, -4032, -2848, 5776
1707714769993, 6789343, -4032, -2768, 5872
1707714770003, 6789353, -4080, -2704, 5856
1707714770013, 6789363, -4096, -2592, 5872
1707714770023, 6789373, -4096, -2592, 6016
1707714770033, 6789383, -4064, -2496, 6048
1707714770043, 6789393, -4048, -2464, 6016
1707714770053, 6789403, -4032, -2400, 5952
1707714770063, 6789413, -4000, -2432, 6016
1707714770073, 6789423, -4032, -2448, 6096
1707714770083, 6789433, -4000, -2368, 6064
1707714770093, 6789443, -3968, -2256, 5936
1707714770103, 6789453, -3952, -2288, 5920
1707714770113, 6789463, -3984, -2352, 5760
1707714770123, 6789473, -4032, -2320, 5904
1707714770133, 6789483, -4032, -2384, 5856
1707714770143, 6789493, -4032, -2368, 5696
1707714770153, 6789503, -4016, -2368, 5808
1707714770163, 6789513, -4032, -2352, 5888
1707714770173, 6789523, -4080, -2384, 5872
1707714770183, 6789533, -4096, -2320, 5856
1707714770193, 6789543, -4144, -2288, 5824
1707714770203, 6789553, -4064, -2272, 5856
1707714770213, 6789563, -4160, -2256, 5776
1707714770223, 6789573, -4192, -2256, 5808
1707714770233, 6789583, -4224, -2224, 5808
1707714770243, 6789593, -4256, -2208, 5824
1707714770253, 6789603, -4304, -2192, 5760
1707714770263, 6789613, -4368, -2144, 5840
1707714770273, 6789623, -4304, -2112, 5824
1707714770283, 6789633, -4320, -2160, 5792
1707714770293, 6789643, -4256, -2160, 5696
1707714770303, 6789653, -4240, -2352, 5744
1707714770313, 6789663, -4160, -2464, 5680
1707714770323, 6789673, -4112, -2592, 5680
1707714770333, 6789683, -4064, -2672, 5664
1707714770343, 6789693, -4096, -2560, 5680
1707714770353, 6789703, -4128, -2512, 5696
1707714770363, 6789713, -4096, -2400, 5696
1707714770373, 6789723, -4080, -2320, 5824
1707714770383, 6789733, -4144, -2224, 5872
1707714770393, 6789743, -4144, -2080, 5952
1707714770403, 6789753, -4144, -1952, 5904
1707714770413, 6789763, -4224, -1696, 5936
1707714770423, 6789773, -4048, -1616, 6032
1707714770433, 6789783, -4096, -1696, 6064
1707714770443, 6789793, -4080, -1632, 6000
1707714770453, 6789803, -4000, -1584, 5808
1707714770463, 6789813, -3984, -1664, 5744
1707714770473, 6789823, -4000, -1744, 5776
1707714770483, 6789833, -3984, -1696, 5648
1707714770493, 6789843, -3984, -1728, 5776
1707714770503, 6789853, -3968, -1808, 6000
1707714770513, 6789863, -3936, -1664, 6144
1707714770523, 6789873, -3776, -1648, 6176
1707714770533, 6789883, -3920, -1600, 6016
1707714770543, 6789893, -3856, -1536, 5856
1707714770553, 6789903, -3872, -1616, 5872
1707714770563, 6789913, -3920, -1568, 6032
1707714770573, 6789923, -3952, -1408, 6144
1707714770583, 6789933, -4048, -1168, 6352
1707714770593, 6789943, -4032, -1072, 6528
1707714770603, 6789953, -3840, -1152, 6640
1707714770613, 6789963, -3920, -1200, 6560
1707714770623, 6789973, -3904, -1152, 6528
1707714770633, 6789983, -3728, -1280, 6624
1707714770643, 6789993, -3728, -1488, 6672
1707714770653, 6790003, -3712, -1744, 6832
1707714770663, 6790013, -3584, -1920, 6976
1707714770673, 6790023, -3568, -2016, 6944
1707714770683, 6790033, -3520, -2112, 6896
1707714770693, 6790043, -3536, -1952, 6976
1707714770703, 6790053, -3728, -1840, 7008
