Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707714298154, 6317503, -1088, -7904, 8944
1707714298164, 6317513, -1504, -8112, 10368
1707714298174, 6317523, -1936, -8224, 11968
1707714298184, 6317533, -2368, -8288, 13280
1707714298194, 6317543, -3184, -8176, 14512
1707714298204, 6317553, -4416, -7600, 15680
1707714298214, 6317563, -5968, -6496, 16752
1707714298224, 6317573, -6976, -5344, 17424
1707714298234, 6317583, -7728, -4576, 17584
1707714298244, 6317593, -8240, -4112, 17760
1707714298254, 6317603, -9072, -3616, 17888
1707714298264, 6317613, -10080, -3456, 17840
1707714298274, 6317623, -11024, -3200, 17392
1707714298284, 6317633, -11680, -3216, 16640
1707714298294, 6317643, -12176, -3552, 15440
1707714298304, 6317653, -12544, -3968, 14128
1707714298314, 6317663, -12912, -4320, 12752
1707714298324, 6317673, -13072, -4736, 11856
1707714298334, 6317683, -13072, -5040, 11072
1707714298344, 6317693, -13120, -5312, 10608
1707714298354, 6317703, -13200, -5408, 10144
1707714298364, 6317713, -13392, -5264, 9488
1707714298374, 6317723, -13856, -5648, 8352
1707714298384, 6317733, -14208, -5584, 8144
1707714298394, 6317743, -14592, -5632, 7824
1707714298404, 6317753, -15328, -5248, 7472
1707714298414, 6317763, -15664, -4448, 6400
1707714298424, 6317773, -16192, -3200, 6176
1707714298434, 6317783, -15712, -2336, 4944
1707714298444, 6317793, -15568, -2064, 4864
1707714298454, 6317803, -15296, -2000, 4736
1707714298464, 6317813, -15088, -2496, 4720
1707714298474, 6317823, -14848, -3024, 4784
1707714298484, 6317833, -14704, -4160, 4880
1707714298494, 6317843, -14528, -4448, 4864
1707714298504, 6317853, -14672, -5168, 4880
1707714298514, 6317863, -14768, -5440, 4576
1707714298524, 6317873, -14992, -5536, 4432
1707714298534, 6317883, -15120, -5728, 4320
1707714298544, 6317893, -15200, -5696, 3984
1707714298554, 6317903, -15120, -5952, 3456
1707714298564, 6317913, -16064, -6384, 4672
1707714298574, 6317923, -15920, -6512, 3376
1707714298584, 6317933, -16080, -6736, 2816
1707714298594, 6317943, -16544, -7472, 3072
1707714298604, 6317953, -16944, -8128, 3280
1707714298614, 6317963, -17232, -8816, 3216
1707714298624, 6317973, -17104, -9376, 2896
1707714298634, 6317983, -17104, -9536, 2672
1707714298644, 6317993, -17440, -10304, 2592
1707714298654, 6318003, -17568, -11328, 2640
1707714298664, 6318013, -17440, -12400, 2544
1707714298674, 6318023, -17104, -13504, 2240
1707714298684, 6318033, -16608, -14528, 1632
1707714298694, 6318043, -16096, -15056, 1040
1707714298704, 6318053, -15872, -15008, 992
1707714298714, 6318063, -15968, -14480, 1120
1707714298724, 6318073, -15904, -14160, 1408
1707714298734, 6318083, -15568, -14416, 1216
1707714298744, 6318093, -15408, -15168, 880
1707714298754, 6318103, -15392, -15840, 640
1707714298764, 6318113, -15168, -16304, 560
1707714298774, 6318123, -15184, -16928, 80
1707714298784, 6318133, -15008, -17136, -1216
1707714298796, 6318143, -14592, -17040, -2880
1707714298806, 6318153, -13776, -17152, -4320
1707714298816, 6318163, -13024, -17584, -5168
1707714298826, 6318173, -12512, -17968, -5760
1707714298834, 6318183, -12144, -17856, -6064
1707714298844, 6318193, -11584, -17680, -6464
1707714298854, 6318203, -11328, -17232, -6368
1707714298866, 6318213, -11056, -16576, -6224
1707714298876, 6318223, -10896, -16160, -5936
1707714298886, 6318233, -10720, -15792, -5696
1707714298896, 6318243, -10800, -15568, -5664
1707714298904, 6318253, -10928, -15392, -5712
1707714298916, 6318263, -11152, -14880, -5488
1707714298926, 6318273, -11488, -14256, -4784
1707714298934, 6318283, -12176, -13968, -4096
1707714298946, 6318293, -12864, -14048, -3008
1707714298954, 6318303, -13536, -13680, -1712
1707714298964, 6318313, -14080, -13296, -496
1707714298974, 6318323, -14496, -12880, 320
1707714298984, 6318333, -14576, -12608, 528
1707714298994, 6318343, -14896, -12496, 368
1707714299004, 6318353, -15504, -12272, 528
1707714299014, 6318363, -15840, -11792, 928
1707714299024, 6318373, -16512, -11552, 1904
1707714299034, 6318383, -16848, -11168, 2800
1707714299044, 6318393, -17008, -11184, 3776
1707714299054, 6318403, -16976, -11648, 4400
1707714299064, 6318413, -17040, -12096, 4384
1707714299074, 6318423, -17264, -12416, 4400
1707714299084, 6318433, -17744, -12768, 4480
1707714299094, 6318443, -19248, -12016, 5056
1707714299104, 6318453, -20064, -13408, 5392
1707714299114, 6318463, -20448, -14352, 5696
1707714299124, 6318473, -21184, -14608, 6624
1707714299134, 6318483, -22848, -15504, 7408
1707714299144, 6318493, -24432, -15824, 8192
1707714299154, 6318503, -25984, -15360, 8960
1707714299164, 6318513, -28080, -15072, 8832
1707714299174, 6318523, -29984, -14480, 8256
1707714299184, 6318533, -31152, -12304, 7792
