Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707714583794, 6603143, -1136, -5440, 8992
1707714583804, 6603153, -400, -5264, 9424
1707714583814, 6603163, 496, -4960, 9728
1707714583824, 6603173, 1264, -5024, 9904
1707714583834, 6603183, 2224, -5696, 9856
1707714583844, 6603193, 2160, -6128, 10144
1707714583854, 6603203, 2544, -6544, 10816
1707714583864, 6603213, 3184, -6896, 11040
1707714583874, 6603223, 3488, -7056, 11376
1707714583884, 6603233, 3904, -6992, 11712
1707714583894, 6603243, 4128, -7040, 11936
1707714583904, 6603253, 4064, -6800, 11792
1707714583914, 6603263, 3680, -6064, 11520
1707714583924, 6603273, 3120, -5328, 11552
1707714583934, 6603283, 2544, -4560, 11408
1707714583944, 6603293, 2160, -4160, 10944
1707714583954, 6603303, 1680, -4208, 10304
1707714583964, 6603313, 1360, -4624, 9568
1707714583974, 6603323, 1120, -4992, 8512
1707714583984, 6603333, 720, -5344, 7424
1707714583994, 6603343, 272, -5600, 6032
1707714584004, 6603353, -96, -5952, 4816
1707714584014, 6603363, -416, -6016, 3680
1707714584024, 6603373, -512, -6064, 2448
1707714584034, 6603383, -672, -5920, 1440
1707714584044, 6603393, -864, -5552, 448
1707714584054, 6603403, -1168, -5424, -336
1707714584064, 6603413, -1520, -5680, -1024
1707714584074, 6603423, -2032, -5856, -1424
1707714584084, 6603433, -2608, -6448, -1456
1707714584094, 6603443, -3712, -6688, -912
1707714584104, 6603453, -5296, -6848, -240
1707714584114, 6603463, -6928, -7152, 592
1707714584124, 6603473, -8576, -7584, 2128
1707714584134, 6603483, -11168, -7088, 3424
1707714584144, 6603493, -12960, -6368, 3472
1707714584154, 6603503, -13840, -5008, 2128
1707714584164, 6603513, -14528, -2784, -256
1707714584174, 6603523, -15328, 288, -2864
1707714584184, 6603533, -16368, 3840, -4768
1707714584194, 6603543, -16464, 8112, -5824
1707714584204, 6603553, -16480, 11088, -5920
1707714584214, 6603563, -16464, 12768, -5440
1707714584224, 6603573, -16240, 13264, -4608
1707714584234, 6603583, -15968, 12960, -3792
1707714584244, 6603593, -15888, 13200, -3248
1707714584254, 6603603, -15904, 13456, -3040
1707714584264, 6603613, -15712, 14656, -3424
1707714584274, 6603623, -15280, 15840, -3728
1707714584284, 6603633, -14688, 16416, -4080
1707714584294, 6603643, -14016, 16144, -4368
1707714584304, 6603653, -13712, 15584, -4272
1707714584314, 6603663, -13936, 14672, -4000
1707714584324, 6603673, -14448, 13680, -3648
1707714584334, 6603683, -15072, 13328, -3088
1707714584344, 6603693, -15936, 13456, -2432
1707714584354, 6603703, -16816, 13520, -1504
1707714584364, 6603713, -17600, 13264, -624
1707714584374, 6603723, -18288, 12688, -16
1707714584384, 6603733, -18768, 11440, 112
1707714584394, 6603743, -19344, 9488, -288
1707714584404, 6603753, -20432, 7696, -336
1707714584414, 6603763, -21424, 6064, -32
1707714584424, 6603773, -23152, 4448, 640
1707714584434, 6603783, -25584, 2848, 1840
1707714584444, 6603793, -28592, 1328, 3072
1707714584454, 6603803, -31808, -2192, 4144
1707714584464, 6603813, -32576, -6960, 5280
1707714584474, 6603823, -32624, -11712, 5296
1707714584484, 6603833, -32624, -15888, 6416
1707714584494, 6603843, -32624, -19984, 8496
1707714584504, 6603853, -32624, -26160, 10912
1707714584514, 6603863, -32624, -30976, 12224
1707714584524, 6603873, -32624, -32528, 13152
1707714584534, 6603883, -32624, -32512, 13680
1707714584544, 6603893, -32624, -32624, 14432
1707714584554, 6603903, -32624, -32624, 14032
1707714584564, 6603913, -32624, -32624, 10832
1707714584574, 6603923, -32624, -32624, 5824
1707714584584, 6603933, -29808, -32624, 560
1707714584594, 6603943, -19184, -32624, -1392
1707714584604, 6603953, -19184, -32624, 1360
1707714584614, 6603963, -12288, -32464, 7824
1707714584624, 6603973, -9152, -27776, 12320
1707714584634, 6603983, -8336, -24848, 16112
1707714584644, 6603993, -8400, -23136, 15456
1707714584654, 6604003, -7056, -22944, 11568
1707714584664, 6604013, -6656, -22128, 6400
1707714584674, 6604023, -6352, -21024, 2560
1707714584684, 6604033, -6096, -19472, 544
