Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707714391035, 6410383, -8080, -5888, 10592
1707714391045, 6410393, -8832, -5600, 13232
1707714391055, 6410403, -9072, -5360, 15776
1707714391065, 6410413, -8256, -4592, 17824
1707714391075, 6410423, -7520, -4416, 19312
1707714391085, 6410433, -8384, -5328, 20240
1707714391095, 6410443, -10128, -6560, 21088
1707714391105, 6410453, -11360, -6976, 21008
1707714391115, 6410463, -12336, -7616, 20032
1707714391125, 6410473, -11904, -7216, 17472
1707714391135, 6410483, -12112, -7744, 15184
1707714391145, 6410493, -12752, -8992, 13376
1707714391155, 6410503, -13264, -10224, 11520
1707714391165, 6410513, -13664, -10912, 9840
1707714391175, 6410523, -14032, -11328, 8496
1707714391185, 6410533, -14176, -11488, 7584
1707714391195, 6410543, -14448, -11328, 7104
1707714391205, 6410553, -14768, -11088, 6848
1707714391215, 6410563, -15040, -10976, 6736
1707714391225, 6410573, -15248, -10960, 6512
1707714391235, 6410583, -15424, -10928, 6080
1707714391245, 6410593, -15600, -11440, 5568
1707714391255, 6410603, -15632, -12064, 5008
1707714391265, 6410613, -15632, -12816, 4560
1707714391275, 6410623, -15504, -13456, 4048
1707714391285, 6410633, -15344, -13968, 3520
1707714391295, 6410643, -15280, -13984, 2992
1707714391305, 6410653, -15456, -13920, 2656
1707714391315, 6410663, -15760, -13440, 2416
1707714391325, 6410673, -16192, -12864, 2256
1707714391335, 6410683, -16816, -13152, 2080
1707714391345, 6410693, -17376, -13776, 1760
1707714391355, 6410703, -17808, -14016, 1264
1707714391365, 6410713, -17808, -13696, 992
1707714391375, 6410723, -18272, -14336, 976
1707714391385, 6410733, -19440, -14256, 1088
1707714391395, 6410743, -19952, -12672, 768
1707714391405, 6410753, -19600, -10896, 416
1707714391415, 6410763, -19568, -9696, 784
1707714391425, 6410773, -20800, -7888, 1872
1707714391435, 6410783, -21504, -5824, 3552
1707714391445, 6410793, -22832, -4768, 5024
1707714391455, 6410803, -24448, -4080, 5840
1707714391465, 6410813, -26480, -4112, 5792
1707714391475, 6410823, -28656, -5136, 4448
1707714391485, 6410833, -30176, -6768, 1984
1707714391495, 6410843, -30784, -8272, -688
1707714391505, 6410853, -30736, -11376, -3280
1707714391515, 6410863, -28992, -14384, -6016
1707714391525, 6410873, -26224, -16128, -8416
1707714391535, 6410883, -22768, -17472, -11424
1707714391545, 6410893, -19680, -15952, -14272
1707714391555, 6410903, -16080, -13248, -16992
1707714391565, 6410913, -13760, -9984, -18240
1707714391575, 6410923, -12160, -7760, -17536
1707714391585, 6410933, -11472, -6592, -15312
1707714391595, 6410943, -11696, -6320, -12176
1707714391605, 6410953, -11952, -6528, -9200
1707714391615, 6410963, -12176, -7088, -6992
1707714391625, 6410973, -11936, -7584, -5792
1707714391635, 6410983, -11536, -8528, -5824
1707714391645, 6410993, -10880, -10032, -6848
1707714391655, 6411003, -9744, -11424, -8208
1707714391665, 6411013, -8848, -12176, -9680
1707714391675, 6411023, -8112, -12864, -10928
1707714391685, 6411033, -7472, -13168, -11904
1707714391695, 6411043, -7488, -13008, -11984
1707714391705, 6411053, -7936, -12560, -11296
1707714391715, 6411063, -8512, -12128, -9840
1707714391725, 6411073, -9360, -11664, -8304
1707714391735, 6411083, -10384, -11216, -6896
1707714391745, 6411093, -11360, -11200, -5168
1707714391755, 6411103, -12032, -10848, -3536
1707714391765, 6411113, -12512, -11248, -1792
1707714391775, 6411123, -12816, -11168, -96
1707714391785, 6411133, -12752, -11360, 1568
1707714391795, 6411143, -12512, -12112, 2736
1707714391805, 6411153, -12288, -12800, 3568
1707714391815, 6411163, -12288, -13168, 3792
1707714391825, 6411173, -12352, -13104, 3648
1707714391835, 6411183, -12880, -13088, 3232
1707714391845, 6411193, -13680, -12656, 3104
1707714391855, 6411203, -14368, -12000, 3264
1707714391865, 6411213, -15648, -10896, 3456
1707714391875, 6411223, -16496, -10208, 3840
1707714391885, 6411233, -17024, -9744, 4032
1707714391895, 6411243, -17408, -9088, 4320
1707714391905, 6411253, -17920, -8560, 4800
1707714391915, 6411263, -17968, -8176, 5232
1707714391925, 6411273, -17936, -7472, 5584
1707714391935, 6411283, -17840, -7024, 6160
1707714391945, 6411293, -17216, -6768, 6560
1707714391955, 6411303, -16256, -6368, 6944
