Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707715014721, 7034073, 6752, -11088, -3648
1707715014731, 7034083, 6464, -10752, -3568
1707715014741, 7034093, 6144, -9968, -3472
1707715014751, 7034103, 6432, -8992, -4304
1707715014761, 7034113, 7040, -8368, -5872
1707715014771, 7034123, 7392, -7872, -7248
1707715014781, 7034133, 7264, -7376, -8192
1707715014791, 7034143, 6960, -6960, -8560
1707715014801, 7034153, 6688, -7200, -8848
1707715014811, 7034163, 6096, -7152, -8272
1707715014821, 7034173, 5152, -6640, -7968
1707715014831, 7034183, 3680, -5488, -8208
1707715014841, 7034193, 1712, -2592, -9328
1707715014851, 7034203, -352, 400, -9520
1707715014861, 7034213, -2432, 3248, -8144
1707715014871, 7034223, -4160, 5488, -6432
1707715014881, 7034233, -5136, 8288, -3872
1707715014891, 7034243, -6288, 10544, -1488
1707715014901, 7034253, -6224, 13280, -48
1707715014911, 7034263, -7984, 13648, 2752
1707715014921, 7034273, -10032, 13664, 5840
1707715014931, 7034283, -10304, 12592, 9344
1707715014941, 7034293, -9952, 9424, 11552
1707715014951, 7034303, -10304, 7008, 11840
1707715014961, 7034313, -10496, 5936, 10624
1707715014971, 7034323, -9904, 6288, 8768
1707715014981, 7034333, -9904, 6608, 8384
1707715014991, 7034343, -10672, 7600, 8832
1707715015001, 7034353, -11472, 9168, 9728
1707715015011, 7034363, -11680, 11168, 10528
1707715015021, 7034373, -11696, 10208, 12464
1707715015031, 7034383, -12336, 10336, 12960
1707715015041, 7034393, -11440, 10016, 11824
1707715015051, 7034403, -11536, 9200, 10832
1707715015061, 7034413, -11568, 8832, 9616
1707715015071, 7034423, -11840, 8896, 8768
1707715015081, 7034433, -11776, 10208, 8736
1707715015091, 7034443, -12176, 10944, 9120
1707715015101, 7034453, -12640, 11296, 9008
1707715015111, 7034463, -12832, 11152, 8528
1707715015121, 7034473, -12928, 10480, 7824
1707715015131, 7034483, -13136, 9664, 7072
1707715015141, 7034493, -13376, 8288, 6384
1707715015151, 7034503, -13728, 6608, 5664
1707715015161, 7034513, -14240, 5328, 5104
1707715015171, 7034523, -14672, 4016, 4768
1707715015181, 7034533, -15440, 2928, 4416
1707715015191, 7034543, -15504, 1600, 3312
1707715015201, 7034553, -15616, 336, 2432
1707715015211, 7034563, -15168, -1232, 1232
1707715015221, 7034573, -14416, -3648, 432
1707715015231, 7034583, -13344, -6784, 560
1707715015241, 7034593, -11888, -9296, 1104
1707715015251, 7034603, -10240, -11120, 1056
1707715015261, 7034613, -8512, -12160, 288
1707715015271, 7034623, -7680, -11744, -736
1707715015281, 7034633, -7616, -10592, -1616
1707715015291, 7034643, -7552, -10000, -2752
1707715015301, 7034653, -7584, -9568, -4176
1707715015311, 7034663, -8160, -8896, -5424
1707715015321, 7034673, -9328, -9040, -6240
1707715015331, 7034683, -10192, -11072, -6224
1707715015341, 7034693, -11392, -13296, -5824
1707715015351, 7034703, -12128, -15072, -5168
1707715015361, 7034713, -12672, -17008, -4144
1707715015371, 7034723, -13696, -18352, -3616
1707715015381, 7034733, -14416, -18896, -4304
1707715015391, 7034743, -14576, -20080, -5632
1707715015401, 7034753, -14480, -21264, -7504
1707715015411, 7034763, -13936, -22032, -8672
1707715015421, 7034773, -12112, -22000, -8832
1707715015431, 7034783, -10224, -22304, -9232
1707715015441, 7034793, -8992, -22720, -9168
1707715015451, 7034803, -7856, -21936, -8192
1707715015461, 7034813, -6512, -20544, -7504
1707715015471, 7034823, -5904, -19120, -7312
1707715015481, 7034833, -5712, -17696, -7040
1707715015491, 7034843, -5472, -15808, -7072
1707715015501, 7034853, -6224, -13760, -6736
1707715015511, 7034863, -6288, -13056, -6880
1707715015521, 7034873, -6176, -12080, -7312
1707715015531, 7034883, -6608, -10992, -7488
1707715015541, 7034893, -6736, -10048, -7552
1707715015551, 7034903, -6896, -9392, -7392
1707715015561, 7034913, -7344, -8384, -6368
1707715015571, 7034923, -7968, -6864, -5072
1707715015581, 7034933, -7872, -6560, -4688
1707715015591, 7034943, -8240, -6592, -4640
1707715015601, 7034953, -8768, -6144, -4160
1707715015611, 7034963, -9696, -5392, -3664
1707715015621, 7034973, -11392, -4448, -3040
1707715015631, 7034983, -12784, -2704, -2400
1707715015641, 7034993, -14176, -1632, -1200
1707715015651, 7035003, -15776, -2096, 1088
1707715015661, 7035013, -17648, -2944, 4208
1707715015671, 7035023, -19424, -3024, 7648
1707715015681, 7035033, -21200, -2192, 10768
1707715015691, 7035043, -22512, 192, 13520
1707715015701, 7035053, -22304, 3232, 15360
1707715015711, 7035063, -21296, 5920, 15936
1707715015721, 7035073, -20224, 7712, 15584
1707715015731, 7035083, -19504, 8528, 14560
1707715015741, 7035093, -19104, 9424, 13840
1707715015751, 7035103, -19296, 10960, 14576
1707715015761, 7035113, -19952, 12896, 14448
1707715015771, 7035123, -20592, 14640, 15472
1707715015781, 7035133, -21056, 16432, 15952
1707715015791, 7035143, -21216, 17760, 15648
1707715015801, 7035153, -21248, 18304, 15248
1707715015811, 7035163, -21184, 17536, 15216
1707715015821, 7035173, -21200, 14960, 16032
1707715015831, 7035183, -21200, 11808, 16896
1707715015841, 7035193, -21024, 8368, 18256
1707715015851, 7035203, -20864, 5552, 19696
1707715015861, 7035213, -22624, 5600, 21360
1707715015871, 7035223, -19760, 1376, 24144
1707715015881, 7035233, -19296, -2400, 26192
1707715015891, 7035243, -18000, -656, 26368
1707715015901, 7035253, -15888, 448, 24448
1707715015911, 7035263, -14832, 512, 22144
1707715015921, 7035273, -14208, 704, 19648
1707715015931, 7035283, -14224, 1968, 17872
1707715015941, 7035293, -13968, 3536, 16032
1707715015951, 7035303, -14224, 3648, 15328
1707715015961, 7035313, -14640, 1472, 15824
1707715015971, 7035323, -14640, -1952, 16176
1707715015981, 7035333, -14160, -4432, 16304
1707715015991, 7035343, -13168, -6544, 15344
1707715016001, 7035353, -12288, -7472, 14064
1707715016011, 7035363, -11792, -6704, 13056
1707715016021, 7035373, -12672, -5408, 11696
1707715016031, 7035383, -12464, -4928, 8784
1707715016041, 7035393, -12352, -5088, 7920
1707715016051, 7035403, -12384, -7168, 7056
