Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707714629173, 6648523, 96, -4448, -528
1707714629183, 6648533, 128, -3872, -480
1707714629193, 6648543, -32, -3216, -352
1707714629203, 6648553, -224, -2560, -192
1707714629213, 6648563, -544, -2112, 368
1707714629223, 6648573, -1008, -1504, 1200
1707714629233, 6648583, -1216, -976, 2240
1707714629243, 6648593, -1520, -576, 3584
1707714629253, 6648603, -1696, -352, 4832
1707714629263, 6648613, -1808, -112, 6064
1707714629273, 6648623, -2416, -528, 7760
1707714629283, 6648633, -2608, -944, 9888
1707714629293, 6648643, -2608, -2160, 11920
1707714629303, 6648653, -3104, -3856, 13520
1707714629313, 6648663, -3584, -6336, 14576
1707714629323, 6648673, -3872, -8816, 15232
1707714629333, 6648683, -3984, -11648, 15216
1707714629343, 6648693, -3888, -14064, 15072
1707714629353, 6648703, -3648, -15680, 14192
1707714629363, 6648713, -3904, -16336, 12672
1707714629373, 6648723, -4512, -16416, 10736
1707714629383, 6648733, -5264, -16400, 8512
1707714629393, 6648743, -5728, -16496, 6688
1707714629403, 6648753, -6048, -16656, 5888
1707714629413, 6648763, -6048, -17344, 5344
1707714629423, 6648773, -6352, -17920, 4880
1707714629433, 6648783, -7040, -18384, 4496
1707714629443, 6648793, -7920, -18240, 4048
1707714629453, 6648803, -8896, -17776, 3040
1707714629463, 6648813, -9824, -17424, 912
1707714629473, 6648823, -10464, -17120, -1424
1707714629483, 6648833, -11328, -16848, -3008
1707714629493, 6648843, -12160, -16576, -4368
1707714629503, 6648853, -12672, -16496, -5616
1707714629513, 6648863, -12592, -16576, -6512
1707714629523, 6648873, -12704, -16736, -6944
1707714629533, 6648883, -12832, -16080, -7312
1707714629543, 6648893, -13168, -15248, -7040
1707714629553, 6648903, -13696, -13904, -6192
1707714629563, 6648913, -14416, -12400, -5344
1707714629573, 6648923, -15024, -11200, -4880
1707714629583, 6648933, -15184, -9936, -4992
1707714629593, 6648943, -14720, -8784, -5408
1707714629603, 6648953, -14016, -8448, -5680
1707714629613, 6648963, -13824, -7712, -5840
1707714629623, 6648973, -13056, -7536, -5664
1707714629633, 6648983, -12448, -7456, -5120
1707714629643, 6648993, -12080, -7504, -4384
1707714629653, 6649003, -11680, -7184, -3792
1707714629663, 6649013, -11392, -6624, -3696
1707714629673, 6649023, -11072, -6384, -3664
1707714629683, 6649033, -10528, -6272, -3936
1707714629693, 6649043, -10128, -6320, -4464
1707714629703, 6649053, -9728, -6416, -4880
1707714629713, 6649063, -9408, -6352, -5360
1707714629723, 6649073, -9168, -6208, -5696
1707714629733, 6649083, -8896, -5952, -6032
1707714629743, 6649093, -8608, -6048, -6096
1707714629753, 6649103, -8400, -6176, -5744
1707714629763, 6649113, -8256, -6112, -5328
1707714629773, 6649123, -8208, -5984, -4784
1707714629783, 6649133, -8224, -5488, -4576
1707714629793, 6649143, -8176, -4912, -4368
1707714629803, 6649153, -8240, -4320, -3856
1707714629813, 6649163, -8320, -3888, -3552
1707714629823, 6649173, -8560, -3120, -3056
1707714629833, 6649183, -8864, -2192, -2512
