Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707714821482, 6840833, -3888, -5008, 11040
1707714821492, 6840843, -3712, -4960, 11232
1707714821502, 6840853, -3648, -5008, 11600
1707714821512, 6840863, -3744, -5184, 11968
1707714821522, 6840873, -3888, -5424, 12112
1707714821532, 6840883, -3920, -5504, 12288
1707714821542, 6840893, -4000, -5696, 12384
1707714821552, 6840903, -4352, -5792, 12560
1707714821562, 6840913, -4784, -5040, 12480
1707714821572, 6840923, -5024, -4192, 12192
1707714821582, 6840933, -5168, -3600, 12112
1707714821592, 6840943, -5360, -3264, 11952
1707714821602, 6840953, -5488, -2880, 11968
1707714821612, 6840963, -5616, -2768, 12160
1707714821622, 6840973, -5856, -2976, 12448
1707714821632, 6840983, -5968, -2976, 12448
1707714821642, 6840993, -5952, -3088, 12192
1707714821652, 6841003, -6032, -3328, 11920
1707714821662, 6841013, -5952, -3392, 11200
1707714821672, 6841023, -6640, -2560, 11664
1707714821682, 6841033, -7008, -2032, 11920
1707714821692, 6841043, -6864, -1696, 11936
1707714821702, 6841053, -7568, -1280, 12256
1707714821712, 6841063, -8144, -1296, 12880
1707714821722, 6841073, -8288, -752, 12560
1707714821732, 6841083, -8288, -336, 12432
1707714821742, 6841093, -8496, 64, 12176
1707714821752, 6841103, -8992, 576, 12240
1707714821762, 6841113, -9360, 1120, 12256
1707714821772, 6841123, -13008, 1488, 15184
1707714821782, 6841133, -9664, 2672, 11856
1707714821792, 6841143, -9264, 2592, 11008
1707714821802, 6841153, -9120, 2976, 10400
1707714821812, 6841163, -9136, 3152, 10176
1707714821822, 6841173, -9328, 3216, 9920
1707714821832, 6841183, -9040, 3200, 9680
1707714821842, 6841193, -8784, 3056, 9712
1707714821852, 6841203, -8976, 2592, 9712
1707714821862, 6841213, -8816, 2464, 9088
1707714821872, 6841223, -8368, 2432, 8256
1707714821882, 6841233, -8032, 2464, 7472
1707714821892, 6841243, -7648, 2368, 6640
1707714821902, 6841253, -7328, 2112, 5920
1707714821912, 6841263, -6816, 1840, 4976
