Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707714961152, 6980503, -5104, -3696, 10304
1707714961162, 6980513, -5584, -2608, 11104
1707714961172, 6980523, -5296, -2080, 11072
1707714961182, 6980533, -4640, -1776, 11088
1707714961192, 6980543, -4896, -2064, 11408
1707714961202, 6980553, -5072, -2128, 12480
1707714961212, 6980563, -5072, -2672, 13072
1707714961222, 6980573, -5168, -3232, 13920
1707714961232, 6980583, -5360, -3744, 14848
1707714961242, 6980593, -5520, -4064, 15872
1707714961252, 6980603, -5232, -4336, 16848
1707714961262, 6980613, -5696, -4688, 18096
1707714961272, 6980623, -6560, -4976, 19312
1707714961282, 6980633, -7552, -4544, 20224
1707714961292, 6980643, -8832, -4144, 20224
1707714961302, 6980653, -9600, -3040, 19344
1707714961312, 6980663, -10512, -2208, 17856
1707714961322, 6980673, -11296, -1760, 16320
1707714961332, 6980683, -11536, -1408, 14640
1707714961342, 6980693, -11552, -1120, 13536
1707714961352, 6980703, -11680, -944, 13056
1707714961362, 6980713, -11840, -464, 12800
1707714961372, 6980723, -11968, -64, 12400
1707714961382, 6980733, -11888, 416, 11696
1707714961392, 6980743, -12128, 816, 10688
1707714961402, 6980753, -12192, 1296, 9472
1707714961412, 6980763, -12640, 1952, 7984
1707714961422, 6980773, -13264, 3520, 6336
1707714961432, 6980783, -13792, 4864, 4480
1707714961442, 6980793, -14112, 6160, 3024
1707714961452, 6980803, -14064, 6960, 1936
1707714961462, 6980813, -13280, 7376, 592
1707714961472, 6980823, -12400, 7008, -1232
1707714961482, 6980833, -11712, 6048, -3904
1707714961492, 6980843, -11168, 4512, -6288
1707714961502, 6980853, -10928, 2976, -7792
1707714961512, 6980863, -9856, 1568, -8912
1707714961522, 6980873, -8624, -1472, -8384
1707714961532, 6980883, -7360, -4128, -7392
1707714961542, 6980893, -5744, -7200, -5760
1707714961552, 6980903, -4128, -10528, -4192
1707714961562, 6980913, -3120, -12944, -3520
1707714961572, 6980923, -2304, -14032, -3104
1707714961582, 6980933, -2112, -14128, -2320
1707714961592, 6980943, -2256, -14192, -1040
1707714961602, 6980953, -2480, -13984, 16
1707714961612, 6980963, -2320, -14240, 576
1707714961622, 6980973, -2032, -15216, 256
1707714961632, 6980983, -1536, -16544, -432
1707714961642, 6980993, -1104, -17680, -880
1707714961652, 6981003, -784, -18448, -1488
1707714961662, 6981013, -688, -18864, -1792
1707714961672, 6981023, -720, -19024, -2064
1707714961682, 6981033, -832, -19152, -2384
1707714961692, 6981043, -1376, -18592, -2672
1707714961702, 6981053, -1936, -18208, -2832
1707714961712, 6981063, -2416, -17520, -2832
1707714961722, 6981073, -2864, -16672, -2368
1707714961732, 6981083, -3280, -16000, -1968
1707714961742, 6981093, -3856, -15184, -1168
1707714961752, 6981103, -4048, -14496, -720
1707714961762, 6981113, -4368, -13344, 48
1707714961772, 6981123, -4448, -11968, 1104
1707714961782, 6981133, -4672, -10624, 2640
1707714961792, 6981143, -5872, -8528, 4784
1707714961802, 6981153, -7696, -5424, 7152
1707714961812, 6981163, -9808, -1040, 9376
1707714961822, 6981173, -12256, 4112, 12048
1707714961832, 6981183, -14112, 9568, 14624
1707714961842, 6981193, -15168, 14896, 17440
1707714961852, 6981203, -15296, 19360, 20592
1707714961862, 6981213, -14176, 22432, 20992
1707714961872, 6981223, -13344, 24016, 20704
1707714961882, 6981233, -11872, 27312, 18112
1707714961892, 6981243, -10704, 29008, 15760
1707714961902, 6981253, -9952, 29664, 13856
1707714961912, 6981263, -9376, 29328, 12384
1707714961922, 6981273, -8752, 27776, 10672
1707714961932, 6981283, -8160, 25360, 8768
1707714961942, 6981293, -7344, 21984, 7040
1707714961952, 6981303, -6512, 18256, 5328
1707714961962, 6981313, -5856, 15056, 4080
1707714961972, 6981323, -5632, 12032, 3440
1707714961982, 6981333, -5696, 9552, 3280
1707714961992, 6981343, -6256, 7664, 3280
1707714962002, 6981353, -7056, 5840, 3360
1707714962012, 6981363, -8032, 3568, 2912
1707714962022, 6981373, -8976, 1344, 2608
1707714962032, 6981383, -9360, -976, 2768
1707714962042, 6981393, -9264, -4080, 3568
1707714962052, 6981403, -9024, -7664, 4560
1707714962062, 6981413, -8144, -12144, 5888
1707714962072, 6981423, -6992, -16544, 6640
1707714962082, 6981433, -4528, -19984, 7008
1707714962092, 6981443, -4528, -23296, 6560
1707714962102, 6981453, -2368, -24496, 6432
1707714962112, 6981463, -944, -24112, 6320
1707714962122, 6981473, -608, -22704, 5648
1707714962132, 6981483, -1056, -21056, 5120
1707714962142, 6981493, -2032, -19920, 5248
1707714962152, 6981503, -2464, -19536, 5872
1707714962162, 6981513, -2432, -20224, 6688
1707714962172, 6981523, -2368, -20832, 6608
1707714962182, 6981533, -1168, -22688, 6256
1707714962192, 6981543, -800, -24128, 5472
1707714962202, 6981553, -864, -25168, 4160
1707714962212, 6981563, -1328, -25248, 2240
1707714962222, 6981573, -1696, -24176, 1088
1707714962232, 6981583, -2048, -22144, 880
1707714962242, 6981593, -3024, -20880, 1312
1707714962252, 6981603, -4288, -19040, 1264
1707714962262, 6981613, -5408, -16784, 1024
1707714962272, 6981623, -6288, -15024, 736
1707714962282, 6981633, -7136, -13472, 896
1707714962292, 6981643, -7888, -12176, 1472
1707714962302, 6981653, -8560, -10816, 2512
1707714962312, 6981663, -9664, -9456, 3696
1707714962322, 6981673, -10976, -7504, 4368
1707714962332, 6981683, -12416, -4480, 4320
1707714962342, 6981693, -13696, -1440, 4416
1707714962352, 6981703, -14336, 1152, 5248
1707714962362, 6981713, -14432, 3952, 7008
1707714962372, 6981723, -14080, 7312, 9312
1707714962382, 6981733, -13312, 9056, 12064
1707714962392, 6981743, -11712, 9920, 14752
1707714962402, 6981753, -11280, 10576, 15968
1707714962412, 6981763, -8960, 12928, 16368
1707714962422, 6981773, -7344, 14960, 17136
1707714962432, 6981783, -6288, 13168, 18080
1707714962442, 6981793, -4976, 10816, 19040
1707714962452, 6981803, -3200, 8624, 19568
1707714962462, 6981813, -1616, 6384, 19328
1707714962472, 6981823, -128, 4416, 18752
1707714962482, 6981833, 1056, 2208, 16912
1707714962492, 6981843, 2160, 464, 14384
