Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707715229331, 7248683, -352, -10160, 4528
1707715229341, 7248693, -688, -11440, 4720
1707715229351, 7248703, -272, -12272, 4736
1707715229361, 7248713, 80, -12384, 5136
1707715229371, 7248723, 96, -13344, 5680
1707715229381, 7248733, 224, -14688, 5856
1707715229391, 7248743, 224, -16064, 5904
1707715229401, 7248753, 240, -17056, 5856
1707715229411, 7248763, 352, -17600, 6208
1707715229421, 7248773, 272, -17888, 6480
1707715229431, 7248783, 0, -17744, 6048
1707715229441, 7248793, -272, -17376, 5152
1707715229451, 7248803, -448, -16960, 4384
1707715229461, 7248813, -1024, -16032, 3712
1707715229471, 7248823, -960, -16640, 3312
1707715229481, 7248833, -576, -17872, 2784
1707715229491, 7248843, -640, -18688, 3264
1707715229501, 7248853, -336, -19280, 3376
1707715229511, 7248863, 480, -18736, 3344
1707715229521, 7248873, -32, -19280, 3568
1707715229531, 7248883, -224, -19984, 4016
1707715229541, 7248893, -592, -20080, 4848
1707715229551, 7248903, -1120, -19424, 5952
1707715229561, 7248913, -1584, -19104, 6896
1707715229571, 7248923, -2096, -18752, 8048
1707715229581, 7248933, -3008, -17712, 9056
1707715229591, 7248943, -3472, -16544, 9664
1707715229601, 7248953, -3536, -15520, 9888
1707715229611, 7248963, -3120, -13904, 9520
1707715229621, 7248973, -2848, -12880, 9008
1707715229631, 7248983, -2768, -12304, 8272
1707715229641, 7248993, -2592, -11616, 7632
1707715229651, 7249003, -2304, -10880, 6576
1707715229661, 7249013, -1712, -9968, 5392
1707715229671, 7249023, -896, -9456, 4016
1707715229681, 7249033, -448, -8960, 2752
1707715229691, 7249043, -656, -8592, 1408
1707715229701, 7249053, -48, -7936, 688
1707715229711, 7249063, 656, -7440, -144
1707715229721, 7249073, 1264, -7008, -608
1707715229731, 7249083, 1760, -6912, -960
1707715229741, 7249093, 1760, -6880, -768
1707715229751, 7249103, 1424, -6528, 32
1707715229761, 7249113, 848, -6096, 656
1707715229771, 7249123, 384, -6160, 1184
1707715229781, 7249133, 48, -7136, 1536
1707715229791, 7249143, -320, -7616, 2528
1707715229801, 7249153, -1536, -7664, 4576
1707715229811, 7249163, -2192, -7056, 6560
1707715229821, 7249173, -2704, -6336, 7552
1707715229831, 7249183, -3216, -5488, 8352
1707715229841, 7249193, -3424, -4640, 8560
1707715229851, 7249203, -3648, -3888, 8064
1707715229861, 7249213, -3728, -3344, 7312
1707715229871, 7249223, -3968, -2896, 6448
1707715229881, 7249233, -4352, -2656, 5952
1707715229891, 7249243, -4272, -3072, 5712
1707715229901, 7249253, -4512, -2960, 5424
1707715229911, 7249263, -5248, -1568, 5376
1707715229921, 7249273, -5920, 448, 5312
1707715229931, 7249283, -6368, 2736, 5184
1707715229941, 7249293, -6400, 4736, 4400
1707715229951, 7249303, -6496, 5680, 3360
1707715229961, 7249313, -7296, 6112, 2144
1707715229971, 7249323, -8192, 6784, 560
1707715229981, 7249333, -9296, 7776, -944
1707715229991, 7249343, -10336, 9264, -2432
1707715230001, 7249353, -10896, 11760, -4176
1707715230011, 7249363, -11312, 12576, -6736
1707715230021, 7249373, -10960, 13648, -9600
1707715230031, 7249383, -10016, 15088, -12944
