Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707715186720, 7206073, 0, 0, 0
1707715186730, 7206083, 0, 0, 0
1707715186740, 7206093, 0, 0, 0
1707715186750, 7206103, 0, 0, 0
1707715186760, 7206113, 0, 0, 0
1707715186770, 7206123, 0, 0, 0
1707715186780, 7206133, 0, 0, 0
1707715186790, 7206143, 0, 0, 0
1707715186800, 7206153, 0, 0, 0
1707715186810, 7206163, 0, 0, 0
1707715186820, 7206173, 0, 0, 0
1707715186830, 7206183, 0, 0, 0
1707715186840, 7206193, 0, 0, 0
1707715186850, 7206203, 0, 0, 0
1707715186860, 7206213, 0, 0, 0
1707715186870, 7206223, 0, 0, 0
1707715186880, 7206233, 0, 0, 0
1707715186890, 7206243, 0, 0, 0
1707715186900, 7206253, 0, 0, 0
1707715186910, 7206263, 0, 0, 0
1707715186920, 7206273, 0, 0, 0
1707715186930, 7206283, 0, 0, 0
1707715186940, 7206293, 0, 0, 0
1707715186950, 7206303, 0, 0, 0
1707715186960, 7206313, 0, 0, 0
1707715186970, 7206323, 0, 0, 0
1707715186980, 7206333, 0, 0, 0
1707715186990, 7206343, 0, 0, 0
1707715187000, 7206353, 0, 0, 0
1707715187010, 7206363, 0, 0, 0
1707715187020, 7206373, 0, 0, 0
1707715187030, 7206383, 0, 0, 0
1707715187040, 7206393, 0, 0, 0
1707715187050, 7206403, 0, 0, 0
1707715187060, 7206413, 0, 0, 0
1707715187070, 7206423, 0, 0, 0
1707715187080, 7206433, 0, 0, 0
1707715187090, 7206443, 0, 0, 0
1707715187100, 7206453, 0, 0, 0
1707715187110, 7206463, 0, 0, 0
1707715187120, 7206473, 0, 0, 0
1707715187130, 7206483, 0, 0, 0
1707715187140, 7206493, 0, 0, 0
1707715187150, 7206503, 0, 0, 0
1707715187160, 7206513, 0, 0, 0
1707715187170, 7206523, 0, 0, 0
1707715187180, 7206533, 0, 0, 0
1707715187190, 7206543, 0, 0, 0
1707715187200, 7206553, 0, 0, 0
1707715187210, 7206563, 0, 0, 0
1707715187220, 7206573, 0, 0, 0
1707715187230, 7206583, 0, 0, 0
1707715187240, 7206593, 0, 0, 0
1707715187250, 7206603, 0, 0, 0
1707715187260, 7206613, 0, 0, 0
1707715187270, 7206623, 0, 0, 0
1707715187280, 7206633, 0, 0, 0
1707715187290, 7206643, 0, 0, 0
1707715187300, 7206653, 0, 0, 0
1707715187310, 7206663, 0, 0, 0
1707715187320, 7206673, 0, 0, 0
