Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707714439715, 6459063, -8448, -2352, -16
1707714439725, 6459073, -8816, -2736, -224
1707714439735, 6459083, -9216, -2976, -432
1707714439745, 6459093, -9792, -3024, -320
1707714439755, 6459103, -10192, -2192, 48
1707714439765, 6459113, -10992, -2400, 688
1707714439775, 6459123, -11968, -3008, 1600
1707714439785, 6459133, -12960, -3088, 2576
1707714439795, 6459143, -13472, -2304, 3488
1707714439805, 6459153, -13648, -1344, 4416
1707714439815, 6459163, -13760, -1328, 5216
1707714439825, 6459173, -13888, -1504, 5712
1707714439835, 6459183, -13664, -1600, 5792
1707714439845, 6459193, -13200, -1984, 5760
1707714439855, 6459203, -12528, -2640, 5744
1707714439865, 6459213, -12080, -3216, 5648
1707714439875, 6459223, -11360, -2528, 4608
1707714439885, 6459233, -11184, -4688, 4944
1707714439895, 6459243, -11072, -5312, 4976
1707714439905, 6459253, -11168, -5248, 5184
1707714439915, 6459263, -11168, -4832, 5392
1707714439925, 6459273, -11280, -4448, 5440
1707714439935, 6459283, -11824, -4832, 6016
1707714439945, 6459293, -12032, -4880, 6592
1707714439955, 6459303, -12128, -4832, 6880
1707714439965, 6459313, -11920, -4800, 6576
1707714439975, 6459323, -11712, -4512, 6352
1707714439985, 6459333, -11248, -4096, 5840
1707714439995, 6459343, -10768, -3584, 5568
1707714440005, 6459353, -10000, -2768, 4928
1707714440015, 6459363, -10176, -2512, 5568
1707714440025, 6459373, -10112, -2336, 6704
1707714440035, 6459383, -9792, -1936, 8192
1707714440045, 6459393, -9104, -1600, 9600
1707714440055, 6459403, -8288, -1168, 10832
1707714440065, 6459413, -7168, -944, 11568
1707714440075, 6459423, -5808, -1088, 11680
1707714440085, 6459433, -5104, -928, 11296
1707714440095, 6459443, -4256, -2448, 10240
1707714440105, 6459453, -3760, -4048, 9136
1707714440115, 6459463, -4080, -4432, 8128
1707714440125, 6459473, -4464, -4736, 7104
1707714440135, 6459483, -4224, -4464, 6240
1707714440145, 6459493, -4304, -4016, 5552
1707714440155, 6459503, -4832, -4144, 5056
1707714440165, 6459513, -5280, -4224, 4640
1707714440175, 6459523, -5584, -4128, 4416
1707714440185, 6459533, -6048, -4320, 4560
1707714440195, 6459543, -6496, -4832, 5328
1707714440205, 6459553, -7024, -5280, 6304
1707714440215, 6459563, -7536, -4720, 7024
1707714440225, 6459573, -9392, -5664, 7920
1707714440235, 6459583, -10832, -5488, 8160
1707714440245, 6459593, -11952, -5392, 8016
