Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707711068301, 3087633, -3248, -4112, 5504
1707711068311, 3087643, -3248, -4176, 5472
1707711068321, 3087653, -3248, -4144, 5504
1707711068331, 3087663, -3200, -4128, 5440
1707711068341, 3087673, -3296, -4144, 5472
1707711068351, 3087683, -3344, -4160, 5568
1707711068361, 3087693, -3408, -4208, 5520
1707711068371, 3087703, -3344, -4144, 5488
1707711068381, 3087713, -3344, -4192, 5536
1707711068391, 3087723, -3328, -4256, 5648
1707711068401, 3087733, -3344, -4320, 5664
1707711068411, 3087743, -3280, -4304, 5616
1707711068421, 3087753, -3312, -4208, 5680
1707711068431, 3087763, -3312, -4112, 5776
1707711068441, 3087773, -3360, -4096, 5680
1707711068451, 3087783, -3392, -4048, 5712
1707711068461, 3087793, -3344, -4000, 5696
1707711068471, 3087803, -3280, -4048, 5728
1707711068481, 3087813, -3200, -4112, 5808
1707711068491, 3087823, -3152, -4272, 5712
1707711068501, 3087833, -3072, -4384, 5648
1707711068511, 3087843, -2976, -4528, 5584
1707711068521, 3087853, -2992, -4608, 5520
1707711068531, 3087863, -2864, -4656, 5424
1707711068541, 3087873, -2880, -4752, 5280
1707711068551, 3087883, -2928, -4880, 5248
1707711068561, 3087893, -2832, -4912, 5216
1707711068571, 3087903, -2880, -4832, 5200
1707711068581, 3087913, -2992, -4784, 5200
1707711068591, 3087923, -2896, -4672, 5200
1707711068601, 3087933, -2976, -4608, 5168
1707711068611, 3087943, -2976, -4576, 5136
1707711068621, 3087953, -3040, -4512, 5120
1707711068631, 3087963, -2976, -4432, 5072
1707711068641, 3087973, -2960, -4400, 5024
1707711068651, 3087983, -3024, -4368, 4960
1707711068661, 3087993, -2976, -4384, 4944
1707711068671, 3088003, -2960, -4400, 4880
1707711068681, 3088013, -3040, -4384, 4912
1707711068691, 3088023, -3088, -4304, 4928
1707711068701, 3088033, -3072, -4256, 4960
1707711068711, 3088043, -3136, -4256, 4960
1707711068721, 3088053, -3168, -4304, 4960
1707711068731, 3088063, -3216, -4240, 5088
1707711068741, 3088073, -3312, -4192, 5136
1707711068751, 3088083, -3344, -4192, 5280
1707711068761, 3088093, -3376, -4144, 5488
1707711068771, 3088103, -3360, -4080, 5520
1707711068781, 3088113, -3488, -4128, 5616
1707711068791, 3088123, -3440, -4064, 5632
1707711068801, 3088133, -3488, -3952, 5600
1707711068811, 3088143, -3440, -3968, 5584
1707711068821, 3088153, -3376, -3984, 5696
1707711068831, 3088163, -3360, -4016, 5760
1707711068841, 3088173, -3312, -4064, 5680
1707711068851, 3088183, -3280, -4048, 5600
1707711068861, 3088193, -3216, -4112, 5504
1707711068871, 3088203, -3152, -4160, 5392
1707711068881, 3088213, -3152, -4192, 5312
1707711068891, 3088223, -3168, -4288, 5264
1707711068901, 3088233, -3200, -4352, 5168
1707711068911, 3088243, -3152, -4304, 5216
1707711068921, 3088253, -3152, -4416, 5184
1707711068931, 3088263, -3216, -4496, 5168
1707711068941, 3088273, -3232, -4528, 5168
1707711068951, 3088283, -3200, -4592, 5168
1707711068961, 3088293, -3232, -4624, 5184
1707711068971, 3088303, -3264, -4672, 5360
1707711068981, 3088313, -3312, -4608, 5376
1707711068991, 3088323, -3296, -4512, 5440
1707711069001, 3088333, -3296, -4432, 5472
1707711069011, 3088343, -3392, -4384, 5392
1707711069021, 3088353, -3280, -4224, 5472
1707711069031, 3088363, -3392, -4320, 5440
1707711069041, 3088373, -3280, -4208, 5424
1707711069051, 3088383, -3200, -4240, 5424
1707711069061, 3088393, -3232, -4272, 5360
1707711069071, 3088403, -3184, -4224, 5248
1707711069081, 3088413, -3200, -4208, 5312
1707711069091, 3088423, -3264, -4240, 5328
1707711069101, 3088433, -3248, -4208, 5424
1707711069111, 3088443, -3232, -4128, 5488
1707711069121, 3088453, -3280, -4048, 5504
1707711069131, 3088463, -3280, -3984, 5632
1707711069141, 3088473, -3408, -3968, 5744
1707711069151, 3088483, -3408, -3984, 5776
1707711069161, 3088493, -3296, -4112, 5840
1707711069171, 3088503, -3280, -4304, 5712
1707711069181, 3088513, -3216, -4416, 5568
1707711069191, 3088523, -3136, -4496, 5440
1707711069201, 3088533, -3056, -4512, 5328
1707711069211, 3088543, -3168, -4448, 5376
1707711069221, 3088553, -3248, -4368, 5344
1707711069231, 3088563, -3296, -4304, 5504
1707711069241, 3088573, -3344, -4240, 5504
1707711069251, 3088583, -3360, -4192, 5520
1707711069261, 3088593, -3424, -4160, 5472
1707711069271, 3088603, -3376, -4144, 5392
1707711069281, 3088613, -3360, -4160, 5264
1707711069291, 3088623, -3328, -4192, 5184
1707711069301, 3088633, -3392, -4256, 5232
1707711069311, 3088643, -3376, -4304, 5264
1707711069321, 3088653, -3392, -4304, 5216
1707711069331, 3088663, -3344, -4368, 5232
1707711069341, 3088673, -3424, -4496, 5360
1707711069351, 3088683, -3456, -4592, 5408
1707711069361, 3088693, -3504, -4560, 5440
1707711069371, 3088703, -3504, -4592, 5488
1707711069381, 3088713, -3472, -4640, 5568
1707711069391, 3088723, -3504, -4704, 5520
1707711069401, 3088733, -3520, -4736, 5568
1707711069411, 3088743, -3504, -4784, 5648
1707711069421, 3088753, -3552, -4832, 5664
1707711069431, 3088763, -3536, -4768, 5776
1707711069441, 3088773, -3584, -4720, 5696
1707711069451, 3088783, -3664, -4720, 5776
1707711069461, 3088793, -3728, -4624, 5856
1707711069471, 3088803, -3696, -4528, 5776
1707711069481, 3088813, -3584, -4544, 5808
1707711069491, 3088823, -3456, -4544, 5824
1707711069501, 3088833, -3344, -4880, 5856
1707711069511, 3088843, -3072, -5296, 5680
1707711069521, 3088853, -2736, -5968, 5520
1707711069531, 3088863, -2432, -6608, 5312
1707711069541, 3088873, -2288, -7248, 5056
1707711069551, 3088883, -2112, -7328, 5008
1707711069561, 3088893, -2256, -7056, 5024
1707711069571, 3088903, -2624, -6208, 5104
1707711069581, 3088913, -2848, -5392, 5296
1707711069591, 3088923, -3088, -4800, 5664
1707711069601, 3088933, -3296, -4288, 5968
1707711069611, 3088943, -3424, -4112, 6112
1707711069621, 3088953, -3456, -4016, 6224
1707711069631, 3088963, -3472, -4032, 6256
1707711069641, 3088973, -3312, -4128, 6192
1707711069651, 3088983, -3168, -4528, 6080
1707711069661, 3088993, -3056, -4736, 6080
1707711069671, 3089003, -2928, -5008, 6064
1707711069681, 3089013, -2880, -5120, 6000
1707711069691, 3089023, -2832, -5184, 6032
1707711069701, 3089033, -2816, -5104, 6016
1707711069711, 3089043, -2864, -5056, 6000
1707711069721, 3089053, -2880, -4912, 5968
1707711069731, 3089063, -2944, -4784, 5984
1707711069741, 3089073, -3104, -4592, 5952
1707711069751, 3089083, -3200, -4400, 5968
1707711069761, 3089093, -3248, -4160, 5952
1707711069771, 3089103, -3264, -4064, 5968
1707711069781, 3089113, -3328, -4032, 5920
1707711069791, 3089123, -3280, -4000, 5792
1707711069801, 3089133, -3312, -4032, 5728
1707711069811, 3089143, -3312, -4128, 5632
1707711069821, 3089153, -3120, -4160, 5504
1707711069831, 3089163, -3104, -4256, 5472
1707711069841, 3089173, -3088, -4336, 5360
1707711069851, 3089183, -3072, -4336, 5296
1707711069861, 3089193, -3088, -4304, 5216
1707711069871, 3089203, -3152, -4224, 5264
1707711069881, 3089213, -3264, -4128, 5296
1707711069891, 3089223, -3312, -4048, 5408
1707711069901, 3089233, -3328, -3936, 5344
1707711069911, 3089243, -3296, -3920, 5296
1707711069921, 3089253, -3264, -4016, 5216
1707711069931, 3089263, -3264, -3952, 5232
1707711069941, 3089273, -3248, -4000, 5264
1707711069951, 3089283, -3184, -4016, 5216
1707711069961, 3089293, -3136, -4096, 5360
1707711069971, 3089303, -3104, -4144, 5392
1707711069981, 3089313, -3120, -4208, 5440
1707711069991, 3089323, -3072, -4240, 5520
1707711070001, 3089333, -3040, -4256, 5536
1707711070011, 3089343, -2992, -4368, 5648
1707711070021, 3089353, -3056, -4272, 5616
1707711070031, 3089363, -3104, -4320, 5584
1707711070041, 3089373, -3024, -4160, 5520
1707711070051, 3089383, -3008, -4128, 5520
1707711070061, 3089393, -3072, -4048, 5504
1707711070071, 3089403, -3104, -4064, 5648
1707711070081, 3089413, -3088, -4000, 5664
1707711070091, 3089423, -3088, -3936, 5600
1707711070101, 3089433, -3040, -3984, 5632
1707711070111, 3089443, -3024, -4016, 5712
1707711070121, 3089453, -3056, -4032, 5696
1707711070131, 3089463, -3072, -3968, 5616
1707711070141, 3089473, -3024, -3888, 5664
1707711070151, 3089483, -3104, -3888, 5600
1707711070161, 3089493, -3024, -3904, 5712
1707711070171, 3089503, -3008, -3888, 5824
1707711070181, 3089513, -3040, -3856, 5888
1707711070191, 3089523, -2912, -3744, 5808
1707711070201, 3089533, -2896, -3648, 5920
1707711070211, 3089543, -2880, -3648, 6080
1707711070221, 3089553, -2928, -3712, 6048
1707711070231, 3089563, -2800, -3616, 5760
1707711070241, 3089573, -2656, -3632, 5536
1707711070251, 3089583, -2576, -3648, 5408
1707711070261, 3089593, -2736, -3680, 5568
1707711070271, 3089603, -2704, -3808, 5600
1707711070281, 3089613, -2640, -3904, 5552
1707711070291, 3089623, -2688, -4032, 5664
1707711070301, 3089633, -2656, -4112, 5712
1707711070311, 3089643, -2736, -4048, 5856
1707711070321, 3089653, -2736, -4032, 6096
1707711070331, 3089663, -2784, -3968, 6288
1707711070341, 3089673, -2864, -3776, 6080
1707711070351, 3089683, -2944, -3744, 5888
1707711070361, 3089693, -2880, -3552, 5744
1707711070371, 3089703, -3008, -3504, 5904
1707711070381, 3089713, -3040, -3472, 5872
1707711070391, 3089723, -2928, -3392, 5696
