Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707710395443, 2414773, -4496, -4496, 4048
1707710395453, 2414783, -4416, -4608, 4032
1707710395463, 2414793, -4384, -4784, 4064
1707710395473, 2414803, -4304, -4912, 3984
1707710395483, 2414813, -4176, -5056, 3872
1707710395493, 2414823, -4160, -5040, 3840
1707710395503, 2414833, -4064, -4944, 4016
1707710395513, 2414843, -4144, -4992, 4192
1707710395523, 2414853, -4112, -5056, 4448
1707710395533, 2414863, -4144, -5424, 4848
1707710395543, 2414873, -4096, -5936, 4960
1707710395553, 2414883, -3904, -6640, 4864
1707710395563, 2414893, -3488, -7536, 4816
1707710395573, 2414903, -3088, -8192, 5024
1707710395583, 2414913, -2736, -8576, 5600
1707710395593, 2414923, -2624, -9024, 6368
1707710395603, 2414933, -2624, -9552, 7120
1707710395613, 2414943, -2496, -10416, 7520
1707710395623, 2414953, -2016, -11280, 7664
1707710395633, 2414963, -1296, -11936, 7376
1707710395643, 2414973, -592, -12352, 6784
1707710395653, 2414983, 128, -12848, 6160
1707710395663, 2414993, 704, -13200, 5904
1707710395673, 2415003, 880, -13328, 6320
1707710395683, 2415013, 880, -13264, 6848
1707710395693, 2415023, 688, -12992, 7472
1707710395703, 2415033, -128, -12224, 7872
1707710395713, 2415043, -912, -11072, 8416
1707710395723, 2415053, -1488, -8896, 8224
1707710395733, 2415063, -1440, -7472, 8960
1707710395743, 2415073, -2240, -6416, 9808
1707710395753, 2415083, -3328, -6016, 10400
1707710395763, 2415093, -4800, -5872, 11088
1707710395773, 2415103, -6128, -5168, 11408
1707710395783, 2415113, -7024, -3920, 12128
1707710395793, 2415123, -8688, -2512, 13008
1707710395803, 2415133, -10432, -1296, 13872
1707710395813, 2415143, -11712, -32, 14064
1707710395823, 2415153, -12928, 1392, 14256
1707710395833, 2415163, -13824, 2976, 14384
1707710395843, 2415173, -14256, 4176, 13904
1707710395853, 2415183, -14352, 4704, 13072
1707710395863, 2415193, -14528, 4624, 12048
1707710395873, 2415203, -14608, 3888, 10848
1707710395883, 2415213, -14304, 2224, 9200
1707710395893, 2415223, -13920, 352, 7376
1707710395903, 2415233, -13616, -496, 5600
1707710395913, 2415243, -13200, -864, 3808
1707710395923, 2415253, -12368, -1168, 2272
1707710395933, 2415263, -11520, -1616, 1088
1707710395943, 2415273, -10832, -2160, 496
1707710395953, 2415283, -10480, -2816, 752
1707710395963, 2415293, -10256, -3056, 1200
1707710395973, 2415303, -10192, -3200, 1616
1707710395983, 2415313, -10272, -3440, 2080
1707710395993, 2415323, -10464, -3472, 2384
1707710396003, 2415333, -10768, -3456, 2720
1707710396013, 2415343, -11248, -3424, 2880
1707710396023, 2415353, -11648, -3632, 3056
1707710396033, 2415363, -11760, -4400, 3488
1707710396043, 2415373, -11920, -5456, 3648
1707710396053, 2415383, -12064, -6112, 3456
1707710396063, 2415393, -12096, -6368, 2816
1707710396073, 2415403, -12272, -6016, 2016
1707710396083, 2415413, -12240, -5776, 1184
1707710396093, 2415423, -12208, -6256, 560
1707710396103, 2415433, -12144, -6816, 272
1707710396113, 2415443, -11936, -7584, -48
1707710396123, 2415453, -11856, -7776, -240
1707710396133, 2415463, -11728, -7664, -336
1707710396143, 2415473, -11728, -7408, -320
1707710396153, 2415483, -11936, -7472, -304
1707710396163, 2415493, -11680, -7984, -272
1707710396173, 2415503, -11456, -8912, -544
1707710396183, 2415513, -11152, -9472, -752
1707710396193, 2415523, -10960, -9712, -672
1707710396203, 2415533, -10720, -9984, -544
1707710396213, 2415543, -10304, -10240, -416
1707710396223, 2415553, -10096, -10096, -192
1707710396233, 2415563, -9984, -9856, 272
1707710396243, 2415573, -9664, -10272, 752
1707710396253, 2415583, -9248, -10640, 1232
1707710396263, 2415593, -8928, -10704, 1632
1707710396273, 2415603, -9040, -10880, 2192
1707710396283, 2415613, -9120, -10592, 3056
1707710396293, 2415623, -9184, -10832, 3776
1707710396303, 2415633, -9200, -11040, 3936
1707710396313, 2415643, -9312, -10800, 3648
1707710396323, 2415653, -9808, -10848, 2912
1707710396333, 2415663, -10016, -10464, 2048
1707710396343, 2415673, -9776, -10464, 1008
1707710396353, 2415683, -9232, -11040, -64
1707710396363, 2415693, -8720, -11760, -1136
1707710396373, 2415703, -8256, -12464, -2048
1707710396383, 2415713, -7232, -13120, -3824
1707710396393, 2415723, -5792, -13728, -6816
1707710396403, 2415733, -3264, -18672, -13872
1707710396413, 2415743, -576, -21776, -15984
1707710396423, 2415753, -1840, -15712, -6800
1707710396433, 2415763, -5600, -12432, 336
1707710396443, 2415773, -8144, -9552, 2944
1707710396453, 2415783, -9744, -6496, 3680
1707710396463, 2415793, -10192, -4000, 3536
1707710396473, 2415803, -9760, -2640, 3152
1707710396483, 2415813, -9056, -3328, 2656
1707710396493, 2415823, -8368, -4816, 1904
1707710396503, 2415833, -8112, -6576, 1104
1707710396513, 2415843, -8032, -7744, 720
1707710396523, 2415853, -8352, -8816, 1024
1707710396533, 2415863, -8400, -9520, 832
1707710396543, 2415873, -8816, -9808, 944
1707710396553, 2415883, -9488, -9840, 1552
1707710396563, 2415893, -10080, -9568, 1808
1707710396573, 2415903, -10640, -9728, 2464
1707710396583, 2415913, -10864, -10288, 3536
1707710396593, 2415923, -10976, -9872, 3872
1707710396603, 2415933, -11552, -9776, 3840
1707710396613, 2415943, -11776, -10112, 4064
1707710396623, 2415953, -11920, -9728, 3840
1707710396633, 2415963, -12160, -9632, 3744
1707710396643, 2415973, -12480, -9840, 3808
