Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707710813882, 2833213, -4160, -4848, 8416
1707710813892, 2833223, -4336, -5328, 9536
1707710813902, 2833233, -4528, -5840, 10800
1707710813912, 2833243, -4704, -6272, 11760
1707710813922, 2833253, -4752, -6784, 12448
1707710813932, 2833263, -4880, -7200, 12832
1707710813942, 2833273, -4928, -7056, 12448
1707710813952, 2833283, -4912, -6544, 11504
1707710813962, 2833293, -4848, -5936, 10528
1707710813972, 2833303, -5120, -5344, 9456
1707710813982, 2833313, -5104, -4592, 8112
1707710813992, 2833323, -4912, -3856, 6752
1707710814002, 2833333, -4528, -3248, 5408
1707710814012, 2833343, -4128, -2864, 4368
1707710814022, 2833353, -3616, -2640, 3696
1707710814032, 2833363, -3312, -2272, 3024
1707710814042, 2833373, -2880, -2256, 2160
1707710814052, 2833383, -2240, -2224, 1424
1707710814062, 2833393, -1600, -2624, 1136
1707710814072, 2833403, -1104, -3424, 1904
1707710814082, 2833413, -448, -4448, 3840
1707710814092, 2833423, 16, -5776, 6560
1707710814102, 2833433, 224, -7040, 9136
1707710814112, 2833443, 128, -7648, 11456
1707710814122, 2833453, 96, -7104, 13008
1707710814132, 2833463, 0, -6448, 13872
1707710814142, 2833473, -256, -6064, 13904
1707710814152, 2833483, -736, -5056, 13280
1707710814162, 2833493, -848, -4112, 12512
1707710814172, 2833503, -832, -3808, 11824
1707710814182, 2833513, -736, -3360, 11120
1707710814192, 2833523, -688, -2512, 10096
1707710814202, 2833533, -864, -1360, 8752
1707710814212, 2833543, -1424, 336, 7584
1707710814222, 2833553, -672, -4576, 3248
1707710814232, 2833563, 352, 2304, 1920
1707710814242, 2833573, -2048, -4032, 32
1707710814252, 2833583, 384, -2400, -2528
1707710814262, 2833593, 1072, -1216, -3184
1707710814272, 2833603, 128, -2160, -3824
1707710814282, 2833613, 208, -384, -3504
1707710814292, 2833623, 544, 224, -2640
1707710814302, 2833633, 288, 928, -1424
1707710814312, 2833643, -64, 1536, -384
1707710814322, 2833653, -144, 1888, 192
1707710814332, 2833663, -272, 1744, 176
1707710814342, 2833673, -288, 1584, -192
1707710814352, 2833683, -16, 288, 1456
1707710814362, 2833693, 896, -1168, 3760
1707710814372, 2833703, 2176, -3296, 5184
1707710814382, 2833713, 3728, -5840, 6336
1707710814392, 2833723, 5376, -8096, 7376
1707710814402, 2833733, 6832, -9584, 8560
1707710814412, 2833743, 7360, -11248, 10656
1707710814422, 2833753, 8288, -9584, 12048
1707710814432, 2833763, 8848, -6464, 13504
1707710814442, 2833773, 8928, -3840, 14080
1707710814452, 2833783, 8320, -2464, 14464
1707710814462, 2833793, 8240, -608, 14240
1707710814472, 2833803, 8448, 880, 13952
1707710814482, 2833813, 8704, 1216, 13472
1707710814492, 2833823, 9152, 1424, 13424
1707710814502, 2833833, 9904, 2368, 12688
1707710814512, 2833843, 10336, 2480, 11856
1707710814522, 2833853, 10128, 2208, 11328
1707710814532, 2833863, 10240, 2240, 10784
1707710814542, 2833873, 10368, 2352, 10096
1707710814552, 2833883, 10464, 2304, 9728
1707710814562, 2833893, 10224, 2176, 9488
1707710814572, 2833903, 10256, 2288, 8928
1707710814582, 2833913, 10480, 2800, 7776
1707710814592, 2833923, 10256, 2864, 6832
1707710814602, 2833933, 10080, 3184, 6112
1707710814612, 2833943, 9872, 3648, 5568
1707710814622, 2833953, 9328, 4016, 5136
1707710814632, 2833963, 8528, 3808, 5376
1707710814642, 2833973, 7952, 3472, 5456
1707710814652, 2833983, 7328, 3040, 4912
1707710814662, 2833993, 6720, 2304, 4288
1707710814672, 2834003, 6112, 1664, 3584
1707710814682, 2834013, 5232, 832, 2864
1707710814692, 2834023, 4576, 192, 2016
1707710814702, 2834033, 3712, 112, 1104
1707710814712, 2834043, 2896, 512, 512
1707710814722, 2834053, 2128, 784, 160
1707710814732, 2834063, 1552, 640, -128
1707710814742, 2834073, 1552, 128, -528
1707710814752, 2834083, 912, -608, -1072
1707710814762, 2834093, 320, -1104, -1264
1707710814772, 2834103, -32, -1520, -1488
1707710814782, 2834113, -464, -1856, -1360
1707710814792, 2834123, -1296, -1648, -1104
1707710814802, 2834133, -1824, -1792, -864
1707710814812, 2834143, -2928, -2144, -1744
1707710814822, 2834153, -3360, -2400, -3184
1707710814832, 2834163, -3776, -2544, -4208
1707710814842, 2834173, -4160, -2352, -5216
1707710814852, 2834183, -4608, -2016, -6352
1707710814862, 2834193, -4848, -1152, -7776
1707710814872, 2834203, -4960, -848, -8304
1707710814882, 2834213, -5136, -656, -8064
1707710814892, 2834223, -5248, -256, -8048
1707710814902, 2834233, -5984, -400, -7968
1707710814912, 2834243, -6256, 80, -8272
1707710814922, 2834253, -6880, 320, -8336
1707710814932, 2834263, -7520, 1472, -8528
1707710814942, 2834273, -7680, 2304, -9088
1707710814952, 2834283, -8144, 3392, -9808
1707710814962, 2834293, -8112, 3648, -10064
1707710814972, 2834303, -8208, 3552, -9536
1707710814982, 2834313, -8528, 3296, -8736
1707710814992, 2834323, -8816, 2720, -8256
1707710815002, 2834333, -8880, 3456, -8848
1707710815012, 2834343, -9824, 3856, -9824
1707710815022, 2834353, -10208, 4848, -10656
1707710815032, 2834363, -10752, 5664, -10592
1707710815042, 2834373, -11008, 6032, -10128
1707710815052, 2834383, -11392, 6272, -9440
1707710815062, 2834393, -11616, 6304, -9072
1707710815072, 2834403, -12016, 6080, -8752
1707710815082, 2834413, -12480, 6400, -8640
1707710815092, 2834423, -13024, 6896, -8880
1707710815102, 2834433, -13584, 7808, -9280
1707710815112, 2834443, -14032, 8352, -9232
1707710815122, 2834453, -14496, 9088, -9024
1707710815132, 2834463, -14560, 9488, -8848
1707710815142, 2834473, -14400, 9424, -8320
1707710815152, 2834483, -14128, 9072, -8336
1707710815162, 2834493, -14112, 8448, -8096
1707710815172, 2834503, -13360, 7280, -7488
1707710815182, 2834513, -13120, 6176, -6848
1707710815192, 2834523, -12848, 5136, -6128
1707710815202, 2834533, -12672, 4544, -5328
1707710815212, 2834543, -12624, 4096, -4368
1707710815222, 2834553, -12592, 3760, -3280
1707710815232, 2834563, -12624, 3200, -2224
1707710815242, 2834573, -12656, 2816, -896
1707710815252, 2834583, -12784, 2720, -208
1707710815262, 2834593, -13072, 2768, 64
1707710815272, 2834603, -13616, 2144, 784
1707710815282, 2834613, -13856, 432, 1984
1707710815292, 2834623, -13760, -1728, 3664
1707710815302, 2834633, -14000, -2768, 4080
1707710815312, 2834643, -14656, -3200, 4016
1707710815322, 2834653, -15776, -3136, 3040
1707710815332, 2834663, -17824, -5120, 3728
1707710815342, 2834673, -20240, -5984, 4688
1707710815352, 2834683, -22992, -7824, 6912
1707710815362, 2834693, -25504, -11040, 10672
1707710815372, 2834703, -26768, -14336, 16048
1707710815382, 2834713, -24960, -18128, 22976
1707710815392, 2834723, -20896, -22128, 29008
1707710815402, 2834733, -16176, -24544, 31088
1707710815412, 2834743, -9776, -23312, 28032
1707710815422, 2834753, -5616, -27200, 25312
1707710815432, 2834763, -1008, -31968, 23520
1707710815442, 2834773, 4576, -32592, 20400
1707710815452, 2834783, 8368, -31744, 15840
