Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707710406863, 2426193, -2288, -6512, 2160
1707710406873, 2426203, -2224, -6496, 2256
1707710406883, 2426213, -1984, -6384, 2496
1707710406893, 2426223, -1984, -6368, 2704
1707710406903, 2426233, -1920, -6368, 3024
1707710406913, 2426243, -1952, -6320, 3328
1707710406923, 2426253, -1904, -6320, 3632
1707710406933, 2426263, -1904, -6064, 3776
1707710406943, 2426273, -1744, -5936, 3872
1707710406953, 2426283, -1744, -5920, 3920
1707710406963, 2426293, -1712, -5888, 3968
1707710406973, 2426303, -1552, -6064, 3888
1707710406983, 2426313, -1440, -6192, 3904
1707710406993, 2426323, -1296, -6384, 3776
1707710407003, 2426333, -1152, -6576, 3664
1707710407013, 2426343, -1072, -6752, 3616
1707710407023, 2426353, -976, -6864, 3536
1707710407033, 2426363, -864, -6800, 3440
1707710407043, 2426373, -864, -6736, 3440
1707710407053, 2426383, -880, -6672, 3488
1707710407063, 2426393, -912, -6576, 3632
1707710407073, 2426403, -880, -6624, 3664
1707710407083, 2426413, -880, -6672, 3664
1707710407093, 2426423, -736, -6848, 3568
1707710407103, 2426433, -608, -7072, 3440
1707710407113, 2426443, -496, -7312, 3344
1707710407123, 2426453, -352, -7440, 3264
1707710407133, 2426463, -240, -7632, 3216
1707710407143, 2426473, -128, -7664, 3200
1707710407153, 2426483, -128, -7696, 3376
1707710407163, 2426493, -64, -7856, 3680
1707710407173, 2426503, -48, -7920, 3824
1707710407183, 2426513, -32, -7904, 3872
1707710407193, 2426523, -64, -7712, 4080
1707710407203, 2426533, -64, -7680, 4144
1707710407213, 2426543, -208, -7568, 3984
1707710407223, 2426553, -48, -7472, 3840
1707710407233, 2426563, -48, -7472, 3616
1707710407243, 2426573, 0, -7552, 3440
1707710407253, 2426583, -16, -6608, 3408
1707710407263, 2426593, 144, -6992, 3328
1707710407273, 2426603, -304, -7952, 3456
1707710407283, 2426613, -464, -8144, 3712
1707710407293, 2426623, -448, -8144, 3776
1707710407303, 2426633, -416, -8096, 3728
1707710407313, 2426643, -512, -7968, 3968
1707710407323, 2426653, -592, -8032, 4160
1707710407333, 2426663, -768, -8192, 4464
1707710407343, 2426673, -1040, -8256, 4688
1707710407353, 2426683, -1360, -8640, 4848
1707710407363, 2426693, -1504, -9040, 4752
1707710407373, 2426703, -1744, -9120, 4336
1707710407383, 2426713, -1888, -8960, 3488
1707710407393, 2426723, -2048, -8816, 2528
1707710407403, 2426733, -1872, -8624, 1584
1707710407413, 2426743, -1600, -8640, 704
1707710407423, 2426753, -1376, -8928, -48
1707710407433, 2426763, -1152, -9040, -480
1707710407443, 2426773, -928, -8816, -1184
1707710407453, 2426783, -688, -8336, -1680
1707710407463, 2426793, -448, -8192, -1520
1707710407473, 2426803, -208, -8192, -880
1707710407483, 2426813, -64, -8144, -96
1707710407493, 2426823, 144, -8144, 544
1707710407503, 2426833, 416, -7920, 832
1707710407513, 2426843, 656, -7712, 848
1707710407523, 2426853, 1008, -7472, 400
1707710407533, 2426863, 1232, -7040, -272
1707710407543, 2426873, 1472, -6768, -864
1707710407553, 2426883, 1632, -6736, -912
1707710407563, 2426893, 1792, -6576, -480
1707710407573, 2426903, 1744, -6288, 64
1707710407583, 2426913, 1840, -6256, 784
1707710407593, 2426923, 1936, -6240, 1264
1707710407603, 2426933, 1952, -6544, 1648
1707710407613, 2426943, 2608, -6512, 1120
1707710407623, 2426953, 2800, -6448, 512
1707710407633, 2426963, 2688, -6432, -304
1707710407643, 2426973, 2624, -6288, -864
1707710407653, 2426983, 2384, -6096, -1216
1707710407663, 2426993, 2192, -6032, -1184
1707710407673, 2427003, 2016, -6048, -1120
1707710407683, 2427013, 1760, -6256, -960
1707710407693, 2427023, 1648, -5952, -1056
1707710407703, 2427033, 1456, -5248, -1488
1707710407713, 2427043, 1360, -5008, -1664
1707710407723, 2427053, 1280, -4576, -1904
1707710407733, 2427063, 1216, -4944, -2016
1707710407743, 2427073, 1104, -6064, -1696
1707710407753, 2427083, 784, -6656, -1056
1707710407763, 2427093, 416, -6944, -720
1707710407773, 2427103, 32, -6672, -576
1707710407783, 2427113, -496, -6192, -192
1707710407793, 2427123, -1040, -5680, 784
1707710407803, 2427133, -1648, -5408, 2240
1707710407813, 2427143, -2384, -5712, 3936
1707710407823, 2427153, -3040, -5952, 4992
1707710407833, 2427163, -4016, -5904, 5856
1707710407843, 2427173, -5168, -5456, 6400
1707710407853, 2427183, -6736, -4480, 8032
1707710407863, 2427193, -7808, -3392, 9808
1707710407873, 2427203, -8608, -1984, 11232
1707710407883, 2427213, -9568, -960, 12256
1707710407893, 2427223, -10544, 256, 13536
1707710407903, 2427233, -11440, 688, 15360
1707710407913, 2427243, -12352, 784, 17072
1707710407923, 2427253, -13152, 192, 19632
1707710407933, 2427263, -13952, -320, 21968
1707710407943, 2427273, -13984, -1424, 23792
1707710407953, 2427283, -13280, -3456, 24496
1707710407963, 2427293, -12416, -5168, 23456
1707710407973, 2427303, -10944, -6544, 22448
1707710407983, 2427313, -9584, -7680, 20448
1707710407993, 2427323, -8240, -9312, 18144
1707710408003, 2427333, -6928, -11184, 15584
1707710408013, 2427343, -6048, -12080, 13696
1707710408023, 2427353, -5488, -13520, 12784
1707710408033, 2427363, -6064, -14928, 12672
1707710408043, 2427373, -7760, -14288, 13776
1707710408053, 2427383, -9104, -13424, 14512
1707710408063, 2427393, -10288, -13648, 15232
1707710408073, 2427403, -11600, -14624, 16608
1707710408083, 2427413, -12304, -14976, 17792
1707710408093, 2427423, -12640, -16144, 18064
1707710408103, 2427433, -12512, -17440, 17056
1707710408113, 2427443, -12224, -19024, 15104
1707710408123, 2427453, -12320, -20048, 13216
1707710408133, 2427463, -12320, -21568, 11392
1707710408143, 2427473, -12624, -22624, 9568
1707710408153, 2427483, -13424, -22512, 8736
1707710408163, 2427493, -14048, -21680, 8576
1707710408173, 2427503, -14448, -20512, 8432
1707710408183, 2427513, -15808, -19216, 8416
1707710408193, 2427523, -17760, -18640, 8288
1707710408203, 2427533, -20608, -18160, 8400
1707710408213, 2427543, -24416, -18352, 8528
1707710408223, 2427553, -27280, -17360, 8560
1707710408233, 2427563, -30704, -16864, 8000
1707710408243, 2427573, -32512, -16688, 6928
1707710408253, 2427583, -32624, -16032, 4688
1707710408263, 2427593, -32624, -17104, 1488
1707710408273, 2427603, -32624, -19248, -2944
1707710408283, 2427613, -32624, -19632, -7664
1707710408293, 2427623, -31920, -16960, -12192
1707710408303, 2427633, -27248, -13424, -14592
1707710408313, 2427643, -23216, -11104, -14752
1707710408323, 2427653, -23216, -9008, -13568
1707710408333, 2427663, -20032, -6704, -12208
1707710408343, 2427673, -16512, -5600, -10192
1707710408353, 2427683, -13296, -6064, -8480
1707710408363, 2427693, -11344, -7040, -5808
1707710408373, 2427703, -10096, -7920, -3136
1707710408383, 2427713, -9360, -8192, -1344
1707710408393, 2427723, -9456, -7824, -1200
1707710408403, 2427733, -9408, -6576, -2416
1707710408413, 2427743, -9552, -4576, -4080
1707710408423, 2427753, -10368, -3824, -5808
1707710408433, 2427763, -10208, -2240, -7504
1707710408443, 2427773, -9136, -992, -8528
1707710408453, 2427783, -7200, -2208, -8064
1707710408463, 2427793, -5200, -3232, -7744
1707710408473, 2427803, -4368, -3728, -8064
1707710408483, 2427813, -4208, -4432, -8096
1707710408493, 2427823, -3760, -4992, -8128
1707710408503, 2427833, -3824, -4304, -8048
1707710408513, 2427843, -3968, -3392, -7952
1707710408523, 2427853, -3744, -2912, -7584
