Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707711350268, 3369603, -3584, -3776, 5904
1707711350278, 3369613, -3552, -4176, 6032
1707711350288, 3369623, -3504, -4544, 6240
1707711350298, 3369633, -3408, -4816, 6096
1707711350308, 3369643, -3232, -4880, 6416
1707711350318, 3369653, -2848, -4720, 5856
1707711350328, 3369663, -3312, -5376, 6448
1707711350338, 3369673, -3456, -5712, 7280
1707711350348, 3369683, -3312, -5568, 7840
1707711350358, 3369693, -3328, -5728, 8432
1707711350368, 3369703, -3376, -5808, 8928
1707711350378, 3369713, -3168, -6016, 9328
1707711350388, 3369723, -3104, -6064, 9632
1707711350398, 3369733, -3200, -6608, 9952
1707711350408, 3369743, -3072, -6576, 10176
1707711350418, 3369753, -3024, -6384, 10432
1707711350428, 3369763, -3104, -6224, 10416
1707711350438, 3369773, -3296, -5920, 10752
1707711350448, 3369783, -3264, -5792, 10688
1707711350458, 3369793, -3104, -5920, 10480
1707711350468, 3369803, -2976, -6096, 10224
1707711350478, 3369813, -2976, -6144, 9952
1707711350488, 3369823, -2944, -6032, 9696
1707711350498, 3369833, -2688, -5680, 9552
1707711350508, 3369843, -2384, -5584, 9632
1707711350518, 3369853, -2672, -5664, 10048
1707711350528, 3369863, -2832, -5664, 10352
1707711350538, 3369873, -2592, -5680, 10352
1707711350548, 3369883, -2944, -6704, 11040
1707711350558, 3369893, -3392, -7264, 11600
1707711350568, 3369903, -3408, -7728, 11840
1707711350578, 3369913, -3696, -7456, 11904
1707711350588, 3369923, -3680, -7120, 11360
1707711350598, 3369933, -3056, -7376, 11056
1707711350608, 3369943, -2608, -8064, 10816
1707711350618, 3369953, -2576, -8272, 10416
1707711350628, 3369963, -2288, -8176, 9296
1707711350638, 3369973, -1856, -7760, 8192
1707711350648, 3369983, -1776, -7488, 7328
1707711350658, 3369993, -1136, -7600, 6096
1707711350668, 3370003, -368, -7936, 4768
1707711350678, 3370013, 160, -8256, 4064
1707711350688, 3370023, 96, -8192, 3616
1707711350698, 3370033, 96, -7824, 3328
1707711350708, 3370043, -16, -7568, 3120
1707711350718, 3370053, -32, -6592, 2096
1707711350728, 3370063, -1072, -5040, 2256
1707711350738, 3370073, -1680, -2896, 2544
1707711350748, 3370083, -2096, -1440, 3152
1707711350758, 3370093, -2592, -352, 3328
1707711350768, 3370103, -3408, 928, 3504
1707711350778, 3370113, -4064, 2336, 5424
1707711350788, 3370123, -4336, 3536, 6016
1707711350798, 3370133, -4512, 4960, 6592
1707711350808, 3370143, -5152, 5744, 7456
1707711350818, 3370153, -5600, 5136, 7648
1707711350828, 3370163, -6144, 4208, 6960
1707711350838, 3370173, -6768, 4192, 6096
1707711350848, 3370183, -7632, 4544, 6512
1707711350858, 3370193, -7856, 5760, 7664
1707711350868, 3370203, -8096, 7168, 8832
1707711350878, 3370213, -8160, 7776, 9920
1707711350888, 3370223, -7824, 7312, 10400
1707711350898, 3370233, -7648, 6000, 9808
1707711350908, 3370243, -7264, 5232, 8688
1707711350918, 3370253, -6640, 4640, 7616
1707711350928, 3370263, -6304, 4224, 7072
1707711350938, 3370273, -5744, 3520, 7104
1707711350948, 3370283, -5328, 3072, 7136
1707711350958, 3370293, -5088, 2864, 6880
1707711350968, 3370303, -4704, 2528, 6384
1707711350978, 3370313, -4704, 2256, 6336
1707711350988, 3370323, -4704, 2464, 6160
1707711350998, 3370333, -4784, 2816, 6080
1707711351008, 3370343, -4928, 3136, 6016
1707711351018, 3370353, -4976, 3808, 5840
1707711351028, 3370363, -4912, 3920, 5696
1707711351038, 3370373, -4960, 3696, 5104
1707711351048, 3370383, -4896, 3472, 4320
1707711351058, 3370393, -4464, 3280, 3552
1707711351068, 3370403, -4304, 3152, 3024
1707711351078, 3370413, -4160, 3232, 2704
1707711351088, 3370423, -4016, 3136, 2736
1707711351098, 3370433, -3840, 3088, 2992
1707711351108, 3370443, -3728, 2256, 3552
1707711351118, 3370453, -3568, 2128, 3840
1707711351128, 3370463, -3440, 2912, 3776
1707711351138, 3370473, -3568, 2240, 3792
1707711351148, 3370483, -3696, 1648, 3680
1707711351158, 3370493, -3712, 2032, 3344
1707711351168, 3370503, -3696, 2288, 2832
1707711351178, 3370513, -3904, 2176, 2176
1707711351188, 3370523, -4224, 1952, 1568
1707711351198, 3370533, -4496, 1312, 928
1707711351208, 3370543, -4608, 352, 176
1707711351218, 3370553, -5440, -384, -16
1707711351228, 3370563, -5616, -1776, -1376
1707711351238, 3370573, -6032, -2448, -2096
1707711351248, 3370583, -6128, -2720, -2672
1707711351258, 3370593, -6272, -2800, -3328
1707711351268, 3370603, -6880, -2960, -4592
1707711351278, 3370613, -7328, -3568, -6304
1707711351288, 3370623, -7376, -4064, -8304
1707711351300, 3370633, -7376, -4624, -11520
1707711351310, 3370643, -7344, -5184, -14688
1707711351320, 3370653, -7312, -5232, -16112
1707711351330, 3370663, -7072, -5952, -16864
1707711351340, 3370673, -7216, -7056, -16304
1707711351350, 3370683, -7440, -7584, -15856
1707711351360, 3370693, -7312, -8128, -15472
1707711351370, 3370703, -7232, -8944, -15040
1707711351380, 3370713, -6912, -9568, -14896
1707711351390, 3370723, -6608, -9856, -14800
1707711351400, 3370733, -6352, -10048, -14800
1707711351410, 3370743, -6384, -9312, -15136
1707711351420, 3370753, -6496, -8384, -15024
1707711351430, 3370763, -6832, -7344, -14544
1707711351440, 3370773, -6784, -6128, -14640
1707711351450, 3370783, -6688, -5584, -14608
1707711351460, 3370793, -6480, -5264, -14336
1707711351470, 3370803, -5888, -5712, -13744
1707711351480, 3370813, -5264, -6304, -13056
1707711351490, 3370823, -4752, -6368, -12304
1707711351500, 3370833, -4608, -6240, -11792
1707711351510, 3370843, -4560, -6000, -11392
1707711351520, 3370853, -4384, -5856, -11136
1707711351530, 3370863, -4240, -5552, -11008
1707711351540, 3370873, -4080, -5376, -10704
1707711351550, 3370883, -3840, -5248, -10416
1707711351560, 3370893, -3568, -5072, -10208
1707711351568, 3370903, -3472, -5008, -9728
1707711351578, 3370913, -3408, -5072, -9072
1707711351588, 3370923, -3184, -5136, -8480
1707711351598, 3370933, -2992, -5152, -7824
1707711351608, 3370943, -3008, -5600, -7088
1707711351618, 3370953, -3040, -5664, -6544
1707711351628, 3370963, -2976, -5792, -6208
1707711351638, 3370973, -3072, -5520, -5440
1707711351648, 3370983, -2928, -5488, -4016
1707711351658, 3370993, -2928, -5904, -2304
1707711351668, 3371003, -3152, -5792, -400
1707711351678, 3371013, -3184, -5600, 1152
1707711351688, 3371023, -3024, -5728, 2048
1707711351698, 3371033, -2448, -5776, 2352
1707711351708, 3371043, -1776, -5888, 3472
1707711351718, 3371053, -2000, -5424, 4704
1707711351728, 3371063, -2656, -4624, 4736
1707711351738, 3371073, -3792, -3136, 4448
1707711351748, 3371083, -4752, -992, 4992
1707711351758, 3371093, -5392, 880, 6464
1707711351768, 3371103, -5424, 1744, 8448
1707711351778, 3371113, -4784, 1152, 10000
1707711351788, 3371123, -4176, 112, 11328
1707711351798, 3371133, -4096, -544, 11744
1707711351808, 3371143, -5104, -352, 11168
1707711351818, 3371153, -6816, 736, 10256
1707711351828, 3371163, -7440, 3488, 9328
1707711351838, 3371173, -7952, 5024, 9616
1707711351848, 3371183, -8736, 5200, 11248
1707711351858, 3371193, -9376, 5296, 13136
1707711351868, 3371203, -9808, 5104, 13984
1707711351878, 3371213, -10464, 5360, 14112
1707711351888, 3371223, -11024, 6128, 14288
1707711351898, 3371233, -11584, 6240, 15600
1707711351908, 3371243, -11232, 6144, 16800
1707711351918, 3371253, -11632, 5200, 17744
1707711351928, 3371263, -11120, 4768, 18032
1707711351938, 3371273, -10608, 3328, 17648
1707711351948, 3371283, -10112, 1664, 16544
1707711351958, 3371293, -9872, 112, 15904
1707711351968, 3371303, -9872, -1312, 16096
1707711351978, 3371313, -9984, -2352, 16656
1707711351988, 3371323, -9648, -2656, 17344
1707711351998, 3371333, -9104, -2192, 18016
1707711352008, 3371343, -8816, -1792, 18112
1707711352018, 3371353, -8816, -1760, 17856
1707711352028, 3371363, -9040, -1568, 17264
1707711352038, 3371373, -9264, -1344, 16672
1707711352048, 3371383, -9600, -272, 15568
1707711352058, 3371393, -9392, 416, 14000
1707711352068, 3371403, -9616, 624, 13040
1707711352078, 3371413, -10240, 928, 12416
1707711352088, 3371423, -10864, 624, 11392
1707711352098, 3371433, -12352, -592, 11024
1707711352108, 3371443, -11232, 288, 9168
1707711352118, 3371453, -11152, -592, 7616
1707711352128, 3371463, -11424, -1920, 6160
1707711352138, 3371473, -11648, -3696, 5456
1707711352148, 3371483, -11536, -6352, 5296
1707711352158, 3371493, -11328, -8896, 5328
1707711352170, 3371503, -11008, -11024, 5104
1707711352178, 3371513, -9968, -12016, 4656
1707711352188, 3371523, -8272, -12096, 3408
1707711352198, 3371533, -6656, -11264, 1536
1707711352208, 3371543, -6304, -10016, -160
1707711352218, 3371553, -6160, -9200, -1952
1707711352228, 3371563, -5536, -9408, -2592
1707711352240, 3371573, -4720, -10992, -3808
1707711352250, 3371583, -4160, -12672, -4896
1707711352260, 3371593, -3744, -13808, -4816
1707711352270, 3371603, -2912, -14624, -4096
1707711352280, 3371613, -2624, -14896, -2096
1707711352288, 3371623, -2656, -14352, 0
1707711352298, 3371633, -2320, -12944, 1616
1707711352308, 3371643, -2000, -11872, 2432
1707711352318, 3371653, -1936, -11536, 3088
1707711352328, 3371663, -1632, -10944, 4176
1707711352338, 3371673, -1776, -10960, 4688
1707711352348, 3371683, -1600, -10912, 4848
1707711352358, 3371693, -1360, -9472, 4896
1707711352368, 3371703, -1248, -9296, 3872
1707711352378, 3371713, -1088, -8768, 4032
1707711352388, 3371723, -1232, -8336, 4256
1707711352398, 3371733, -1488, -8128, 4448
1707711352408, 3371743, -1696, -6320, 5152
1707711352418, 3371753, -1984, -5136, 5824
1707711352428, 3371763, -1536, -4144, 6320
1707711352438, 3371773, -1632, -4064, 6384
1707711352448, 3371783, -1936, -4256, 7248
1707711352458, 3371793, -1632, -3104, 7520
1707711352468, 3371803, -1424, -3616, 8192
1707711352478, 3371813, -1280, -3856, 8512
1707711352488, 3371823, -1040, -4016, 8512
