Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707710826751, 2846083, -4400, -3088, 6896
1707710826761, 2846093, -4656, -2656, 6768
1707710826771, 2846103, -4384, -2464, 6400
1707710826781, 2846113, -4512, -2608, 6080
1707710826791, 2846123, -4656, -2512, 5968
1707710826801, 2846133, -4464, -2368, 5808
1707710826811, 2846143, -4464, -2304, 6032
1707710826821, 2846153, -4960, -2272, 6144
1707710826831, 2846163, -4928, -1920, 6128
1707710826841, 2846173, -4944, -1728, 6000
1707710826851, 2846183, -5040, -1728, 6064
1707710826861, 2846193, -5008, -1824, 6032
1707710826871, 2846203, -4976, -1824, 5936
1707710826881, 2846213, -4928, -1744, 5760
1707710826891, 2846223, -4880, -1824, 5584
1707710826901, 2846233, -4864, -1792, 5504
1707710826911, 2846243, -4768, -1872, 5408
1707710826921, 2846253, -4720, -2096, 5616
1707710826931, 2846263, -4720, -2128, 5504
1707710826941, 2846273, -4688, -2208, 5264
1707710826951, 2846283, -4784, -2288, 5024
1707710826961, 2846293, -4688, -2496, 4848
1707710826971, 2846303, -4720, -2640, 4752
1707710826981, 2846313, -4672, -2784, 4672
1707710826991, 2846323, -4560, -2992, 4608
1707710827001, 2846333, -4560, -2976, 4624
1707710827011, 2846343, -4432, -3056, 4976
1707710827021, 2846353, -4320, -3200, 5360
1707710827031, 2846363, -4128, -3328, 5984
1707710827041, 2846373, -3952, -3520, 6768
1707710827051, 2846383, -3840, -3840, 7568
1707710827061, 2846393, -3184, -3936, 8064
1707710827071, 2846403, -3648, -5216, 9088
1707710827081, 2846413, -3568, -5920, 9552
1707710827091, 2846423, -3152, -6032, 9392
1707710827101, 2846433, -2880, -6560, 8960
1707710827111, 2846443, -2800, -6944, 8592
1707710827121, 2846453, -2768, -7008, 8128
1707710827131, 2846463, -2688, -6720, 7808
1707710827141, 2846473, -2704, -6576, 7456
1707710827151, 2846483, -2928, -6240, 7200
1707710827161, 2846493, -3040, -5712, 6880
1707710827171, 2846503, -3184, -5568, 6768
1707710827181, 2846513, -3408, -5264, 6880
1707710827191, 2846523, -3904, -4848, 6928
1707710827201, 2846533, -4048, -4224, 7056
1707710827211, 2846543, -3680, -3712, 7040
1707710827221, 2846553, -3216, -3392, 6736
1707710827231, 2846563, -2992, -3296, 6560
1707710827241, 2846573, -2800, -3024, 6192
1707710827251, 2846583, -2624, -2736, 5888
1707710827261, 2846593, -2576, -2240, 5552
1707710827271, 2846603, -2336, -1696, 5536
1707710827281, 2846613, -2304, -1360, 5600
1707710827291, 2846623, -2176, -1040, 5536
1707710827301, 2846633, -1680, -944, 5632
1707710827311, 2846643, -1408, -976, 5792
1707710827321, 2846653, -1040, -928, 6128
1707710827331, 2846663, -496, -976, 6032
1707710827341, 2846673, 496, -432, 5568
1707710827351, 2846683, -112, -1280, 6576
1707710827361, 2846693, -1200, -1264, 8144
1707710827371, 2846703, -1888, -448, 9648
1707710827381, 2846713, -2352, 0, 10944
1707710827391, 2846723, -2960, 176, 12016
1707710827401, 2846733, -3136, 256, 12560
1707710827411, 2846743, -3040, 48, 12720
1707710827421, 2846753, -2880, -432, 12720
1707710827431, 2846763, -3376, -1360, 12976
1707710827441, 2846773, -3968, -2000, 13232
1707710827451, 2846783, -4496, -2320, 13136
1707710827461, 2846793, -4656, -2208, 12352
1707710827471, 2846803, -5200, -2704, 11616
1707710827481, 2846813, -5904, -3312, 10816
1707710827491, 2846823, -6432, -3888, 10016
1707710827501, 2846833, -6752, -4432, 9040
1707710827511, 2846843, -6976, -5232, 8224
1707710827521, 2846853, -7328, -6064, 7408
1707710827531, 2846863, -7600, -7088, 6320
1707710827541, 2846873, -7680, -7888, 5296
1707710827551, 2846883, -7600, -8688, 4336
1707710827561, 2846893, -7424, -9504, 3552
1707710827571, 2846903, -7152, -10032, 3376
