Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707711116970, 3136303, -4688, -96, 8032
1707711116980, 3136313, -4704, -256, 8000
1707711116990, 3136323, -4640, -336, 7808
1707711117000, 3136333, -4544, -288, 7600
1707711117010, 3136343, -4448, -480, 7280
1707711117020, 3136353, -4288, -656, 6976
1707711117030, 3136363, -4112, -992, 6640
1707711117040, 3136373, -3936, -1328, 6480
1707711117050, 3136383, -3856, -1808, 6336
1707711117060, 3136393, -3856, -2208, 6304
1707711117070, 3136403, -3712, -2464, 6224
1707711117080, 3136413, -3552, -2672, 6176
1707711117090, 3136423, -3424, -2800, 6112
1707711117100, 3136433, -3424, -2800, 5888
1707711117110, 3136443, -3344, -2720, 5872
1707711117120, 3136453, -3440, -2768, 5792
1707711117130, 3136463, -3600, -2608, 5584
1707711117140, 3136473, -3824, -2320, 5440
1707711117150, 3136483, -4144, -2048, 5632
1707711117160, 3136493, -4384, -1696, 5728
1707711117170, 3136503, -4608, -1552, 5760
1707711117180, 3136513, -4864, -1408, 5744
1707711117190, 3136523, -5040, -1488, 5568
1707711117200, 3136533, -5200, -1392, 5360
1707711117210, 3136543, -5104, -1136, 5040
1707711117220, 3136553, -4992, -1040, 4864
1707711117230, 3136563, -4928, -1120, 4720
1707711117240, 3136573, -4960, -1360, 4720
1707711117250, 3136583, -4848, -1424, 4880
1707711117260, 3136593, -4704, -1456, 4960
1707711117270, 3136603, -4624, -1424, 4912
1707711117280, 3136613, -4576, -1360, 4880
1707711117290, 3136623, -4544, -992, 4832
1707711117300, 3136633, -4352, -768, 4720
1707711117310, 3136643, -4208, -656, 4736
1707711117320, 3136653, -4064, -880, 4768
1707711117330, 3136663, -3808, -1360, 4768
1707711117340, 3136673, -3648, -2112, 4832
1707711117350, 3136683, -3360, -2672, 4784
1707711117360, 3136693, -3120, -3168, 4672
1707711117370, 3136703, -2928, -3760, 4688
1707711117380, 3136713, -2912, -4144, 4704
1707711117390, 3136723, -2944, -4192, 4640
1707711117400, 3136733, -2864, -4240, 4656
1707711117410, 3136743, -2896, -4304, 4704
1707711117420, 3136753, -3088, -4336, 4944
1707711117430, 3136763, -3408, -4256, 5088
1707711117440, 3136773, -3600, -4192, 4864
1707711117450, 3136783, -3888, -4320, 4416
1707711117460, 3136793, -3968, -4192, 3904
1707711117470, 3136803, -3840, -4064, 3408
1707711117480, 3136813, -3680, -4128, 3072
1707711117490, 3136823, -3552, -4304, 3552
1707711117500, 3136833, -3552, -4464, 4000
1707711117510, 3136843, -3552, -4528, 4592
1707711117520, 3136853, -3728, -4784, 5168
1707711117530, 3136863, -4000, -5184, 5936
1707711117540, 3136873, -4480, -5184, 6544
1707711117550, 3136883, -4848, -4992, 7024
1707711117560, 3136893, -5616, -4992, 7216
1707711117570, 3136903, -5872, -4880, 7072
1707711117580, 3136913, -6032, -4576, 6992
1707711117590, 3136923, -6240, -4576, 6896
1707711117600, 3136933, -6496, -4480, 7248
1707711117610, 3136943, -6736, -4160, 7664
1707711117620, 3136953, -6912, -3840, 8000
1707711117630, 3136963, -7312, -3408, 8544
1707711117640, 3136973, -7536, -2896, 9056
1707711117650, 3136983, -7584, -2256, 9184
1707711117660, 3136993, -7568, -1984, 9760
1707711117670, 3137003, -7616, -2144, 10560
1707711117680, 3137013, -7648, -2480, 11296
1707711117690, 3137023, -7664, -2864, 11616
1707711117700, 3137033, -7616, -3152, 11856
