Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707711277869, 3297203, -4624, -2688, 4944
1707711277879, 3297213, -4704, -2480, 4960
1707711277889, 3297223, -4832, -2256, 5184
1707711277899, 3297233, -4880, -2128, 5344
1707711277909, 3297243, -5024, -1968, 5440
1707711277919, 3297253, -5184, -1744, 5536
1707711277929, 3297263, -5136, -1776, 5632
1707711277939, 3297273, -4720, -1744, 5488
1707711277949, 3297283, -4688, -1824, 5248
1707711277959, 3297293, -5024, -2448, 5440
1707711277969, 3297303, -5200, -2640, 5728
1707711277979, 3297313, -4912, -2640, 5856
1707711277989, 3297323, -4800, -2768, 5904
1707711277999, 3297333, -4656, -2864, 5904
1707711278009, 3297343, -4560, -3168, 5968
1707711278019, 3297353, -4784, -3440, 6144
1707711278029, 3297363, -4688, -3632, 6096
1707711278039, 3297373, -4480, -3632, 5920
1707711278049, 3297383, -4448, -3632, 5744
1707711278059, 3297393, -4448, -3648, 5616
1707711278069, 3297403, -4544, -3680, 5536
1707711278079, 3297413, -4592, -3504, 5312
1707711278089, 3297423, -4592, -3376, 5136
1707711278099, 3297433, -4496, -3328, 4992
1707711278109, 3297443, -4448, -3264, 4672
1707711278119, 3297453, -4288, -3200, 4576
1707711278129, 3297463, -3856, -2832, 4368
1707711278139, 3297473, -3984, -2784, 4784
1707711278149, 3297483, -4128, -2928, 5248
1707711278159, 3297493, -4416, -3232, 5824
1707711278169, 3297503, -4560, -2752, 6512
1707711278179, 3297513, -5088, -2672, 7424
1707711278189, 3297523, -5392, -2656, 8096
1707711278199, 3297533, -5280, -2480, 8544
1707711278209, 3297543, -5088, -2672, 8896
1707711278219, 3297553, -5072, -3264, 9648
1707711278229, 3297563, -4672, -3696, 11024
1707711278239, 3297573, -4608, -4528, 12224
1707711278249, 3297583, -4624, -5520, 13408
1707711278259, 3297593, -4992, -6048, 13856
1707711278269, 3297603, -5184, -6256, 13648
1707711278279, 3297613, -5312, -6288, 12944
1707711278289, 3297623, -5360, -6416, 12000
1707711278299, 3297633, -5408, -6320, 11088
1707711278309, 3297643, -5616, -6608, 10336
1707711278319, 3297653, -5968, -6816, 9840
1707711278329, 3297663, -6352, -6624, 9472
1707711278339, 3297673, -6704, -6080, 9280
1707711278349, 3297683, -7104, -5408, 9312
1707711278359, 3297693, -7648, -4592, 9280
1707711278369, 3297703, -8080, -3776, 9040
1707711278379, 3297713, -8400, -2960, 8768
1707711278389, 3297723, -8624, -2416, 8368
1707711278399, 3297733, -8656, -2240, 7904
1707711278409, 3297743, -8608, -2368, 7456
1707711278419, 3297753, -8448, -2768, 7168
1707711278429, 3297763, -8240, -3392, 7104
1707711278439, 3297773, -7888, -4064, 7488
1707711278449, 3297783, -7360, -4608, 7808
1707711278459, 3297793, -6960, -5088, 8016
1707711278469, 3297803, -6832, -5472, 8288
1707711278479, 3297813, -6816, -5616, 8496
1707711278489, 3297823, -6832, -5680, 8624
1707711278499, 3297833, -6944, -5632, 9088
1707711278509, 3297843, -7392, -5568, 10224
1707711278519, 3297853, -7904, -5616, 11776
1707711278529, 3297863, -8240, -5616, 13392
1707711278539, 3297873, -8752, -5328, 15104
1707711278549, 3297883, -9568, -5104, 16608
1707711278559, 3297893, -10384, -5232, 17648
1707711278569, 3297903, -11280, -4816, 18064
1707711278579, 3297913, -11840, -5440, 18192
1707711278589, 3297923, -13232, -5696, 18032
1707711278599, 3297933, -14016, -5296, 16032
1707711278609, 3297943, -13792, -4096, 11280
1707711278619, 3297953, -13680, -3504, 5168
1707711278629, 3297963, -13536, -1856, -2240
1707711278639, 3297973, -12688, -1344, -8512
1707711278649, 3297983, -10928, -1184, -12384
1707711278659, 3297993, -9136, -1520, -13504
1707711278669, 3298003, -7744, -1856, -12352
1707711278679, 3298013, -5472, -2576, -9936
1707711278689, 3298023, -3088, -4384, -7984
1707711278699, 3298033, -1344, -6400, -6496
1707711278709, 3298043, -576, -7248, -5600
1707711278719, 3298053, -576, -6048, -5168
1707711278729, 3298063, -1328, -4160, -4544
1707711278739, 3298073, -2080, -2256, -3936
1707711278749, 3298083, -2368, -928, -3440
1707711278759, 3298093, -2128, -528, -3040
1707711278769, 3298103, -1408, -1440, -2912
1707711278779, 3298113, -448, -2704, -3040
1707711278789, 3298123, 320, -3952, -3024
1707711278799, 3298133, 896, -4720, -2848
1707711278809, 3298143, 1120, -5296, -2528
1707711278819, 3298153, 1184, -5376, -2144
1707711278829, 3298163, 992, -5424, -1728
1707711278839, 3298173, 960, -5472, -1696
1707711278849, 3298183, 1104, -5872, -1488
1707711278859, 3298193, 1504, -6496, -1424
1707711278869, 3298203, 1728, -7472, -1200
1707711278879, 3298213, 1728, -8128, -1072
1707711278889, 3298223, 2240, -8624, -784
1707711278899, 3298233, 2432, -9488, -320
1707711278909, 3298243, 2352, -10240, 704
1707711278919, 3298253, 2240, -10512, 1952
1707711278929, 3298263, 1616, -10960, 2864
1707711278939, 3298273, 1280, -11168, 3376
1707711278949, 3298283, 1168, -11392, 3872
1707711278959, 3298293, 1184, -11376, 4320
1707711278969, 3298303, 1248, -11424, 4784
1707711278979, 3298313, 1216, -11712, 4736
1707711278989, 3298323, 1184, -11984, 4288
1707711278999, 3298333, 1344, -12240, 3728
1707711279009, 3298343, 1472, -12320, 2720
1707711279019, 3298353, 1440, -12672, 2224
1707711279029, 3298363, 1408, -12592, 2144
1707711279039, 3298373, 1344, -11888, 2240
1707711279049, 3298383, 1088, -11184, 2672
1707711279059, 3298393, 768, -10368, 3168
1707711279069, 3298403, 448, -9248, 3312
1707711279079, 3298413, 352, -8272, 2816
1707711279089, 3298423, 160, -7616, 2656
1707711279099, 3298433, 0, -6912, 3008
1707711279109, 3298443, -464, -6000, 3488
1707711279119, 3298453, -1264, -4800, 3824
1707711279129, 3298463, -1792, -3280, 3872
1707711279139, 3298473, -2912, -1056, 3904
1707711279149, 3298483, -4160, 1168, 4416
1707711279159, 3298493, -5248, 3760, 5520
1707711279169, 3298503, -6432, 6976, 7344
1707711279179, 3298513, -7456, 11184, 8640
1707711279189, 3298523, -8432, 14144, 10976
1707711279199, 3298533, -8880, 18256, 11824
1707711279209, 3298543, -8320, 21264, 12336
1707711279219, 3298553, -8016, 22480, 13184
1707711279229, 3298563, -7568, 23056, 14000
1707711279239, 3298573, -6640, 21728, 14640
1707711279249, 3298583, -6128, 19456, 15504
1707711279259, 3298593, -5200, 16464, 15648
1707711279269, 3298603, -4528, 13104, 15600
1707711279279, 3298613, -3920, 10000, 15360
1707711279289, 3298623, -3264, 7248, 14848
1707711279299, 3298633, -2992, 5072, 13584
1707711279309, 3298643, -3168, 3840, 12000
1707711279319, 3298653, -3968, 3472, 10256
1707711279329, 3298663, -4816, 3936, 8336
1707711279339, 3298673, -5824, 4848, 6368
1707711279349, 3298683, -7008, 5648, 5072
1707711279359, 3298693, -7936, 5888, 4224
1707711279369, 3298703, -8256, 5552, 3088
1707711279379, 3298713, -8672, 4000, 2352
1707711279389, 3298723, -8816, 1696, 2112
1707711279399, 3298733, -8304, -1200, 2176
1707711279409, 3298743, -7760, -4800, 3008
1707711279419, 3298753, -6736, -8192, 4000
1707711279429, 3298763, -5392, -11280, 4848
1707711279439, 3298773, -4176, -13792, 5792
1707711279449, 3298783, -3312, -15744, 6320
1707711279459, 3298793, -2320, -16800, 6352
1707711279469, 3298803, -1648, -17728, 6096
1707711279479, 3298813, -1552, -18416, 5936
1707711279489, 3298823, -1344, -18816, 5872
1707711279499, 3298833, -1360, -19552, 5808
1707711279509, 3298843, -1392, -20416, 5920
1707711279519, 3298853, -1424, -21200, 5744
1707711279529, 3298863, -1408, -22032, 5280
1707711279539, 3298873, -1024, -23056, 4656
1707711279549, 3298883, -816, -24288, 4224
1707711279559, 3298893, -352, -24864, 3936
1707711279569, 3298903, -112, -25072, 3776
1707711279579, 3298913, -64, -24880, 3408
1707711279589, 3298923, -80, -24560, 3136
1707711279599, 3298933, -464, -23792, 3552
1707711279609, 3298943, -2240, -21712, 4256
1707711279619, 3298953, -2096, -20112, 4464
1707711279629, 3298963, -3584, -17600, 4512
1707711279639, 3298973, -4624, -13920, 4288
1707711279649, 3298983, -5744, -11216, 4416
1707711279659, 3298993, -6560, -8736, 4560
1707711279669, 3299003, -7168, -7104, 4320
1707711279679, 3299013, -7232, -5744, 3840
1707711279689, 3299023, -6752, -5152, 3312
1707711279699, 3299033, -6240, -4960, 2720
1707711279709, 3299043, -5760, -4688, 2096
1707711279719, 3299053, -5504, -3664, 1600
