Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707711727717, 3747053, -2112, -8224, 608
1707711727727, 3747063, -1808, -8480, 352
1707711727737, 3747073, -1600, -9056, 96
1707711727747, 3747083, -1344, -9488, -464
1707711727757, 3747093, -1200, -9728, -1056
1707711727767, 3747103, -1056, -9968, -1760
1707711727777, 3747113, -752, -10144, -2272
1707711727787, 3747123, -672, -10144, -2832
1707711727797, 3747133, -512, -10112, -3408
1707711727807, 3747143, -496, -10192, -3520
1707711727817, 3747153, -416, -10416, -3392
1707711727827, 3747163, -560, -10944, -3056
1707711727837, 3747173, -720, -10976, -2912
1707711727847, 3747183, -672, -11168, -2912
1707711727857, 3747193, -608, -11264, -3056
1707711727867, 3747203, -736, -11536, -3216
1707711727877, 3747213, -704, -11216, -3472
1707711727888, 3747223, -624, -11024, -4000
1707711727897, 3747233, -464, -11136, -4496
1707711727907, 3747243, -576, -10928, -5104
1707711727917, 3747253, -400, -10992, -5504
1707711727927, 3747263, -176, -11568, -5936
1707711727937, 3747273, -352, -11776, -5936
1707711727947, 3747283, -416, -12144, -5792
1707711727957, 3747293, -416, -11952, -6016
1707711727967, 3747303, -496, -11856, -6160
1707711727977, 3747313, -208, -11920, -6272
1707711727987, 3747323, -112, -12256, -6160
1707711727997, 3747333, -32, -12528, -6080
1707711728007, 3747343, 96, -12544, -6464
1707711728017, 3747353, 176, -12912, -6784
1707711728027, 3747363, 384, -13072, -7168
1707711728037, 3747373, 480, -13024, -7088
1707711728047, 3747383, 320, -12640, -6624
1707711728057, 3747393, 272, -12272, -5968
1707711728067, 3747403, 336, -12352, -5184
1707711728077, 3747413, 544, -12608, -4656
1707711728087, 3747423, 736, -12560, -4544
1707711728097, 3747433, 848, -12192, -4928
1707711728107, 3747443, 1104, -11424, -5552
1707711728117, 3747453, 1296, -11072, -6176
1707711728127, 3747463, 1552, -10800, -6384
1707711728137, 3747473, 1632, -10576, -6752
1707711728147, 3747483, 1728, -10768, -7184
1707711728157, 3747493, 1632, -10256, -7664
1707711728167, 3747503, 1264, -8576, -7424
1707711728177, 3747513, 1184, -7536, -7680
1707711728187, 3747523, 1200, -7648, -7456
1707711728197, 3747533, 1296, -7840, -6768
1707711728207, 3747543, 1136, -7664, -5568
1707711728217, 3747553, 832, -6912, -4864
1707711728227, 3747563, 784, -5840, -4336
1707711728237, 3747573, 848, -4656, -4352
1707711728247, 3747583, 1056, -3568, -4576
1707711728257, 3747593, 1408, -3152, -4768
1707711728267, 3747603, 1600, -3008, -4320
1707711728277, 3747613, 1600, -2496, -3728
1707711728287, 3747623, 1568, -2128, -3360
1707711728297, 3747633, 1680, -1744, -3360
1707711728307, 3747643, 1728, -848, -3552
1707711728317, 3747653, 1888, -304, -3632
1707711728327, 3747663, 2080, 0, -3536
1707711728337, 3747673, 2464, -112, -3216
1707711728347, 3747683, 2704, -64, -2592
1707711728357, 3747693, 2768, 96, -2256
1707711728367, 3747703, 2816, 736, -2000
1707711728377, 3747713, 3184, 944, -1456
1707711728387, 3747723, 3648, 704, -1152
1707711728397, 3747733, 4096, 544, -880
