Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707711554378, 3573713, -3216, -4608, 6528
1707711554388, 3573723, -3152, -4832, 7392
1707711554398, 3573733, -3200, -5232, 8256
1707711554408, 3573743, -3168, -5632, 9216
1707711554418, 3573753, -3248, -6496, 10288
1707711554428, 3573763, -3392, -7408, 11440
1707711554438, 3573773, -3376, -7984, 12304
1707711554448, 3573783, -3520, -8304, 12896
1707711554458, 3573793, -3376, -8672, 13184
1707711554468, 3573803, -3792, -8608, 13696
1707711554478, 3573813, -3792, -8800, 13952
1707711554488, 3573823, -4016, -9248, 14144
1707711554498, 3573833, -4176, -9696, 14240
1707711554508, 3573843, -4272, -10736, 13936
1707711554518, 3573853, -4608, -10928, 13440
1707711554528, 3573863, -5056, -10432, 12528
1707711554538, 3573873, -5456, -9536, 11440
1707711554548, 3573883, -5792, -8784, 10432
1707711554558, 3573893, -5792, -8768, 9360
1707711554568, 3573903, -5616, -8848, 8080
1707711554578, 3573913, -5552, -8416, 6320
1707711554588, 3573923, -5744, -7392, 4288
1707711554598, 3573933, -5664, -5968, 2400
1707711554608, 3573943, -5104, -4672, 560
1707711554618, 3573953, -4384, -4016, -1088
1707711554628, 3573963, -3936, -3712, -2032
1707711554638, 3573973, -3568, -2688, -2704
1707711554648, 3573983, -3600, -1216, -3008
1707711554658, 3573993, -4032, 480, -3328
1707711554668, 3574003, -4224, 2752, -4144
1707711554678, 3574013, -4400, 5712, -5936
1707711554688, 3574023, -4640, 9168, -9264
1707711554698, 3574033, -4480, 11920, -12848
1707711554708, 3574043, -3568, 12304, -14832
1707711554718, 3574053, -3568, 9472, -14176
1707711554728, 3574063, -4256, 7760, -12464
1707711554738, 3574073, -6544, 6096, -9424
1707711554748, 3574083, -9712, 4160, -4208
1707711554758, 3574093, -13072, 1392, 2544
1707711554768, 3574103, -15344, -4576, 10016
1707711554778, 3574113, -12848, -17760, 19776
1707711554788, 3574123, -3408, -30400, 30800
1707711554798, 3574133, 3312, -32496, 30704
1707711554808, 3574143, 6144, -32432, 16336
1707711554818, 3574153, 3920, -22592, 800
1707711554828, 3574163, 480, -14400, -7328
1707711554838, 3574173, -1792, -13344, -7248
1707711554848, 3574183, -1280, -13792, 320
1707711554858, 3574193, 48, -13424, 6384
1707711554868, 3574203, -448, -12128, 7744
1707711554878, 3574213, -1808, -8272, 4800
1707711554888, 3574223, -2832, -4080, 1200
1707711554898, 3574233, -3296, -912, -1584
1707711554908, 3574243, -3152, 1792, -3488
1707711554918, 3574253, -3008, 4048, -4288
1707711554928, 3574263, -3248, 5264, -3376
1707711554938, 3574273, -3536, 5952, -1600
1707711554948, 3574283, -4272, 5584, 1056
1707711554958, 3574293, -5136, 3488, 3456
1707711554968, 3574303, -6176, 1312, 5920
1707711554979, 3574313, -7232, -1952, 9120
1707711554993, 3574323, -5808, -12176, 12688
1707711555000, 3574333, 1840, -27424, 14496
1707711555008, 3574343, 8720, -32304, 8960
1707711555018, 3574353, 8096, -32608, 640
1707711555028, 3574363, 3232, -26064, -4992
1707711555038, 3574373, -560, -18272, -4640
1707711555048, 3574383, -1504, -11712, -304
1707711555058, 3574393, -1216, -7648, 2864
1707711555068, 3574403, -1760, -5184, 3584
1707711555078, 3574413, -2240, -1840, 2608
1707711555088, 3574423, -2416, 1648, 384
1707711555098, 3574433, -2224, 4416, -576
1707711555108, 3574443, -2048, 6560, -1248
1707711555119, 3574453, -1536, 7696, -1648
1707711555129, 3574463, -1168, 7824, -1168
1707711555139, 3574473, -1568, 6064, -656
1707711555149, 3574483, -2480, 3872, 16
1707711555159, 3574493, -3744, 2272, 1568
1707711555169, 3574503, -5072, -416, 3472
1707711555179, 3574513, -5056, -9040, 6720
1707711555189, 3574523, 0, -22688, 10512
1707711555199, 3574533, 6816, -31040, 10192
1707711555209, 3574543, 8208, -31040, 6592
1707711555219, 3574553, 5312, -26240, 2112
1707711555229, 3574563, 2816, -18432, -1072
1707711555239, 3574573, 1600, -13136, -1200
1707711555249, 3574583, 1776, -10736, 160
1707711555259, 3574593, 1760, -9200, 1648
1707711555269, 3574603, 1088, -7040, 2688
1707711555279, 3574613, 352, -4384, 3008
1707711555289, 3574623, 96, -1616, 2576
1707711555297, 3574633, 192, 496, 2160
1707711555307, 3574643, 48, 2176, 1312
1707711555319, 3574653, -176, 3584, 192
1707711555329, 3574663, -608, 4864, -576
1707711555339, 3574673, -1296, 5008, -304
1707711555349, 3574683, -2064, 4256, -144
1707711555359, 3574693, -3072, 3120, -112
1707711555369, 3574703, -4752, 1136, 512
1707711555379, 3574713, -6224, -2192, 2240
1707711555389, 3574723, -6592, -10144, 5376
1707711555399, 3574733, -2192, -24992, 10320
1707711555409, 3574743, 5424, -32160, 13584
1707711555419, 3574753, 9312, -32608, 11200
1707711555429, 3574763, 6800, -32624, 7728
1707711555439, 3574773, 3088, -28176, 4256
1707711555449, 3574783, 912, -20864, 3392
1707711555459, 3574793, -352, -15616, 4400
