Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707710632053, 2651383, 5904, -1248, 6656
1707710632063, 2651393, 5984, -1424, 6448
1707710632073, 2651403, 6272, -1760, 6640
1707710632083, 2651413, 6352, -1824, 6944
1707710632093, 2651423, 6336, -1952, 6816
1707710632103, 2651433, 6528, -2032, 6480
1707710632113, 2651443, 6560, -2192, 6192
1707710632123, 2651453, 6560, -2272, 5920
1707710632133, 2651463, 6544, -2320, 5728
1707710632143, 2651473, 6672, -2352, 5552
1707710632153, 2651483, 6656, -2240, 5696
1707710632163, 2651493, 6688, -2096, 5824
1707710632173, 2651503, 6816, -2112, 6096
1707710632183, 2651513, 6960, -2320, 6352
1707710632193, 2651523, 7024, -2592, 6528
1707710632203, 2651533, 7056, -2656, 6176
1707710632213, 2651543, 7088, -2512, 5776
1707710632223, 2651553, 7024, -2464, 5536
1707710632233, 2651563, 6848, -2224, 5280
1707710632243, 2651573, 6784, -1888, 5008
1707710632253, 2651583, 6640, -1728, 4608
1707710632263, 2651593, 6672, -1408, 4288
1707710632273, 2651603, 6752, -1200, 4352
1707710632283, 2651613, 6848, -1312, 4592
1707710632293, 2651623, 6896, -1408, 4960
1707710632303, 2651633, 6864, -1648, 5168
1707710632313, 2651643, 6672, -1664, 4928
1707710632323, 2651653, 6416, -1440, 4288
1707710632333, 2651663, 6128, -1248, 3616
1707710632343, 2651673, 5824, -1088, 3120
1707710632353, 2651683, 5440, -1024, 2480
1707710632363, 2651693, 5056, -784, 1808
1707710632373, 2651703, 4848, -672, 992
1707710632383, 2651713, 4544, -752, 384
1707710632391, 2651723, 4256, -576, 0
1707710632403, 2651733, 3952, -640, -272
1707710632413, 2651743, 3408, -800, -400
1707710632423, 2651753, 2880, -1008, -736
1707710632433, 2651763, 2640, -992, -1440
1707710632443, 2651773, 2512, -1200, -1840
1707710632453, 2651783, 2496, -1488, -2080
1707710632463, 2651793, 2672, -1936, -2432
1707710632473, 2651803, 2704, -2016, -2464
1707710632483, 2651813, 2560, -2112, -2384
1707710632493, 2651823, 2432, -2256, -1968
1707710632503, 2651833, 2240, -2384, -1104
1707710632513, 2651843, 1872, -2352, -480
1707710632523, 2651853, 1552, -2240, -368
1707710632533, 2651863, 1184, -2016, -560
1707710632543, 2651873, 800, -1776, -752
1707710632553, 2651883, 352, -1536, -1024
1707710632563, 2651893, -112, -1168, -1152
1707710632573, 2651903, -640, -1072, -528
1707710632583, 2651913, -1344, -1104, 608
1707710632593, 2651923, -1920, -1040, 2240
1707710632603, 2651933, -2256, -1040, 3776
1707710632613, 2651943, -2608, -816, 4640
1707710632623, 2651953, -2656, -832, 5440
1707710632633, 2651963, -2800, -816, 6256
1707710632643, 2651973, -2752, -560, 6832
1707710632653, 2651983, -2496, -192, 7872
1707710632663, 2651993, -2464, -688, 9600
1707710632673, 2652003, -2160, -1920, 11584
1707710632683, 2652013, -1728, -3216, 13280
1707710632693, 2652023, -1552, -4240, 14048
1707710632703, 2652033, -1248, -4752, 13808
1707710632713, 2652043, -832, -5440, 13072
1707710632723, 2652053, -544, -6272, 12816
1707710632733, 2652063, -960, -7088, 12896
1707710632743, 2652073, -1408, -7136, 12752
1707710632753, 2652083, -1888, -6528, 12672
1707710632763, 2652093, -2544, -5744, 12592
1707710632773, 2652103, -3184, -5008, 12720
1707710632783, 2652113, -3472, -4432, 13328
1707710632793, 2652123, -3840, -4208, 14144
1707710632803, 2652133, -4096, -4192, 14704
1707710632813, 2652143, -4272, -4064, 14240
1707710632823, 2652153, -4464, -3984, 13328
1707710632833, 2652163, -4784, -3680, 12624
1707710632843, 2652173, -5216, -3408, 12160
1707710632853, 2652183, -5792, -3136, 12032
1707710632863, 2652193, -6240, -2928, 12176
1707710632873, 2652203, -6784, -2768, 12688
1707710632883, 2652213, -7120, -2672, 13200
1707710632893, 2652223, -7344, -2400, 13728
1707710632903, 2652233, -7424, -2304, 13840
1707710632913, 2652243, -7376, -2176, 13680
1707710632923, 2652253, -7264, -2192, 13360
1707710632933, 2652263, -7120, -2400, 12864
1707710632943, 2652273, -7200, -2560, 12656
1707710632953, 2652283, -7392, -2896, 12304
1707710632963, 2652293, -7584, -2800, 11520
1707710632973, 2652303, -7760, -2528, 10656
1707710632983, 2652313, -7984, -2528, 9664
1707710632993, 2652323, -8096, -2624, 8256
1707710633003, 2652333, -8176, -2624, 6976
1707710633013, 2652343, -8304, -2752, 6256
1707710633023, 2652353, -8464, -2752, 6096
1707710633033, 2652363, -8688, -2688, 6112
1707710633043, 2652373, -8608, -2768, 6608
1707710633053, 2652383, -8960, -3152, 7376
1707710633063, 2652393, -9584, -3344, 8112
1707710633073, 2652403, -9936, -3376, 8416
1707710633083, 2652413, -9840, -2896, 8064
1707710633093, 2652423, -9328, -2048, 7504
1707710633103, 2652433, -8880, -1632, 7168
1707710633113, 2652443, -8880, -1472, 6848
1707710633123, 2652453, -8528, -1552, 6480
1707710633133, 2652463, -8368, -1856, 6400
1707710633143, 2652473, -8192, -2192, 6320
1707710633153, 2652483, -7792, -2544, 6368
1707710633163, 2652493, -7376, -2544, 6640
1707710633173, 2652503, -7072, -2192, 6448
1707710633183, 2652513, -6832, -2720, 6416
1707710633193, 2652523, -6576, -3360, 6224
1707710633203, 2652533, -6256, -3520, 5904
1707710633213, 2652543, -5904, -3600, 5472
1707710633223, 2652553, -5616, -3152, 4784
1707710633233, 2652563, -5264, -2720, 4352
1707710633243, 2652573, -4896, -2608, 3952
1707710633253, 2652583, -4624, -2784, 3904
1707710633263, 2652593, -4720, -2880, 4032
1707710633273, 2652603, -4976, -2560, 4224
1707710633283, 2652613, -4704, -1904, 4272
1707710633293, 2652623, -4768, -1056, 3984
1707710633303, 2652633, -4608, -640, 3488
1707710633313, 2652643, -4160, -368, 3104
1707710633323, 2652653, -4064, -640, 3440
1707710633333, 2652663, -3936, -880, 4096
1707710633343, 2652673, -3712, -1344, 4768
1707710633353, 2652683, -3712, -1344, 5392
1707710633363, 2652693, -3952, -1008, 5632
1707710633373, 2652703, -3984, -688, 5104
1707710633383, 2652713, -4096, -592, 4048
1707710633393, 2652723, -3760, -752, 2832
1707710633403, 2652733, -3408, -1616, 2096
1707710633413, 2652743, -3216, -2192, 2224
1707710633423, 2652753, -3088, -2656, 2816
1707710633433, 2652763, -3360, -3024, 3984
1707710633443, 2652773, -3936, -3008, 5120
1707710633453, 2652783, -4560, -2864, 5712
1707710633463, 2652793, -5456, -2288, 6128
1707710633473, 2652803, -6160, -1392, 5536
1707710633483, 2652813, -6880, -624, 4656
1707710633493, 2652823, -7280, -480, 3936
1707710633503, 2652833, -7632, -896, 3824
1707710633513, 2652843, -8064, -1888, 3824
1707710633523, 2652853, -8592, -2992, 3664
1707710633533, 2652863, -9088, -3632, 3200
1707710633543, 2652873, -9712, -3936, 2432
1707710633553, 2652883, -10336, -4384, 1680
1707710633563, 2652893, -10880, -5104, 1408
1707710633573, 2652903, -11600, -5504, 1920
1707710633583, 2652913, -12480, -5936, 3328
1707710633593, 2652923, -13968, -6432, 4512
1707710633603, 2652933, -15472, -7040, 4736
1707710633613, 2652943, -16880, -7440, 3952
1707710633623, 2652953, -17568, -7408, 2000
1707710633633, 2652963, -17792, -7632, 48
1707710633643, 2652973, -18240, -7872, -1376
1707710633653, 2652983, -18256, -7808, -2416
1707710633663, 2652993, -17920, -7984, -2528
1707710633673, 2653003, -17872, -8336, -1744
1707710633683, 2653013, -18080, -8080, -1264
1707710633693, 2653023, -18384, -8000, -976
1707710633703, 2653033, -18352, -8160, -1216
1707710633713, 2653043, -18352, -7968, -1312
1707710633723, 2653053, -18224, -7552, -1232
1707710633733, 2653063, -17728, -7184, -704
1707710633743, 2653073, -17216, -7568, 480
1707710633753, 2653083, -16912, -8304, 1968
1707710633763, 2653093, -16688, -9120, 3248
1707710633773, 2653103, -16720, -9616, 4240
1707710633783, 2653113, -17280, -9424, 4784
1707710633793, 2653123, -17584, -9168, 4752
1707710633803, 2653133, -17744, -8960, 4688
1707710633813, 2653143, -18096, -8656, 4688
