Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707713087740, 5107083, -3600, -4528, 4800
1707713087750, 5107093, -3616, -4672, 4816
1707713087760, 5107103, -3648, -4816, 4736
1707713087770, 5107113, -3648, -4816, 4720
1707713087780, 5107123, -3520, -4688, 4624
1707713087790, 5107133, -3600, -4752, 4688
1707713087800, 5107143, -3680, -4768, 4768
1707713087810, 5107153, -3664, -4672, 4912
1707713087820, 5107163, -3696, -4672, 5040
1707713087830, 5107173, -3632, -4608, 5104
1707713087840, 5107183, -3616, -4496, 5168
1707713087850, 5107193, -3552, -4608, 5296
1707713087860, 5107203, -3536, -4592, 5312
1707713087870, 5107213, -3488, -4688, 5456
1707713087880, 5107223, -3472, -4576, 5440
1707713087890, 5107233, -3440, -4464, 5344
1707713087900, 5107243, -3472, -4336, 5216
1707713087910, 5107253, -3456, -4304, 5168
1707713087920, 5107263, -3536, -4304, 5152
1707713087930, 5107273, -3616, -4288, 5184
1707713087940, 5107283, -3680, -4320, 5120
1707713087950, 5107293, -3664, -4272, 5120
1707713087960, 5107303, -3728, -4256, 5024
1707713087970, 5107313, -3760, -4304, 4992
1707713087980, 5107323, -3776, -4304, 4912
1707713087990, 5107333, -3712, -4352, 4928
1707713088000, 5107343, -3760, -4432, 5008
1707713088010, 5107353, -3712, -4384, 4992
1707713088020, 5107363, -3792, -4464, 5024
1707713088030, 5107373, -3776, -4416, 4992
1707713088040, 5107383, -3792, -4464, 4976
1707713088050, 5107393, -3776, -4544, 5072
1707713088060, 5107403, -3696, -4512, 5104
1707713088070, 5107413, -3648, -4560, 5040
1707713088080, 5107423, -3648, -4448, 5120
1707713088090, 5107433, -3680, -4496, 5056
1707713088100, 5107443, -3712, -4368, 5040
1707713088110, 5107453, -3760, -4288, 5168
1707713088120, 5107463, -3712, -4208, 5184
1707713088130, 5107473, -3760, -4192, 5216
1707713088140, 5107483, -3776, -4272, 5200
1707713088150, 5107493, -3760, -4144, 5104
1707713088160, 5107503, -3648, -4192, 5056
1707713088170, 5107513, -3568, -4256, 5040
1707713088180, 5107523, -3568, -4160, 5168
1707713088190, 5107533, -3680, -4176, 5168
1707713088200, 5107543, -3664, -4112, 5120
1707713088210, 5107553, -3616, -4144, 5264
1707713088220, 5107563, -3680, -4064, 5264
1707713088230, 5107573, -3744, -4080, 5296
1707713088240, 5107583, -3776, -4160, 5392
1707713088250, 5107593, -3728, -4224, 5216
1707713088260, 5107603, -3696, -4304, 5184
1707713088270, 5107613, -3712, -4304, 5152
1707713088280, 5107623, -3744, -4320, 5136
1707713088290, 5107633, -3744, -4320, 5168
1707713088300, 5107643, -3760, -4336, 5280
1707713088310, 5107653, -3840, -4240, 5296
1707713088320, 5107663, -3792, -4144, 5456
1707713088330, 5107673, -3840, -4240, 5376
1707713088340, 5107683, -3808, -4240, 5488
1707713088350, 5107693, -3728, -4320, 5376
1707713088360, 5107703, -3728, -4368, 5232
1707713088370, 5107713, -3728, -4288, 5264
1707713088380, 5107723, -3712, -4208, 5216
1707713088390, 5107733, -3776, -4288, 5280
1707713088400, 5107743, -3728, -4224, 5312
1707713088410, 5107753, -3792, -4208, 5328
1707713088420, 5107763, -3744, -4208, 5312
1707713088430, 5107773, -3728, -4160, 5344
1707713088440, 5107783, -3712, -4176, 5328
1707713088450, 5107793, -3664, -4176, 5264
1707713088460, 5107803, -3776, -4256, 5248
1707713088470, 5107813, -3632, -4320, 5200
1707713088480, 5107823, -3584, -4448, 5120
1707713088490, 5107833, -3728, -4240, 5024
1707713088500, 5107843, -3776, -4112, 5248
1707713088510, 5107853, -3824, -4208, 5232
1707713088520, 5107863, -3808, -4064, 5376
1707713088530, 5107873, -3728, -4128, 5360
1707713088540, 5107883, -3648, -4176, 5264
1707713088550, 5107893, -3664, -4160, 5280
1707713088560, 5107903, -3520, -4336, 5184
1707713088570, 5107913, -3552, -4368, 5120
1707713088580, 5107923, -3584, -4352, 5152
1707713088590, 5107933, -3616, -4272, 5200
1707713088600, 5107943, -3664, -4304, 5152
1707713088610, 5107953, -3664, -4288, 5184
1707713088620, 5107963, -3744, -4400, 5168
1707713088630, 5107973, -3712, -4368, 5056
1707713088640, 5107983, -3744, -4304, 4992
1707713088650, 5107993, -3840, -4320, 4992
1707713088660, 5108003, -3872, -4400, 4960
1707713088670, 5108013, -3888, -4368, 4960
1707713088680, 5108023, -3904, -4368, 4944
