Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707712344205, 4363543, -5456, -5376, 2720
1707712344215, 4363553, -5456, -5376, 2672
1707712344225, 4363563, -5488, -5408, 2448
1707712344235, 4363573, -5360, -5328, 2256
1707712344245, 4363583, -5280, -5376, 2080
1707712344255, 4363593, -5184, -5536, 1920
1707712344265, 4363603, -5184, -5552, 1872
1707712344275, 4363613, -5184, -5664, 1744
1707712344285, 4363623, -5152, -5696, 1792
1707712344295, 4363633, -5152, -5824, 1952
1707712344305, 4363643, -5200, -6032, 2096
1707712344315, 4363653, -5312, -6112, 2160
1707712344325, 4363663, -5408, -6016, 2288
1707712344335, 4363673, -5296, -5920, 2352
1707712344345, 4363683, -5248, -5792, 2304
1707712344355, 4363693, -5168, -5968, 2416
1707712344365, 4363703, -5168, -6064, 2416
1707712344375, 4363713, -5088, -6176, 2400
1707712344385, 4363723, -4848, -6512, 2416
1707712344395, 4363733, -4736, -6768, 2560
1707712344405, 4363743, -4528, -7040, 2608
1707712344415, 4363753, -4528, -7072, 2560
1707712344425, 4363763, -4800, -7328, 2592
1707712344435, 4363773, -4752, -7344, 2640
1707712344445, 4363783, -4848, -7152, 2832
1707712344455, 4363793, -5008, -6960, 3072
1707712344465, 4363803, -5168, -6736, 3264
1707712344475, 4363813, -5232, -6512, 3792
1707712344485, 4363823, -5456, -6368, 4256
1707712344495, 4363833, -5504, -6224, 4624
1707712344505, 4363843, -5504, -6080, 4800
1707712344515, 4363853, -5664, -5984, 4816
1707712344525, 4363863, -5696, -5840, 4592
1707712344535, 4363873, -5824, -5824, 4416
1707712344545, 4363883, -5968, -5776, 4048
1707712344555, 4363893, -5792, -5600, 3712
1707712344565, 4363903, -5920, -5568, 3552
1707712344575, 4363913, -5920, -5536, 3376
1707712344585, 4363923, -6048, -5392, 3280
1707712344595, 4363933, -6112, -5120, 3216
1707712344605, 4363943, -6128, -5008, 3248
1707712344615, 4363953, -5936, -5056, 3216
1707712344625, 4363963, -5920, -5152, 3104
1707712344635, 4363973, -5648, -5264, 2944
1707712344645, 4363983, -5536, -5440, 2752
1707712344655, 4363993, -5376, -5712, 2480
1707712344665, 4364003, -5392, -5696, 2288
1707712344675, 4364013, -5360, -5728, 2224
1707712344685, 4364023, -5392, -5600, 2416
1707712344695, 4364033, -5568, -5488, 2720
1707712344705, 4364043, -5680, -5344, 2960
1707712344715, 4364053, -5888, -5072, 3168
1707712344725, 4364063, -6000, -4736, 3280
1707712344735, 4364073, -5808, -4896, 3360
1707712344745, 4364083, -5776, -5120, 3376
1707712344755, 4364093, -5744, -5456, 3360
1707712344765, 4364103, -5696, -5728, 3264
1707712344775, 4364113, -5712, -5872, 3104
1707712344785, 4364123, -5744, -5888, 2864
1707712344795, 4364133, -5840, -5840, 2736
1707712344805, 4364143, -5904, -5824, 2736
1707712344815, 4364153, -5888, -5792, 2672
1707712344825, 4364163, -6016, -5792, 2640
1707712344835, 4364173, -6080, -5792, 2672
1707712344845, 4364183, -6192, -5680, 2896
1707712344855, 4364193, -6288, -5376, 3136
1707712344865, 4364203, -6496, -5216, 3328
1707712344875, 4364213, -6624, -5008, 3392
1707712344885, 4364223, -6608, -4800, 3312
1707712344895, 4364233, -6608, -4896, 3072
1707712344905, 4364243, -6688, -5072, 2688
1707712344915, 4364253, -6528, -5216, 2272
1707712344925, 4364263, -6368, -5392, 1872
1707712344935, 4364273, -6208, -5680, 1520
1707712344945, 4364283, -6064, -5920, 1312
1707712344955, 4364293, -6064, -5888, 1232
1707712344965, 4364303, -6048, -5760, 1232
1707712344975, 4364313, -6032, -5696, 1392
1707712344985, 4364323, -6144, -5584, 1664
1707712344995, 4364333, -6176, -5440, 1776
1707712345005, 4364343, -6224, -5312, 1824
1707712345015, 4364353, -6240, -5248, 1632
1707712345025, 4364363, -6224, -5328, 1440
1707712345035, 4364373, -6224, -5600, 1184
1707712345045, 4364383, -6080, -5744, 944
1707712345055, 4364393, -5872, -5936, 768
1707712345065, 4364403, -5904, -5936, 672
1707712345075, 4364413, -5872, -5920, 784
1707712345085, 4364423, -5936, -5792, 864
1707712345095, 4364433, -5984, -5744, 1040
1707712345105, 4364443, -6096, -5648, 1184
1707712345115, 4364453, -6080, -5632, 1344
1707712345125, 4364463, -6096, -5728, 1520
1707712345135, 4364473, -6064, -5888, 1664
1707712345145, 4364483, -5952, -6048, 1568
1707712345155, 4364493, -5808, -6288, 1408
1707712345165, 4364503, -5776, -6576, 1312
1707712345175, 4364513, -5728, -6800, 1248
1707712345185, 4364523, -5616, -6896, 1184
1707712345195, 4364533, -5424, -7184, 1296
1707712345205, 4364543, -5392, -7376, 1344
1707712345215, 4364553, -5264, -7552, 1440
1707712345225, 4364563, -5200, -7680, 1632
1707712345235, 4364573, -5136, -7664, 1600
1707712345245, 4364583, -5168, -7536, 1552
1707712345255, 4364593, -5136, -7280, 1536
1707712345265, 4364603, -5184, -7152, 1504
1707712345275, 4364613, -5152, -6912, 1472
1707712345285, 4364623, -5168, -6752, 1376
1707712345295, 4364633, -5072, -6832, 1536
1707712345305, 4364643, -5152, -6800, 1760
1707712345315, 4364653, -5120, -6944, 2000
1707712345325, 4364663, -5008, -7072, 2176
1707712345335, 4364673, -4944, -7120, 2208
1707712345345, 4364683, -5088, -7344, 2304
1707712345355, 4364693, -5200, -7328, 2272
1707712345365, 4364703, -5328, -7376, 2192
1707712345375, 4364713, -5504, -7280, 1984
1707712345385, 4364723, -5648, -7136, 1776
1707712345395, 4364733, -5856, -6960, 1600
1707712345405, 4364743, -5936, -6816, 1312
1707712345415, 4364753, -5776, -6896, 832
1707712345425, 4364763, -5808, -8048, 592
1707712345435, 4364773, -5488, -8544, 32
1707712345445, 4364783, -4880, -8464, -592
1707712345455, 4364793, -4384, -8464, -976
1707712345465, 4364803, -4128, -8368, -1136
1707712345475, 4364813, -3920, -8176, -1344
1707712345485, 4364823, -3888, -8160, -1280
1707712345495, 4364833, -3888, -8192, -1568
1707712345505, 4364843, -3776, -8160, -1712
1707712345515, 4364853, -3552, -7936, -2032
1707712345525, 4364863, -3360, -7776, -2256
1707712345535, 4364873, -3280, -7424, -2448
1707712345545, 4364883, -2832, -7632, -2672
1707712345555, 4364893, -2688, -7616, -2960
1707712345565, 4364903, -2368, -7744, -3264
1707712345575, 4364913, -2192, -7728, -3472
1707712345585, 4364923, -2016, -7616, -3616
1707712345595, 4364933, -2064, -7824, -3120
1707712345605, 4364943, -2128, -7952, -2080
1707712345615, 4364953, -2208, -8064, -1136
1707712345625, 4364963, -2400, -8176, -432
1707712345635, 4364973, -2608, -7984, -80
1707712345645, 4364983, -2816, -8160, 224
1707712345655, 4364993, -2864, -8176, 528
1707712345665, 4365003, -2976, -8224, 880
1707712345675, 4365013, -3152, -8400, 1120
1707712345685, 4365023, -3232, -8448, 1392
1707712345695, 4365033, -3360, -8400, 1280
1707712345705, 4365043, -3456, -8464, 1184
1707712345715, 4365053, -3632, -8496, 1072
1707712345725, 4365063, -3728, -8688, 864
1707712345735, 4365073, -3872, -8592, 656
1707712345745, 4365083, -3840, -8496, 384
1707712345755, 4365093, -3936, -8496, 240
1707712345765, 4365103, -4096, -8448, 80
1707712345775, 4365113, -4336, -8480, 48
1707712345785, 4365123, -4640, -8512, 80
1707712345795, 4365133, -4928, -8464, 176
1707712345805, 4365143, -5216, -8496, 352
1707712345815, 4365153, -5408, -8544, 384
1707712345825, 4365163, -5664, -8560, 352
1707712345835, 4365173, -5808, -8640, 176
1707712345845, 4365183, -5792, -8864, -32
1707712345855, 4365193, -5872, -8992, -176
1707712345865, 4365203, -6080, -9104, -80
1707712345875, 4365213, -6208, -9440, 144
1707712345885, 4365223, -6464, -9600, 512
1707712345895, 4365233, -6608, -9872, 1024
1707712345905, 4365243, -6848, -10128, 1488
1707712345915, 4365253, -6992, -10288, 1728
1707712345925, 4365263, -7040, -10336, 1808
1707712345935, 4365273, -7136, -10288, 1792
1707712345945, 4365283, -7280, -10112, 1904
1707712345955, 4365293, -7376, -10048, 2064
1707712345965, 4365303, -7424, -9792, 2000
1707712345975, 4365313, -7440, -9552, 1840
1707712345985, 4365323, -7536, -9552, 1728
1707712345995, 4365333, -7456, -9520, 1456
1707712346005, 4365343, -7376, -9632, 1040
1707712346015, 4365353, -7296, -9776, 704
1707712346025, 4365363, -7104, -9824, 480
1707712346035, 4365373, -7296, -9888, 320
1707712346045, 4365383, -7312, -10016, 464
1707712346055, 4365393, -7472, -10160, 624
1707712346065, 4365403, -7392, -10144, 832
1707712346075, 4365413, -7408, -10160, 1040
1707712346085, 4365423, -7312, -10352, 1200
1707712346095, 4365433, -7040, -10448, 1104
1707712346105, 4365443, -6800, -10560, 880
1707712346115, 4365453, -6512, -10704, 688
1707712346125, 4365463, -6272, -10720, 304
1707712346135, 4365473, -6016, -10576, 0
1707712346145, 4365483, -5840, -10464, -144
1707712346155, 4365493, -5632, -10480, -144
1707712346165, 4365503, -5456, -10464, -224
1707712346175, 4365513, -5248, -10464, -208
1707712346185, 4365523, -4912, -10272, -352
1707712346195, 4365533, -4672, -10272, -288
1707712346205, 4365543, -4400, -10208, -288
1707712346215, 4365553, -4144, -10048, -224
1707712346225, 4365563, -3904, -9920, 80
1707712346235, 4365573, -3520, -9744, 240
1707712346245, 4365583, -3168, -9456, 304
1707712346255, 4365593, -2848, -9168, 400
1707712346265, 4365603, -2672, -8912, 640
1707712346275, 4365613, -2448, -8560, 1200
1707712346285, 4365623, -2048, -8224, 1440
1707712346295, 4365633, -1888, -7776, 1440
1707712346305, 4365643, -1664, -7168, 1232
1707712346315, 4365653, -1488, -6656, 1152
1707712346325, 4365663, -1408, -6176, 1424
1707712346335, 4365673, -944, -5600, 1776
1707712346345, 4365683, -992, -5248, 2176
1707712346355, 4365693, -848, -4592, 2464
1707712346365, 4365703, -656, -3936, 2896
1707712346375, 4365713, -384, -3408, 3440
1707712346385, 4365723, -16, -3072, 3856
1707712346395, 4365733, 352, -2544, 4128
1707712346405, 4365743, 672, -2112, 3952
1707712346415, 4365753, 1104, -1840, 4128
1707712346425, 4365763, 1104, -1584, 4160
1707712346435, 4365773, 1360, -1488, 4032
1707712346445, 4365783, 1712, -1440, 3824
1707712346455, 4365793, 2048, -1232, 3632
1707712346465, 4365803, 2320, -1264, 3264
1707712346475, 4365813, 2800, -1424, 2816
1707712346485, 4365823, 3088, -1488, 2352
