Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707712847052, 4866393, -3504, -6000, 3216
1707712847062, 4866403, -3536, -6048, 3200
1707712847072, 4866413, -3504, -6000, 3280
1707712847082, 4866423, -3472, -6032, 3312
1707712847092, 4866433, -3440, -5984, 3328
1707712847102, 4866443, -3520, -6048, 3344
1707712847112, 4866453, -3520, -6016, 3376
1707712847122, 4866463, -3584, -5952, 3424
1707712847132, 4866473, -3568, -5936, 3472
1707712847142, 4866483, -3552, -5952, 3552
1707712847152, 4866493, -3552, -5920, 3600
1707712847162, 4866503, -3520, -5968, 3600
1707712847172, 4866513, -3504, -5920, 3584
1707712847182, 4866523, -3520, -5792, 3632
1707712847192, 4866533, -3472, -5776, 3632
1707712847202, 4866543, -3488, -5696, 3584
1707712847212, 4866553, -3536, -5712, 3600
1707712847222, 4866563, -3568, -5696, 3584
1707712847232, 4866573, -3648, -5632, 3536
1707712847242, 4866583, -3696, -5552, 3568
1707712847252, 4866593, -3648, -5552, 3584
1707712847262, 4866603, -3568, -5520, 3520
1707712847272, 4866613, -3552, -5600, 3536
1707712847282, 4866623, -3536, -5648, 3680
1707712847292, 4866633, -3472, -5728, 3776
1707712847302, 4866643, -3440, -5760, 3824
1707712847312, 4866653, -3488, -5824, 4016
1707712847322, 4866663, -3344, -6096, 3872
1707712847332, 4866673, -3184, -6256, 4128
1707712847342, 4866683, -3184, -6416, 4208
1707712847352, 4866693, -3040, -6688, 4384
1707712847362, 4866703, -2896, -6848, 4720
1707712847372, 4866713, -2800, -7024, 5120
1707712847382, 4866723, -2688, -7328, 5504
1707712847392, 4866733, -2656, -7728, 5824
1707712847402, 4866743, -2560, -8096, 6160
1707712847412, 4866753, -2640, -8592, 6384
1707712847422, 4866763, -2720, -9040, 6512
1707712847432, 4866773, -2800, -9440, 6368
1707712847442, 4866783, -2832, -9680, 5904
1707712847452, 4866793, -2848, -9664, 5584
1707712847462, 4866803, -2864, -9664, 5184
1707712847472, 4866813, -3040, -9744, 4928
1707712847482, 4866823, -3200, -9808, 4864
1707712847492, 4866833, -3264, -9792, 4688
1707712847502, 4866843, -3280, -9744, 4720
1707712847512, 4866853, -3296, -9648, 4640
1707712847522, 4866863, -3312, -9328, 4592
1707712847532, 4866873, -3408, -9056, 4704
1707712847542, 4866883, -3456, -8752, 5088
1707712847552, 4866893, -3440, -8752, 5616
1707712847562, 4866903, -3408, -8816, 6288
1707712847572, 4866913, -3280, -9040, 6800
1707712847582, 4866923, -3104, -8928, 6720
1707712847592, 4866933, -3024, -8752, 6448
1707712847602, 4866943, -3024, -8560, 5856
1707712847612, 4866953, -2704, -8240, 5136
1707712847622, 4866963, -2352, -7808, 4576
1707712847632, 4866973, -2224, -7664, 4160
1707712847642, 4866983, -2032, -7696, 4256
1707712847652, 4866993, -1728, -7360, 3840
1707712847662, 4867003, -1888, -7424, 3744
1707712847672, 4867013, -1600, -7360, 4064
1707712847682, 4867023, -1536, -7408, 4176
1707712847692, 4867033, -1392, -7456, 4208
1707712847702, 4867043, -1216, -7392, 4096
1707712847712, 4867053, -1168, -7216, 3952
1707712847722, 4867063, -624, -6928, 3520
1707712847732, 4867073, -416, -6576, 3200
1707712847742, 4867083, -432, -6352, 3088
1707712847752, 4867093, -592, -6448, 3312
1707712847762, 4867103, -336, -6336, 3616
1707712847772, 4867113, -448, -5936, 3824
1707712847782, 4867123, -64, -5888, 4416
1707712847792, 4867133, 192, -5536, 4480
1707712847802, 4867143, 304, -5712, 4528
1707712847812, 4867153, 368, -6192, 4480
1707712847822, 4867163, 512, -6320, 4240
1707712847832, 4867173, 640, -6272, 3744
1707712847842, 4867183, 928, -6176, 3056
1707712847852, 4867193, 1072, -6208, 2576
1707712847862, 4867203, 1280, -6272, 2272
1707712847872, 4867213, 1312, -6400, 2208
1707712847882, 4867223, 1248, -6432, 2064
1707712847892, 4867233, 1280, -6432, 1936
1707712847902, 4867243, 1280, -7264, 1680
1707712847912, 4867253, 1216, -6240, 1760
1707712847922, 4867263, 1616, -5072, 1536
1707712847932, 4867273, 1600, -4864, 1920
1707712847942, 4867283, 2032, -4336, 1856
1707712847952, 4867293, 2192, -4560, 1840
1707712847962, 4867303, 2432, -4800, 1824
1707712847972, 4867313, 2608, -5456, 1824
1707712847982, 4867323, 3136, -5664, 1872
1707712847992, 4867333, 3536, -6320, 2080
1707712848002, 4867343, 3872, -7136, 2512
1707712848012, 4867353, 4176, -7376, 2976
1707712848022, 4867363, 4608, -7184, 3184
1707712848032, 4867373, 4768, -6784, 3136
1707712848042, 4867383, 5024, -6672, 2896
1707712848052, 4867393, 5424, -6544, 2432
1707712848062, 4867403, 5648, -6400, 2080
1707712848072, 4867413, 5888, -6192, 1872
1707712848082, 4867423, 5808, -6240, 1984
1707712848092, 4867433, 5888, -6384, 2432
1707712848102, 4867443, 5936, -6608, 2960
1707712848112, 4867453, 6048, -6688, 3184
1707712848122, 4867463, 6016, -6784, 3120
1707712848132, 4867473, 6112, -6688, 3072
1707712848142, 4867483, 6416, -6720, 3088
1707712848152, 4867493, 6400, -6624, 3152
1707712848162, 4867503, 6416, -6544, 3056
1707712848172, 4867513, 6512, -6256, 2976
1707712848182, 4867523, 6560, -6160, 2976
1707712848192, 4867533, 6736, -5984, 2784
1707712848202, 4867543, 6608, -5680, 2832
1707712848212, 4867553, 6432, -5296, 2784
1707712848222, 4867563, 6336, -5280, 2736
1707712848232, 4867573, 6352, -4960, 2512
1707712848242, 4867583, 6544, -4864, 2272
1707712848252, 4867593, 6768, -4912, 1936
1707712848262, 4867603, 6720, -4736, 1824
1707712848272, 4867613, 6688, -4560, 1696
1707712848282, 4867623, 6656, -4288, 1680
1707712848292, 4867633, 6640, -4000, 1424
1707712848302, 4867643, 6848, -3696, 928
1707712848312, 4867653, 7024, -3616, 416
1707712848322, 4867663, 7104, -3520, -96
1707712848332, 4867673, 6912, -3248, -288
1707712848342, 4867683, 6992, -3056, -352
1707712848352, 4867693, 6848, -2992, -432
1707712848362, 4867703, 7008, -2688, -624
1707712848372, 4867713, 6992, -2752, -800
1707712848382, 4867723, 6928, -2672, -976
1707712848392, 4867733, 7088, -2848, -1120
1707712848402, 4867743, 7152, -2784, -1440
1707712848412, 4867753, 7232, -2736, -1568
1707712848422, 4867763, 7200, -2912, -1664
1707712848432, 4867773, 7104, -2880, -1648
1707712848442, 4867783, 6960, -3168, -1520
1707712848452, 4867793, 6896, -3312, -1664
1707712848462, 4867803, 6832, -3440, -2032
1707712848472, 4867813, 6688, -3584, -2512
1707712848482, 4867823, 6480, -3520, -2752
1707712848492, 4867833, 6480, -3424, -2928
1707712848502, 4867843, 6288, -3200, -2864
1707712848512, 4867853, 5968, -3120, -3056
1707712848522, 4867863, 5808, -3072, -3216
1707712848532, 4867873, 5584, -3072, -3632
1707712848542, 4867883, 5456, -3136, -4080
1707712848552, 4867893, 5248, -2896, -4608
1707712848562, 4867903, 5184, -2768, -4848
1707712848572, 4867913, 4992, -2688, -4848
1707712848582, 4867923, 4832, -2656, -4800
1707712848592, 4867933, 4656, -2672, -4896
1707712848602, 4867943, 4656, -2736, -5136
1707712848612, 4867953, 4592, -2720, -5392
1707712848622, 4867963, 4432, -2560, -5648
1707712848632, 4867973, 4288, -2224, -6048
1707712848642, 4867983, 4272, -2080, -6416
1707712848652, 4867993, 4144, -2000, -6592
1707712848662, 4868003, 4048, -1760, -6576
1707712848672, 4868013, 3856, -1760, -6496
1707712848682, 4868023, 3712, -1696, -6480
1707712848692, 4868033, 3648, -1840, -6640
1707712848702, 4868043, 3488, -2080, -6816
1707712848712, 4868053, 3248, -2160, -7024
1707712848722, 4868063, 3072, -2176, -7152
1707712848732, 4868073, 2848, -2144, -7184
1707712848742, 4868083, 2496, -2064, -7184
1707712848752, 4868093, 2208, -1840, -7088
1707712848762, 4868103, 2000, -1680, -7248
1707712848772, 4868113, 1648, -1472, -7536
1707712848782, 4868123, 1280, -1008, -7776
1707712848792, 4868133, 864, -432, -7888
1707712848802, 4868143, 384, 320, -7824
1707712848812, 4868153, 192, 944, -7360
1707712848822, 4868163, 32, 1184, -6816
1707712848832, 4868173, 32, 1456, -6688
1707712848842, 4868183, 0, 1616, -6880
1707712848852, 4868193, -16, 1872, -7344
1707712848862, 4868203, 80, 1872, -7712
1707712848872, 4868213, 128, 1728, -7712
1707712848882, 4868223, -16, 2032, -7648
1707712848892, 4868233, -288, 2224, -7312
1707712848902, 4868243, -672, 2448, -6992
1707712848912, 4868253, -992, 2928, -6752
1707712848922, 4868263, -1184, 3216, -6784
1707712848932, 4868273, -1360, 3232, -6976
1707712848942, 4868283, -1520, 3344, -7248
1707712848952, 4868293, -1664, 3488, -7504
1707712848962, 4868303, -1904, 3600, -7616
1707712848972, 4868313, -2224, 3952, -7712
1707712848982, 4868323, -2400, 4144, -7696
1707712848992, 4868333, -2480, 4128, -7664
1707712849002, 4868343, -2704, 4208, -7648
1707712849012, 4868353, -2672, 4016, -7712
1707712849022, 4868363, -2848, 3888, -7840
1707712849032, 4868373, -3200, 3952, -7968
1707712849042, 4868383, -3616, 4336, -8096
1707712849052, 4868393, -3984, 4816, -7632
1707712849062, 4868403, -4304, 5168, -6944
1707712849072, 4868413, -4416, 5120, -6544
1707712849082, 4868423, -4352, 5136, -7008
1707712849092, 4868433, -4304, 5232, -7840
1707712849102, 4868443, -4416, 5536, -8416
1707712849112, 4868453, -4512, 5792, -8256
1707712849122, 4868463, -4832, 6000, -7728
1707712849132, 4868473, -5104, 6000, -7072
1707712849142, 4868483, -5360, 6048, -6416
1707712849152, 4868493, -5408, 6096, -5936
1707712849162, 4868503, -5280, 6064, -5968
1707712849172, 4868513, -5184, 6256, -6224
1707712849182, 4868523, -5248, 6592, -6528
1707712849192, 4868533, -5280, 6736, -6480
1707712849202, 4868543, -5248, 6800, -6512
1707712849212, 4868553, -5216, 6672, -6320
1707712849222, 4868563, -5200, 6400, -5808
1707712849232, 4868573, -5248, 6272, -5424
1707712849242, 4868583, -5248, 6368, -5232
1707712849252, 4868593, -5088, 6432, -5072
1707712849262, 4868603, -4848, 6256, -4992
1707712849272, 4868613, -4592, 6112, -4992
1707712849282, 4868623, -4448, 5936, -5040
1707712849292, 4868633, -4368, 5904, -4784
1707712849302, 4868643, -4288, 6032, -4512
1707712849312, 4868653, -4320, 6128, -4208
1707712849322, 4868663, -4272, 6192, -3904
1707712849332, 4868673, -4192, 6096, -3680
1707712849342, 4868683, -4000, 6096, -3680
1707712849352, 4868693, -3840, 6016, -3808
1707712849362, 4868703, -3776, 5712, -3824
1707712849372, 4868713, -3664, 5584, -3584
1707712849382, 4868723, -3696, 5504, -3040
1707712849392, 4868733, -3600, 5264, -2624
1707712849402, 4868743, -3280, 4896, -2224
1707712849412, 4868753, -3056, 4736, -1584
1707712849422, 4868763, -2752, 4976, -1424
1707712849432, 4868773, -2448, 5072, -1552
1707712849442, 4868783, -2080, 5296, -1840
1707712849452, 4868793, -1744, 5424, -2192
1707712849462, 4868803, -1456, 5136, -2352
1707712849472, 4868813, -1168, 4736, -2272
1707712849482, 4868823, -960, 4976, -2288
1707712849492, 4868833, -864, 4976, -2208
1707712849502, 4868843, -848, 4768, -1936
1707712849512, 4868853, -608, 4768, -1776
1707712849522, 4868863, -480, 4752, -1696
1707712849532, 4868873, -400, 4336, -1744
1707712849542, 4868883, -272, 3888, -1600
1707712849552, 4868893, -144, 3568, -1456
1707712849562, 4868903, -144, 3408, -1536
1707712849572, 4868913, -160, 3312, -1840
1707712849582, 4868923, -400, 2928, -2112
1707712849592, 4868933, -608, 2096, -2016
1707712849602, 4868943, -672, 1152, -1664
1707712849612, 4868953, -784, 752, -1232
1707712849622, 4868963, -1184, 48, -992
1707712849632, 4868973, -1264, -2048, -240
1707712849642, 4868983, -1264, -4048, 944
1707712849652, 4868993, -1232, -4624, 2080
1707712849662, 4869003, -704, -5424, 2608
1707712849672, 4869013, -48, -6496, 3136
1707712849682, 4869023, 128, -6752, 3264
1707712849692, 4869033, 704, -6960, 3040
1707712849702, 4869043, 912, -8000, 2912
1707712849712, 4869053, 544, -9488, 3152
1707712849722, 4869063, 512, -11088, 3856
1707712849732, 4869073, 784, -13088, 4784
1707712849742, 4869083, 1536, -15776, 7088
1707712849752, 4869093, 3888, -16720, 8464
1707712849762, 4869103, 4704, -16640, 9184
1707712849772, 4869113, 5984, -16224, 8704
1707712849782, 4869123, 6416, -16032, 8192
1707712849792, 4869133, 7008, -16512, 6576
1707712849802, 4869143, 7696, -16400, 5216
1707712849812, 4869153, 8176, -15808, 4032
1707712849822, 4869163, 8176, -14544, 3184
1707712849832, 4869173, 7664, -13136, 2720
1707712849842, 4869183, 6400, -12176, 2864
1707712849852, 4869193, 5840, -10688, 2944
1707712849862, 4869203, 5872, -8944, 2720
1707712849872, 4869213, 5920, -8016, 2208
1707712849882, 4869223, 6048, -7824, 1472
1707712849892, 4869233, 5360, -8144, 1168
1707712849902, 4869243, 4960, -8320, 1152
1707712849912, 4869253, 5280, -8528, 848
1707712849922, 4869263, 5456, -8848, 1152
1707712849932, 4869273, 5664, -9072, 1600
1707712849942, 4869283, 5696, -9536, 2128
1707712849952, 4869293, 5952, -9760, 2512
1707712849962, 4869303, 5520, -9936, 2896
1707712849972, 4869313, 5200, -10080, 3168
1707712849982, 4869323, 5264, -9824, 3168
1707712849992, 4869333, 5136, -9712, 2960
1707712850002, 4869343, 4848, -9472, 2416
1707712850012, 4869353, 4816, -9072, 1744
1707712850022, 4869363, 5424, -8416, 992
1707712850032, 4869373, 5504, -8288, 688
1707712850042, 4869383, 5296, -8192, 992
1707712850052, 4869393, 5024, -8208, 1616
