Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707712511734, 4531073, -3856, -5952, 3472
1707712511744, 4531083, -3840, -6016, 3472
1707712511754, 4531093, -3936, -6032, 3472
1707712511764, 4531103, -3952, -5984, 3328
1707712511774, 4531113, -3904, -5936, 3344
1707712511784, 4531123, -3824, -5824, 3296
1707712511794, 4531133, -3824, -5744, 3296
1707712511804, 4531143, -3840, -5744, 3360
1707712511814, 4531153, -3904, -5776, 3296
1707712511824, 4531163, -3984, -5760, 3264
1707712511834, 4531173, -4000, -5792, 3312
1707712511844, 4531183, -4080, -5760, 3264
1707712511854, 4531193, -4176, -5840, 3248
1707712511864, 4531203, -4240, -5712, 3168
1707712511874, 4531213, -4272, -5632, 3168
1707712511884, 4531223, -4320, -5744, 3312
1707712511894, 4531233, -4416, -5792, 3456
1707712511904, 4531243, -4464, -5904, 3712
1707712511914, 4531253, -4320, -5936, 3824
1707712511924, 4531263, -4256, -5952, 3872
1707712511934, 4531273, -4192, -5888, 3888
1707712511944, 4531283, -4080, -5872, 3904
1707712511954, 4531293, -4032, -5936, 3856
1707712511964, 4531303, -4032, -6000, 3824
1707712511974, 4531313, -4032, -5920, 3664
1707712511984, 4531323, -4064, -5792, 3536
1707712511994, 4531333, -4048, -5584, 3280
1707712512004, 4531343, -4128, -5552, 3168
1707712512014, 4531353, -4240, -5344, 3072
1707712512024, 4531363, -4224, -5328, 3024
1707712512034, 4531373, -4288, -5344, 2864
1707712512044, 4531383, -4288, -5296, 2912
1707712512054, 4531393, -4304, -5264, 2800
1707712512064, 4531403, -4336, -5184, 2784
1707712512074, 4531413, -4448, -5248, 2752
1707712512084, 4531423, -4432, -5168, 2864
1707712512094, 4531433, -4320, -5200, 3024
1707712512104, 4531443, -4304, -5296, 3216
1707712512114, 4531453, -4304, -5536, 3504
1707712512124, 4531463, -4304, -5936, 3760
1707712512134, 4531473, -4192, -6192, 3840
1707712512144, 4531483, -4208, -6400, 3872
1707712512154, 4531493, -4240, -6448, 3872
1707712512164, 4531503, -4112, -6496, 3792
1707712512174, 4531513, -4032, -6704, 3680
1707712512184, 4531523, -4000, -7088, 3664
1707712512194, 4531533, -4064, -7536, 3664
1707712512204, 4531543, -4000, -7776, 3904
1707712512214, 4531553, -3776, -7888, 3472
1707712512224, 4531563, -3696, -8048, 3216
