Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707713679229, 5698573, -832, -2544, 8624
1707713679239, 5698583, -816, -2720, 8656
1707713679249, 5698593, -544, -2832, 8544
1707713679259, 5698603, -320, -2704, 8224
1707713679269, 5698613, 0, -2784, 8032
1707713679279, 5698623, 48, -2928, 7744
1707713679289, 5698633, 128, -2768, 7632
1707713679299, 5698643, 272, -2480, 7600
1707713679309, 5698653, 352, -2256, 7568
1707713679319, 5698663, 608, -2160, 7440
1707713679329, 5698673, 304, -1840, 7488
1707713679339, 5698683, 592, -1120, 7536
1707713679349, 5698693, 768, -1424, 7408
1707713679359, 5698703, 560, -864, 7392
1707713679369, 5698713, 832, -816, 7392
1707713679379, 5698723, 688, -640, 7376
1707713679389, 5698733, 976, -560, 7392
1707713679399, 5698743, 896, -432, 7680
1707713679407, 5698753, 1056, 0, 7696
1707713679419, 5698763, 1152, -32, 7776
1707713679429, 5698773, 1296, -224, 7872
1707713679439, 5698783, 1088, 224, 7744
1707713679449, 5698793, 1328, 400, 7808
1707713679459, 5698803, 1280, 496, 7856
1707713679469, 5698813, 1552, 656, 7488
1707713679479, 5698823, 1360, 560, 8208
1707713679489, 5698833, 1440, 976, 8192
1707713679499, 5698843, 1504, 1056, 8128
1707713679509, 5698853, 1440, 1200, 8128
1707713679519, 5698863, 1408, 1440, 8240
1707713679529, 5698873, 1632, 1344, 8064
1707713679539, 5698883, 1808, 1248, 7856
1707713679549, 5698893, 2096, 1184, 7536
1707713679559, 5698903, 1776, 1264, 7888
1707713679569, 5698913, 1792, 1968, 7776
1707713679579, 5698923, 2048, 1888, 7376
1707713679589, 5698933, 2032, 2080, 7392
1707713679599, 5698943, 2112, 2128, 7232
1707713679609, 5698953, 2368, 2032, 6800
1707713679619, 5698963, 2448, 1920, 6640
1707713679629, 5698973, 2592, 1792, 6656
1707713679639, 5698983, 2752, 1504, 6512
1707713679649, 5698993, 2912, 1488, 6496
1707713679659, 5699003, 3104, 1616, 6640
1707713679669, 5699013, 3008, 1696, 6768
1707713679679, 5699023, 3008, 1680, 6880
1707713679689, 5699033, 3072, 1728, 6800
1707713679699, 5699043, 3040, 1856, 6752
1707713679709, 5699053, 2880, 2144, 6704
1707713679719, 5699063, 2720, 2576, 6800
1707713679729, 5699073, 2624, 2912, 6912
1707713679739, 5699083, 2544, 2704, 7200
1707713679749, 5699093, 2656, 3088, 7200
1707713679759, 5699103, 2176, 2880, 8160
1707713679769, 5699113, 2464, 3872, 7296
1707713679779, 5699123, 2432, 3840, 7472
1707713679789, 5699133, 2688, 3616, 6528
1707713679799, 5699143, 2960, 3200, 6080
1707713679809, 5699153, 3264, 2560, 5488
1707713679819, 5699163, 3392, 2336, 5248
1707713679829, 5699173, 3520, 2208, 5200
1707713679839, 5699183, 3584, 2192, 5168
1707713679849, 5699193, 3600, 2592, 5168
1707713679859, 5699203, 3616, 2560, 5264
1707713679869, 5699213, 3600, 2832, 5248
1707713679879, 5699223, 3504, 3104, 5296
1707713679889, 5699233, 3456, 3264, 5280
1707713679899, 5699243, 3328, 3520, 5424
1707713679909, 5699253, 3264, 3872, 5424
1707713679919, 5699263, 3184, 4048, 5488
1707713679929, 5699273, 3232, 3984, 5568
1707713679939, 5699283, 3344, 3808, 5568
1707713679949, 5699293, 3440, 3504, 5344
1707713679959, 5699303, 3536, 3488, 5296
1707713679969, 5699313, 3488, 3456, 5120
1707713679979, 5699323, 3680, 3456, 4976
1707713679989, 5699333, 3760, 3120, 4848
1707713679999, 5699343, 3696, 3680, 4864
1707713680009, 5699353, 3488, 3936, 5056
1707713680019, 5699363, 3344, 4096, 4928
1707713680029, 5699373, 3312, 4256, 4976
1707713680039, 5699383, 3408, 4096, 4800
1707713680049, 5699393, 3536, 3696, 4816
1707713680059, 5699403, 3568, 3456, 4720
1707713680069, 5699413, 3424, 3392, 4864
1707713680079, 5699423, 3152, 3456, 4960
1707713680089, 5699433, 3072, 3808, 4848
1707713680099, 5699443, 2944, 3840, 4784
1707713680109, 5699453, 2944, 3984, 4576
1707713680119, 5699463, 2784, 4016, 4512
1707713680129, 5699473, 2784, 3888, 4160
1707713680139, 5699483, 2736, 3984, 3808
1707713680149, 5699493, 2448, 4176, 3680
1707713680159, 5699503, 2160, 4464, 3600
1707713680169, 5699513, 2016, 4800, 3680
1707713680179, 5699523, 1888, 4960, 3968
1707713680189, 5699533, 1968, 5120, 4240
1707713680199, 5699543, 1888, 5008, 4304
1707713680209, 5699553, 1920, 4736, 4592
1707713680219, 5699563, 1840, 4624, 4592
1707713680229, 5699573, 1888, 4592, 4560
1707713680239, 5699583, 1984, 4368, 4736
1707713680249, 5699593, 1904, 4400, 5024
1707713680259, 5699603, 1856, 4512, 5312
1707713680269, 5699613, 1648, 4608, 5488
1707713680279, 5699623, 1520, 4608, 5536
1707713680289, 5699633, 1312, 4624, 5600
1707713680299, 5699643, 1264, 4912, 5328
1707713680309, 5699653, 1200, 5184, 5200
1707713680319, 5699663, 1104, 5504, 5088
1707713680329, 5699673, 1120, 5600, 5072
1707713680339, 5699683, 1248, 5280, 5104
1707713680349, 5699693, 1424, 4992, 5280
1707713680359, 5699703, 1392, 4832, 5552
1707713680369, 5699713, 1344, 4944, 5648
1707713680379, 5699723, 1280, 4992, 5840
1707713680389, 5699733, 1136, 5088, 6032
1707713680399, 5699743, 1104, 5232, 6400
1707713680409, 5699753, 928, 5360, 6496
1707713680419, 5699763, 848, 5648, 6592
1707713680429, 5699773, 560, 5872, 6640
1707713680439, 5699783, 448, 6112, 6512
1707713680449, 5699793, 320, 6432, 6448
1707713680459, 5699803, 192, 6688, 6400
1707713680469, 5699813, 144, 6784, 6400
1707713680479, 5699823, 128, 6912, 6192
1707713680489, 5699833, 160, 6720, 6000
1707713680499, 5699843, 144, 6416, 5968
1707713680509, 5699853, 240, 6144, 5728
1707713680519, 5699863, 640, 5632, 5568
1707713680529, 5699873, 1072, 5040, 5728
1707713680539, 5699883, 1440, 4704, 5984
1707713680549, 5699893, 1616, 4368, 6032
1707713680559, 5699903, 1648, 4144, 5824
1707713680569, 5699913, 1664, 4128, 5376
1707713680579, 5699923, 1680, 4208, 4960
1707713680589, 5699933, 1744, 4448, 4608
1707713680599, 5699943, 1808, 4624, 4400
1707713680609, 5699953, 1792, 4432, 4176
1707713680619, 5699963, 1904, 4208, 4368
1707713680629, 5699973, 2000, 3952, 4448
1707713680639, 5699983, 2240, 3408, 4560
1707713680649, 5699993, 2528, 2688, 4704
1707713680659, 5700003, 2896, 2112, 4640
1707713680669, 5700013, 3280, 1424, 4512
1707713680679, 5700023, 3616, 816, 4544
1707713680689, 5700033, 3968, 432, 4592
1707713680699, 5700043, 4192, 192, 4672
1707713680709, 5700053, 4352, 32, 4736
1707713680719, 5700063, 4512, 32, 4736
1707713680729, 5700073, 4624, -80, 4640
1707713680739, 5700083, 4752, -96, 4496
1707713680749, 5700093, 4688, -16, 4480
1707713680759, 5700103, 4544, 128, 4480
1707713680769, 5700113, 4576, 224, 4560
1707713680779, 5700123, 4736, -96, 4624
1707713680789, 5700133, 4864, -432, 4672
1707713680799, 5700143, 5040, -608, 4832
1707713680809, 5700153, 5072, -896, 4864
1707713680819, 5700163, 5040, -1056, 4800
1707713680829, 5700173, 5040, -1120, 4640
1707713680839, 5700183, 5152, -1120, 4496
1707713680849, 5700193, 5008, -1264, 4368
1707713680859, 5700203, 4944, -1248, 4384
1707713680869, 5700213, 5040, -1408, 4384
1707713680879, 5700223, 4880, -1440, 4464
1707713680889, 5700233, 4784, -1408, 4608
1707713680899, 5700243, 4752, -1584, 4720
1707713680909, 5700253, 4768, -1968, 4896
1707713680919, 5700263, 4784, -2416, 4768
1707713680929, 5700273, 4832, -2896, 4640
1707713680939, 5700283, 4896, -3104, 4448
1707713680949, 5700293, 4864, -3328, 4400
1707713680959, 5700303, 4784, -3552, 4576
1707713680969, 5700313, 4736, -3584, 4800
1707713680979, 5700323, 4624, -3744, 5040
1707713680989, 5700333, 4544, -4080, 5296
1707713680999, 5700343, 4624, -4592, 5200
1707713681009, 5700353, 4608, -4832, 5008
1707713681019, 5700363, 4608, -4992, 4784
1707713681029, 5700373, 4544, -5168, 4544
1707713681039, 5700383, 4400, -5424, 4352
1707713681049, 5700393, 4256, -5584, 4128
1707713681059, 5700403, 4192, -5520, 4208
1707713681069, 5700413, 3920, -5488, 4416
1707713681079, 5700423, 3824, -5616, 4704
1707713681089, 5700433, 3616, -5840, 4784
1707713681099, 5700443, 3632, -6112, 4784
1707713681109, 5700453, 3840, -6608, 4656
1707713681119, 5700463, 3728, -7024, 4464
1707713681129, 5700473, 3696, -6720, 4096
1707713681139, 5700483, 3472, -7120, 4144
1707713681149, 5700493, 3360, -7360, 4160
1707713681159, 5700503, 3328, -7440, 4400
1707713681169, 5700513, 3248, -7504, 4272
1707713681179, 5700523, 2864, -7696, 4752
1707713681189, 5700533, 2560, -7152, 5136
1707713681199, 5700543, 2512, -6832, 5296
1707713681209, 5700553, 2432, -7040, 5408
1707713681219, 5700563, 2464, -7264, 5264
1707713681229, 5700573, 2464, -7232, 4784
1707713681239, 5700583, 2512, -7456, 4544
1707713681249, 5700593, 2352, -7440, 4400
1707713681259, 5700603, 2192, -7136, 4432
1707713681269, 5700613, 1904, -6928, 4624
1707713681279, 5700623, 1728, -7040, 5024
1707713681289, 5700633, 1920, -7264, 5056
1707713681299, 5700643, 1776, -7696, 5184
1707713681309, 5700653, 1872, -7408, 5168
1707713681319, 5700663, 1600, -7344, 5264
1707713681329, 5700673, 1632, -6960, 5168
1707713681339, 5700683, 1424, -6784, 5232
1707713681349, 5700693, 1408, -6976, 5072
1707713681359, 5700703, 1328, -7184, 4832
1707713681369, 5700713, 1376, -6880, 4752
1707713681379, 5700723, 1328, -6752, 4752
1707713681389, 5700733, 1296, -7008, 4896
1707713681399, 5700743, 1440, -7072, 4768
1707713681409, 5700753, 1392, -7120, 4704
1707713681419, 5700763, 1488, -7232, 4784
1707713681429, 5700773, 1568, -7200, 4784
1707713681439, 5700783, 1568, -7104, 4816
1707713681449, 5700793, 1536, -7024, 4720
1707713681459, 5700803, 1472, -6880, 4704
1707713681469, 5700813, 1408, -6832, 4784
1707713681479, 5700823, 1312, -6640, 4896
1707713681489, 5700833, 1408, -6672, 5136
1707713681499, 5700843, 1536, -6768, 5440
1707713681509, 5700853, 1568, -6816, 5536
1707713681519, 5700863, 1584, -6944, 5584
1707713681529, 5700873, 1680, -6912, 5408
1707713681539, 5700883, 1760, -6768, 5312
1707713681549, 5700893, 1776, -6608, 5120
1707713681559, 5700903, 1872, -6368, 5216
1707713681569, 5700913, 1872, -6128, 5232
1707713681579, 5700923, 1904, -5920, 5360
1707713681589, 5700933, 1936, -5744, 5440
1707713681599, 5700943, 2048, -5520, 5440
