Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707712916022, 4935363, 912, -3728, 6976
1707712916032, 4935373, 928, -3664, 6832
1707712916042, 4935383, 800, -3504, 6928
1707712916052, 4935393, 736, -3472, 7152
1707712916062, 4935403, 672, -3504, 7248
1707712916072, 4935413, 528, -3456, 7456
1707712916082, 4935423, 352, -3472, 7472
1707712916092, 4935433, 352, -3600, 7440
1707712916102, 4935443, 272, -3536, 7408
1707712916112, 4935453, 304, -3792, 7456
1707712916122, 4935463, 352, -3872, 7360
1707712916132, 4935473, 368, -3952, 7264
1707712916142, 4935483, 416, -3936, 7280
1707712916152, 4935493, 336, -3888, 7264
1707712916162, 4935503, 304, -3808, 7280
1707712916172, 4935513, 352, -3696, 7344
1707712916182, 4935523, 272, -3872, 7504
1707712916192, 4935533, 96, -3840, 7680
1707712916202, 4935543, 0, -3824, 7936
1707712916212, 4935553, -80, -3920, 8368
1707712916222, 4935563, -240, -3984, 8576
1707712916232, 4935573, -352, -4096, 8672
1707712916242, 4935583, -368, -4368, 8640
1707712916252, 4935593, -352, -4816, 8624
1707712916262, 4935603, -256, -5296, 8496
1707712916272, 4935613, -96, -5856, 8320
1707712916282, 4935623, 0, -6304, 8048
1707712916292, 4935633, -32, -6416, 7872
1707712916302, 4935643, 16, -6400, 7776
1707712916312, 4935653, -32, -6336, 7536
1707712916322, 4935663, 48, -6400, 7392
1707712916332, 4935673, 32, -6544, 7232
1707712916342, 4935683, 80, -6720, 7168
1707712916352, 4935693, 16, -7056, 7104
1707712916362, 4935703, 144, -7248, 6912
1707712916372, 4935713, 112, -7360, 6784
1707712916382, 4935723, 208, -7552, 6672
1707712916392, 4935733, 320, -7664, 6528
1707712916402, 4935743, 384, -7648, 6368
1707712916412, 4935753, 384, -7616, 6192
1707712916422, 4935763, 320, -7648, 6176
1707712916432, 4935773, 384, -7520, 6224
1707712916442, 4935783, 512, -7664, 6384
1707712916452, 4935793, 576, -7744, 6368
1707712916462, 4935803, 640, -7824, 6320
1707712916472, 4935813, 720, -7904, 6208
1707712916482, 4935823, 816, -7968, 6128
1707712916492, 4935833, 752, -7824, 6032
1707712916502, 4935843, 832, -7728, 5840
1707712916512, 4935853, 864, -7648, 5776
1707712916522, 4935863, 944, -7536, 5648
1707712916532, 4935873, 848, -7264, 5472
1707712916542, 4935883, 832, -7264, 5392
1707712916552, 4935893, 816, -7200, 5280
1707712916562, 4935903, 864, -7152, 5104
1707712916572, 4935913, 1024, -7328, 5024
1707712916582, 4935923, 1168, -7440, 4832
1707712916592, 4935933, 1200, -7648, 4624
1707712916602, 4935943, 1360, -7888, 4464
1707712916612, 4935953, 1552, -7824, 4256
1707712916622, 4935963, 1488, -7760, 4096
1707712916632, 4935973, 1472, -7456, 4016
1707712916642, 4935983, 1488, -7152, 3936
1707712916652, 4935993, 1456, -7216, 3952
1707712916662, 4936003, 1600, -7136, 3936
1707712916672, 4936013, 1536, -7280, 3904
1707712916682, 4936023, 1504, -7312, 3840
1707712916692, 4936033, 1664, -7504, 3760
1707712916702, 4936043, 1680, -7600, 3696
1707712916712, 4936053, 1728, -7584, 3616
1707712916722, 4936063, 1744, -7568, 3408
1707712916732, 4936073, 1824, -7632, 3424
1707712916742, 4936083, 1792, -7584, 3296
1707712916752, 4936093, 1776, -7616, 3296
1707712916762, 4936103, 1760, -7456, 2912
1707712916772, 4936113, 1776, -7280, 2720
1707712916782, 4936123, 1776, -7360, 2288
1707712916792, 4936133, 2000, -7504, 2112
1707712916802, 4936143, 2112, -7392, 1824
1707712916812, 4936153, 2192, -7376, 1664
1707712916822, 4936163, 2320, -7104, 1408
1707712916832, 4936173, 2592, -6688, 1072
1707712916842, 4936183, 2800, -6576, 896
1707712916852, 4936193, 2848, -6512, 704
1707712916862, 4936203, 3024, -6352, 576
1707712916872, 4936213, 3024, -6080, 528
1707712916882, 4936223, 3072, -5792, 560
1707712916892, 4936233, 3216, -5392, 576
1707712916902, 4936243, 3200, -5168, 672
1707712916912, 4936253, 3296, -4944, 784
1707712916922, 4936263, 3552, -4768, 928
1707712916932, 4936273, 3696, -4640, 976
1707712916942, 4936283, 3792, -4656, 992
1707712916952, 4936293, 3808, -4528, 960
1707712916962, 4936303, 3920, -4400, 928
1707712916972, 4936313, 3936, -4320, 976
1707712916982, 4936323, 4096, -4272, 912
1707712916992, 4936333, 4304, -4192, 800
1707712917002, 4936343, 4416, -4192, 816
1707712917012, 4936353, 4400, -4224, 848
1707712917022, 4936363, 4416, -4176, 960
1707712917032, 4936373, 4400, -4144, 1152
1707712917042, 4936383, 4416, -4208, 1424
1707712917052, 4936393, 4608, -4272, 1456
1707712917062, 4936403, 4784, -4176, 1408
1707712917072, 4936413, 4832, -4112, 1360
1707712917082, 4936423, 4880, -4000, 1136
1707712917092, 4936433, 4864, -4032, 1136
1707712917102, 4936443, 4848, -3952, 944
1707712917112, 4936453, 4928, -3808, 720
1707712917122, 4936463, 5104, -3632, 528
1707712917132, 4936473, 5312, -3600, 400
1707712917142, 4936483, 5360, -3536, 272
1707712917152, 4936493, 5200, -3520, 240
1707712917162, 4936503, 5216, -3184, 304
1707712917172, 4936513, 5232, -2704, 368
1707712917182, 4936523, 5280, -2256, 416
1707712917192, 4936533, 5264, -1920, 528
1707712917202, 4936543, 5136, -1440, 512
1707712917212, 4936553, 5072, -960, 528
1707712917222, 4936563, 5040, -672, 656
1707712917232, 4936573, 4992, -496, 864
1707712917242, 4936583, 5072, -224, 1072
1707712917252, 4936593, 5312, 32, 1296
1707712917262, 4936603, 5248, 48, 1504
1707712917272, 4936613, 5120, 224, 1568
1707712917282, 4936623, 5104, 368, 1648
1707712917292, 4936633, 5056, 352, 1792
1707712917302, 4936643, 4976, 592, 2016
1707712917312, 4936653, 4816, 800, 2368
1707712917322, 4936663, 4720, 1056, 2720
1707712917332, 4936673, 4544, 1456, 3040
1707712917342, 4936683, 4432, 1648, 3296
1707712917352, 4936693, 4432, 1824, 3472
1707712917362, 4936703, 4560, 1936, 3568
1707712917372, 4936713, 4528, 2016, 3712
1707712917382, 4936723, 4528, 2032, 3744
1707712917392, 4936733, 4416, 2272, 4176
1707712917402, 4936743, 4384, 2368, 4416
1707712917412, 4936753, 4368, 2352, 4576
1707712917422, 4936763, 4336, 2224, 4688
1707712917432, 4936773, 4352, 1984, 4688
1707712917442, 4936783, 4304, 1824, 4736
