Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707713250379, 5269723, -4800, -4448, 3728
1707713250389, 5269733, -4912, -4544, 3840
1707713250399, 5269743, -4928, -4592, 3936
1707713250409, 5269753, -4944, -4720, 3936
1707713250419, 5269763, -5120, -4736, 4016
1707713250429, 5269773, -5168, -4800, 3968
1707713250439, 5269783, -4976, -4816, 3888
1707713250449, 5269793, -4800, -4672, 3696
1707713250459, 5269803, -4656, -4560, 3616
1707713250469, 5269813, -4640, -4688, 3488
1707713250479, 5269823, -4592, -4784, 3440
1707713250489, 5269833, -4592, -4944, 3408
1707713250499, 5269843, -4672, -4976, 3552
1707713250509, 5269853, -4688, -4816, 3616
1707713250519, 5269863, -4688, -4752, 3696
1707713250529, 5269873, -4736, -4576, 3760
1707713250539, 5269883, -4784, -4448, 3760
1707713250549, 5269893, -4720, -4448, 3712
1707713250559, 5269903, -4752, -4608, 3760
1707713250569, 5269913, -4752, -4656, 3760
1707713250579, 5269923, -4688, -4736, 3760
1707713250589, 5269933, -4768, -4720, 3776
1707713250599, 5269943, -4736, -4720, 3648
1707713250609, 5269953, -4672, -4736, 3568
1707713250619, 5269963, -4544, -4848, 3440
1707713250629, 5269973, -4624, -5040, 3376
1707713250639, 5269983, -4688, -5136, 3312
1707713250649, 5269993, -4736, -5072, 3312
1707713250659, 5270003, -4768, -4992, 3328
1707713250669, 5270013, -4800, -4928, 3360
1707713250679, 5270023, -4816, -4912, 3456
1707713250689, 5270033, -4752, -4944, 3504
1707713250699, 5270043, -4800, -4976, 3520
1707713250709, 5270053, -4816, -5056, 3392
1707713250719, 5270063, -4720, -5120, 3344
1707713250729, 5270073, -4656, -5184, 3360
1707713250739, 5270083, -4416, -5296, 3344
1707713250749, 5270093, -4240, -5616, 3472
1707713250759, 5270103, -4096, -5872, 3376
1707713250769, 5270113, -4096, -6480, 3552
1707713250779, 5270123, -4160, -7040, 3600
1707713250789, 5270133, -4048, -7152, 3680
1707713250799, 5270143, -3904, -7216, 3824
1707713250809, 5270153, -3808, -7232, 3952
1707713250819, 5270163, -3888, -7424, 4192
1707713250829, 5270173, -3984, -7808, 4288
1707713250839, 5270183, -4032, -8080, 4432
1707713250849, 5270193, -3968, -8128, 4528
1707713250859, 5270203, -4064, -8368, 4656
1707713250869, 5270213, -4224, -8368, 4784
1707713250879, 5270223, -4256, -8224, 4848
1707713250889, 5270233, -4432, -8176, 5024
1707713250899, 5270243, -4528, -8000, 5168
1707713250909, 5270253, -4640, -7648, 5360
1707713250919, 5270263, -4688, -7712, 5504
1707713250929, 5270273, -4944, -7632, 5648
1707713250939, 5270283, -5168, -7760, 5888
1707713250949, 5270293, -5248, -7760, 6128
1707713250959, 5270303, -5152, -7536, 6176
1707713250969, 5270313, -5104, -7232, 6176
1707713250979, 5270323, -5024, -6960, 6144
1707713250989, 5270333, -5088, -6832, 6144
1707713250999, 5270343, -5104, -6784, 6160
1707713251009, 5270353, -5136, -6752, 6128
1707713251019, 5270363, -5168, -6640, 6096
1707713251029, 5270373, -5200, -6464, 6160
1707713251039, 5270383, -5168, -6272, 6272
1707713251049, 5270393, -5152, -6048, 6512
1707713251059, 5270403, -5312, -5936, 6928
1707713251069, 5270413, -5216, -5504, 6928
1707713251079, 5270423, -5216, -5280, 7056
1707713251089, 5270433, -5232, -4992, 7152
1707713251099, 5270443, -5216, -4800, 7136
1707713251109, 5270453, -5152, -4752, 7088
1707713251119, 5270463, -5024, -4752, 7072
1707713251129, 5270473, -4896, -4688, 6992
1707713251139, 5270483, -4720, -4704, 6976
1707713251149, 5270493, -4512, -4832, 6992
1707713251159, 5270503, -4336, -5008, 7040
1707713251169, 5270513, -4112, -5184, 7088
1707713251179, 5270523, -4176, -5104, 7152
1707713251189, 5270533, -3792, -4928, 6960
1707713251199, 5270543, -3696, -4976, 6640
1707713251209, 5270553, -3856, -4928, 6416
1707713251219, 5270563, -3792, -4448, 6544
1707713251229, 5270573, -3632, -4080, 6688
1707713251239, 5270583, -3456, -3968, 6880
1707713251249, 5270593, -3312, -4048, 7120
1707713251259, 5270603, -3104, -4224, 7328
1707713251269, 5270613, -2928, -4208, 7472
1707713251279, 5270623, -2752, -4176, 7648
1707713251289, 5270633, -2656, -4048, 7760
1707713251299, 5270643, -2704, -3632, 7888
1707713251309, 5270653, -2896, -3152, 8096
1707713251319, 5270663, -2944, -2848, 8384
1707713251329, 5270673, -3056, -2464, 8704
1707713251339, 5270683, -3152, -1872, 8944
1707713251349, 5270693, -3104, -1152, 9120
1707713251359, 5270703, -2928, -656, 9088
1707713251369, 5270713, -2928, -304, 9152
1707713251379, 5270723, -2896, -80, 9008
1707713251389, 5270733, -2784, 112, 8880
1707713251399, 5270743, -2656, 448, 8704
1707713251409, 5270753, -2480, 784, 8592
1707713251419, 5270763, -2256, 928, 8512
1707713251429, 5270773, -2144, 960, 8464
1707713251439, 5270783, -2016, 1040, 8512
1707713251449, 5270793, -2016, 1056, 8512
1707713251459, 5270803, -2000, 768, 8544
1707713251469, 5270813, -1824, 1088, 8320
1707713251479, 5270823, -1824, 1168, 8288
1707713251489, 5270833, -1760, 1408, 8192
1707713251499, 5270843, -1376, 1568, 8112
1707713251509, 5270853, -1248, 1712, 8352
1707713251519, 5270863, -1232, 1552, 7888
1707713251529, 5270873, -1136, 1376, 7648
1707713251539, 5270883, -784, 1056, 7296
1707713251549, 5270893, -800, 896, 6976
1707713251559, 5270903, -704, 752, 6560
1707713251569, 5270913, -624, 1088, 6288
1707713251579, 5270923, -544, 1376, 6048
1707713251589, 5270933, -368, 1696, 5952
1707713251599, 5270943, -272, 2000, 5856
1707713251609, 5270953, -208, 2144, 5872
1707713251619, 5270963, -192, 2272, 5712
1707713251629, 5270973, -48, 2256, 5472
1707713251639, 5270983, 0, 2176, 5184
1707713251649, 5270993, 144, 2032, 5008
1707713251659, 5271003, 256, 1824, 4832
1707713251669, 5271013, 448, 1408, 4720
1707713251679, 5271023, 944, 928, 4384
1707713251689, 5271033, 1168, 832, 4256
1707713251699, 5271043, 1344, 800, 4192
1707713251709, 5271053, 1584, 1056, 3808
1707713251719, 5271063, 1760, 992, 3552
1707713251729, 5271073, 2048, 912, 3648
1707713251739, 5271083, 2160, 688, 3808
1707713251749, 5271093, 2304, 400, 4048
1707713251759, 5271103, 2528, 208, 4128
1707713251769, 5271113, 2704, 128, 3952
1707713251779, 5271123, 2832, 0, 3856
1707713251789, 5271133, 2992, -160, 3632
1707713251799, 5271143, 3152, -224, 3568
1707713251809, 5271153, 3344, -384, 3392
1707713251819, 5271163, 3440, -576, 3344
1707713251829, 5271173, 3536, -720, 3248
1707713251839, 5271183, 3504, -768, 3280
1707713251849, 5271193, 3648, -752, 3360
1707713251859, 5271203, 3632, -848, 3472
1707713251869, 5271213, 3616, -960, 3616
1707713251879, 5271223, 3680, -1008, 3648
1707713251889, 5271233, 3776, -1168, 3520
1707713251899, 5271243, 3776, -1152, 3424
1707713251909, 5271253, 3776, -1152, 3184
1707713251919, 5271263, 3744, -1216, 3008
1707713251929, 5271273, 3776, -848, 2896
1707713251939, 5271283, 3552, -1008, 3104
1707713251949, 5271293, 3664, -1216, 3104
1707713251959, 5271303, 3696, -1552, 2976
1707713251969, 5271313, 3584, -1664, 2768
1707713251979, 5271323, 3568, -1728, 2496
1707713251989, 5271333, 3568, -1712, 2160
1707713251999, 5271343, 3536, -1840, 2272
1707713252009, 5271353, 3632, -2064, 2272
1707713252019, 5271363, 3600, -2672, 2480
1707713252029, 5271373, 3824, -3248, 2608
1707713252039, 5271383, 3808, -3488, 2624
1707713252049, 5271393, 3776, -3712, 2640
1707713252059, 5271403, 3904, -3824, 2592
1707713252069, 5271413, 3888, -3952, 2480
1707713252079, 5271423, 3888, -3936, 2256
1707713252089, 5271433, 3664, -3872, 2192
1707713252099, 5271443, 3600, -3872, 2176
1707713252109, 5271453, 3648, -3936, 2160
1707713252119, 5271463, 3488, -3952, 1904
1707713252129, 5271473, 3408, -3968, 1760
1707713252139, 5271483, 3408, -4032, 1792
1707713252149, 5271493, 3472, -4144, 1904
1707713252159, 5271503, 3424, -4288, 2048
1707713252169, 5271513, 3472, -4624, 2224
1707713252179, 5271523, 3584, -4768, 2288
1707713252189, 5271533, 3520, -4736, 2320
1707713252199, 5271543, 3312, -4672, 2528
1707713252209, 5271553, 3328, -4752, 2928
1707713252219, 5271563, 3344, -5072, 3312
1707713252229, 5271573, 3328, -5552, 3664
1707713252239, 5271583, 3328, -5840, 3904
1707713252249, 5271593, 3408, -6048, 4032
1707713252259, 5271603, 3392, -6464, 3984
1707713252269, 5271613, 3440, -6624, 3760
1707713252279, 5271623, 3376, -6400, 3312
1707713252289, 5271633, 3312, -5984, 2960
1707713252299, 5271643, 3152, -5520, 2784
1707713252309, 5271653, 2960, -5184, 3088
1707713252319, 5271663, 2816, -5232, 3584
1707713252329, 5271673, 2656, -5344, 4224
1707713252339, 5271683, 2384, -5584, 4800
1707713252349, 5271693, 2256, -5872, 5328
1707713252359, 5271703, 2144, -6144, 5680
1707713252369, 5271713, 2112, -6400, 5792
1707713252379, 5271723, 1952, -6800, 5952
1707713252389, 5271733, 1808, -7184, 6096
1707713252399, 5271743, 1776, -7424, 6240
1707713252409, 5271753, 1536, -7376, 6272
1707713252419, 5271763, 1488, -7168, 6368
1707713252429, 5271773, 1296, -6960, 6416
1707713252439, 5271783, 1056, -6912, 6512
1707713252449, 5271793, 848, -6912, 6416
1707713252459, 5271803, 464, -6816, 6464
1707713252469, 5271813, 160, -6688, 6496
1707713252479, 5271823, 64, -6256, 6448
1707713252489, 5271833, -80, -5664, 6304
1707713252499, 5271843, -448, -5216, 6048
1707713252509, 5271853, -592, -5040, 5872
1707713252519, 5271863, -592, -5088, 5856
1707713252529, 5271873, -752, -5552, 6048
1707713252539, 5271883, -736, -6736, 6352
1707713252549, 5271893, -688, -7120, 6128
1707713252559, 5271903, -560, -7760, 6224
1707713252569, 5271913, -784, -8304, 6304
1707713252579, 5271923, -832, -8640, 6480
1707713252589, 5271933, -784, -8816, 6400
1707713252599, 5271943, -800, -8944, 6496
1707713252609, 5271953, -944, -8880, 6464
1707713252619, 5271963, -1104, -8992, 6640
1707713252629, 5271973, -1248, -9136, 6704
1707713252639, 5271983, -1296, -9136, 6720
1707713252649, 5271993, -1520, -9008, 6816
1707713252659, 5272003, -1728, -8672, 6992
1707713252669, 5272013, -1824, -8224, 6960
1707713252679, 5272023, -2160, -8128, 7024
1707713252689, 5272033, -2416, -7968, 6976
1707713252699, 5272043, -2592, -7744, 6944
1707713252709, 5272053, -2752, -7392, 6512
1707713252719, 5272063, -2816, -7216, 6608
1707713252729, 5272073, -3216, -6768, 6656
1707713252739, 5272083, -3552, -6432, 6560
1707713252749, 5272093, -3872, -6240, 6688
1707713252759, 5272103, -3936, -6016, 6896
1707713252769, 5272113, -4016, -5872, 7040
1707713252779, 5272123, -4144, -5840, 7264
1707713252789, 5272133, -4192, -5760, 7328
1707713252799, 5272143, -4256, -5872, 7296
1707713252809, 5272153, -4240, -6176, 7376
1707713252819, 5272163, -4272, -6416, 7632
1707713252829, 5272173, -4144, -6704, 7936
1707713252839, 5272183, -4208, -6928, 8192
1707713252849, 5272193, -4176, -7056, 8192
1707713252859, 5272203, -4032, -7264, 7952
1707713252869, 5272213, -3856, -7664, 7552
1707713252879, 5272223, -3824, -8096, 7328
1707713252889, 5272233, -3872, -8176, 7344
1707713252899, 5272243, -4064, -8176, 7664
1707713252909, 5272253, -4176, -8064, 7952
1707713252919, 5272263, -4240, -8144, 8144
1707713252929, 5272273, -4352, -8048, 8368
1707713252939, 5272283, -4432, -8144, 8656
1707713252949, 5272293, -4464, -8112, 8944
1707713252959, 5272303, -4496, -7888, 9136
1707713252969, 5272313, -4656, -7680, 9376
1707713252979, 5272323, -4768, -7488, 9616
1707713252989, 5272333, -4976, -7104, 9888
1707713252999, 5272343, -5008, -6736, 10192
1707713253009, 5272353, -4832, -6448, 10288
1707713253019, 5272363, -4672, -6176, 10192
1707713253029, 5272373, -4496, -6032, 9936
1707713253039, 5272383, -4320, -5904, 9760
1707713253049, 5272393, -4144, -5664, 9664
1707713253059, 5272403, -4032, -5488, 9616
1707713253069, 5272413, -3936, -5328, 9776
1707713253079, 5272423, -3664, -5296, 9824
1707713253089, 5272433, -3312, -5264, 9600
1707713253099, 5272443, -3136, -5312, 9280
1707713253109, 5272453, -3040, -5232, 8928
1707713253119, 5272463, -2768, -5008, 8560
1707713253129, 5272473, -2432, -4992, 8160
1707713253139, 5272483, -2544, -4592, 8192
1707713253149, 5272493, -2464, -4304, 8112
1707713253159, 5272503, -2192, -4256, 7952
1707713253169, 5272513, -1920, -4192, 7648
1707713253179, 5272523, -1776, -4144, 7376
1707713253189, 5272533, -1504, -4048, 7040
1707713253199, 5272543, -1344, -4032, 7008
1707713253209, 5272553, -1136, -3632, 6816
1707713253219, 5272563, -880, -3424, 6720
1707713253229, 5272573, -656, -3152, 6784
1707713253239, 5272583, -576, -3008, 6848
1707713253249, 5272593, -400, -3088, 6880
1707713253259, 5272603, -80, -3168, 6704
1707713253269, 5272613, 176, -3200, 6592
1707713253279, 5272623, 352, -3104, 6352
1707713253289, 5272633, 576, -3120, 6272
1707713253299, 5272643, 752, -3088, 6256
1707713253309, 5272653, 976, -2960, 6160
1707713253319, 5272663, 1136, -3040, 6256
1707713253329, 5272673, 1312, -3152, 6336
1707713253339, 5272683, 1520, -3136, 6432
1707713253349, 5272693, 1712, -3376, 6416
1707713253359, 5272703, 1888, -3360, 6272
1707713253369, 5272713, 2032, -3184, 6112
1707713253379, 5272723, 2304, -2880, 5824
1707713253389, 5272733, 2240, -2880, 5680
1707713253399, 5272743, 2288, -2544, 5472
1707713253409, 5272753, 2368, -2352, 5296
1707713253419, 5272763, 2480, -2336, 5168
1707713253429, 5272773, 2624, -2336, 4928
1707713253439, 5272783, 2848, -2256, 4656
1707713253449, 5272793, 2976, -2208, 4224
1707713253459, 5272803, 3136, -2064, 3792
1707713253469, 5272813, 3120, -2112, 3536
1707713253479, 5272823, 3040, -2352, 3264
1707713253489, 5272833, 3040, -2000, 3184
1707713253499, 5272843, 3296, -1360, 2736
1707713253509, 5272853, 3680, -928, 2320
1707713253519, 5272863, 3680, -784, 2160
1707713253529, 5272873, 3904, -528, 1904
1707713253539, 5272883, 4160, -480, 1760
1707713253549, 5272893, 4192, -464, 1568
1707713253559, 5272903, 4160, -448, 1392
1707713253569, 5272913, 4144, -496, 1216
1707713253579, 5272923, 4240, -496, 880
1707713253589, 5272933, 4448, -720, 672
1707713253599, 5272943, 4672, -736, 400
1707713253609, 5272953, 4928, -960, 192
1707713253619, 5272963, 5232, -1200, 32
1707713253629, 5272973, 5120, -1696, 176
1707713253639, 5272983, 5168, -2000, 192
1707713253649, 5272993, 5248, -2432, 256
1707713253659, 5273003, 5504, -2400, 144
1707713253669, 5273013, 5504, -1904, 16
1707713253679, 5273023, 5344, -1568, -192
1707713253689, 5273033, 5232, -1376, -160
1707713253699, 5273043, 5232, -1520, -256
1707713253709, 5273053, 5088, -1712, 0
1707713253719, 5273063, 5152, -1904, 304
1707713253729, 5273073, 5088, -2304, 448
1707713253739, 5273083, 5088, -2464, 992
1707713253749, 5273093, 5104, -2576, 1184
1707713253759, 5273103, 5168, -2560, 1296
1707713253769, 5273113, 5056, -2304, 1328
1707713253779, 5273123, 4880, -2368, 1376
1707713253789, 5273133, 4736, -2352, 1408
1707713253799, 5273143, 4688, -2208, 1568
1707713253809, 5273153, 4624, -2256, 1616
1707713253819, 5273163, 4576, -2288, 1808
1707713253829, 5273173, 4480, -2496, 2192
1707713253839, 5273183, 4352, -2560, 2640
1707713253849, 5273193, 4256, -2592, 2928
1707713253859, 5273203, 4192, -2512, 3008
1707713253869, 5273213, 4160, -2448, 3088
1707713253879, 5273223, 4128, -2624, 3344
1707713253889, 5273233, 4080, -2800, 3648
1707713253899, 5273243, 4064, -3168, 4032
1707713253909, 5273253, 3920, -3552, 4320
1707713253919, 5273263, 3984, -3680, 4448
1707713253929, 5273273, 4032, -3616, 4496
1707713253939, 5273283, 4048, -3456, 4464
1707713253949, 5273293, 4064, -3360, 4576
1707713253959, 5273303, 4112, -3392, 4736
1707713253969, 5273313, 3968, -3600, 4672
1707713253979, 5273323, 3808, -3792, 4816
1707713253989, 5273333, 3808, -4032, 4864
