Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707713420669, 5440013, -4080, -4016, 7632
1707713420679, 5440023, -4016, -4128, 7440
1707713420689, 5440033, -3888, -4336, 7088
1707713420699, 5440043, -3840, -4464, 6880
1707713420709, 5440053, -3776, -4512, 6672
1707713420719, 5440063, -3760, -4480, 6656
1707713420729, 5440073, -3824, -4480, 6720
1707713420739, 5440083, -3904, -4224, 6816
1707713420749, 5440093, -3968, -4064, 6864
1707713420759, 5440103, -3968, -3872, 6960
1707713420769, 5440113, -4016, -3712, 7136
1707713420779, 5440123, -4048, -3744, 7328
1707713420789, 5440133, -3904, -3792, 7296
1707713420799, 5440143, -3952, -4048, 7216
1707713420809, 5440153, -3840, -4272, 7040
1707713420819, 5440163, -3760, -4432, 6896
1707713420829, 5440173, -3808, -4512, 6912
1707713420839, 5440183, -3824, -4416, 6848
1707713420849, 5440193, -3824, -4304, 6848
1707713420859, 5440203, -3904, -4144, 6864
1707713420869, 5440213, -4016, -4016, 6880
1707713420879, 5440223, -4016, -3808, 6928
1707713420889, 5440233, -4000, -3696, 6944
1707713420899, 5440243, -4016, -3728, 7136
1707713420909, 5440253, -3936, -3760, 7392
1707713420919, 5440263, -3936, -3904, 7408
1707713420929, 5440273, -3872, -4000, 7472
1707713420939, 5440283, -3760, -4144, 7408
1707713420949, 5440293, -3712, -4272, 7328
1707713420959, 5440303, -3728, -4384, 7264
1707713420969, 5440313, -3664, -4416, 7200
1707713420979, 5440323, -3632, -4384, 7200
1707713420989, 5440333, -3648, -4208, 7152
1707713420999, 5440343, -3632, -4000, 7056
1707713421009, 5440353, -3616, -3712, 6976
1707713421019, 5440363, -3584, -3424, 7024
1707713421029, 5440373, -3504, -3312, 7136
1707713421039, 5440383, -3536, -3408, 7392
1707713421049, 5440393, -3472, -3488, 7568
1707713421059, 5440403, -3280, -3712, 7616
1707713421069, 5440413, -3104, -4048, 7600
1707713421079, 5440423, -2912, -4400, 7728
1707713421089, 5440433, -2672, -4720, 7696
1707713421099, 5440443, -2592, -4736, 7696
1707713421109, 5440453, -2592, -4544, 7520
1707713421119, 5440463, -2656, -4176, 7440
1707713421129, 5440473, -2640, -3728, 7504
1707713421139, 5440483, -2816, -3360, 7584
1707713421149, 5440493, -2912, -2992, 7760
1707713421159, 5440503, -2944, -3056, 7904
1707713421169, 5440513, -2848, -3392, 7920
1707713421179, 5440523, -2608, -3856, 7856
1707713421189, 5440533, -2432, -4384, 7728
1707713421199, 5440543, -2224, -4736, 7552
1707713421209, 5440553, -2128, -5088, 7488
1707713421219, 5440563, -2032, -5264, 7536
1707713421229, 5440573, -2032, -5328, 7552
1707713421239, 5440583, -1904, -5184, 7584
1707713421249, 5440593, -1760, -5168, 7536
1707713421259, 5440603, -1760, -5136, 7424
1707713421269, 5440613, -1760, -5168, 7232
1707713421279, 5440623, -1664, -5440, 6976
1707713421289, 5440633, -1552, -5552, 6688
1707713421299, 5440643, -1552, -5616, 6320
1707713421309, 5440653, -1392, -5776, 6160
1707713421319, 5440663, -1248, -5936, 6016
1707713421329, 5440673, -1184, -6080, 5920
1707713421339, 5440683, -1152, -6176, 5696
1707713421349, 5440693, -1056, -6064, 5440
1707713421359, 5440703, -1088, -5840, 5168
1707713421369, 5440713, -1120, -5456, 4976
1707713421379, 5440723, -1120, -5088, 4784
1707713421389, 5440733, -1088, -4928, 4672
1707713421399, 5440743, -880, -4736, 4384
1707713421409, 5440753, -496, -4688, 3984
1707713421419, 5440763, -144, -4816, 3744
1707713421429, 5440773, 16, -4896, 3472
1707713421439, 5440783, 160, -4880, 3424
1707713421449, 5440793, 288, -4912, 3424
1707713421459, 5440803, 496, -4912, 3744
1707713421469, 5440813, 656, -4896, 4160
1707713421479, 5440823, 704, -4848, 4464
1707713421489, 5440833, 832, -4592, 4576
1707713421499, 5440843, 816, -4256, 4624
1707713421509, 5440853, 912, -4096, 4544
1707713421519, 5440863, 1040, -4144, 4624
1707713421529, 5440873, 1104, -4336, 4640
1707713421539, 5440883, 1408, -4608, 4464
1707713421549, 5440893, 1584, -4832, 4320
1707713421559, 5440903, 1792, -5008, 4112
1707713421569, 5440913, 1808, -5088, 3808
1707713421579, 5440923, 1824, -5024, 3632
1707713421589, 5440933, 1712, -4880, 3536
1707713421599, 5440943, 1648, -4608, 3328
1707713421609, 5440953, 1616, -4224, 3008
1707713421619, 5440963, 1632, -3920, 2720
1707713421629, 5440973, 1776, -3680, 2448
1707713421639, 5440983, 1888, -3632, 2288
1707713421649, 5440993, 1696, -3712, 2112
1707713421659, 5441003, 1472, -3680, 1872
1707713421669, 5441013, 960, -3744, 1904
1707713421679, 5441023, 528, -3728, 2432
1707713421689, 5441033, 416, -4016, 3184
1707713421699, 5441043, 352, -4544, 3920
1707713421709, 5441053, 384, -5424, 4320
1707713421719, 5441063, 576, -6064, 4144
1707713421729, 5441073, 688, -6640, 3680
1707713421739, 5441083, 560, -7152, 3184
1707713421749, 5441093, 400, -7152, 2688
1707713421759, 5441103, 240, -7104, 2192
1707713421769, 5441113, 304, -7280, 2032
1707713421779, 5441123, 384, -7600, 1744
1707713421789, 5441133, 512, -8016, 1408
1707713421799, 5441143, 656, -8448, 768
1707713421809, 5441153, 976, -9024, 208
1707713421819, 5441163, 1264, -9456, -32
1707713421829, 5441173, 1520, -9680, 0
1707713421839, 5441183, 1664, -9744, 208
1707713421849, 5441193, 1728, -9440, 336
1707713421859, 5441203, 1648, -8992, 448
1707713421869, 5441213, 1712, -8528, 576
1707713421879, 5441223, 1808, -8128, 656
1707713421889, 5441233, 1808, -8048, 944
1707713421899, 5441243, 1840, -7856, 1168
1707713421909, 5441253, 1904, -7552, 1552
1707713421919, 5441263, 2000, -7264, 1968
1707713421929, 5441273, 1888, -6976, 2512
1707713421939, 5441283, 2016, -6672, 2992
1707713421949, 5441293, 2096, -6544, 3376
1707713421959, 5441303, 2160, -6576, 3680
1707713421969, 5441313, 2240, -6640, 3728
1707713421979, 5441323, 2368, -6720, 3856
1707713421989, 5441333, 2464, -6768, 3920
1707713421999, 5441343, 2512, -6896, 4016
1707713422009, 5441353, 2608, -6944, 3968
1707713422019, 5441363, 2576, -7040, 4064
1707713422029, 5441373, 2576, -7216, 4096
1707713422039, 5441383, 2672, -7152, 4144
1707713422049, 5441393, 2704, -7216, 4144
1707713422059, 5441403, 2896, -7136, 3984
1707713422069, 5441413, 2848, -7184, 3856
1707713422079, 5441423, 2848, -7088, 3952
1707713422089, 5441433, 2800, -6864, 4208
1707713422099, 5441443, 2704, -6720, 4352
1707713422109, 5441453, 2672, -6416, 4480
1707713422119, 5441463, 2672, -6208, 4496
1707713422129, 5441473, 2512, -6016, 4592
1707713422139, 5441483, 2560, -5936, 4704
1707713422149, 5441493, 2720, -5936, 4784
1707713422159, 5441503, 2928, -5936, 4720
1707713422169, 5441513, 2992, -5968, 4480
1707713422179, 5441523, 3024, -6016, 4416
1707713422189, 5441533, 2976, -6096, 4448
1707713422199, 5441543, 3168, -5936, 4464
1707713422209, 5441553, 3040, -5792, 4560
1707713422219, 5441563, 2976, -5600, 4704
1707713422229, 5441573, 3088, -5344, 4592
1707713422239, 5441583, 3040, -5168, 4496
1707713422249, 5441593, 3024, -5104, 4368
1707713422259, 5441603, 3104, -4944, 4320
1707713422269, 5441613, 3056, -4784, 4272
1707713422279, 5441623, 3072, -4496, 4224
1707713422289, 5441633, 3120, -4208, 4096
1707713422299, 5441643, 3168, -4112, 4032
