Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707713954016, 5973363, -3200, -6528, 3344
1707713954026, 5973373, -3456, -5328, 3504
1707713954036, 5973383, -3600, -6000, 3536
1707713954046, 5973393, -3712, -6160, 3744
1707713954056, 5973403, -3408, -6128, 3424
1707713954066, 5973413, -3520, -6208, 3184
1707713954076, 5973423, -3584, -6480, 2976
1707713954086, 5973433, -3568, -6368, 2816
1707713954096, 5973443, -3536, -6544, 2624
1707713954106, 5973453, -3488, -6560, 2784
1707713954116, 5973463, -3488, -6544, 2800
1707713954126, 5973473, -3536, -6576, 2784
1707713954136, 5973483, -3328, -6624, 3136
1707713954146, 5973493, -3664, -5824, 2656
1707713954156, 5973503, -3408, -5392, 2752
1707713954166, 5973513, -3296, -5872, 2912
1707713954176, 5973523, -3680, -5904, 3456
1707713954186, 5973533, -3600, -6064, 3744
1707713954196, 5973543, -3520, -6240, 3728
1707713954206, 5973553, -3632, -6272, 3616
1707713954216, 5973563, -3552, -6016, 3504
1707713954226, 5973573, -3712, -5936, 3232
1707713954236, 5973583, -3632, -5952, 3584
1707713954246, 5973593, -3552, -5328, 3216
1707713954256, 5973603, -3760, -5200, 3808
1707713954266, 5973613, -3760, -5088, 3744
1707713954276, 5973623, -3424, -5248, 3680
1707713954286, 5973633, -3616, -5312, 3696
1707713954296, 5973643, -3600, -5168, 3760
1707713954306, 5973653, -3424, -5408, 3792
1707713954316, 5973663, -3472, -5472, 3712
1707713954326, 5973673, -3344, -5424, 3552
1707713954336, 5973683, -3024, -5488, 2992
1707713954346, 5973693, -2864, -5936, 2720
1707713954356, 5973703, -2832, -5776, 2736
1707713954366, 5973713, -2784, -5424, 2592
1707713954376, 5973723, -2800, -5216, 2592
1707713954386, 5973733, -2768, -5120, 2560
1707713954396, 5973743, -2816, -5168, 2720
1707713954406, 5973753, -2640, -5152, 2928
1707713954416, 5973763, -2656, -5264, 3296
1707713954426, 5973773, -2672, -5216, 3792
1707713954436, 5973783, -2736, -5376, 4064
1707713954446, 5973793, -2912, -5792, 4256
1707713954456, 5973803, -2880, -6464, 4640
1707713954466, 5973813, -2864, -7168, 5104
1707713954476, 5973823, -2704, -7552, 5264
1707713954486, 5973833, -2512, -7728, 5248
1707713954496, 5973843, -2368, -8608, 5216
1707713954506, 5973853, -2000, -8992, 5344
1707713954516, 5973863, -1664, -9168, 5104
1707713954526, 5973873, -1552, -9344, 4704
1707713954536, 5973883, -1360, -9312, 4560
1707713954546, 5973893, -1360, -10016, 4672
1707713954556, 5973903, -1552, -10864, 5040
1707713954566, 5973913, -1504, -11264, 5072
1707713954576, 5973923, -1600, -11712, 5248
1707713954586, 5973933, -1872, -11696, 5280
1707713954596, 5973943, -2064, -11680, 5136
1707713954606, 5973953, -2016, -11184, 4736
1707713954616, 5973963, -2080, -11120, 4288
1707713954626, 5973973, -2080, -11264, 4448
1707713954636, 5973983, -2208, -11536, 4704
1707713954646, 5973993, -2320, -11488, 4992
1707713954656, 5974003, -2208, -11520, 5248
1707713954666, 5974013, -2080, -11376, 5696
1707713954676, 5974023, -2016, -11456, 5760
1707713954686, 5974033, -2016, -11632, 5696
1707713954696, 5974043, -2000, -11840, 5648
1707713954706, 5974053, -1936, -12096, 5648
1707713954716, 5974063, -1904, -12144, 5376
1707713954726, 5974073, -1920, -11920, 5136
1707713954736, 5974083, -1984, -11488, 5056
1707713954746, 5974093, -2112, -11328, 5168
1707713954756, 5974103, -2032, -11232, 5520
1707713954766, 5974113, -2064, -11296, 5824
1707713954776, 5974123, -2000, -11168, 6048
1707713954786, 5974133, -1920, -10832, 6000
1707713954796, 5974143, -1792, -10624, 5728
1707713954806, 5974153, -1616, -10544, 5488
1707713954816, 5974163, -1312, -10304, 5360
1707713954826, 5974173, -1168, -10352, 5328
1707713954836, 5974183, -1088, -10096, 5520
1707713954846, 5974193, -1008, -9792, 5728
1707713954856, 5974203, -944, -9392, 5616
1707713954866, 5974213, -768, -8976, 5568
1707713954876, 5974223, -784, -8448, 5456
1707713954886, 5974233, -512, -8144, 5392
1707713954896, 5974243, -336, -8144, 5264
1707713954906, 5974253, -64, -8144, 5056
1707713954916, 5974263, 64, -8048, 4592
1707713954926, 5974273, 336, -7904, 3920
1707713954936, 5974283, 800, -7728, 3184
1707713954946, 5974293, 1008, -7808, 2352
1707713954956, 5974303, 1296, -7488, 1920
1707713954966, 5974313, 1568, -7216, 1648
1707713954976, 5974323, 1760, -7040, 1712
1707713954986, 5974333, 1984, -6816, 1568
1707713954996, 5974343, 2288, -6816, 1376
1707713955006, 5974353, 2592, -6880, 1072
1707713955016, 5974363, 2912, -6864, 608
1707713955026, 5974373, 2992, -6736, 560
1707713955036, 5974383, 3216, -6560, 320
1707713955046, 5974393, 3488, -6336, 32
1707713955056, 5974403, 3728, -6240, -208
1707713955066, 5974413, 3904, -5888, -144
1707713955076, 5974423, 4048, -5712, -288
1707713955086, 5974433, 4048, -5488, -416
1707713955096, 5974443, 4192, -5216, -672
1707713955106, 5974453, 4224, -5040, -1296
1707713955116, 5974463, 4496, -4896, -1520
1707713955126, 5974473, 4480, -4832, -1952
1707713955136, 5974483, 4576, -4720, -2288
1707713955146, 5974493, 4992, -4656, -2512
1707713955156, 5974503, 5184, -4640, -2672
1707713955166, 5974513, 5184, -4480, -2960
1707713955176, 5974523, 5232, -4064, -3024
1707713955186, 5974533, 5168, -3632, -2960
1707713955196, 5974543, 5152, -3312, -2864
1707713955206, 5974553, 5216, -3056, -2912
1707713955216, 5974563, 5312, -3024, -2864
1707713955226, 5974573, 5504, -2976, -2992
1707713955236, 5974583, 5696, -2944, -3072
1707713955246, 5974593, 5728, -2848, -3344
1707713955256, 5974603, 5840, -2784, -3648
1707713955266, 5974613, 6080, -2656, -3920
1707713955276, 5974623, 6208, -2784, -4048
1707713955286, 5974633, 6288, -2736, -4016
1707713955296, 5974643, 6192, -2528, -4032
1707713955306, 5974653, 6144, -2208, -3952
1707713955316, 5974663, 6032, -1888, -3664
1707713955326, 5974673, 5904, -1344, -3440
1707713955336, 5974683, 5600, -656, -3184
1707713955346, 5974693, 5456, 32, -3376
1707713955356, 5974703, 5456, 176, -3744
1707713955366, 5974713, 5536, 0, -4176
1707713955376, 5974723, 5632, -144, -4368
1707713955386, 5974733, 5664, -272, -4528
1707713955396, 5974743, 5568, -80, -4560
1707713955406, 5974753, 5344, 192, -4464
1707713955416, 5974763, 5280, 576, -4304
1707713955426, 5974773, 5040, 1248, -4096
1707713955436, 5974783, 4928, 1600, -4080
1707713955446, 5974793, 4928, 2000, -4064
1707713955456, 5974803, 4864, 2464, -4240
1707713955466, 5974813, 4960, 2688, -4112
1707713955476, 5974823, 5024, 2656, -4192
