Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707713876896, 5896243, -6032, -7024, 2912
1707713876906, 5896253, -6016, -7472, 3120
1707713876916, 5896263, -6032, -7616, 3296
1707713876926, 5896273, -6128, -8192, 3248
1707713876936, 5896283, -6160, -8752, 3312
1707713876946, 5896293, -6160, -9104, 3248
1707713876956, 5896303, -5776, -9680, 3216
1707713876966, 5896313, -4864, -10544, 3168
1707713876976, 5896323, -4224, -12800, 3552
1707713876986, 5896333, -3584, -14368, 3344
1707713876996, 5896343, -3280, -15296, 2640
1707713877006, 5896353, -3968, -15600, 1456
1707713877016, 5896363, -5168, -16000, 400
1707713877026, 5896373, -6032, -15664, 208
1707713877036, 5896383, -6944, -15104, 896
1707713877046, 5896393, -8416, -14576, 1936
1707713877056, 5896403, -9856, -13504, 2720
1707713877068, 5896413, -10848, -12320, 3264
1707713877078, 5896423, -11344, -11200, 3376
1707713877086, 5896433, -11440, -9520, 3488
1707713877096, 5896443, -11456, -7792, 3456
1707713877106, 5896453, -10832, -5808, 3536
1707713877116, 5896463, -9904, -4224, 3680
1707713877126, 5896473, -8656, -3120, 3792
1707713877136, 5896483, -7184, -2208, 3616
1707713877146, 5896493, -6352, -2528, 3360
1707713877156, 5896503, -4976, -2496, 2992
1707713877166, 5896513, -3696, -2768, 2272
1707713877176, 5896523, -2880, -2832, 1664
1707713877186, 5896533, -2352, -2016, 1024
1707713877196, 5896543, -1904, -928, 688
1707713877206, 5896553, -1760, 32, 464
1707713877216, 5896563, -1568, 1008, 368
1707713877226, 5896573, -1376, 1616, 192
1707713877236, 5896583, -912, 1648, 176
1707713877246, 5896593, -704, 1296, 256
1707713877256, 5896603, -704, 1040, 336
1707713877266, 5896613, -592, 1056, 176
1707713877276, 5896623, -560, 784, -80
1707713877286, 5896633, -704, 672, -368
1707713877296, 5896643, -1040, 1184, -784
1707713877306, 5896653, -1808, 1440, -848
1707713877316, 5896663, -2608, 1024, -624
1707713877326, 5896673, -3664, 64, -64
1707713877336, 5896683, -4960, -1568, 704
1707713877346, 5896693, -5840, -3344, 1360
1707713877356, 5896703, -6512, -5024, 2048
1707713877366, 5896713, -7200, -6752, 2880
1707713877376, 5896723, -7952, -8080, 3408
1707713877386, 5896733, -7952, -9584, 3952
1707713877396, 5896743, -8336, -11120, 4288
1707713877406, 5896753, -8048, -13120, 4864
1707713877416, 5896763, -6832, -15184, 5040
1707713877426, 5896773, -5184, -16544, 4576
1707713877436, 5896783, -3040, -17312, 3648
1707713877446, 5896793, -2352, -17088, 2528
1707713877456, 5896803, -2256, -16144, 1744
1707713877466, 5896813, -2544, -15088, 1376
1707713877476, 5896823, -2896, -14016, 1392
1707713877486, 5896833, -3248, -13344, 1664
1707713877496, 5896843, -3360, -12912, 2240
1707713877506, 5896853, -3312, -12864, 2816
1707713877516, 5896863, -2912, -13168, 3184
1707713877526, 5896873, -2480, -13920, 3136
1707713877536, 5896883, -1904, -14944, 2960
1707713877546, 5896893, -1312, -16240, 2512
1707713877556, 5896903, -1024, -17504, 2368
1707713877566, 5896913, -1312, -18352, 2624
1707713877576, 5896923, -2064, -18560, 3264
1707713877586, 5896933, -3008, -18064, 3888
1707713877596, 5896943, -4096, -17120, 4480
1707713877606, 5896953, -5280, -15776, 4960
1707713877616, 5896963, -6160, -14432, 5264
1707713877626, 5896973, -6656, -13248, 4944
1707713877636, 5896983, -6880, -12048, 4160
1707713877646, 5896993, -7248, -10160, 3552
1707713877656, 5897003, -7280, -7888, 3120
1707713877666, 5897013, -6896, -5504, 2912
1707713877676, 5897023, -5520, -3520, 2640
1707713877686, 5897033, -4976, -2624, 2912
1707713877696, 5897043, -4208, -1568, 2976
1707713877706, 5897053, -3168, -464, 2608
1707713877716, 5897063, -2352, 48, 2192
1707713877726, 5897073, -1472, 448, 1776
1707713877736, 5897083, -768, 432, 1376
1707713877746, 5897093, -368, 512, 1216
1707713877756, 5897103, -48, 608, 1008
1707713877766, 5897113, 128, 400, 816
1707713877776, 5897123, 352, 320, 608
1707713877786, 5897133, 576, 112, 320
1707713877796, 5897143, 768, -96, 128
1707713877806, 5897153, 816, 80, -400
1707713877816, 5897163, 800, 656, -928
1707713877826, 5897173, 736, 1120, -1456
1707713877836, 5897183, 544, 1200, -1744
1707713877846, 5897193, 240, 1136, -1888
1707713877856, 5897203, -368, 1296, -1904
1707713877866, 5897213, -1424, 1184, -1456
1707713877876, 5897223, -2656, 624, -592
1707713877886, 5897233, -3808, -320, 656
1707713877896, 5897243, -4896, -2224, 2208
1707713877906, 5897253, -5792, -4976, 3904
1707713877916, 5897263, -6208, -8096, 5344
1707713877926, 5897273, -6064, -10784, 6272
1707713877936, 5897283, -4944, -13120, 6896
1707713877946, 5897293, -3456, -14304, 7312
1707713877956, 5897303, -2608, -14160, 7568
1707713877966, 5897313, -2432, -13712, 7440
1707713877976, 5897323, -2528, -13040, 6528
1707713877986, 5897333, -2544, -12528, 5488
1707713877996, 5897343, -2512, -12432, 4848
1707713878006, 5897353, -2400, -12432, 4496
1707713878016, 5897363, -2464, -12352, 4192
1707713878026, 5897373, -2576, -12272, 4080
