Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707712679682, 4699023, -3440, -8768, 8736
1707712679692, 4699033, -3536, -9296, 9040
1707712679702, 4699043, -3568, -9280, 8624
1707712679712, 4699053, -3696, -8784, 8352
1707712679722, 4699063, -3632, -8400, 7904
1707712679732, 4699073, -3664, -8240, 7984
1707712679742, 4699083, -3584, -7952, 8304
1707712679752, 4699093, -3680, -8304, 9184
1707712679762, 4699103, -4000, -8704, 9616
1707712679772, 4699113, -4160, -9296, 9888
1707712679784, 4699123, -4496, -9952, 10224
1707712679794, 4699133, -4816, -9920, 10016
1707712679804, 4699143, -5200, -10032, 9984
1707712679812, 4699153, -5552, -9616, 9840
1707712679822, 4699163, -5984, -9008, 9488
1707712679832, 4699173, -6352, -8416, 9088
1707712679842, 4699183, -6320, -7888, 8544
1707712679852, 4699193, -6128, -7360, 8032
1707712679862, 4699203, -5968, -7008, 7792
1707712679872, 4699213, -5568, -7024, 7664
1707712679882, 4699223, -5392, -7424, 7952
1707712679892, 4699233, -5088, -7520, 8304
1707712679902, 4699243, -4752, -7824, 8448
1707712679912, 4699253, -4400, -8208, 8448
1707712679922, 4699263, -4160, -8368, 8096
1707712679932, 4699273, -4144, -8144, 7056
1707712679942, 4699283, -4032, -7568, 6416
1707712679952, 4699293, -3648, -6880, 5856
1707712679962, 4699303, -3280, -6400, 5504
1707712679972, 4699313, -2736, -6208, 5456
1707712679982, 4699323, -2336, -6160, 5616
1707712679992, 4699333, -1904, -6208, 6000
1707712680002, 4699343, -1152, -6624, 6272
1707712680012, 4699353, -2240, -6736, 7744
1707712680022, 4699363, -1104, -6336, 7648
1707712680032, 4699373, -464, -5408, 7312
1707712680042, 4699383, -160, -5984, 7376
1707712680052, 4699393, -16, -5040, 7008
1707712680062, 4699403, 160, -4448, 6752
1707712680072, 4699413, 64, -4432, 6224
1707712680082, 4699423, 464, -3936, 5408
1707712680092, 4699433, 880, -3824, 4944
1707712680102, 4699443, 1392, -4128, 4864
1707712680112, 4699453, 2000, -4432, 4704
1707712680122, 4699463, 2544, -4512, 4368
1707712680132, 4699473, 2592, -4512, 4080
1707712680142, 4699483, 2528, -3680, 3392
1707712680152, 4699493, 2608, -2800, 2704
1707712680162, 4699503, 1664, -2016, 1920
1707712680172, 4699513, 2096, -528, 1472
1707712680182, 4699523, 2144, 64, 1120
1707712680192, 4699533, 2672, -160, 1280
1707712680202, 4699543, 2944, -64, 1152
1707712680212, 4699553, 3072, -224, 992
1707712680222, 4699563, 3248, -528, 464
1707712680232, 4699573, 3296, -352, -240
1707712680242, 4699583, 3488, 304, -1152
1707712680252, 4699593, 4000, 576, -1584
1707712680262, 4699603, 4256, 720, -1856
1707712680272, 4699613, 4368, 1024, -1728
1707712680282, 4699623, 4368, 1280, -1312
1707712680292, 4699633, 4208, 1248, -1056
1707712680302, 4699643, 4224, 1712, -1184
1707712680312, 4699653, 4240, 2176, -2112
1707712680322, 4699663, 4272, 2480, -3136
1707712680332, 4699673, 4496, 2160, -3792
1707712680342, 4699683, 4672, 1984, -4288
1707712680352, 4699693, 5088, 1968, -4592
1707712680362, 4699703, 5360, 1520, -4656
1707712680372, 4699713, 5744, 1072, -4512
1707712680382, 4699723, 5968, 992, -4336
1707712680392, 4699733, 6240, 832, -4176
1707712680402, 4699743, 6352, 928, -3824
1707712680412, 4699753, 6704, 1088, -3664
1707712680422, 4699763, 6752, 1232, -3488
1707712680432, 4699773, 6928, 1248, -3152
1707712680442, 4699783, 6992, 1360, -2736
1707712680452, 4699793, 7024, 1216, -2096
1707712680462, 4699803, 7184, 1184, -1680
1707712680472, 4699813, 7440, 944, -1328
1707712680482, 4699823, 7792, 352, -880
1707712680492, 4699833, 8000, 112, -560
1707712680502, 4699843, 8608, -560, -880
1707712680512, 4699853, 8944, -720, -1152
1707712680522, 4699863, 9136, -592, -1232
1707712680532, 4699873, 9056, -368, -1120
1707712680542, 4699883, 8704, -64, -800
1707712680552, 4699893, 8784, -240, -928
1707712680562, 4699903, 8640, -352, -1040
1707712680572, 4699913, 8432, -208, -1328
1707712680582, 4699923, 8288, -96, -1600
1707712680592, 4699933, 8064, 144, -1744
1707712680602, 4699943, 7840, 304, -1920
1707712680612, 4699953, 7584, 528, -2112
1707712680622, 4699963, 7248, 656, -2320
1707712680632, 4699973, 6736, 528, -2448
1707712680642, 4699983, 6512, 528, -2672
1707712680652, 4699993, 6112, 64, -3040
1707712680662, 4700003, 5744, 256, -3488
1707712680672, 4700013, 5360, 240, -3872
1707712680682, 4700023, 4848, 256, -4320
1707712680692, 4700033, 4624, 672, -4912
1707712680702, 4700043, 4432, 224, -4976
1707712680712, 4700053, 4144, -80, -5024
1707712680722, 4700063, 4016, -480, -4752
1707712680732, 4700073, 3696, -784, -4480
1707712680742, 4700083, 3328, -928, -3952
1707712680752, 4700093, 2816, -912, -3360
1707712680762, 4700103, 2576, -928, -2848
1707712680772, 4700113, 2640, -928, -2448
1707712680782, 4700123, 2352, -832, -2080
1707712680792, 4700133, 1936, -544, -1424
1707712680802, 4700143, 1568, -192, -720
1707712680812, 4700153, 1264, -96, 48
1707712680822, 4700163, 1024, 48, 736
1707712680832, 4700173, 928, -144, 1312
1707712680842, 4700183, 800, -336, 2080
1707712680852, 4700193, 304, -784, 3248
1707712680862, 4700203, 32, -992, 4224
1707712680872, 4700213, 96, -1344, 5216
1707712680882, 4700223, 32, -1616, 6128
1707712680892, 4700233, 192, -1728, 6704
1707712680902, 4700243, 304, -2256, 7360
1707712680913, 4700253, 240, -2400, 7504
1707712680923, 4700263, -32, -2304, 8144
1707712680933, 4700273, 112, -1952, 8944
1707712680943, 4700283, -16, -1776, 9584
1707712680953, 4700293, -128, -2256, 10176
1707712680963, 4700303, -240, -2736, 10752
1707712680973, 4700313, -48, -3392, 11056
1707712680983, 4700323, 112, -3872, 10720
1707712680993, 4700333, -96, -3936, 10144
1707712681003, 4700343, -208, -3840, 9760
1707712681013, 4700353, -720, -3904, 10320
1707712681023, 4700363, -1312, -4032, 10912
1707712681033, 4700373, -1856, -4080, 11152
1707712681043, 4700383, -2320, -4208, 11232
1707712681053, 4700393, -2560, -4656, 11056
1707712681063, 4700403, -2400, -5488, 11056
1707712681073, 4700413, -2304, -5776, 10928
1707712681083, 4700423, -2496, -5712, 10320
1707712681093, 4700433, -2736, -5376, 9952
1707712681103, 4700443, -2992, -4992, 10240
1707712681113, 4700453, -3136, -4688, 10544
1707712681123, 4700463, -3760, -4320, 11120
1707712681133, 4700473, -4192, -4048, 11568
1707712681143, 4700483, -4672, -3664, 11744
1707712681153, 4700493, -5024, -3632, 11456
1707712681163, 4700503, -5200, -2864, 10688
1707712681173, 4700513, -5408, -2912, 10480
1707712681183, 4700523, -5456, -3024, 10608
1707712681193, 4700533, -5552, -3360, 10992
1707712681203, 4700543, -5504, -3808, 10960
1707712681213, 4700553, -5664, -3776, 10688
1707712681223, 4700563, -5552, -3856, 10000
1707712681233, 4700573, -5584, -3872, 9296
1707712681243, 4700583, -5744, -4032, 8608
1707712681253, 4700593, -5728, -4144, 8032
1707712681263, 4700603, -5872, -4592, 7392
1707712681273, 4700613, -5872, -4608, 7520
1707712681283, 4700623, -6128, -4800, 8464
1707712681293, 4700633, -7072, -4560, 8384
1707712681303, 4700643, -7328, -3856, 8656
1707712681313, 4700653, -7312, -3840, 8288
1707712681323, 4700663, -6928, -4000, 8048
1707712681333, 4700673, -6816, -4432, 7888
1707712681343, 4700683, -6624, -4656, 7584
1707712681353, 4700693, -6352, -4688, 7168
1707712681363, 4700703, -6384, -4832, 6896
1707712681373, 4700713, -6304, -4800, 6688
1707712681383, 4700723, -6000, -4720, 6208
1707712681393, 4700733, -6032, -4560, 5856
1707712681403, 4700743, -6992, -5008, 6144
1707712681413, 4700753, -8576, -6000, 7216
1707712681423, 4700763, -8672, -5440, 8096
1707712681433, 4700773, -7872, -4208, 8000
1707712681443, 4700783, -7488, -4240, 7664
1707712681453, 4700793, -7328, -4784, 7584
1707712681463, 4700803, -7104, -5040, 7312
1707712681473, 4700813, -6880, -5392, 6896
1707712681483, 4700823, -6576, -5600, 6320
1707712681493, 4700833, -6336, -5280, 5632
1707712681503, 4700843, -6304, -5008, 4880
1707712681513, 4700853, -6560, -4896, 4608
1707712681523, 4700863, -6736, -4736, 4416
1707712681533, 4700873, -6832, -5504, 4384
1707712681543, 4700883, -6784, -6256, 4032
1707712681553, 4700893, -6512, -6208, 3472
1707712681563, 4700903, -6096, -5728, 2912
1707712681573, 4700913, -5904, -5344, 2672
1707712681583, 4700923, -5312, -5488, 2512
1707712681593, 4700933, -5760, -5664, 3104
1707712681603, 4700943, -5568, -5792, 3280
1707712681613, 4700953, -5136, -5760, 3216
1707712681623, 4700963, -5264, -6224, 2944
1707712681633, 4700973, -5584, -6672, 2688
1707712681643, 4700983, -5344, -6368, 2240
1707712681653, 4700993, -5328, -6432, 2096
1707712681663, 4701003, -5344, -6320, 2368
1707712681673, 4701013, -5152, -6240, 2576
1707712681683, 4701023, -4976, -6224, 2560
1707712681693, 4701033, -4672, -6480, 2400
1707712681703, 4701043, -4288, -6528, 2144
1707712681713, 4701053, -4032, -6832, 1888
1707712681723, 4701063, -4064, -7072, 1776
1707712681733, 4701073, -3920, -7104, 1600
1707712681743, 4701083, -3760, -6880, 1584
1707712681753, 4701093, -3584, -6688, 1648
1707712681763, 4701103, -3568, -6320, 2064
1707712681773, 4701113, -3424, -6096, 2368
1707712681783, 4701123, -3248, -6000, 2608
1707712681793, 4701133, -3072, -5680, 2544
1707712681803, 4701143, -2848, -5536, 2464
1707712681813, 4701153, -2640, -5424, 2240
1707712681823, 4701163, -2656, -5680, 2304
1707712681833, 4701173, -2640, -5728, 2160
1707712681843, 4701183, -2544, -5712, 1984
1707712681853, 4701193, -2432, -5600, 1920
1707712681863, 4701203, -2352, -5392, 1856
1707712681873, 4701213, -2320, -5136, 1536
1707712681883, 4701223, -2368, -4912, 1056
1707712681893, 4701233, -2352, -4752, 480
1707712681903, 4701243, -2352, -4816, 272
1707712681913, 4701253, -2144, -5072, 272
1707712681923, 4701263, -1856, -5408, 400
1707712681933, 4701273, -1808, -5440, 512
1707712681943, 4701283, -1904, -5264, 496
1707712681953, 4701293, -2208, -4624, 304
1707712681963, 4701303, -2192, -4288, 288
1707712681973, 4701313, -2368, -3968, 416
1707712681983, 4701323, -2512, -3776, 304
1707712681993, 4701333, -2512, -3664, 80
1707712682003, 4701343, -2480, -3888, -32
1707712682013, 4701353, -2432, -4000, 96
1707712682023, 4701363, -2352, -4112, 256
1707712682033, 4701373, -2208, -4528, 432
1707712682043, 4701383, -2160, -4768, 544
1707712682053, 4701393, -2288, -5120, 240
1707712682063, 4701403, -2352, -5296, -112
1707712682073, 4701413, -2224, -5120, -544
1707712682083, 4701423, -1984, -4864, -928
1707712682093, 4701433, -1840, -4912, -1024
1707712682103, 4701443, -1712, -5264, -1040
1707712682113, 4701453, -1664, -5696, -1152
1707712682123, 4701463, -1632, -5968, -1136
1707712682133, 4701473, -1760, -6320, -992
1707712682143, 4701483, -1936, -6496, -768
1707712682153, 4701493, -2064, -6384, -672
1707712682163, 4701503, -2256, -5904, -784
1707712682173, 4701513, -2224, -5680, -768
1707712682183, 4701523, -2160, -5728, -752
1707712682193, 4701533, -2048, -5792, -928
1707712682203, 4701543, -1648, -6352, -1376
1707712682213, 4701553, -1344, -6992, -1936
1707712682223, 4701563, -1104, -7632, -2176
1707712682233, 4701573, -1040, -8080, -2192
1707712682243, 4701583, -1328, -8176, -2272
1707712682253, 4701593, -1424, -7296, -2016
1707712682263, 4701603, -1424, -7056, -1760
1707712682273, 4701613, -1568, -7040, -1616
1707712682283, 4701623, -1712, -6832, -1520
1707712682293, 4701633, -2096, -6784, -1696
1707712682303, 4701643, -2352, -6880, -1728
1707712682313, 4701653, -2768, -7008, -1504
1707712682323, 4701663, -3248, -6736, -1456
1707712682333, 4701673, -3824, -6288, -1536
1707712682343, 4701683, -4304, -6112, -1696
1707712682353, 4701693, -4720, -6032, -1936
1707712682363, 4701703, -5136, -6288, -2000
1707712682373, 4701713, -5088, -6240, -1696
1707712682383, 4701723, -6160, -6752, -864
1707712682393, 4701733, -6592, -6800, -272
1707712682403, 4701743, -7168, -6864, 336
1707712682413, 4701753, -7808, -7120, 800
1707712682423, 4701763, -8160, -7136, 944
1707712682433, 4701773, -8368, -6912, 672
1707712682443, 4701783, -8544, -6800, 384
1707712682453, 4701793, -8688, -6880, 112
1707712682463, 4701803, -8784, -6976, 64
1707712682473, 4701813, -8960, -7376, 208
1707712682483, 4701823, -9360, -7728, 416
1707712682493, 4701833, -9408, -7680, 528
1707712682503, 4701843, -9744, -7872, 768
1707712682513, 4701853, -10096, -7552, 1056
1707712682523, 4701863, -10656, -7536, 1360
1707712682533, 4701873, -11040, -7728, 1568
1707712682543, 4701883, -11296, -7808, 1616
1707712682553, 4701893, -11264, -8016, 1648
1707712682563, 4701903, -11264, -8256, 1568
1707712682573, 4701913, -11504, -8544, 1344
1707712682583, 4701923, -11808, -8768, 1312
1707712682593, 4701933, -12192, -8800, 1584
1707712682603, 4701943, -12864, -8688, 1744
1707712682613, 4701953, -12992, -8304, 1808
1707712682623, 4701963, -13392, -8288, 1632
1707712682633, 4701973, -13536, -8736, 1184
1707712682643, 4701983, -13408, -9328, 800
1707712682653, 4701993, -13120, -9648, 672
1707712682663, 4702003, -12688, -9824, 384
1707712682673, 4702013, -12576, -9760, 96
1707712682683, 4702023, -12384, -9328, -80
1707712682693, 4702033, -12256, -8656, 0
1707712682703, 4702043, -12176, -7984, 96
1707712682713, 4702053, -12032, -7360, 288
