Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1708122913229, 607909, 8144, 624, 560
1708122913237, 607920, 8080, 688, 480
1708122913249, 607931, 8096, 816, 496
1708122913261, 607942, 8048, 928, 448
1708122913273, 607953, 7952, 816, 528
1708122913281, 607964, 8080, 704, 528
1708122913293, 607975, 8128, 672, 528
1708122913305, 607986, 8096, 704, 496
1708122913317, 607997, 8032, 624, 512
1708122913325, 608008, 8128, 656, 528
1708122913337, 608019, 8112, 656, 528
1708122913349, 608030, 8144, 704, 480
1708122913361, 608041, 8144, 784, 512
1708122913369, 608052, 8128, 720, 544
1708122913381, 608063, 8128, 656, 544
1708122913393, 608074, 8176, 624, 720
1708122913405, 608085, 8144, 736, 608
1708122913413, 608096, 8096, 768, 768
1708122913425, 608107, 8128, 736, 688
1708122913437, 608118, 8096, 688, 768
1708122913449, 608129, 8224, 720, 736
1708122913457, 608140, 8144, 672, 832
1708122913469, 608151, 8096, 544, 752
1708122913481, 608162, 8160, 576, 688
1708122913493, 608173, 8080, 736, 560
1708122913501, 608184, 8048, 704, 656
1708122913513, 608195, 8048, 640, 544
1708122913525, 608206, 8144, 688, 592
1708122913537, 608217, 8096, 672, 496
1708122913545, 608228, 7968, 768, 384
1708122913557, 608239, 8096, 768, 416
1708122913569, 608250, 8096, 816, 544
1708122913581, 608261, 8096, 848, 608
1708122913589, 608272, 8080, 864, 640
1708122913601, 608283, 8112, 848, 768
1708122913613, 608294, 8176, 752, 736
1708122913625, 608305, 8160, 544, 624
1708122913633, 608316, 8256, 432, 576
1708122913645, 608327, 8272, 384, 704
1708122913657, 608338, 8240, 576, 752
1708122913669, 608349, 8272, 624, 784
1708122913677, 608360, 8224, 576, 896
1708122913689, 608371, 8176, 560, 976
1708122913701, 608382, 8288, 512, 880
1708122913713, 608393, 8208, 544, 768
1708122913721, 608404, 8192, 544, 672
1708122913733, 608415, 8208, 640, 576
1708122913745, 608426, 8176, 656, 592
1708122913757, 608437, 8160, 704, 656
1708122913765, 608448, 8240, 688, 656
1708122913777, 608459, 8208, 656, 528
1708122913789, 608470, 8208, 592, 160
1708122913801, 608481, 8160, 576, 416
1708122913809, 608492, 8128, 640, 400
1708122913821, 608503, 8144, 720, 592
1708122913833, 608514, 8144, 768, 704
1708122913845, 608525, 8144, 752, 784
1708122913853, 608536, 8128, 704, 848
1708122913865, 608547, 8144, 656, 912
1708122913877, 608558, 8048, 592, 784
1708122913889, 608569, 8080, 480, 672
1708122913897, 608580, 8160, 496, 688
1708122913909, 608591, 8112, 480, 656
1708122913921, 608602, 8080, 640, 672
1708122913933, 608613, 8096, 688, 640
1708122913941, 608624, 8080, 720, 752
1708122913953, 608635, 8112, 784, 624
1708122913965, 608646, 8096, 752, 640
1708122913977, 608657, 8080, 768, 672
1708122913985, 608668, 8096, 736, 688
1708122913997, 608679, 8064, 688, 672
1708122914009, 608690, 8096, 704, 688
1708122914021, 608701, 8176, 640, 512
1708122914029, 608712, 8160, 592, 608
1708122914041, 608723, 8176, 592, 800
1708122914053, 608734, 8064, 560, 640
1708122914065, 608745, 8144, 592, 656
1708122914073, 608756, 8144, 608, 752
1708122914085, 608767, 8208, 656, 720
1708122914097, 608778, 8160, 704, 672
1708122914109, 608789, 8144, 752, 704
1708122914117, 608800, 8176, 752, 688
1708122914129, 608811, 8128, 704, 688
1708122914141, 608822, 8128, 608, 800
1708122914153, 608833, 8240, 624, 704
1708122914161, 608844, 8064, 736, 656
1708122914173, 608855, 8176, 688, 496
1708122914185, 608866, 8144, 640, 448
1708122914197, 608877, 8176, 560, 464
1708122914205, 608888, 8144, 480, 464
1708122914217, 608899, 8080, 640, 624
1708122914229, 608910, 8128, 672, 688
1708122914241, 608921, 8112, 720, 592
1708122914249, 608932, 8016, 784, 656
1708122914261, 608943, 8080, 784, 768
1708122914273, 608954, 8128, 816, 768
1708122914285, 608965, 8096, 720, 704
1708122914293, 608976, 8080, 576, 912
1708122914305, 608987, 8208, 480, 704
1708122914317, 608998, 8224, 448, 608
1708122914329, 609009, 8240, 448, 656
1708122914337, 609020, 8224, 480, 672
1708122914349, 609031, 8208, 576, 640
1708122914361, 609042, 8192, 624, 608
1708122914373, 609053, 8176, 816, 576
1708122914381, 609064, 8208, 784, 528
1708122914393, 609075, 8224, 784, 608
1708122914405, 609086, 8320, 800, 512
1708122914417, 609097, 8224, 656, 544
1708122914425, 609108, 8272, 528, 560
1708122914437, 609119, 8160, 608, 496
1708122914449, 609130, 8096, 704, 560
1708122914461, 609141, 8096, 784, 464
1708122914469, 609152, 8048, 752, 464
1708122914481, 609163, 8064, 672, 592
1708122914493, 609174, 8016, 784, 832
1708122914505, 609185, 8064, 816, 704
1708122914513, 609196, 8016, 912, 736
1708122914525, 609207, 8000, 896, 784
1708122914537, 609218, 8000, 784, 784
1708122914549, 609229, 8032, 768, 784
1708122914557, 609240, 8048, 688, 848
1708122914569, 609251, 8048, 608, 864
1708122914581, 609262, 8096, 688, 832
1708122914593, 609273, 8080, 752, 848
1708122914601, 609284, 8032, 784, 720
1708122914613, 609295, 8080, 784, 656
1708122914625, 609306, 8112, 720, 576
1708122914637, 609317, 8112, 736, 480
1708122914645, 609328, 8192, 704, 368
1708122914657, 609339, 8208, 672, 528
1708122914669, 609350, 8240, 592, 752
1708122914681, 609361, 8208, 656, 448
1708122914689, 609372, 8208, 672, 528
1708122914701, 609383, 8192, 656, 608
1708122914713, 609394, 8144, 704, 640
1708122914725, 609405, 8144, 768, 752
1708122914733, 609416, 8144, 656, 656
1708122914745, 609427, 8112, 480, 464
1708122914757, 609438, 8128, 560, 512
1708122914769, 609449, 8096, 640, 528
1708122914777, 609460, 8128, 752, 768
1708122914789, 609471, 8144, 800, 800
1708122914801, 609482, 8128, 704, 624
1708122914813, 609493, 8096, 656, 608
1708122914821, 609504, 8112, 592, 400
1708122914833, 609515, 8112, 608, 464
1708122914845, 609526, 8176, 656, 688
1708122914857, 609537, 8192, 720, 560
1708122914865, 609548, 8144, 800, 656
1708122914877, 609559, 8144, 816, 720
1708122914889, 609570, 8112, 864, 736
1708122914901, 609581, 8080, 800, 880
1708122914909, 609592, 8128, 672, 704
1708122914921, 609603, 8144, 640, 800
1708122914933, 609614, 8176, 624, 640
1708122914945, 609625, 8144, 560, 560
1708122914953, 609636, 8128, 624, 608
1708122914965, 609647, 8128, 672, 688
1708122914977, 609658, 8144, 688, 704
1708122914989, 609669, 8112, 608, 640
1708122914997, 609680, 8080, 800, 560
1708122915009, 609691, 8112, 752, 672
1708122915021, 609702, 8064, 736, 672
1708122915033, 609713, 8144, 656, 640
1708122915041, 609724, 8080, 592, 608
1708122915053, 609735, 7968, 608, 528
1708122915065, 609746, 8096, 688, 608
1708122915077, 609757, 8048, 784, 640
1708122915085, 609768, 8032, 864, 720
1708122915097, 609779, 8000, 912, 576
1708122915109, 609790, 8112, 864, 816
1708122915121, 609801, 8096, 864, 784
1708122915129, 609812, 8128, 816, 784
1708122915141, 609823, 8224, 688, 704
1708122915153, 609834, 8224, 576, 720
1708122915165, 609845, 8224, 512, 608
1708122915173, 609856, 8240, 400, 560
1708122915185, 609867, 8256, 368, 672
1708122915197, 609878, 8288, 272, 480
1708122915209, 609889, 8288, 400, 720
1708122915217, 609900, 8240, 432, 704
1708122915229, 609911, 8224, 592, 640
1708122915241, 609922, 8176, 656, 576
1708122915253, 609933, 8144, 752, 576
1708122915261, 609944, 8144, 768, 560
1708122915273, 609955, 8064, 784, 512
1708122915285, 609966, 8128, 864, 672
1708122915297, 609977, 8064, 832, 656
1708122915305, 609988, 8256, 848, 576
1708122915317, 609999, 8064, 816, 592
1708122915329, 610010, 8080, 800, 624
1708122915341, 610021, 8080, 704, 624
1708122915349, 610032, 8160, 576, 816
1708122915361, 610043, 8128, 624, 784
1708122915373, 610054, 8128, 528, 1024
1708122915385, 610065, 8032, 560, 784
1708122915393, 610076, 8144, 576, 752
1708122915405, 610087, 8096, 544, 672
1708122915417, 610098, 8096, 512, 768
1708122915429, 610109, 8096, 720, 784
1708122915437, 610120, 8048, 800, 736
1708122915449, 610131, 8080, 784, 880
1708122915461, 610142, 8048, 864, 752
1708122915473, 610153, 8064, 816, 608
1708122915481, 610164, 8048, 736, 688
1708122915493, 610175, 8048, 784, 736
1708122915505, 610186, 8048, 704, 672
1708122915517, 610197, 8128, 704, 608
1708122915525, 610208, 8096, 656, 848
1708122915537, 610219, 8112, 592, 640
1708122915549, 610230, 8176, 640, 368
1708122915561, 610241, 8080, 592, 576
1708122915569, 610252, 8128, 496, 640
1708122915581, 610263, 8192, 560, 576
1708122915593, 610274, 8192, 528, 544
1708122915605, 610285, 8160, 496, 480
1708122915613, 610296, 8240, 448, 480
1708122915625, 610307, 8112, 528, 432
1708122915637, 610318, 8160, 576, 464
1708122915649, 610329, 8144, 608, 256
1708122915657, 610340, 8176, 624, 512
1708122915669, 610351, 8112, 672, 608
1708122915681, 610362, 8144, 640, 640
1708122915693, 610373, 8128, 640, 656
1708122915701, 610384, 8112, 704, 672
1708122915713, 610395, 8112, 656, 688
1708122915725, 610406, 8112, 576, 896
1708122915737, 610417, 8192, 496, 656
1708122915745, 610428, 8208, 544, 624
1708122915757, 610439, 8288, 608, 592
1708122915769, 610450, 8192, 656, 768
1708122915781, 610461, 8224, 688, 768
1708122915789, 610472, 8176, 640, 736
1708122915801, 610483, 8160, 544, 544
1708122915813, 610494, 8160, 496, 704
1708122915825, 610505, 8144, 512, 768
1708122915833, 610516, 8064, 656, 720
1708122915845, 610527, 8144, 656, 656
1708122915857, 610538, 8160, 656, 608
1708122915869, 610549, 8176, 672, 640
1708122915877, 610560, 8144, 752, 720
1708122915889, 610571, 8096, 736, 768
1708122915901, 610582, 8128, 624, 928
1708122915913, 610593, 8160, 496, 912
1708122915921, 610604, 8208, 480, 880
1708122915933, 610615, 8272, 608, 816
1708122915945, 610626, 8128, 608, 848
1708122915957, 610637, 8160, 544, 800
1708122915965, 610648, 8128, 496, 720
1708122915977, 610659, 8128, 576, 496
1708122915989, 610670, 8096, 672, 480
1708122916001, 610681, 8112, 768, 416
1708122916009, 610692, 7952, 752, 656
1708122916021, 610703, 8160, 736, 592
1708122916033, 610714, 8224, 720, 720
1708122916045, 610725, 8128, 720, 800
1708122916053, 610736, 8160, 688, 880
1708122916065, 610747, 8144, 624, 912
1708122916077, 610758, 8176, 512, 992
1708122916089, 610769, 8128, 464, 768
1708122916097, 610780, 8192, 464, 752
1708122916109, 610791, 8192, 496, 816
1708122916121, 610802, 8176, 496, 752
1708122916133, 610813, 8144, 464, 752
1708122916141, 610824, 8208, 496, 656
1708122916153, 610835, 8112, 592, 464
1708122916165, 610846, 8224, 704, 384
1708122916177, 610857, 8144, 736, 272
1708122916185, 610868, 7984, 816, 528
1708122916197, 610879, 8080, 800, 640
1708122916209, 610890, 8080, 864, 592
1708122916221, 610901, 8048, 832, 576
