Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1708122520044, 214736, 5840, -1088, 5328
1708122520056, 214747, 5776, -976, 5120
1708122520064, 214758, 5728, -848, 4832
1708122520076, 214769, 5696, -832, 4592
1708122520088, 214780, 5776, -976, 4448
1708122520100, 214791, 5920, -1120, 4528
1708122520108, 214802, 6032, -1280, 4768
1708122520120, 214813, 6144, -1440, 4832
1708122520132, 214824, 6080, -1440, 4960
1708122520144, 214835, 6176, -1264, 5536
1708122520152, 214846, 6112, -1024, 5840
1708122520164, 214857, 6128, -1056, 6288
1708122520176, 214868, 6048, -1120, 6160
1708122520188, 214879, 6160, -1200, 5680
1708122520196, 214890, 6224, -1072, 5264
1708122520208, 214901, 6160, -1120, 4928
1708122520220, 214912, 6256, -1152, 4832
1708122520232, 214923, 6320, -1120, 4896
1708122520240, 214934, 6288, -1024, 5200
1708122520252, 214945, 6224, -1056, 5392
1708122520264, 214956, 6288, -1072, 5392
1708122520276, 214967, 6128, -1152, 5376
1708122520284, 214978, 6176, -1248, 5328
1708122520296, 214989, 6048, -1232, 5248
1708122520309, 215000, 5904, -1040, 5056
1708122520317, 215011, 6000, -912, 5248
1708122520329, 215022, 5936, -1024, 5024
1708122520341, 215033, 5936, -1024, 5056
1708122520353, 215044, 5888, -1120, 4992
1708122520361, 215055, 5872, -1232, 4736
1708122520373, 215066, 5952, -1392, 4608
1708122520385, 215077, 5968, -1328, 4640
1708122520397, 215088, 5984, -1216, 4800
1708122520405, 215099, 5936, -1136, 4768
1708122520417, 215110, 5856, -992, 4928
1708122520429, 215121, 5904, -928, 5264
1708122520441, 215132, 5744, -848, 5024
1708122520449, 215143, 5888, -816, 4960
1708122520461, 215154, 5776, -656, 4816
1708122520473, 215165, 5600, -448, 5008
1708122520485, 215176, 5696, -240, 5200
1708122520493, 215187, 5616, -16, 5376
1708122520505, 215198, 5616, 192, 5392
1708122520517, 215209, 5568, 304, 5392
1708122520529, 215220, 5776, 288, 5504
