Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1708122670221, 364908, 3856, -6688, 1968
1708122670229, 364919, 3792, -6736, 1888
1708122670241, 364930, 3808, -6752, 2000
1708122670253, 364941, 3824, -6784, 2032
1708122670265, 364952, 3872, -6800, 1936
1708122670273, 364963, 3776, -6800, 1904
1708122670285, 364974, 3696, -7024, 1760
1708122670297, 364985, 3936, -7216, 1664
1708122670309, 364996, 3968, -7168, 1744
1708122670317, 365007, 3952, -7072, 1776
1708122670329, 365018, 3920, -6944, 2080
1708122670341, 365029, 3872, -6928, 1824
1708122670353, 365040, 3856, -6880, 1872
1708122670361, 365051, 3824, -6720, 1696
1708122670373, 365062, 3872, -6800, 1840
1708122670385, 365073, 3872, -6736, 1808
1708122670397, 365084, 3888, -6672, 1728
1708122670405, 365095, 3824, -6656, 1648
1708122670417, 365106, 3856, -6528, 1616
1708122670429, 365117, 3872, -6528, 1808
1708122670441, 365128, 3792, -6480, 1728
1708122670449, 365139, 3840, -6544, 1840
1708122670461, 365150, 3824, -6656, 1856
1708122670473, 365161, 3872, -6640, 1792
1708122670485, 365172, 3808, -6528, 1808
1708122670493, 365183, 3824, -6576, 1952
1708122670505, 365194, 3760, -6704, 2064
1708122670517, 365205, 3872, -6704, 1984
1708122670529, 365216, 3856, -6736, 1744
1708122670537, 365227, 3872, -6688, 1888
1708122670549, 365238, 3872, -6656, 1968
1708122670561, 365249, 3856, -6672, 2000
1708122670573, 365260, 3872, -6624, 1952
1708122670581, 365271, 3792, -6752, 2016
1708122670593, 365282, 3856, -6784, 1888
1708122670605, 365293, 3840, -6736, 1984
1708122670617, 365304, 3840, -6848, 1952
1708122670625, 365315, 3904, -6928, 1888
1708122670637, 365326, 3888, -7024, 1824
1708122670649, 365337, 3936, -7024, 1760
1708122670661, 365348, 3904, -6976, 1760
1708122670669, 365359, 3952, -6880, 1776
1708122670681, 365370, 3920, -6784, 1936
1708122670693, 365381, 3904, -6800, 1712
1708122670705, 365392, 3888, -6800, 1792
1708122670713, 365403, 3888, -6848, 1744
1708122670725, 365414, 3856, -6848, 1760
1708122670737, 365425, 3792, -6864, 1728
1708122670749, 365436, 3840, -6816, 1728
1708122670757, 365447, 3888, -6768, 1616
1708122670769, 365458, 3888, -6720, 1760
1708122670781, 365469, 3920, -6784, 1824
1708122670794, 365480, 3952, -6816, 1776
1708122670802, 365491, 3872, -6752, 1744
1708122670814, 365502, 3792, -6736, 1840
1708122670826, 365513, 3872, -6704, 1856
1708122670838, 365524, 3936, -6640, 1936
1708122670846, 365535, 3904, -6608, 1920
1708122670857, 365546, 3792, -6656, 2064
1708122670870, 365557, 3888, -6656, 1968
1708122670882, 365568, 3920, -6720, 1968
1708122670890, 365579, 3792, -6784, 1840
1708122670902, 365590, 3872, -6752, 1920
1708122670914, 365601, 3792, -6704, 1856
1708122670926, 365612, 3888, -6576, 1936
1708122670934, 365623, 3920, -6624, 1968
1708122670946, 365634, 3888, -6624, 1968
1708122670958, 365645, 4096, -6592, 1920
1708122670970, 365656, 3968, -6608, 1984
1708122670978, 365667, 3904, -6608, 2032
1708122670990, 365678, 3808, -6672, 2192
1708122671002, 365689, 3712, -6704, 2320
1708122671014, 365700, 3600, -7008, 2304
1708122671022, 365711, 3600, -7440, 2480
1708122671034, 365722, 3424, -8112, 2672
1708122671046, 365733, 3488, -9008, 2016
1708122671058, 365744, 3440, -9760, 768
1708122671066, 365755, 3408, -10544, -128
1708122671078, 365766, 3280, -11472, -992
1708122671090, 365777, 3184, -12608, -1952
1708122671102, 365788, 3264, -13456, -2800
1708122671110, 365799, 3232, -13568, -3792
1708122671122, 365810, 2992, -13312, -3808
1708122671134, 365821, 2464, -12896, -2912
1708122671146, 365832, 2304, -12352, -2384
1708122671154, 365843, 2080, -11824, -1680
1708122671166, 365854, 2064, -11392, -1184
1708122671178, 365865, 1728, -11008, -736
1708122671190, 365876, 1472, -10608, 464
