Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1708122567137, 261827, 6944, 416, 4416
1708122567145, 261838, 6928, 272, 4416
1708122567157, 261849, 6928, 352, 4320
1708122567169, 261860, 6896, 336, 4192
1708122567181, 261871, 6864, -48, 4352
1708122567189, 261882, 7264, -512, 4320
1708122567201, 261893, 7360, -944, 4272
1708122567213, 261904, 7488, -1120, 4176
1708122567225, 261915, 7408, -1232, 4224
1708122567233, 261926, 7296, -1056, 4464
1708122567245, 261937, 7264, -928, 4848
1708122567257, 261948, 7040, -864, 4752
1708122567269, 261959, 7008, -928, 4640
1708122567277, 261970, 6896, -1056, 4256
1708122567289, 261981, 6880, -1200, 3856
1708122567301, 261992, 6832, -1280, 3568
1708122567313, 262003, 6768, -1104, 3664
1708122567321, 262014, 6560, -784, 4144
1708122567333, 262025, 6496, -496, 4208
1708122567345, 262036, 6432, -192, 4336
1708122567357, 262047, 6368, -80, 4432
1708122567365, 262058, 6432, -48, 4592
1708122567377, 262069, 6352, -16, 4736
1708122567389, 262080, 6512, -32, 4640
1708122567401, 262091, 6512, -368, 4672
1708122567409, 262102, 6608, -1024, 4512
1708122567421, 262113, 6736, -2144, 4480
1708122567433, 262124, 6896, -3056, 4192
1708122567445, 262135, 7104, -4064, 3968
1708122567453, 262146, 6960, -4784, 3424
1708122567465, 262157, 6800, -4816, 3072
1708122567477, 262168, 6512, -5008, 2784
1708122567489, 262179, 6256, -4832, 2880
1708122567497, 262190, 5936, -4848, 3184
1708122567509, 262201, 5776, -5024, 3168
1708122567521, 262212, 5600, -5200, 2896
1708122567533, 262223, 5632, -5280, 2800
1708122567541, 262234, 4960, -5584, 2608
1708122567553, 262245, 4992, -5888, 2720
1708122567565, 262256, 4128, -5568, 3712
1708122567577, 262267, 3488, -4624, 5632
1708122567585, 262278, 2928, -3216, 6816
1708122567597, 262289, 2320, -1920, 7904
1708122567609, 262300, 1904, -1104, 8352
1708122567621, 262311, 1440, -176, 8576
1708122567629, 262322, 1216, 912, 8448
1708122567641, 262333, 1088, 1120, 8528
1708122567654, 262344, 1024, 1472, 9056
1708122567666, 262355, 944, 1968, 8992
1708122567673, 262366, 784, 2432, 8640
1708122567686, 262377, 800, 2400, 8560
1708122567698, 262388, 864, 2528, 8288
1708122567709, 262399, 832, 2512, 7872
1708122567718, 262410, 1184, 2176, 7680
1708122567730, 262421, 1248, 2320, 7712
1708122567742, 262432, 992, 2352, 7232
1708122567754, 262443, 720, 2720, 6368
1708122567762, 262454, 448, 2512, 5904
1708122567774, 262465, 208, 3392, 5536
1708122567786, 262476, -448, 5248, 6256
1708122567798, 262487, -752, 8176, 7808
1708122567806, 262498, -784, 10448, 8848
1708122567818, 262509, -400, 10688, 9040
1708122567830, 262520, 496, 10016, 7920
1708122567842, 262531, 1120, 8928, 6176
1708122567850, 262542, 976, 8976, 4944
1708122567862, 262553, 352, 9568, 4960
1708122567874, 262564, -464, 11328, 5792
1708122567886, 262575, -736, 13504, 6608
1708122567894, 262586, -3264, 15296, 8160
1708122567906, 262597, -3344, 17024, 9264
1708122567918, 262608, -7296, 18048, 9312
1708122567930, 262619, -10128, 20624, 7792
1708122567938, 262630, -12720, 22192, 6512
1708122567950, 262641, -17600, 25792, 5168
1708122567962, 262652, -21392, 29472, 4016
