Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1708123000766, 695447, 8112, -288, 912
1708123000778, 695458, 8048, -272, 912
1708123000790, 695469, 8048, -288, 832
1708123000802, 695480, 8096, -320, 800
1708123000810, 695491, 8080, -288, 640
1708123000822, 695502, 8096, -176, 688
1708123000834, 695513, 8032, -256, 736
1708123000846, 695524, 8128, -224, 592
1708123000854, 695535, 8080, -224, 400
1708123000866, 695546, 8048, -256, 672
1708123000878, 695557, 8144, -304, 688
1708123000890, 695568, 8048, -464, 672
1708123000898, 695579, 8112, -512, 752
1708123000910, 695590, 8032, -320, 752
1708123000922, 695601, 8048, -240, 800
1708123000934, 695612, 8144, -304, 944
1708123000942, 695623, 8144, -256, 704
1708123000954, 695634, 8096, -176, 624
1708123000966, 695645, 7952, -304, 608
1708123000978, 695656, 8080, -256, 816
1708123000986, 695667, 8048, -272, 912
1708123000998, 695678, 8032, -192, 912
1708123001010, 695689, 8064, -224, 960
1708123001022, 695700, 8048, -224, 912
1708123001030, 695711, 8128, -272, 1008
1708123001042, 695722, 8080, -304, 784
1708123001054, 695733, 8080, -224, 752
1708123001066, 695744, 8032, -336, 624
1708123001074, 695755, 8096, -288, 624
1708123001086, 695766, 8144, -208, 720
1708123001098, 695777, 8192, -208, 720
1708123001110, 695788, 8112, -224, 576
1708123001118, 695799, 8192, -272, 752
1708123001130, 695810, 8144, -320, 800
1708123001142, 695821, 8192, -384, 832
1708123001154, 695832, 8224, -464, 928
1708123001162, 695843, 8224, -304, 752
1708123001174, 695854, 8240, -256, 656
1708123001186, 695865, 8304, -304, 624
1708123001198, 695876, 8320, -288, 688
1708123001206, 695887, 8288, -240, 864
1708123001218, 695898, 8416, -176, 816
1708123001230, 695909, 8448, -272, 768
1708123001242, 695920, 8512, -256, 688
1708123001250, 695931, 8928, -176, 736
1708123001262, 695942, 9520, -96, 896
1708123001274, 695953, 10032, -32, 1088
1708123001286, 695964, 10368, -144, 1168
1708123001294, 695975, 10576, -384, 1472
1708123001306, 695986, 10864, -576, 2048
1708123001318, 695997, 10944, -672, 2352
1708123001330, 696008, 11136, -800, 2432
1708123001342, 696019, 11136, -1104, 2592
1708123001350, 696030, 10896, -1392, 2752
1708123001362, 696041, 10448, -1696, 3056
1708123001374, 696052, 9936, -1872, 3296
1708123001382, 696063, 9536, -1664, 3472
1708123001394, 696074, 9440, -1568, 3648
1708123001406, 696085, 8208, -1328, 3856
1708123001418, 696096, 8048, -928, 4240
1708123001426, 696107, 6592, -576, 4176
1708123001438, 696118, 5776, -352, 3984
1708123001450, 696129, 5312, -160, 3760
1708123001462, 696140, 4608, 176, 3808
1708123001470, 696151, 4192, 592, 3776
1708123001482, 696162, 4080, 1296, 3600
1708123001494, 696173, 4032, 1456, 3312
1708123001506, 696184, 3520, 1216, 3568
1708123001514, 696195, 3520, 688, 4240
1708123001526, 696206, 3520, 416, 4544
1708123001538, 696217, 3792, 272, 3760
1708123001550, 696228, 3792, 48, 2624
1708123001558, 696239, 3792, -304, 1040
1708123001570, 696250, 3808, -432, -320
1708123001582, 696261, 3680, -176, -1440
1708123001594, 696272, 3584, 96, -1392
1708123001602, 696283, 3840, 624, -800
1708123001614, 696294, 3904, 1008, -368
1708123001626, 696305, 3968, 1008, -256
1708123001638, 696316, 3888, 816, -496
1708123001646, 696327, 4000, 368, -960
1708123001658, 696338, 4224, -352, -1520
1708123001670, 696349, 4256, -720, -1712
1708123001682, 696360, 4544, -688, -2160
1708123001690, 696371, 4704, -400, -2320
1708123001702, 696382, 5104, -480, -2528
1708123001714, 696393, 5424, -176, -2784
1708123001726, 696404, 5840, 32, -3040
1708123001734, 696415, 6144, 656, -4112
1708123001746, 696426, 6400, 1392, -4992
1708123001758, 696437, 6656, 1456, -5168
1708123001770, 696448, 6736, 944, -5248
1708123001778, 696459, 7712, 352, -5296
1708123001790, 696470, 8080, 32, -5584
1708123001802, 696481, 8224, -256, -5616
1708123001814, 696492, 8544, -1680, -6080
1708123001822, 696503, 8416, -1904, -6352
1708123001834, 696514, 8256, -1600, -6016
1708123001846, 696525, 8192, -1728, -5440
1708123001858, 696536, 8656, -1952, -4448
1708123001866, 696547, 8736, -2272, -4400
1708123001878, 696558, 8800, -1904, -4592
1708123001890, 696569, 8736, -928, -4832
1708123001902, 696580, 8432, -208, -4400
1708123001910, 696591, 8560, -752, -3248
1708123001922, 696602, 8784, -1728, -2896
1708123001934, 696613, 9168, -2688, -3520
1708123001946, 696624, 9280, -2544, -4304
1708123001954, 696635, 10224, -960, -4880
1708123001966, 696646, 10688, -224, -5168
1708123001978, 696657, 11264, -1056, -5456
1708123001990, 696668, 11376, -1648, -5344
1708123002002, 696679, 11616, -2032, -5104
1708123002010, 696690, 11872, -1952, -5296
1708123002022, 696701, 11920, -1664, -5616
1708123002034, 696712, 11760, -2160, -5648
1708123002046, 696723, 11840, -2768, -5856
1708123002054, 696734, 11568, -2576, -5504
1708123002066, 696745, 11216, -2832, -4912
1708123002078, 696756, 10704, -3072, -4896
1708123002086, 696767, 9968, -2736, -4736
1708123002098, 696778, 9392, -2480, -4016
1708123002110, 696789, 8784, -2400, -3232
1708123002122, 696800, 8512, -2032, -3056
1708123002130, 696811, 7696, -1360, -3008
1708123002142, 696822, 7120, -816, -2576
1708123002154, 696833, 6704, -992, -2400
1708123002166, 696844, 6336, -576, -1744
1708123002174, 696855, 6032, -384, -1184
1708123002186, 696866, 5872, -944, -976
1708123002198, 696877, 5936, -688, -736
1708123002210, 696888, 5744, -560, -720
1708123002218, 696899, 5696, -496, -1360
1708123002230, 696910, 6208, -272, -2256
1708123002242, 696921, 6288, 112, -2464
1708123002254, 696932, 6368, 480, -1888
1708123002262, 696943, 6480, -192, -1136
1708123002274, 696954, 6592, -880, -48
1708123002286, 696965, 6416, -1152, 1696
1708123002298, 696976, 6368, -1456, 2880
