Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1708122875595, 570278, 8128, 592, 384
1708122875607, 570289, 8064, 608, 208
1708122875615, 570300, 8032, 576, 224
1708122875627, 570311, 8096, 416, 160
1708122875639, 570322, 8064, 416, 160
1708122875651, 570333, 8048, 384, 112
1708122875659, 570344, 8000, 416, 192
1708122875671, 570355, 7904, 640, -112
1708122875683, 570366, 7968, 672, -32
1708122875695, 570377, 7984, 672, -192
1708122875703, 570388, 8112, 704, -272
1708122875715, 570399, 8048, 688, -320
1708122875727, 570410, 7968, 672, -400
1708122875739, 570421, 8112, 688, -528
1708122875747, 570432, 8096, 752, -496
1708122875759, 570443, 8080, 672, -320
1708122875771, 570454, 8112, 608, 16
1708122875783, 570465, 8048, 496, 192
1708122875791, 570476, 7968, 464, 272
1708122875803, 570487, 8000, 352, 80
1708122875815, 570498, 8128, 272, -272
1708122875827, 570509, 8192, 208, -640
1708122875835, 570520, 8160, 368, -640
1708122875847, 570531, 8128, 512, -752
1708122875859, 570542, 8128, 272, -448
1708122875871, 570553, 8176, 624, -64
1708122875879, 570564, 8112, 800, -320
1708122875891, 570575, 8048, 864, -224
1708122875903, 570586, 8128, 880, -176
1708122875915, 570597, 8096, 816, -288
1708122875923, 570608, 8144, 688, -320
1708122875935, 570619, 8160, 624, -352
1708122875947, 570630, 8096, 672, -352
1708122875959, 570641, 8176, 688, -224
1708122875967, 570652, 8128, 688, -128
1708122875979, 570663, 8112, 672, -64
1708122875991, 570674, 8176, 672, 48
1708122876003, 570685, 8240, 560, 208
1708122876011, 570696, 8288, 576, 224
1708122876023, 570707, 8288, 480, 192
1708122876035, 570718, 8416, 400, 112
1708122876047, 570729, 8368, 320, -48
1708122876055, 570740, 8336, 96, -64
1708122876067, 570751, 8384, 128, -208
1708122876079, 570762, 8320, 80, -192
1708122876091, 570773, 8368, -32, -176
1708122876099, 570784, 8512, -592, -480
1708122876111, 570795, 8528, -592, -720
1708122876123, 570806, 8512, -144, -1552
1708122876135, 570817, 8352, 128, -2080
1708122876143, 570828, 8448, -64, -2576
1708122876155, 570839, 8432, -1520, -2976
1708122876167, 570850, 8864, -2384, -4880
1708122876179, 570861, 9088, -3248, -7168
1708122876191, 570872, 8416, -3056, -7760
1708122876199, 570883, 8224, -2368, -7632
1708122876211, 570894, 7824, -1424, -7488
1708122876223, 570905, 7216, -352, -7504
1708122876231, 570916, 6480, 0, -7520
1708122876243, 570927, 6096, -32, -7408
1708122876255, 570938, 5888, -400, -7536
1708122876267, 570949, 5104, -896, -7840
1708122876279, 570960, 4576, -1376, -7920
1708122876287, 570971, 4128, -1568, -7776
1708122876299, 570982, 3536, -1680, -7264
1708122876311, 570993, 3008, -1824, -6464
1708122876323, 571004, 2304, -2176, -4240
1708122876332, 571015, 2064, -2464, -2016
1708122876343, 571026, 640, -1696, 1280
1708122876355, 571037, 480, -1888, 5520
1708122876363, 571048, 272, -2256, 7168
1708122876375, 571059, 192, -992, 7744
1708122876387, 571070, 208, 384, 7568
1708122876400, 571081, 384, 528, 7312
1708122876407, 571092, 336, 736, 7280
1708122876419, 571103, 160, 128, 7808
1708122876432, 571114, -32, -1104, 9088
1708122876444, 571125, 608, -1392, 10464
1708122876456, 571136, 1600, -1760, 10384
1708122876464, 571147, 2512, -2160, 9664
1708122876476, 571158, 3584, -2688, 10624
1708122876488, 571169, 3632, -2384, 12816
1708122876500, 571180, 3536, -2800, 13776
1708122876508, 571191, 3648, -3728, 13312
1708122876520, 571202, 5104, -4608, 11264
1708122876532, 571213, 5616, -5296, 7280
1708122876544, 571224, 8032, -5648, 5232
1708122876552, 571235, 9744, -6032, 4384
1708122876564, 571246, 11008, -6256, 4464
1708122876576, 571257, 12688, -7536, 5296
1708122876588, 571268, 14000, -8848, 6528
1708122876596, 571279, 15216, -10304, 7584
1708122876608, 571290, 15472, -10880, 7312
1708122876620, 571301, 16752, -10880, 4352
1708122876632, 571312, 16896, -9792, -1040
1708122876640, 571323, 17472, -7952, -3616
1708122876652, 571334, 17264, -6560, -3216
