Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1708122935876, 630558, 8096, 816, 592
1708122935888, 630569, 8160, 960, 608
1708122935900, 630580, 8080, 1040, 608
1708122935908, 630591, 8064, 1024, 672
1708122935920, 630602, 8096, 848, 624
1708122935932, 630613, 8064, 912, 368
1708122935944, 630624, 8096, 976, 480
1708122935952, 630635, 8064, 976, 496
1708122935964, 630646, 8032, 992, 576
1708122935976, 630657, 8064, 928, 720
1708122935988, 630668, 8192, 992, 448
1708122935996, 630679, 8080, 1072, 400
1708122936008, 630690, 8128, 1008, 656
1708122936020, 630701, 8128, 1008, 816
1708122936032, 630712, 8128, 960, 800
1708122936040, 630723, 8208, 800, 896
1708122936052, 630734, 8208, 672, 448
1708122936064, 630745, 8192, 544, 384
1708122936076, 630756, 8304, 512, 432
1708122936084, 630767, 8256, 624, 576
1708122936096, 630778, 8224, 672, 688
1708122936108, 630789, 8160, 768, 640
1708122936120, 630800, 8176, 816, 688
1708122936128, 630811, 8160, 1008, 528
1708122936140, 630822, 8192, 976, 480
1708122936152, 630833, 8112, 944, 432
1708122936164, 630844, 8176, 880, 528
1708122936172, 630855, 8064, 928, 640
1708122936184, 630866, 8080, 928, 768
1708122936196, 630877, 8048, 912, 656
1708122936208, 630888, 8080, 880, 640
1708122936216, 630899, 8080, 896, 560
1708122936228, 630910, 8064, 928, 336
1708122936240, 630921, 7840, 960, 384
1708122936252, 630932, 8080, 1040, 400
1708122936260, 630943, 8096, 1056, 432
1708122936272, 630954, 8112, 1008, 448
1708122936284, 630965, 8080, 992, 496
1708122936296, 630976, 8160, 912, 608
1708122936304, 630987, 8160, 736, 576
1708122936316, 630998, 8240, 720, 544
1708122936328, 631009, 8224, 752, 512
1708122936340, 631020, 8128, 784, 592
1708122936348, 631031, 8224, 880, 672
1708122936360, 631042, 8192, 1040, 880
1708122936372, 631053, 8176, 1040, 1152
1708122936384, 631064, 8240, 992, 1280
1708122936392, 631075, 8368, 960, 1120
1708122936404, 631086, 8400, 736, 896
1708122936416, 631097, 8336, 752, 1168
1708122936428, 631108, 8336, 672, 1392
1708122936436, 631119, 8304, 560, 1552
1708122936448, 631130, 8368, 528, 1504
1708122936460, 631141, 8336, 480, 1600
1708122936472, 631152, 8304, 496, 1888
1708122936480, 631163, 8176, 320, 2016
1708122936492, 631174, 8048, 432, 1952
1708122936504, 631185, 7856, 384, 2304
1708122936516, 631196, 7664, 192, 2272
1708122936524, 631207, 7056, 16, 2176
1708122936536, 631218, 6384, -288, 1824
1708122936548, 631229, 5760, -176, 1824
1708122936560, 631240, 4736, 48, 1952
1708122936568, 631251, 4064, 256, 2144
1708122936580, 631262, 3296, 480, 2800
1708122936592, 631273, 2992, 784, 2864
1708122936604, 631284, 1776, 1024, 2848
1708122936612, 631295, 1616, 1200, 2576
1708122936624, 631306, 464, 1840, 2400
1708122936636, 631317, -224, 2608, 2544
1708122936648, 631328, -560, 2976, 2704
1708122936656, 631339, -864, 2944, 2800
1708122936668, 631350, -1136, 3152, 3312
1708122936680, 631361, -1184, 2352, 2944
1708122936692, 631372, -1120, 1424, 2304
1708122936700, 631383, -1232, 624, 2016
1708122936712, 631394, -1536, 1392, 2576
1708122936724, 631405, -1344, 2080, 3744
1708122936736, 631416, -544, 2256, 5136
1708122936744, 631427, -32, 2912, 5296
1708122936756, 631438, 352, 3680, 4448
1708122936768, 631449, 448, 1840, 2544
1708122936780, 631460, 2560, -1264, -1104
1708122936788, 631471, 2816, -3984, -5136
1708122936800, 631482, 4992, -4464, -6240
1708122936812, 631493, 6640, -3072, -7952
1708122936824, 631504, 8160, -2416, -11088
1708122936836, 631515, 10032, -2640, -15328
