Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1708122967483, 662161, 8256, -208, -32
1708122967491, 662172, 8288, -240, -112
1708122967503, 662183, 8224, -304, -16
1708122967515, 662194, 8240, -464, 16
1708122967527, 662205, 8208, -576, -176
1708122967535, 662216, 8176, -640, -160
1708122967547, 662227, 8272, -512, -304
1708122967559, 662238, 8240, -384, -384
1708122967571, 662249, 8224, -416, -480
1708122967579, 662260, 8176, -544, -464
1708122967591, 662271, 8192, -560, -304
1708122967603, 662282, 8208, -576, -160
1708122967615, 662293, 8160, -592, -80
1708122967623, 662304, 8256, -576, -208
1708122967635, 662315, 8224, -592, -256
1708122967647, 662326, 8160, -528, -368
1708122967659, 662337, 8144, -464, -400
1708122967667, 662348, 8208, -448, -400
1708122967679, 662359, 8256, -400, -384
1708122967691, 662370, 8176, -320, -272
1708122967703, 662381, 8240, -272, -144
1708122967711, 662392, 8096, -336, -160
1708122967723, 662403, 8176, -368, -96
1708122967735, 662414, 8160, -528, -208
1708122967747, 662425, 8256, -624, -256
1708122967755, 662436, 8240, -544, -304
1708122967767, 662447, 8208, -480, -336
1708122967779, 662458, 8144, -464, -320
1708122967791, 662469, 8224, -544, -512
1708122967799, 662480, 8176, -496, -416
1708122967811, 662491, 8224, -400, -384
1708122967823, 662502, 8128, -336, -384
1708122967835, 662513, 8192, -384, -560
1708122967843, 662524, 8224, -368, -480
1708122967855, 662535, 8160, -320, -528
1708122967867, 662546, 8096, -288, -448
1708122967879, 662557, 8112, -304, -368
1708122967887, 662568, 8208, -336, -176
1708122967899, 662579, 8144, -432, -176
1708122967911, 662590, 8128, -576, -288
1708122967923, 662601, 8096, -512, -368
1708122967931, 662612, 8128, -384, -320
1708122967943, 662623, 8160, -448, -304
1708122967955, 662634, 8192, -576, -272
1708122967967, 662645, 8160, -528, -288
1708122967975, 662656, 8208, -496, -288
1708122967987, 662667, 8368, -608, -592
1708122967999, 662678, 8288, -448, -416
1708122968011, 662689, 8288, -400, -256
1708122968019, 662700, 8192, -336, -256
1708122968031, 662711, 8272, -480, -416
1708122968043, 662722, 8272, -624, -608
1708122968055, 662733, 8320, -592, -624
1708122968063, 662744, 8144, -464, -368
1708122968075, 662755, 8112, -464, -416
1708122968087, 662766, 8080, -336, -272
1708122968099, 662777, 8064, -320, -320
1708122968107, 662788, 8016, -352, -352
1708122968119, 662799, 7984, -432, -464
1708122968131, 662810, 8000, -352, -480
1708122968143, 662821, 7920, -496, -672
1708122968151, 662832, 8032, -672, -1040
1708122968163, 662843, 8272, -1040, -1440
1708122968175, 662854, 8272, -1328, -2304
1708122968187, 662865, 8352, -1856, -3200
1708122968195, 662876, 8272, -2192, -3552
1708122968207, 662887, 8288, -2288, -3792
1708122968219, 662898, 8112, -2272, -3904
1708122968231, 662909, 8096, -2592, -4128
1708122968239, 662920, 8272, -2688, -4864
1708122968251, 662931, 8176, -2272, -5424
