Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1708123062085, 756761, 6544, -3920, 2352
1708123062093, 756772, 6592, -4496, 2368
1708123062105, 756783, 6832, -4576, 2240
1708123062117, 756794, 6960, -4208, 2128
1708123062129, 756805, 6768, -3920, 2128
1708123062137, 756816, 6704, -3808, 2272
1708123062149, 756827, 6624, -3856, 2368
1708123062161, 756838, 6608, -3760, 2560
1708123062173, 756849, 6592, -3808, 2592
1708123062181, 756860, 6672, -4224, 2560
1708123062193, 756871, 6896, -4624, 2448
1708123062205, 756882, 6816, -4464, 2208
1708123062217, 756893, 6896, -4144, 2144
1708123062225, 756904, 6768, -3952, 2096
1708123062237, 756915, 6816, -3872, 2048
1708123062249, 756926, 6704, -3968, 2208
1708123062261, 756937, 6720, -4064, 2432
1708123062269, 756948, 6704, -4000, 2048
1708123062281, 756959, 6640, -3808, 2032
1708123062293, 756970, 6576, -3936, 2112
1708123062305, 756981, 6640, -3984, 2288
1708123062313, 756992, 6704, -3904, 2224
1708123062325, 757003, 6736, -3968, 2240
1708123062337, 757014, 6768, -4000, 2624
1708123062349, 757025, 6768, -4032, 2544
1708123062357, 757036, 6800, -4128, 2416
1708123062369, 757047, 6656, -4208, 2512
1708123062381, 757058, 6720, -4128, 2432
1708123062393, 757069, 6720, -4048, 2336
1708123062401, 757080, 6784, -3936, 2256
1708123062413, 757091, 6752, -3920, 2224
1708123062425, 757102, 6704, -4000, 1984
1708123062437, 757113, 6784, -4080, 2128
1708123062445, 757124, 6864, -4080, 1840
1708123062457, 757135, 7024, -4288, 1600
1708123062469, 757146, 7232, -4336, 1184
1708123062481, 757157, 7488, -4496, 752
1708123062489, 757168, 7536, -4256, -320
1708123062501, 757179, 7568, -4208, -512
1708123062513, 757190, 7360, -4192, -320
1708123062525, 757201, 7472, -4224, 112
1708123062533, 757212, 7616, -4288, 352
1708123062545, 757223, 7488, -4352, 464
1708123062557, 757234, 8112, -4800, 368
1708123062569, 757245, 8512, -4992, -352
1708123062577, 757256, 8752, -5136, -1264
1708123062589, 757267, 9088, -5344, -2256
1708123062601, 757278, 9248, -5472, -2800
1708123062613, 757289, 9232, -5696, -3008
1708123062621, 757300, 9056, -5904, -2064
1708123062633, 757311, 8576, -5808, -1568
1708123062645, 757322, 8416, -5536, 704
1708123062657, 757333, 5696, -5584, 5104
1708123062665, 757344, 2624, -4208, 12816
1708123062677, 757355, -320, -2832, 21152
1708123062689, 757366, -4128, -96, 31584
1708123062701, 757377, -6848, 4176, 32576
1708123062709, 757388, -9408, 6528, 32640
1708123062721, 757399, -9904, 4528, 32640
1708123062733, 757410, -13056, -1136, 31456
1708123062745, 757421, -13024, -10304, 20048
1708123062753, 757432, -10688, -16480, 12944
1708123062765, 757443, -8864, -20752, 7312
1708123062777, 757454, -7648, -22176, 3904
1708123062789, 757465, -6480, -23040, -2384
1708123062797, 757476, -6112, -24480, -11184
1708123062809, 757487, -3472, -23792, -22336
1708123062821, 757498, -3024, -18144, -32144
1708123062833, 757509, 3072, -10608, -32608
1708123062841, 757520, 6544, -3600, -32624
