Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1708122625758, 320446, 3520, -2432, 6464
1708122625766, 320457, 3440, -2352, 6384
1708122625778, 320468, 3408, -2224, 6384
1708122625790, 320479, 3424, -2256, 6656
1708122625802, 320490, 3424, -2176, 6592
1708122625810, 320501, 3360, -2128, 6432
1708122625822, 320512, 3312, -2112, 6400
1708122625834, 320523, 3392, -2144, 6528
1708122625846, 320534, 3376, -2320, 6480
1708122625854, 320545, 3424, -2368, 6448
1708122625866, 320556, 3584, -2384, 6368
1708122625878, 320567, 3392, -2368, 6384
1708122625890, 320578, 3408, -2320, 6704
1708122625898, 320589, 3456, -2208, 6544
1708122625910, 320600, 3312, -2176, 6480
1708122625922, 320611, 3264, -2176, 6352
1708122625934, 320622, 3216, -2256, 6336
1708122625942, 320633, 3200, -2288, 6080
1708122625954, 320644, 3168, -2368, 6048
1708122625966, 320655, 3040, -2432, 6016
1708122625978, 320666, 3040, -2416, 5968
1708122625986, 320677, 2816, -2432, 5776
1708122625998, 320688, 2752, -2304, 5664
1708122626010, 320699, 2384, -2304, 5344
1708122626022, 320710, 2064, -2224, 4976
1708122626030, 320721, 1920, -2000, 4720
1708122626042, 320732, 1664, -2048, 4720
1708122626054, 320743, 1712, -2400, 4672
1708122626066, 320754, 1728, -2752, 4384
1708122626074, 320765, 1840, -2976, 4400
1708122626086, 320776, 1648, -3104, 4144
1708122626098, 320787, 1616, -3312, 4144
1708122626110, 320798, 1232, -3488, 4224
1708122626118, 320809, 960, -3648, 4224
1708122626130, 320820, 800, -3888, 3872
1708122626142, 320831, 608, -4384, 3536
1708122626154, 320842, 304, -4688, 3376
1708122626162, 320853, 32, -4784, 3552
1708122626174, 320864, -128, -4848, 4000
1708122626186, 320875, -992, -4704, 4000
1708122626198, 320886, -1504, -4656, 4176
1708122626206, 320897, -1904, -4784, 4160
1708122626218, 320908, -2448, -5200, 4080
1708122626230, 320919, -2832, -5728, 4256
1708122626242, 320930, -3120, -6432, 4304
1708122626250, 320941, -3248, -7120, 4736
1708122626262, 320952, -3904, -7296, 5344
1708122626274, 320963, -4000, -7568, 5840
1708122626286, 320974, -4912, -7664, 6416
1708122626294, 320985, -5312, -7312, 6512
1708122626306, 320996, -5760, -6704, 6080
1708122626318, 321007, -6160, -6224, 5536
1708122626330, 321018, -6384, -6640, 5152
1708122626338, 321029, -6656, -7248, 5456
1708122626350, 321040, -6736, -7760, 6592
1708122626362, 321051, -7184, -7760, 7632
1708122626374, 321062, -7152, -7056, 8544
1708122626382, 321073, -7008, -5952, 9392
1708122626394, 321084, -6928, -4720, 9776
1708122626406, 321095, -6608, -4000, 10416
1708122626418, 321106, -6256, -3600, 10416
1708122626426, 321117, -6272, -3312, 10432
1708122626438, 321128, -5584, -3104, 9408
1708122626450, 321139, -5408, -3072, 7856
1708122626462, 321150, -5184, -2992, 7008
1708122626470, 321161, -4896, -3232, 6256
1708122626482, 321172, -4736, -3632, 5824
1708122626494, 321183, -4544, -3744, 5232
1708122626506, 321194, -4528, -3472, 4880
1708122626514, 321205, -4704, -3168, 4640
1708122626526, 321216, -4768, -2672, 4672
1708122626538, 321227, -4528, -2480, 4624
1708122626550, 321238, -4160, -2608, 4432
1708122626558, 321249, -3920, -3008, 4432
1708122626570, 321260, -3584, -3392, 4432
1708122626582, 321271, -3296, -3680, 4176
1708122626594, 321282, -3120, -4112, 4272
1708122626602, 321293, -3104, -4704, 4064
1708122626614, 321304, -3344, -4928, 3456
1708122626626, 321315, -3552, -4656, 2272
1708122626638, 321326, -3520, -4384, 1808
1708122626646, 321337, -3872, -3744, 1920
1708122626658, 321348, -4208, -2400, 2464
1708122626670, 321359, -4432, -544, 2960
1708122626682, 321370, -4384, -32, 2992
1708122626690, 321381, -4384, -48, 2704
1708122626702, 321392, -4576, -160, 2528
1708122626714, 321403, -4160, -480, 3312
1708122626726, 321414, -4096, -288, 4656
1708122626734, 321425, -4752, 240, 5520
1708122626746, 321436, -4944, 352, 6304
1708122626758, 321447, -4960, 144, 6720
1708122626770, 321458, -5088, -288, 6608
1708122626778, 321469, -5184, -288, 7040
1708122626790, 321480, -5536, -528, 7712
1708122626803, 321491, -5536, -496, 8288
1708122626814, 321502, -6272, -272, 8272
1708122626823, 321513, -6016, -992, 8320
1708122626834, 321524, -5824, -2336, 8272
1708122626846, 321535, -5888, -3600, 9056
1708122626858, 321546, -6016, -4112, 10592
1708122626866, 321557, -6608, -4784, 12592
1708122626878, 321568, -6768, -6992, 14864
1708122626890, 321579, -8368, -8880, 16480
1708122626902, 321590, -8800, -11424, 16800
1708122626910, 321601, -14208, -12704, 17136
1708122626922, 321612, -17728, -11952, 19328
1708122626934, 321623, -20480, -12528, 22144
1708122626946, 321634, -24240, -13152, 25216
1708122626954, 321645, -27904, -12336, 22432
1708122626966, 321656, -30976, -12544, 13872
1708122626978, 321667, -31632, -12848, 6640
1708122626990, 321678, -32624, -10768, -1184
1708122626998, 321689, -32624, -9168, -9008
1708122627010, 321700, -31216, -8336, -11616
1708122627022, 321711, -28016, -7760, -10880
1708122627034, 321722, -25760, -7168, -8576
1708122627042, 321733, -23888, -7072, -4192
1708122627054, 321744, -23456, -7360, -864
1708122627066, 321755, -19616, -7936, 2704
1708122627078, 321766, -19136, -8128, 5120
1708122627086, 321777, -16448, -7776, 5616
1708122627098, 321788, -14176, -7616, 4912
1708122627110, 321799, -11968, -7488, 3744
1708122627122, 321810, -8800, -7184, 2064
1708122627130, 321821, -6496, -7392, 1360
1708122627142, 321832, -4608, -7216, 1072
1708122627154, 321843, -4272, -6752, 848
1708122627166, 321854, -1216, -6432, 1584
1708122627174, 321865, 16, -6032, 3104
1708122627186, 321876, 960, -5184, 3712
1708122627198, 321887, 2000, -4464, 3984
1708122627210, 321898, 2624, -4304, 3952
1708122627218, 321909, 3312, -4208, 4576
1708122627230, 321920, 3472, -4096, 4944
1708122627242, 321931, 3632, -3920, 5600
1708122627254, 321942, 3600, -3536, 6336
1708122627262, 321953, 3168, -3248, 6448
1708122627274, 321964, 3216, -3312, 6048
1708122627286, 321975, 3296, -3424, 5600
1708122627298, 321986, 3344, -3456, 4848
1708122627306, 321997, 3392, -3504, 4592
1708122627318, 322008, 3408, -3360, 4576
1708122627330, 322019, 3488, -3008, 5152
1708122627342, 322030, 3456, -2720, 5680
1708122627350, 322041, 3504, -2176, 6336
1708122627362, 322052, 3344, -1856, 6480
