Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707714734374, 6753723, -3232, -1824, 6736
1707714734384, 6753733, -3296, -1792, 6640
1707714734394, 6753743, -3280, -1808, 6640
1707714734404, 6753753, -3312, -1840, 6608
1707714734414, 6753763, -3248, -1920, 6592
1707714734424, 6753773, -3216, -2032, 6496
1707714734433, 6753783, -3136, -2080, 6544
1707714734444, 6753793, -3248, -2288, 6448
1707714734454, 6753803, -3168, -2352, 6464
1707714734464, 6753813, -3056, -2432, 6464
1707714734473, 6753823, -3088, -2560, 6384
1707714734484, 6753833, -3088, -2496, 6368
1707714734494, 6753843, -3168, -2464, 6320
1707714734504, 6753853, -3120, -2480, 6240
1707714734514, 6753863, -3152, -2416, 6128
1707714734524, 6753873, -3088, -2272, 6112
1707714734533, 6753883, -3104, -2336, 6096
1707714734544, 6753893, -3184, -2224, 6080
1707714734554, 6753903, -3248, -2240, 6112
1707714734563, 6753913, -3360, -2224, 6192
1707714734574, 6753923, -3296, -2176, 6352
1707714734583, 6753933, -3360, -2144, 6464
1707714734594, 6753943, -3392, -2240, 6496
1707714734604, 6753953, -3472, -2384, 6432
1707714734614, 6753963, -3456, -2480, 6400
1707714734624, 6753973, -3328, -2432, 6432
1707714734634, 6753983, -3424, -2432, 6384
1707714734644, 6753993, -3376, -2432, 6496
1707714734654, 6754003, -3392, -2416, 6560
1707714734664, 6754013, -3408, -2368, 6592
1707714734673, 6754023, -3328, -2336, 6496
1707714734683, 6754033, -3392, -2352, 6320
1707714734694, 6754043, -3424, -2304, 6192
1707714734704, 6754053, -3408, -2208, 5936
1707714734713, 6754063, -3440, -2096, 5744
1707714734724, 6754073, -3392, -2096, 5648
1707714734733, 6754083, -3440, -2304, 5760
1707714734744, 6754093, -3632, -2400, 5872
1707714734754, 6754103, -3728, -2304, 6064
1707714734763, 6754113, -3696, -2352, 6000
1707714734774, 6754123, -3648, -2416, 5936
1707714734784, 6754133, -3696, -2400, 5840
1707714734794, 6754143, -3632, -2576, 5904
1707714734804, 6754153, -3664, -2592, 5936
1707714734814, 6754163, -3712, -2496, 6096
1707714734824, 6754173, -3712, -2416, 6400
1707714734833, 6754183, -3680, -2416, 6464
1707714734844, 6754193, -3616, -2400, 6512
1707714734854, 6754203, -3632, -2464, 6496
1707714734864, 6754213, -3552, -2432, 6608
1707714734874, 6754223, -3632, -2496, 6528
1707714734883, 6754233, -3664, -2416, 6496
1707714734894, 6754243, -3584, -2416, 6400
1707714734904, 6754253, -3632, -2320, 6384
1707714734913, 6754263, -3824, -2288, 6320
1707714734924, 6754273, -3696, -2272, 6208
1707714734934, 6754283, -3680, -2256, 6128
1707714734944, 6754293, -3760, -2176, 6096
1707714734954, 6754303, -3776, -2080, 5920
1707714734964, 6754313, -3776, -1984, 5856
1707714734974, 6754323, -3856, -1872, 5872
1707714734984, 6754333, -3904, -1776, 5856
1707714734994, 6754343, -4016, -1872, 5904
1707714735004, 6754353, -3952, -1856, 5968
1707714735013, 6754363, -3904, -1968, 6032
1707714735024, 6754373, -3936, -2128, 6048
1707714735034, 6754383, -3888, -2144, 6176
1707714735044, 6754393, -3840, -2224, 6272
1707714735054, 6754403, -3792, -2416, 6336
1707714735063, 6754413, -3888, -2368, 6320
1707714735074, 6754423, -3808, -2432, 6304
1707714735083, 6754433, -3840, -2464, 6304
1707714735093, 6754443, -3808, -2432, 6240
1707714735104, 6754453, -3840, -2400, 6224
