Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707714287514, 6306863, -7712, -3184, 19648
1707714287524, 6306873, -8816, -1984, 21824
1707714287534, 6306883, -9184, -960, 22144
1707714287544, 6306893, -9968, -912, 21296
1707714287554, 6306903, -10512, -1312, 19552
1707714287564, 6306913, -10864, -1728, 17488
1707714287574, 6306923, -11008, -2048, 15424
1707714287584, 6306933, -11008, -2272, 13728
1707714287594, 6306943, -11088, -2192, 12304
1707714287604, 6306953, -10912, -2096, 11632
1707714287614, 6306963, -10608, -2288, 10768
1707714287624, 6306973, -10176, -2784, 10000
1707714287634, 6306983, -9776, -3312, 9392
1707714287644, 6306993, -9632, -3744, 9008
1707714287654, 6307003, -9424, -3952, 8736
1707714287664, 6307013, -9312, -4112, 8688
1707714287674, 6307023, -9152, -4128, 8624
1707714287684, 6307033, -9088, -4096, 8656
1707714287694, 6307043, -9104, -4144, 8896
1707714287704, 6307053, -9200, -4496, 8896
1707714287714, 6307063, -9008, -4256, 8416
1707714287724, 6307073, -9152, -4448, 8592
1707714287734, 6307083, -9232, -4208, 8432
1707714287744, 6307093, -9504, -4416, 8288
1707714287754, 6307103, -9200, -4640, 7712
1707714287764, 6307113, -9696, -4784, 8048
1707714287774, 6307123, -9744, -4544, 7888
1707714287784, 6307133, -10480, -4416, 8144
1707714287794, 6307143, -13120, -3104, 10912
1707714287804, 6307153, -11376, -2848, 7984
1707714287814, 6307163, -12048, -2368, 8144
1707714287824, 6307173, -12464, -1680, 8128
1707714287834, 6307183, -13088, -1472, 8320
1707714287844, 6307193, -13728, -1200, 8368
1707714287854, 6307203, -14560, -1200, 8224
1707714287864, 6307213, -15392, -1296, 7920
1707714287874, 6307223, -16320, -1584, 7680
1707714287884, 6307233, -17632, -1920, 7408
1707714287894, 6307243, -18656, -2432, 6992
1707714287904, 6307253, -19568, -3440, 6560
1707714287914, 6307263, -20240, -4752, 5856
1707714287924, 6307273, -20672, -6064, 4880
1707714287934, 6307283, -21232, -7280, 4064
1707714287944, 6307293, -21504, -7856, 2880
1707714287954, 6307303, -22512, -9744, 2352
1707714287964, 6307313, -23040, -11808, 1744
1707714287974, 6307323, -22272, -13664, 912
1707714287984, 6307333, -20416, -15520, -16
1707714287994, 6307343, -18304, -17216, -752
1707714288006, 6307353, -15920, -17920, -1360
1707714288016, 6307363, -13504, -17392, -2352
1707714288026, 6307373, -11312, -16784, -3792
1707714288034, 6307383, -9776, -16112, -4784
1707714288044, 6307393, -9024, -15616, -4608
1707714288054, 6307403, -8720, -15024, -3088
1707714288064, 6307413, -8896, -14880, -704
1707714288074, 6307423, -9296, -15088, 1600
1707714288084, 6307433, -9712, -15744, 3440
1707714288094, 6307443, -10128, -16832, 4400
1707714288104, 6307453, -10576, -17872, 4096
1707714288114, 6307463, -10832, -18672, 2992
1707714288124, 6307473, -10752, -19328, 1456
1707714288134, 6307483, -10352, -19360, -208
1707714288144, 6307493, -9920, -19376, -1920
1707714288154, 6307503, -9536, -18832, -3296
1707714288164, 6307513, -9248, -18224, -4880
1707714288174, 6307523, -9088, -17200, -6144
1707714288184, 6307533, -8448, -15456, -6608
1707714288194, 6307543, -8560, -14048, -6624
1707714288204, 6307553, -9040, -13520, -6032
1707714288214, 6307563, -9200, -12512, -5072
1707714288224, 6307573, -9408, -11856, -4784
1707714288236, 6307583, -10032, -11872, -4240
1707714288246, 6307593, -10384, -11904, -3744
1707714288256, 6307603, -10560, -11840, -3024
1707714288266, 6307613, -10832, -12096, -2192
1707714288276, 6307623, -11200, -11840, -1168
1707714288284, 6307633, -11744, -11888, -432
1707714288294, 6307643, -12096, -11600, 320
1707714288304, 6307653, -12096, -11232, 784
1707714288314, 6307663, -12096, -11024, 1104
1707714288324, 6307673, -12144, -10832, 1472
1707714288334, 6307683, -12224, -11280, 1632
1707714288344, 6307693, -12256, -11808, 1824
1707714288354, 6307703, -11888, -12192, 1776
1707714288364, 6307713, -11376, -12544, 1680
1707714288374, 6307723, -10848, -13600, 1344
1707714288384, 6307733, -10512, -14432, 1104
1707714288394, 6307743, -10384, -15520, 672
1707714288404, 6307753, -10640, -16576, 464
1707714288414, 6307763, -10944, -17376, 176
1707714288424, 6307773, -12544, -17056, 544
1707714288434, 6307783, -13632, -17008, 0
1707714288444, 6307793, -15744, -19168, 624
1707714288454, 6307803, -18352, -19552, 1744
1707714288464, 6307813, -23760, -20640, 2880
1707714288474, 6307823, -30176, -19952, 3968
1707714288484, 6307833, -32480, -15984, 6256
1707714288494, 6307843, -32624, -11744, 8576
1707714288504, 6307853, -32624, -7424, 13696
1707714288514, 6307863, -32624, -2192, 19296
1707714288524, 6307873, -32624, 6224, 25744
1707714288534, 6307883, -32624, 14256, 31312
1707714288544, 6307893, -32496, 19664, 32528
1707714288554, 6307903, -26240, 23536, 31312
1707714288564, 6307913, -19312, 22704, 26816
1707714288574, 6307923, -13728, 19376, 21728
1707714288584, 6307933, -8864, 14944, 17600
1707714288594, 6307943, -8048, 10512, 14544
1707714288604, 6307953, -6544, 7184, 10672
1707714288614, 6307963, -6112, 4048, 10304
1707714288624, 6307973, -5744, 2112, 9296
1707714288634, 6307983, -5392, 944, 8768
1707714288644, 6307993, -4880, -640, 7296
1707714288654, 6308003, -4560, -1776, 6096
1707714288664, 6308013, -4480, -3024, 4992
1707714288674, 6308023, -4288, -3648, 4640
1707714288684, 6308033, -4256, -4400, 5152
1707714288694, 6308043, -4304, -5344, 5136
1707714288704, 6308053, -4256, -5648, 5792
1707714288714, 6308063, -4080, -5632, 5728
1707714288724, 6308073, -3712, -5280, 5168
1707714288734, 6308083, -3520, -4608, 4400
1707714288744, 6308093, -3536, -3968, 3808
1707714288754, 6308103, -3312, -3152, 3296
1707714288764, 6308113, -3152, -2592, 2816
1707714288774, 6308123, -3136, -2208, 2736
1707714288784, 6308133, -2992, -2512, 2944
1707714288794, 6308143, -2576, -2752, 3168
1707714288804, 6308153, -2176, -3152, 3328
1707714288814, 6308163, -1728, -4240, 3632
1707714288824, 6308173, -1312, -5664, 3808
1707714288834, 6308183, -944, -7504, 4128
1707714288844, 6308193, -336, -9056, 4288
1707714288854, 6308203, 256, -9984, 4272
1707714288864, 6308213, 896, -10528, 4192
1707714288874, 6308223, 1696, -10944, 4000
1707714288884, 6308233, 2368, -11696, 3792
1707714288894, 6308243, 2816, -12704, 3552
1707714288904, 6308253, 3248, -13712, 3104
1707714288914, 6308263, 3712, -14224, 2848
1707714288924, 6308273, 3760, -13504, 2992
1707714288934, 6308283, 3456, -12064, 3936
1707714288944, 6308293, 2864, -11264, 5488
1707714288954, 6308303, 2192, -10832, 6976
1707714288964, 6308313, 2016, -10080, 7856
1707714288974, 6308323, 2640, -9024, 7200
1707714288984, 6308333, 3280, -8400, 6688
1707714288994, 6308343, 3504, -8480, 6688
1707714289004, 6308353, 3232, -8528, 7520
1707714289014, 6308363, 3632, -8768, 7488
