Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707714593844, 6613193, -4928, -11888, 3840
1707714593854, 6613203, -5072, -12176, 4576
1707714593864, 6613213, -5312, -12320, 5280
1707714593874, 6613223, -5808, -12384, 5872
1707714593884, 6613233, -6384, -12320, 6480
1707714593894, 6613243, -6656, -11840, 6864
1707714593904, 6613253, -6816, -11056, 7200
1707714593914, 6613263, -6848, -10112, 7664
1707714593924, 6613273, -6768, -9248, 8112
1707714593934, 6613283, -6608, -8400, 8560
1707714593944, 6613293, -6400, -7744, 9056
1707714593954, 6613303, -6400, -7024, 9792
1707714593964, 6613313, -6192, -6480, 10784
1707714593974, 6613323, -5760, -6064, 11776
1707714593984, 6613333, -5216, -5696, 12912
1707714593994, 6613343, -4416, -5408, 14080
1707714594004, 6613353, -2432, -6224, 14528
1707714594014, 6613363, -2304, -5344, 15600
1707714594024, 6613373, -1712, -4496, 16400
1707714594034, 6613383, -272, -4064, 16448
1707714594044, 6613393, 1072, -4672, 15984
1707714594054, 6613403, 1792, -5072, 15568
1707714594064, 6613413, 2608, -4992, 14720
1707714594074, 6613423, 3584, -4816, 13760
1707714594084, 6613433, 4208, -4400, 13312
1707714594094, 6613443, 4720, -4048, 12960
1707714594104, 6613453, 5072, -4048, 13152
1707714594114, 6613463, 5312, -4192, 12928
1707714594124, 6613473, 5280, -4640, 12544
1707714594134, 6613483, 5168, -5360, 12000
1707714594144, 6613493, 5248, -5936, 11264
1707714594154, 6613503, 5120, -6592, 10800
1707714594164, 6613513, 4768, -7488, 10720
1707714594174, 6613523, 3952, -8160, 10624
1707714594184, 6613533, 2400, -8768, 9968
1707714594194, 6613543, 416, -9424, 9056
1707714594204, 6613553, -2272, -10144, 8320
1707714594214, 6613563, -5072, -10016, 7568
1707714594224, 6613573, -8064, -9952, 6816
1707714594234, 6613583, -10848, -9536, 6112
1707714594244, 6613593, -13296, -8896, 5904
1707714594254, 6613603, -15216, -8336, 5968
1707714594264, 6613613, -16736, -7712, 6064
1707714594274, 6613623, -17792, -7264, 6016
1707714594284, 6613633, -18336, -6384, 5136
1707714594294, 6613643, -18480, -5392, 3680
1707714594304, 6613653, -18240, -4064, 1520
1707714594314, 6613663, -18016, -2016, -320
1707714594324, 6613673, -17632, 48, -1648
1707714594334, 6613683, -17136, 1936, -2592
1707714594344, 6613693, -16672, 3040, -3440
1707714594354, 6613703, -16368, 3664, -3696
1707714594364, 6613713, -16800, 4304, -3968
1707714594374, 6613723, -17312, 5440, -3936
1707714594384, 6613733, -17952, 6192, -4144
1707714594394, 6613743, -18480, 7344, -4128
1707714594404, 6613753, -19312, 8896, -4096
1707714594414, 6613763, -19856, 10896, -3824
1707714594424, 6613773, -20096, 12512, -3664
1707714594434, 6613783, -20016, 13840, -3376
1707714594444, 6613793, -19776, 14800, -2912
1707714594454, 6613803, -19200, 15136, -2496
1707714594464, 6613813, -18496, 14816, -2272
1707714594474, 6613823, -17856, 14288, -2368
1707714594484, 6613833, -17456, 13680, -2448
1707714594494, 6613843, -17296, 13152, -2464
1707714594504, 6613853, -17264, 12624, -2512
1707714594514, 6613863, -17536, 12192, -2256
1707714594524, 6613873, -17856, 12016, -1808
1707714594534, 6613883, -17824, 12336, -1552
1707714594544, 6613893, -17712, 11872, -1392
1707714594554, 6613903, -18016, 10992, -608
1707714594564, 6613913, -17888, 9600, -400
1707714594574, 6613923, -18144, 8896, -256
1707714594584, 6613933, -18640, 8352, 224
1707714594594, 6613943, -19312, 7648, 1056
1707714594604, 6613953, -19712, 6368, 2128
