Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707714398345, 6417693, -1920, -9328, -80
1707714398355, 6417703, -1632, -9408, -144
1707714398365, 6417713, -1504, -9584, -272
1707714398375, 6417723, -1552, -9856, -464
1707714398385, 6417733, -1680, -10224, -336
1707714398395, 6417743, -1856, -9968, 64
1707714398405, 6417753, -2528, -9984, 624
1707714398415, 6417763, -3488, -10048, 1312
1707714398425, 6417773, -4080, -9376, 2288
1707714398435, 6417783, -4576, -8640, 3024
1707714398445, 6417793, -5248, -8240, 3808
1707714398455, 6417803, -5376, -7568, 4336
1707714398465, 6417813, -6048, -6800, 5344
1707714398475, 6417823, -6912, -6080, 6608
1707714398485, 6417833, -6928, -5232, 7824
1707714398495, 6417843, -6800, -4848, 8544
1707714398505, 6417853, -6720, -4880, 9136
1707714398515, 6417863, -6432, -5232, 9504
1707714398525, 6417873, -6304, -6032, 9808
1707714398535, 6417883, -6224, -6608, 10144
1707714398545, 6417893, -6160, -6672, 10464
1707714398555, 6417903, -6144, -6832, 10720
1707714398565, 6417913, -6128, -7056, 10800
1707714398575, 6417923, -6416, -6560, 10848
1707714398585, 6417933, -6848, -6192, 10896
1707714398595, 6417943, -7200, -6048, 10976
1707714398605, 6417953, -7264, -6448, 10992
1707714398615, 6417963, -7376, -7424, 10720
1707714398625, 6417973, -7392, -8192, 10368
1707714398635, 6417983, -7600, -8656, 9872
1707714398645, 6417993, -7632, -9344, 9184
1707714398655, 6418003, -7728, -9936, 8464
1707714398665, 6418013, -8032, -9984, 7920
1707714398675, 6418023, -8320, -9904, 7456
1707714398685, 6418033, -8400, -10000, 6800
1707714398695, 6418043, -8448, -10816, 6064
1707714398705, 6418053, -8496, -11344, 5600
1707714398715, 6418063, -8304, -11792, 4864
1707714398725, 6418073, -8336, -12256, 4064
1707714398735, 6418083, -8464, -12624, 3568
1707714398745, 6418093, -8704, -12784, 3280
1707714398755, 6418103, -8720, -12992, 2992
1707714398765, 6418113, -8880, -13200, 2832
1707714398775, 6418123, -9120, -13536, 3008
1707714398785, 6418133, -9328, -13984, 3120
1707714398795, 6418143, -9696, -14208, 2912
1707714398805, 6418153, -10448, -14560, 2832
