Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707715037612, 7056963, -8768, 6768, 16160
1707715037622, 7056973, -8544, 7120, 15968
1707715037632, 7056983, -8304, 7008, 15264
1707715037642, 7056993, -7936, 6016, 14272
1707715037652, 7057003, -7408, 5088, 12928
1707715037662, 7057013, -7024, 4032, 11856
1707715037672, 7057023, -6720, 3424, 10656
1707715037680, 7057033, -6592, 2992, 9712
1707715037690, 7057043, -6560, 3232, 8992
1707715037700, 7057053, -6560, 3312, 8448
1707715037710, 7057063, -6496, 3472, 8080
1707715037720, 7057073, -6736, 3792, 8320
1707715037730, 7057083, -6832, 4080, 8592
1707715037740, 7057093, -7008, 4144, 8912
1707715037750, 7057103, -7216, 4560, 8800
1707715037760, 7057113, -7488, 4736, 8240
1707715037770, 7057123, -7728, 4528, 8272
1707715037780, 7057133, -7872, 4192, 8016
1707715037790, 7057143, -7952, 3936, 7888
1707715037800, 7057153, -8064, 3824, 7728
1707715037810, 7057163, -8064, 3824, 7424
1707715037820, 7057173, -7824, 3872, 7120
1707715037830, 7057183, -7552, 3712, 6896
1707715037840, 7057193, -7200, 3312, 6400
1707715037850, 7057203, -6928, 3088, 5936
1707715037860, 7057213, -6528, 2976, 5616
1707715037870, 7057223, -6304, 2800, 5504
1707715037880, 7057233, -6320, 2624, 5648
1707715037890, 7057243, -6592, 2880, 5808
1707715037900, 7057253, -6848, 3312, 5984
1707715037910, 7057263, -7152, 3744, 5936
1707715037920, 7057273, -7392, 4208, 5920
1707715037930, 7057283, -7664, 4464, 5792
1707715037940, 7057293, -7856, 5056, 5552
1707715037950, 7057303, -7952, 5232, 5328
1707715037960, 7057313, -8144, 5232, 5232
1707715037970, 7057323, -8224, 5440, 5216
1707715037980, 7057333, -8240, 5440, 5232
1707715037990, 7057343, -8256, 5312, 5104
1707715038000, 7057353, -8400, 4992, 5328
1707715038010, 7057363, -8816, 5072, 5856
1707715038020, 7057373, -9376, 5664, 6192
1707715038032, 7057383, -10032, 6464, 5776
1707715038042, 7057393, -10640, 6560, 4448
1707715038050, 7057403, -11184, 5632, 2912
1707715038062, 7057413, -11440, 4288, 1424
1707715038072, 7057423, -11120, 1888, -176
1707715038080, 7057433, -11408, 864, -144
1707715038092, 7057443, -11424, -480, -272
1707715038102, 7057453, -11072, -2560, -272
1707715038112, 7057463, -10720, -4512, 144
1707715038122, 7057473, -10320, -6176, 112
1707715038132, 7057483, -9584, -7312, -688
1707715038142, 7057493, -9040, -7344, -2304
1707715038152, 7057503, -8480, -7696, -3968
1707715038162, 7057513, -8496, -8352, -5328
1707715038172, 7057523, -8432, -8256, -6080
1707715038182, 7057533, -8880, -8608, -6016
1707715038192, 7057543, -9392, -10128, -6320
1707715038202, 7057553, -9328, -11840, -5952
1707715038212, 7057563, -8992, -12816, -4880
1707715038222, 7057573, -8864, -13408, -4400
1707715038232, 7057583, -9168, -13520, -3680
1707715038242, 7057593, -9056, -14736, -3712
1707715038252, 7057603, -7536, -16000, -5296
1707715038262, 7057613, -6752, -17104, -6560
1707715038272, 7057623, -6448, -18032, -6128
1707715038282, 7057633, -6176, -18224, -4416
1707715038292, 7057643, -5952, -18064, -2384
