Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707714638973, 6658323, -2912, -7472, 1392
1707714638983, 6658333, -3024, -7280, 1312
1707714638993, 6658343, -3152, -7024, 1248
1707714639003, 6658353, -3280, -7072, 992
1707714639013, 6658363, -3248, -7104, 1056
1707714639023, 6658373, -3232, -7088, 1248
1707714639033, 6658383, -3296, -7088, 1376
1707714639043, 6658393, -3408, -7072, 1456
1707714639053, 6658403, -3392, -6896, 1472
1707714639063, 6658413, -3456, -6624, 1536
1707714639073, 6658423, -3616, -6448, 1472
1707714639083, 6658433, -3728, -6352, 1424
1707714639093, 6658443, -3648, -6416, 1648
1707714639103, 6658453, -3200, -5808, 1616
1707714639113, 6658463, -3824, -6688, 2128
1707714639123, 6658473, -4192, -7152, 2784
1707714639133, 6658483, -4208, -7200, 3520
1707714639143, 6658493, -4032, -7328, 4112
1707714639153, 6658503, -4128, -7776, 4624
1707714639163, 6658513, -4368, -8208, 4656
1707714639173, 6658523, -4640, -8416, 4304
1707714639183, 6658533, -4368, -8832, 3920
1707714639193, 6658543, -4384, -9856, 3808
1707714639203, 6658553, -4480, -10864, 3968
1707714639213, 6658563, -4384, -11696, 4384
1707714639223, 6658573, -4832, -12176, 4816
1707714639233, 6658583, -5536, -12896, 5136
1707714639243, 6658593, -5952, -13264, 4784
1707714639253, 6658603, -6400, -13392, 4000
1707714639263, 6658613, -6896, -13872, 3152
1707714639273, 6658623, -7552, -14512, 2304
1707714639283, 6658633, -8176, -15120, 1408
1707714639293, 6658643, -8736, -15504, 848
1707714639303, 6658653, -9344, -15584, 304
1707714639313, 6658663, -10144, -15664, -352
1707714639323, 6658673, -10736, -15632, -800
1707714639333, 6658683, -11376, -15680, -1088
1707714639343, 6658693, -12032, -15728, -1488
1707714639353, 6658703, -12576, -15280, -2176
1707714639363, 6658713, -13040, -14752, -2832
1707714639373, 6658723, -13712, -13712, -3056
1707714639383, 6658733, -13952, -12864, -2928
1707714639393, 6658743, -14272, -11808, -2512
1707714639403, 6658753, -14528, -10848, -2064
1707714639413, 6658763, -14448, -9744, -2352
1707714639423, 6658773, -14096, -8944, -2560
1707714639433, 6658783, -13840, -8704, -2368
1707714639443, 6658793, -13408, -8928, -1792
