Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707714802983, 6822333, -272, -384, 7712
1707714802993, 6822343, -144, -704, 7168
1707714803003, 6822353, -112, -432, 6800
1707714803013, 6822363, 16, -272, 6384
1707714803023, 6822373, -48, 48, 6192
1707714803033, 6822383, -112, 208, 6528
1707714803043, 6822393, -400, 176, 6944
1707714803053, 6822403, -544, 224, 7248
1707714803063, 6822413, -544, 240, 7200
1707714803073, 6822423, -656, 304, 6944
1707714803083, 6822433, -624, -32, 6848
1707714803093, 6822443, -304, -848, 6592
1707714803103, 6822453, -16, -2080, 6256
1707714803113, 6822463, 176, -3456, 5712
1707714803123, 6822473, 688, -4688, 4880
1707714803133, 6822483, 1184, -6192, 3744
1707714803143, 6822493, 1600, -7520, 2640
1707714803153, 6822503, 1488, -8896, 2256
1707714803163, 6822513, 1200, -10128, 2608
1707714803173, 6822523, 992, -11456, 3392
1707714803183, 6822533, 768, -12496, 4032
1707714803193, 6822543, 256, -13632, 4880
1707714803203, 6822553, -656, -14048, 5696
1707714803213, 6822563, -1872, -13392, 6672
1707714803223, 6822573, -3056, -12640, 7888
1707714803233, 6822583, -3936, -12048, 9184
1707714803243, 6822593, -4752, -12192, 11376
1707714803253, 6822603, -5312, -12560, 13552
1707714803263, 6822613, -5696, -13072, 15376
1707714803273, 6822623, -6096, -13936, 16384
1707714803283, 6822633, -6800, -14368, 16832
1707714803293, 6822643, -8256, -14496, 17136
1707714803303, 6822653, -10048, -12960, 17328
1707714803313, 6822663, -11984, -10096, 17536
1707714803323, 6822673, -14048, -6464, 17600
1707714803333, 6822683, -15664, -2512, 17856
1707714803343, 6822693, -16656, 704, 17472
1707714803353, 6822703, -17200, 3824, 17600
1707714803363, 6822713, -17856, 6576, 17968
1707714803373, 6822723, -17744, 7808, 17488
1707714803383, 6822733, -16944, 8112, 16432
1707714803393, 6822743, -16944, 7744, 15584
1707714803403, 6822753, -16080, 7456, 14752
1707714803413, 6822763, -15328, 7328, 13872
1707714803423, 6822773, -14608, 7312, 13632
1707714803433, 6822783, -14016, 7328, 13888
1707714803443, 6822793, -13808, 7424, 13984
1707714803453, 6822803, -13632, 8128, 13584
1707714803463, 6822813, -13408, 8112, 12992
1707714803473, 6822823, -13200, 7728, 12480
1707714803483, 6822833, -13136, 7232, 11888
1707714803493, 6822843, -13568, 7728, 11472
1707714803503, 6822853, -14640, 9120, 10544
1707714803513, 6822863, -15888, 11504, 9248
