Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707714925721, 6945073, -1376, -8016, 11632
1707714925731, 6945083, -1376, -8288, 12080
1707714925741, 6945093, -1168, -8528, 12640
1707714925751, 6945103, -1040, -8720, 13168
1707714925761, 6945113, -896, -8656, 14016
1707714925771, 6945123, -944, -8544, 14992
1707714925781, 6945133, -1600, -8208, 15856
1707714925791, 6945143, -2128, -7488, 16592
1707714925801, 6945153, -2640, -6608, 17296
1707714925811, 6945163, -3328, -5920, 17824
1707714925821, 6945173, -3984, -5216, 17904
1707714925831, 6945183, -4624, -4816, 17760
1707714925841, 6945193, -5168, -4896, 17328
1707714925851, 6945203, -5984, -6032, 16496
1707714925861, 6945213, -5888, -5888, 15296
1707714925871, 6945223, -5808, -5824, 14080
1707714925881, 6945233, -5568, -6208, 12912
1707714925891, 6945243, -5264, -6368, 12080
1707714925901, 6945253, -4656, -6352, 11184
1707714925911, 6945263, -3488, -5840, 10752
1707714925921, 6945273, -2672, -5056, 10640
1707714925931, 6945283, -2208, -4128, 10928
1707714925941, 6945293, -2432, -3376, 10928
1707714925951, 6945303, -2624, -2864, 10672
1707714925961, 6945313, -2784, -2736, 10288
1707714925971, 6945323, -3472, -2704, 10208
1707714925981, 6945333, -4352, -2768, 10256
1707714925991, 6945343, -5312, -2816, 10128
1707714926001, 6945353, -6176, -3056, 9392
1707714926011, 6945363, -6704, -2816, 8144
1707714926021, 6945373, -7184, -2576, 6608
1707714926031, 6945383, -7856, -2448, 5344
1707714926041, 6945393, -7984, -2048, 3936
1707714926051, 6945403, -7952, -1680, 2432
1707714926061, 6945413, -8048, -1280, 736
1707714926071, 6945423, -7952, -768, -720
1707714926081, 6945433, -7680, -160, -2176
1707714926091, 6945443, -7200, 128, -3392
1707714926101, 6945453, -6688, 64, -4592
1707714926111, 6945463, -6160, -80, -5648
1707714926121, 6945473, -5280, -1360, -6512
1707714926131, 6945483, -4656, -2304, -7152
1707714926141, 6945493, -4224, -2976, -7648
1707714926151, 6945503, -3920, -3696, -7712
1707714926161, 6945513, -3744, -4224, -7168
1707714926171, 6945523, -3504, -5136, -6640
1707714926181, 6945533, -3136, -6064, -6192
1707714926191, 6945543, -2688, -7328, -6032
1707714926201, 6945553, -2336, -8656, -6208
1707714926211, 6945563, -2016, -9888, -6848
1707714926223, 6945573, -1520, -10896, -7376
1707714926233, 6945583, -1264, -11744, -7712
1707714926241, 6945593, -864, -12496, -7984
1707714926251, 6945603, -720, -13136, -8192
1707714926261, 6945613, -512, -13440, -8400
1707714926271, 6945623, -432, -13648, -8416
1707714926281, 6945633, -368, -13952, -8240
1707714926291, 6945643, -336, -13872, -7936
1707714926301, 6945653, -336, -13632, -7392
1707714926311, 6945663, -416, -13280, -6608
1707714926321, 6945673, -752, -12640, -5552
1707714926333, 6945683, -1152, -11744, -4624
1707714926343, 6945693, -1584, -10752, -3648
1707714926351, 6945703, -1760, -9824, -2688
1707714926361, 6945713, -1728, -9072, -1824
1707714926371, 6945723, -1760, -8336, -1280
1707714926381, 6945733, -1744, -7616, -816
1707714926391, 6945743, -1776, -6976, -384
1707714926401, 6945753, -1632, -6032, -32
1707714926411, 6945763, -1824, -5632, 1456
1707714926421, 6945773, -1664, -5152, 2576
1707714926431, 6945783, -1504, -5088, 3536
1707714926441, 6945793, -1856, -4592, 5088
1707714926451, 6945803, -2336, -3792, 6592
1707714926461, 6945813, -2672, -2000, 8016
1707714926471, 6945823, -3232, 432, 9440
1707714926481, 6945833, -3792, 3120, 11392
1707714926491, 6945843, -4016, 5584, 13616
1707714926501, 6945853, -3808, 8144, 15760
1707714926511, 6945863, -3472, 10192, 18032
1707714926521, 6945873, -2800, 11872, 19856
1707714926531, 6945883, -2352, 13168, 21040
