Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707715236971, 7256323, -1600, -7936, 3312
1707715236981, 7256333, -1552, -7872, 3280
1707715236991, 7256343, -1488, -7760, 3280
1707715237001, 7256353, -1440, -7760, 3328
1707715237011, 7256363, -1312, -7696, 3552
1707715237021, 7256373, -1376, -7648, 3760
1707715237031, 7256383, -1328, -7824, 3856
1707715237041, 7256393, -1312, -8032, 3872
1707715237051, 7256403, -1184, -8176, 3776
1707715237061, 7256413, -1072, -8464, 3680
1707715237071, 7256423, -976, -8848, 3376
1707715237081, 7256433, -608, -9264, 3168
1707715237091, 7256443, -192, -9760, 3184
1707715237101, 7256453, 128, -10336, 3216
1707715237111, 7256463, 640, -11168, 3200
1707715237121, 7256473, 1152, -12400, 3344
1707715237131, 7256483, 1680, -13888, 3440
1707715237141, 7256493, 2256, -15792, 3424
1707715237151, 7256503, 2576, -17408, 3760
1707715237161, 7256513, 2320, -18832, 4112
1707715237171, 7256523, 2240, -19824, 3712
1707715237181, 7256533, 2144, -20320, 2992
1707715237191, 7256543, 2192, -20528, 1696
1707715237201, 7256553, 2128, -20672, 432
1707715237211, 7256563, 2000, -21488, -112
1707715237221, 7256573, 1536, -22656, -448
1707715237231, 7256583, 1296, -23008, -480
1707715237241, 7256593, 928, -23168, -1104
1707715237251, 7256603, 528, -22624, -1904
1707715237261, 7256613, 16, -21472, -2416
1707715237271, 7256623, -496, -20304, -2800
1707715237281, 7256633, -848, -18464, -3424
1707715237291, 7256643, -1040, -17264, -4240
1707715237301, 7256653, -848, -16608, -5072
1707715237311, 7256663, -752, -16224, -5296
1707715237321, 7256673, -672, -15920, -5104
1707715237331, 7256683, -544, -15936, -4560
1707715237341, 7256693, -368, -15904, -3824
1707715237351, 7256703, -16, -15616, -3312
1707715237361, 7256713, 320, -15632, -2736
1707715237371, 7256723, 464, -15408, -2496
1707715237381, 7256733, 224, -14240, -1824
1707715237391, 7256743, -96, -12464, -1312
1707715237401, 7256753, -224, -10976, -1120
1707715237411, 7256763, -640, -9424, -1056
1707715237421, 7256773, -1008, -7648, -1072
1707715237431, 7256783, -2064, -6992, 752
1707715237441, 7256793, -2560, -5808, 3872
1707715237451, 7256803, -2336, -5808, 7504
1707715237461, 7256813, -1664, -7584, 10784
1707715237471, 7256823, -832, -9792, 13328
1707715237481, 7256833, -352, -11584, 14624
1707715237491, 7256843, 96, -11440, 15376
1707715237501, 7256853, -1280, -11776, 16336
1707715237511, 7256863, -2128, -9232, 16848
1707715237521, 7256873, -2336, -5728, 18096
1707715237531, 7256883, -3120, -3744, 20656
1707715237541, 7256893, -3104, -3184, 23280
1707715237551, 7256903, -2592, -4144, 23952
1707715237561, 7256913, -2416, -6048, 22416
1707715237571, 7256923, -2656, -7712, 19488
1707715237581, 7256933, -3072, -7472, 15632
1707715237591, 7256943, -3440, -6240, 12144
1707715237601, 7256953, -3728, -5008, 9280
1707715237611, 7256963, -4224, -3488, 7440
1707715237621, 7256973, -4832, -1696, 5888
1707715237631, 7256983, -5552, -352, 4096
1707715237641, 7256993, -6704, 528, 1968
1707715237651, 7257003, -8336, 1040, -656
1707715237661, 7257013, -10384, 2224, -3616
1707715237671, 7257023, -10384, 4496, -6368
1707715237681, 7257033, -12096, 7056, -9040
1707715237691, 7257043, -12864, 9968, -10896
