Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707715165052, 7184403, -592, 3856, -13264
1707715165062, 7184413, 1104, 4592, -19456
1707715165072, 7184423, 2016, 2880, -24032
1707715165080, 7184433, 1712, 16, -23312
1707715165092, 7184443, 1344, -2960, -20304
1707715165102, 7184453, -240, -2400, -16000
1707715165112, 7184463, -2336, -864, -11184
1707715165120, 7184473, -5600, 832, -5632
1707715165130, 7184483, -8576, 3280, 176
1707715165142, 7184493, -9136, 7024, 10000
1707715165152, 7184503, -7872, 2064, 28560
1707715165162, 7184513, -3040, -7744, 32400
1707715165172, 7184523, 816, -13296, 32640
1707715165182, 7184533, 192, -15904, 32640
1707715165192, 7184543, -1200, -8432, 30736
1707715165202, 7184553, -1648, -1280, 20208
1707715165212, 7184563, -2208, 1792, 11184
1707715165220, 7184573, -3328, 5104, 8464
1707715165230, 7184583, -1056, 7536, 3600
1707715165240, 7184593, -896, 7376, -16
1707715165250, 7184603, -384, 7312, -6656
1707715165260, 7184613, 368, 6080, -14720
1707715165272, 7184623, 2720, 3120, -21440
1707715165282, 7184633, 4240, -2224, -23472
1707715165292, 7184643, 3824, -7136, -19888
1707715165302, 7184653, 2448, -7760, -13424
1707715165310, 7184663, 656, -6240, -7344
1707715165322, 7184673, -1056, -5024, -912
1707715165330, 7184683, -944, -3568, 6832
1707715165342, 7184693, -768, -6992, 20320
1707715165352, 7184703, -976, -14560, 31760
1707715165362, 7184713, 2880, -7232, 32592
1707715165372, 7184723, -1632, -7040, 32640
1707715165382, 7184733, -7152, -4176, 30640
1707715165392, 7184743, -5072, 4016, 18288
1707715165400, 7184753, -1344, 8192, 8800
1707715165410, 7184763, -288, 7344, 4320
1707715165420, 7184773, -384, 7200, 1952
1707715165430, 7184783, -368, 7376, -2496
1707715165442, 7184793, 1072, 6736, -10192
1707715165452, 7184803, 3776, 4928, -18160
1707715165460, 7184813, 4976, 736, -22624
1707715165472, 7184823, 4528, -4832, -22352
1707715165482, 7184833, 3712, -7824, -17680
1707715165492, 7184843, 1184, -6432, -11120
1707715165502, 7184853, -2096, -3552, -4080
1707715165512, 7184863, -3584, -1184, 3712
1707715165520, 7184873, -2400, -16, 15232
1707715165532, 7184883, -2128, -10272, 30768
1707715165542, 7184893, 1728, -12720, 32528
1707715165552, 7184903, 640, -10352, 32640
1707715165562, 7184913, -4624, -8608, 31680
