Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707714432395, 6451743, -3136, -3184, 3856
1707714432405, 6451753, -3280, -3152, 3984
1707714432415, 6451763, -3360, -3056, 3936
1707714432425, 6451773, -3360, -3168, 3776
1707714432435, 6451783, -3472, -3456, 3696
1707714432445, 6451793, -3648, -3712, 3664
1707714432455, 6451803, -3728, -4000, 3760
1707714432465, 6451813, -3840, -4176, 3968
1707714432475, 6451823, -3856, -4240, 4080
1707714432485, 6451833, -3840, -4160, 3584
1707714432495, 6451843, -4000, -4160, 3248
1707714432505, 6451853, -4112, -4160, 2912
1707714432515, 6451863, -4304, -4032, 2480
1707714432525, 6451873, -4704, -4240, 2336
1707714432535, 6451883, -5072, -4336, 2176
1707714432545, 6451893, -5344, -4608, 1904
1707714432555, 6451903, -5664, -4800, 1520
1707714432565, 6451913, -5904, -5120, 1104
1707714432575, 6451923, -6256, -5456, 496
1707714432585, 6451933, -6480, -5856, -16
1707714432595, 6451943, -6944, -6448, -464
1707714432605, 6451953, -7520, -6816, -1104
1707714432615, 6451963, -7936, -6928, -1760
1707714432625, 6451973, -8208, -7008, -2272
1707714432635, 6451983, -9072, -6992, -2576
1707714432645, 6451993, -9936, -6816, -2640
1707714432655, 6452003, -10816, -6448, -2208
1707714432665, 6452013, -11904, -6064, -1648
1707714432675, 6452023, -12944, -5184, -816
1707714432685, 6452033, -14128, -4304, 320
1707714432695, 6452043, -15136, -3200, 1648
1707714432705, 6452053, -15888, -2016, 2960
1707714432715, 6452063, -16368, -1488, 4144
1707714432725, 6452073, -16544, -752, 5056
1707714432735, 6452083, -16832, -416, 6080
1707714432745, 6452093, -16512, -672, 6112
1707714432755, 6452103, -16224, -992, 6336
1707714432765, 6452113, -15984, -1344, 5952
1707714432775, 6452123, -15728, -1504, 5840
1707714432785, 6452133, -15728, -1680, 6144
1707714432795, 6452143, -15440, -1536, 6416
1707714432805, 6452153, -15232, -1792, 6272
1707714432815, 6452163, -14880, -2608, 6048
1707714432825, 6452173, -14384, -3312, 5808
1707714432835, 6452183, -13584, -3616, 5344
1707714432845, 6452193, -12528, -5504, 5152
1707714432855, 6452203, -12224, -7296, 4704
1707714432865, 6452213, -11936, -8352, 4608
1707714432875, 6452223, -11600, -8992, 4432
1707714432885, 6452233, -10720, -8384, 3936
1707714432895, 6452243, -9856, -7584, 3184
1707714432905, 6452253, -9504, -7408, 2608
1707714432915, 6452263, -9232, -6992, 2192
1707714432925, 6452273, -9168, -6064, 1888
1707714432935, 6452283, -9088, -5072, 1520
1707714432945, 6452293, -8832, -4192, 1104
1707714432955, 6452303, -8352, -4032, 1216
1707714432965, 6452313, -8112, -4368, 2352
1707714432975, 6452323, -7744, -4736, 3360
1707714432985, 6452333, -7168, -5056, 4160
1707714432995, 6452343, -6400, -5472, 4976
1707714433005, 6452353, -6032, -4976, 5824
1707714433015, 6452363, -5408, -4288, 6448
1707714433025, 6452373, -5824, -4416, 7536
1707714433035, 6452383, -5952, -3696, 8336
1707714433045, 6452393, -5552, -2368, 8880
1707714433055, 6452403, -5280, -992, 9520
1707714433065, 6452413, -5136, 16, 10064
1707714433075, 6452423, -4944, 656, 10320
1707714433085, 6452433, -4720, 976, 10208
1707714433095, 6452443, -4240, 800, 10256
1707714433105, 6452453, -4048, 144, 10320
1707714433115, 6452463, -3888, -432, 10096
1707714433125, 6452473, -3904, -1168, 9152
1707714433135, 6452483, -3696, -2240, 8192
1707714433145, 6452493, -3744, -3056, 7456
1707714433155, 6452503, -4048, -3504, 6912
1707714433165, 6452513, -4720, -3936, 6752
1707714433175, 6452523, -5632, -4016, 6768
1707714433185, 6452533, -6336, -4160, 7184
1707714433195, 6452543, -7232, -4912, 7936
1707714433205, 6452553, -8432, -5360, 8656
1707714433215, 6452563, -10032, -5264, 9280
1707714433225, 6452573, -12016, -4528, 9664
1707714433235, 6452583, -13936, -3520, 9776
1707714433245, 6452593, -15712, -2272, 9856
1707714433255, 6452603, -17136, -1600, 9392
1707714433265, 6452613, -18000, -1952, 8832
1707714433275, 6452623, -19168, -2528, 8192
1707714433285, 6452633, -20304, -3104, 7376
1707714433295, 6452643, -21392, -3440, 6528
1707714433305, 6452653, -22640, -3440, 5600
1707714433315, 6452663, -23376, -3328, 4832
1707714433325, 6452673, -23632, -3584, 4480
1707714433335, 6452683, -23936, -4416, 4544
1707714433345, 6452693, -24240, -5264, 4560
1707714433355, 6452703, -25104, -3632, 4800
1707714433365, 6452713, -24800, -5312, 3488
1707714433375, 6452723, -24496, -5968, 2320
1707714433385, 6452733, -24240, -6176, 1728
1707714433395, 6452743, -23920, -6608, 1568
1707714433405, 6452753, -23584, -7392, 1760
1707714433415, 6452763, -23376, -7904, 2432
1707714433425, 6452773, -23200, -8096, 3312
1707714433435, 6452783, -23184, -8080, 4400
1707714433445, 6452793, -23056, -7936, 5328
1707714433455, 6452803, -23344, -7152, 6000
1707714433465, 6452813, -23616, -6240, 5888
1707714433475, 6452823, -23680, -5152, 5184
1707714433485, 6452833, -23456, -4368, 3696
1707714433495, 6452843, -22544, -4144, 2272
1707714433505, 6452853, -21600, -4144, 1200
1707714433515, 6452863, -20112, -4592, 432
1707714433525, 6452873, -18608, -4544, 0
1707714433535, 6452883, -17504, -4688, -224
1707714433545, 6452893, -17296, -5200, -144
1707714433555, 6452903, -16016, -4448, -256
1707714433565, 6452913, -14208, -3488, -464
1707714433575, 6452923, -13504, -3568, -464
1707714433585, 6452933, -13328, -3376, -608
1707714433595, 6452943, -12752, -3152, -1296
1707714433605, 6452953, -11920, -2800, -2304
1707714433615, 6452963, -11040, -2736, -3232
1707714433625, 6452973, -9776, -1376, -4224
1707714433635, 6452983, -9072, -832, -5056
1707714433645, 6452993, -8704, -1008, -4832
1707714433655, 6453003, -8528, -1344, -4176
1707714433665, 6453013, -8192, -1456, -3696
1707714433675, 6453023, -7728, -1264, -3504
1707714433685, 6453033, -7360, -1024, -3472
1707714433695, 6453043, -7072, -672, -3520
1707714433705, 6453053, -6768, -592, -3616
1707714433715, 6453063, -6400, -656, -3408
1707714433725, 6453073, -6352, -800, -2912
1707714433735, 6453083, -6368, -928, -2432
1707714433745, 6453093, -6416, -1072, -2000
1707714433755, 6453103, -6560, -1072, -1776
1707714433765, 6453113, -6656, -1264, -1776
