Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707711006501, 3025833, -3728, -5184, 4496
1707711006511, 3025843, -3712, -5376, 4448
1707711006521, 3025853, -3616, -5504, 4368
1707711006531, 3025863, -3584, -5616, 4352
1707711006541, 3025873, -3760, -5776, 4512
1707711006551, 3025883, -3696, -5888, 4640
1707711006561, 3025893, -3824, -5680, 4816
1707711006571, 3025903, -3680, -5264, 5056
1707711006581, 3025913, -3488, -5216, 4800
1707711006591, 3025923, -3600, -5248, 4688
1707711006601, 3025933, -3440, -5296, 4336
1707711006611, 3025943, -3504, -5520, 4352
1707711006621, 3025953, -3488, -5792, 4368
1707711006631, 3025963, -3280, -5648, 4080
1707711006641, 3025973, -3232, -5760, 4256
1707711006651, 3025983, -3232, -6032, 4576
1707711006661, 3025993, -3392, -6096, 5504
1707711006671, 3026003, -3216, -6032, 5488
1707711006681, 3026013, -3136, -5952, 5312
1707711006691, 3026023, -3072, -5600, 4736
1707711006701, 3026033, -2896, -5136, 4144
1707711006711, 3026043, -2800, -5056, 3872
1707711006721, 3026053, -2704, -5296, 3888
1707711006731, 3026063, -2656, -5440, 4288
1707711006741, 3026073, -2496, -5760, 4640
1707711006751, 3026083, -2368, -6000, 4992
1707711006761, 3026093, -2160, -5824, 5056
1707711006771, 3026103, -2176, -5552, 5248
1707711006781, 3026113, -2000, -5440, 5072
1707711006791, 3026123, -1840, -5552, 4816
1707711006801, 3026133, -1488, -5360, 4896
1707711006811, 3026143, -1360, -5616, 5200
1707711006821, 3026153, -1120, -5888, 5568
1707711006831, 3026163, -912, -6080, 5744
1707711006841, 3026173, -768, -6368, 6016
1707711006851, 3026183, -672, -6768, 6208
1707711006861, 3026193, -496, -6832, 6256
1707711006871, 3026203, -368, -6896, 6352
1707711006881, 3026213, -416, -6992, 6336
1707711006891, 3026223, -528, -6864, 6256
1707711006901, 3026233, -576, -6592, 5984
1707711006911, 3026243, -864, -6256, 5760
1707711006921, 3026253, -992, -5920, 5696
1707711006931, 3026263, -1200, -5600, 5680
1707711006941, 3026273, -1376, -5264, 5824
1707711006951, 3026283, -1392, -4864, 5984
1707711006961, 3026293, -1648, -4784, 6112
1707711006971, 3026303, -1728, -5248, 6176
1707711006981, 3026313, -1312, -6080, 5968
1707711006991, 3026323, -928, -6400, 5744
1707711007001, 3026333, -1168, -6160, 5616
1707711007011, 3026343, -976, -5616, 5600
1707711007021, 3026353, -784, -5440, 5536
1707711007031, 3026363, -912, -5376, 5520
1707711007041, 3026373, -1088, -5104, 5680
1707711007051, 3026383, -1040, -5248, 5632
1707711007061, 3026393, -928, -5520, 5696
1707711007071, 3026403, -912, -5456, 5680
1707711007081, 3026413, -928, -5472, 5536
1707711007091, 3026423, -960, -5504, 5344
1707711007101, 3026433, -1024, -5280, 5216
1707711007111, 3026443, -992, -5200, 5040
1707711007121, 3026453, -1072, -5024, 4912
1707711007131, 3026463, -1072, -4832, 4848
1707711007141, 3026473, -1088, -4784, 4832
1707711007151, 3026483, -1168, -4912, 4880
1707711007161, 3026493, -1232, -4944, 4992
1707711007171, 3026503, -1360, -4976, 5088
1707711007181, 3026513, -1392, -4720, 5056
1707711007191, 3026523, -1456, -4480, 4784
1707711007201, 3026533, -1456, -4272, 4320
1707711007211, 3026543, -1440, -4256, 4080
1707711007221, 3026553, -1536, -4336, 3952
1707711007231, 3026563, -1600, -4368, 3904
1707711007241, 3026573, -1648, -4560, 3840
1707711007251, 3026583, -1584, -4528, 3696
1707711007261, 3026593, -1744, -4640, 3568
1707711007271, 3026603, -1824, -4912, 3728
1707711007281, 3026613, -1536, -4848, 4480
1707711007291, 3026623, -1504, -5024, 4032
1707711007301, 3026633, -1552, -5072, 3424
1707711007311, 3026643, -1360, -5408, 3744
1707711007321, 3026653, -1360, -5696, 3760
1707711007331, 3026663, -1264, -5952, 3792
1707711007341, 3026673, -1040, -6240, 3984
1707711007351, 3026683, -944, -6336, 4480
1707711007361, 3026693, -944, -6432, 4688
1707711007371, 3026703, -928, -6416, 4192
1707711007381, 3026713, -512, -6256, 3824
1707711007391, 3026723, -320, -6272, 4096
1707711007401, 3026733, -448, -6448, 5104
1707711007411, 3026743, -320, -6784, 5920
1707711007421, 3026753, -320, -6528, 6256
1707711007431, 3026763, -256, -6272, 5808
1707711007441, 3026773, -64, -5968, 5040
1707711007451, 3026783, 224, -5488, 4688
1707711007461, 3026793, 16, -5312, 4560
1707711007471, 3026803, -16, -5472, 4896
1707711007481, 3026813, -96, -5632, 5552
