Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707710377744, 2397073, -2768, -6160, 4496
1707710377754, 2397083, -2608, -6496, 4320
1707710377764, 2397093, -2672, -6752, 4368
1707710377774, 2397103, -2608, -6672, 4384
1707710377784, 2397113, -2384, -6560, 4448
1707710377794, 2397123, -2416, -6464, 4528
1707710377804, 2397133, -2352, -6528, 4560
1707710377814, 2397143, -2320, -6544, 4448
1707710377824, 2397153, -2320, -6624, 4336
1707710377834, 2397163, -1984, -6640, 4032
1707710377844, 2397173, -1888, -6768, 3968
1707710377854, 2397183, -1760, -6624, 4192
1707710377864, 2397193, -1696, -6336, 4704
1707710377874, 2397203, -1552, -6096, 5632
1707710377884, 2397213, -1600, -6192, 6688
1707710377894, 2397223, -1856, -6272, 7936
1707710377904, 2397233, -2000, -6480, 8928
1707710377914, 2397243, -1888, -6752, 9568
1707710377924, 2397253, -1888, -6784, 10032
1707710377934, 2397263, -2112, -6784, 10240
1707710377944, 2397273, -2160, -6464, 10416
1707710377954, 2397283, -2256, -5984, 10576
1707710377964, 2397293, -2432, -5536, 10656
1707710377974, 2397303, -2720, -5360, 10576
1707710377984, 2397313, -3024, -5152, 10544
1707710377994, 2397323, -3328, -5104, 10672
1707710378004, 2397333, -3744, -5008, 10912
1707710378014, 2397343, -4128, -4896, 11312
1707710378024, 2397353, -4512, -4768, 11568
1707710378034, 2397363, -4848, -4352, 11616
1707710378044, 2397373, -5920, -4576, 12000
1707710378054, 2397383, -7120, -4128, 12272
1707710378064, 2397393, -7904, -3072, 12384
1707710378074, 2397403, -8256, -1728, 12144
1707710378084, 2397413, -8608, -784, 11808
1707710378094, 2397423, -9152, -144, 11424
1707710378104, 2397433, -9696, 336, 10944
1707710378114, 2397443, -10032, 736, 10272
1707710378124, 2397453, -10368, 880, 9600
1707710378134, 2397463, -10688, 864, 8976
1707710378144, 2397473, -10992, 672, 8512
1707710378154, 2397483, -11248, 480, 8064
1707710378164, 2397493, -11472, 224, 7808
1707710378174, 2397503, -11664, -32, 7584
1707710378184, 2397513, -11840, -416, 7280
1707710378194, 2397523, -12000, -704, 6912
1707710378204, 2397533, -12016, -1024, 6544
1707710378214, 2397543, -12160, -1392, 5968
1707710378224, 2397553, -12208, -1680, 5424
1707710378234, 2397563, -12256, -1872, 4768
1707710378244, 2397573, -12160, -2096, 4032
1707710378254, 2397583, -12096, -2224, 3456
1707710378264, 2397593, -11808, -2544, 2816
1707710378274, 2397603, -11360, -2864, 2384
1707710378284, 2397613, -11008, -3296, 2208
1707710378294, 2397623, -10912, -3696, 2176
1707710378304, 2397633, -10784, -3664, 2080
1707710378314, 2397643, -10816, -3440, 1856
1707710378324, 2397653, -10736, -3264, 1616
1707710378334, 2397663, -10768, -3168, 1712
1707710378344, 2397673, -11040, -3216, 2064
1707710378354, 2397683, -11216, -2960, 2384
1707710378364, 2397693, -11440, -2624, 2496
1707710378374, 2397703, -11568, -2352, 2464
1707710378384, 2397713, -11744, -2096, 2256
1707710378394, 2397723, -11872, -2160, 1808
1707710378404, 2397733, -11728, -2480, 1136
1707710378414, 2397743, -11360, -3072, 448
1707710378424, 2397753, -10864, -3936, -160
1707710378434, 2397763, -10144, -4720, -768
1707710378444, 2397773, -9328, -5456, -1248
1707710378454, 2397783, -8736, -6128, -1536
1707710378464, 2397793, -8208, -6560, -1632
1707710378474, 2397803, -7728, -6688, -1632
1707710378484, 2397813, -7248, -6928, -1200
1707710378494, 2397823, -7056, -7232, -400
1707710378504, 2397833, -7088, -7088, 576
1707710378514, 2397843, -6912, -6944, 1520
1707710378524, 2397853, -6944, -6912, 2384
1707710378534, 2397863, -7072, -6992, 3008
1707710378544, 2397873, -7152, -7056, 3360
1707710378554, 2397883, -7264, -7488, 3680
1707710378564, 2397893, -7728, -8080, 4368
1707710378574, 2397903, -8176, -8272, 5376
1707710378584, 2397913, -8576, -8256, 6416
1707710378594, 2397923, -9120, -8336, 6656
1707710378604, 2397933, -9744, -8480, 6096
1707710378614, 2397943, -10528, -8512, 5008
1707710378624, 2397953, -11024, -8720, 3584
1707710378634, 2397963, -11280, -9328, 1744
1707710378644, 2397973, -11472, -9712, -352
1707710378654, 2397983, -11200, -10464, -3056
1707710378664, 2397993, -10352, -10896, -5360
1707710378674, 2398003, -9056, -11648, -7264
1707710378684, 2398013, -7632, -12560, -8832
1707710378694, 2398023, -5408, -15888, -13168
1707710378704, 2398033, -2048, -24784, -21072
1707710378714, 2398043, -2224, -17664, -11088
1707710378724, 2398053, -4096, -12944, -1440
1707710378734, 2398063, -6544, -11040, 1456
1707710378744, 2398073, -7520, -7808, 2592
1707710378754, 2398083, -8208, -5568, 3104
1707710378764, 2398093, -8272, -4384, 2512
1707710378774, 2398103, -7632, -4192, 1312
1707710378782, 2398113, -6848, -4752, 16
1707710378794, 2398123, -6272, -5664, -784
1707710378804, 2398133, -6144, -6480, -960
1707710378814, 2398143, -6432, -7456, -640
1707710378824, 2398153, -6720, -8112, 112
1707710378834, 2398163, -7152, -8464, 720
1707710378844, 2398173, -7728, -8912, 1392
1707710378854, 2398183, -8000, -8800, 1696
1707710378864, 2398193, -8224, -8672, 1472
1707710378874, 2398203, -8608, -8800, 1744
1707710378884, 2398213, -8880, -9200, 1904
1707710378894, 2398223, -9024, -9152, 1888
1707710378904, 2398233, -9024, -9776, 2544
1707710378914, 2398243, -9360, -10544, 2816
1707710378924, 2398253, -9552, -10800, 2976
1707710378934, 2398263, -9040, -9792, 2528
1707710378944, 2398273, -9120, -9584, 2464
1707710378954, 2398283, -9200, -9024, 2544
1707710378964, 2398293, -10032, -8672, 2608
1707710378974, 2398303, -10176, -8288, 2176
1707710378984, 2398313, -10384, -8048, 1760
1707710378994, 2398323, -10464, -7584, 1504
1707710379004, 2398333, -10496, -7632, 1040
1707710379014, 2398343, -10704, -8000, 528
1707710379024, 2398353, -11056, -8448, -160
1707710379034, 2398363, -11680, -8720, -1040
1707710379044, 2398373, -12320, -8912, -1824
1707710379054, 2398383, -12736, -8832, -2704
1707710379064, 2398393, -13376, -9200, -3264
1707710379074, 2398403, -14512, -10160, -2864
1707710379084, 2398413, -15744, -11088, -2080
1707710379094, 2398423, -16736, -12432, -832
1707710379104, 2398433, -17840, -13776, 576
1707710379114, 2398443, -19296, -15328, 2032
1707710379124, 2398453, -20464, -16720, 3328
1707710379134, 2398463, -21360, -17536, 4048
1707710379144, 2398473, -22784, -17376, 4304
1707710379154, 2398483, -25056, -16432, 4480
1707710379164, 2398493, -28000, -15040, 4272
1707710379174, 2398503, -31488, -12544, 4704
1707710379184, 2398513, -32560, -8016, 7264
1707710379194, 2398523, -32624, -960, 10624
1707710379204, 2398533, -32512, 8288, 14640
1707710379214, 2398543, -26960, 16336, 19648
1707710379224, 2398553, -20528, 18832, 23792
1707710379234, 2398563, -14928, 18160, 24928
1707710379244, 2398573, -10480, 15488, 23136
1707710379254, 2398583, -7296, 11664, 19424
1707710379264, 2398593, -4720, 7856, 15328
1707710379274, 2398603, -2768, 4272, 11936
1707710379282, 2398613, -960, 688, 9232
1707710379292, 2398623, 832, -2528, 7360
1707710379304, 2398633, 2624, -5264, 5648
1707710379314, 2398643, 4080, -7728, 3920
1707710379324, 2398653, 4720, -9264, 2080
1707710379332, 2398663, 4880, -9488, 640
1707710379344, 2398673, 4784, -9120, -544
1707710379354, 2398683, 4400, -8272, -1168
1707710379364, 2398693, 3952, -7248, -1184
1707710379374, 2398703, 3232, -6032, -512
