Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707710727552, 2746883, -3632, -2528, 4816
1707710727562, 2746893, -3824, -2560, 4848
1707710727572, 2746903, -3968, -2752, 4832
1707710727582, 2746913, -4048, -2672, 4880
1707710727592, 2746923, -4096, -2640, 5040
1707710727602, 2746933, -4112, -2784, 5120
1707710727612, 2746943, -4144, -2800, 5216
1707710727622, 2746953, -4192, -3040, 5184
1707710727632, 2746963, -4320, -3520, 5264
1707710727642, 2746973, -4336, -3584, 5152
1707710727652, 2746983, -4400, -3680, 5072
1707710727662, 2746993, -4512, -3744, 4928
1707710727672, 2747003, -4496, -3680, 5040
1707710727682, 2747013, -4496, -3472, 5248
1707710727692, 2747023, -4352, -3296, 5712
1707710727702, 2747033, -4336, -3184, 6320
1707710727712, 2747043, -4208, -3104, 7056
1707710727722, 2747053, -4288, -2880, 7952
1707710727732, 2747063, -4240, -2528, 8672
1707710727742, 2747073, -4016, -2096, 9232
1707710727752, 2747083, -3760, -2096, 9904
1707710727762, 2747093, -3472, -2576, 10560
1707710727772, 2747103, -3232, -3440, 11136
1707710727782, 2747113, -3040, -4384, 11568
1707710727792, 2747123, -2848, -5040, 11632
1707710727802, 2747133, -2992, -5248, 11344
1707710727812, 2747143, -3056, -5376, 11040
1707710727822, 2747153, -3232, -5152, 10864
1707710727832, 2747163, -3248, -4720, 10688
1707710727842, 2747173, -3456, -4256, 10704
1707710727852, 2747183, -3856, -4080, 10752
1707710727862, 2747193, -4240, -4208, 11120
1707710727872, 2747203, -4608, -4608, 11280
1707710727882, 2747213, -4704, -5024, 11248
1707710727892, 2747223, -4288, -4784, 11104
1707710727902, 2747233, -3952, -5104, 10800
1707710727912, 2747243, -3776, -5936, 10512
1707710727922, 2747253, -3776, -6736, 10368
1707710727932, 2747263, -3616, -6880, 10416
1707710727942, 2747273, -3424, -6768, 10192
1707710727952, 2747283, -3312, -6416, 9472
1707710727962, 2747293, -3232, -5984, 8848
1707710727972, 2747303, -3088, -5632, 8480
1707710727982, 2747313, -3040, -5168, 8256
1707710727992, 2747323, -3072, -4512, 8496
1707710728002, 2747333, -3136, -4096, 8832
1707710728012, 2747343, -2944, -3680, 9216
1707710728022, 2747353, -2704, -3456, 9648
1707710728032, 2747363, -2320, -3408, 10208
1707710728042, 2747373, -1680, -3312, 10432
1707710728052, 2747383, -992, -3344, 10624
1707710728062, 2747393, -256, -3344, 11328
1707710728072, 2747403, 368, -3088, 11808
1707710728082, 2747413, 1136, -2592, 11936
1707710728092, 2747423, 1712, -1936, 12048
1707710728102, 2747433, 2224, -1472, 12144
1707710728112, 2747443, 2496, -976, 12576
1707710728122, 2747453, 2656, -592, 12848
1707710728132, 2747463, 2768, -64, 12864
1707710728142, 2747473, 3056, 352, 12560
1707710728152, 2747483, 3040, 576, 11824
1707710728162, 2747493, 3056, 800, 10816
1707710728172, 2747503, 3216, 1152, 9568
1707710728182, 2747513, 3296, 1584, 8448
1707710728192, 2747523, 3232, 1888, 8032
1707710728202, 2747533, 3072, 2096, 7888
1707710728212, 2747543, 3056, 2160, 7696
