Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707710536653, 2555983, -4352, -4448, 4256
1707710536663, 2555993, -4400, -4336, 4256
1707710536673, 2556003, -4336, -4320, 4272
1707710536683, 2556013, -4288, -4480, 4400
1707710536693, 2556023, -4192, -4576, 4512
1707710536703, 2556033, -4096, -4816, 4464
1707710536713, 2556043, -3984, -4992, 4416
1707710536723, 2556053, -3888, -5104, 4272
1707710536733, 2556063, -3856, -5200, 4032
1707710536743, 2556073, -3936, -5152, 3888
1707710536753, 2556083, -3824, -5040, 3792
1707710536763, 2556093, -3712, -5008, 3744
1707710536773, 2556103, -3824, -5120, 4000
1707710536783, 2556113, -3696, -5152, 4160
1707710536793, 2556123, -3536, -5056, 4128
1707710536803, 2556133, -3360, -4944, 4160
1707710536813, 2556143, -3392, -4848, 4224
1707710536823, 2556153, -3424, -4816, 4304
1707710536833, 2556163, -3552, -4832, 4512
1707710536843, 2556173, -3680, -4944, 4560
1707710536853, 2556183, -3584, -5024, 4624
1707710536863, 2556193, -3456, -4976, 4416
1707710536873, 2556203, -3552, -5296, 4368
1707710536883, 2556213, -3584, -5472, 4272
1707710536893, 2556223, -3856, -5552, 4224
1707710536903, 2556233, -4272, -5168, 4256
1707710536913, 2556243, -4384, -4608, 4176
1707710536923, 2556253, -4576, -4224, 4208
1707710536933, 2556263, -4816, -4128, 4240
1707710536943, 2556273, -5392, -4400, 4480
1707710536953, 2556283, -6080, -4160, 4864
1707710536963, 2556293, -6544, -3632, 5008
1707710536973, 2556303, -6688, -3168, 5344
1707710536983, 2556313, -6656, -2816, 5840
1707710536993, 2556323, -6752, -2896, 6304
1707710537003, 2556333, -7152, -2448, 7136
1707710537013, 2556343, -6704, -1840, 7488
1707710537023, 2556353, -6208, -1904, 7808
1707710537033, 2556363, -6528, -2624, 8688
1707710537043, 2556373, -6448, -3312, 9632
1707710537053, 2556383, -5680, -4144, 10336
1707710537063, 2556393, -5920, -5296, 11264
1707710537073, 2556403, -6240, -4800, 12128
1707710537083, 2556413, -6304, -3920, 12368
1707710537093, 2556423, -6576, -2864, 12944
1707710537103, 2556433, -6704, -2496, 14016
1707710537113, 2556443, -7248, -2048, 15312
1707710537123, 2556453, -7984, -1808, 15824
1707710537133, 2556463, -8176, -2016, 15856
1707710537143, 2556473, -8288, -2912, 15888
1707710537153, 2556483, -9136, -4144, 15488
1707710537163, 2556493, -9504, -6112, 14640
1707710537173, 2556503, -10176, -7920, 13360
1707710537183, 2556513, -10928, -8800, 11728
1707710537193, 2556523, -11744, -9152, 10400
1707710537203, 2556533, -12496, -9120, 9392
1707710537213, 2556543, -13344, -8752, 8272
1707710537223, 2556553, -13952, -8912, 7312
1707710537233, 2556563, -14768, -9760, 6848
1707710537243, 2556573, -15520, -10240, 6432
1707710537253, 2556583, -15840, -10448, 5744
1707710537263, 2556593, -16432, -10656, 5616
1707710537273, 2556603, -16880, -10736, 5584
1707710537283, 2556613, -17328, -11120, 5760
1707710537293, 2556623, -17904, -11376, 6240
1707710537303, 2556633, -18112, -11600, 6400
1707710537313, 2556643, -18256, -11600, 6400
1707710537323, 2556653, -18704, -11712, 6688
1707710537333, 2556663, -19312, -11968, 7088
1707710537343, 2556673, -20112, -11680, 7776
1707710537353, 2556683, -21056, -11792, 8464
1707710537363, 2556693, -22560, -12208, 9120
1707710537373, 2556703, -24144, -13072, 9744
1707710537383, 2556713, -25328, -15264, 9744
1707710537393, 2556723, -26464, -17008, 9392
1707710537403, 2556733, -27728, -17600, 9152
1707710537413, 2556743, -28496, -17920, 8448
1707710537423, 2556753, -29152, -16976, 7376
1707710537433, 2556763, -30432, -15600, 6304
1707710537443, 2556773, -31296, -13312, 5072
1707710537453, 2556783, -31504, -11056, 3824
1707710537463, 2556793, -31392, -9376, 2720
1707710537473, 2556803, -31184, -8544, 1936
1707710537483, 2556813, -30768, -7952, 992
1707710537493, 2556823, -29392, -7216, 320
1707710537503, 2556833, -27824, -6832, 64
1707710537513, 2556843, -26400, -7024, 736
1707710537523, 2556853, -24576, -7584, 1888
1707710537533, 2556863, -23392, -8816, 3920
1707710537543, 2556873, -23056, -10160, 5712
1707710537553, 2556883, -23520, -9856, 7536
1707710537563, 2556893, -23664, -8208, 8096
1707710537573, 2556903, -23824, -7008, 7600
1707710537583, 2556913, -23728, -6176, 5408
1707710537593, 2556923, -22528, -5488, 2672
1707710537603, 2556933, -20704, -5536, 160
1707710537613, 2556943, -20112, -5904, -464
1707710537623, 2556953, -19760, -5472, -1104
1707710537633, 2556963, -18736, -4704, -2960
1707710537643, 2556973, -17872, -4400, -4112
1707710537653, 2556983, -16704, -4816, -4560
1707710537663, 2556993, -16784, -5696, -5184
1707710537673, 2557003, -16448, -5840, -6720
1707710537683, 2557013, -15632, -4688, -8736
1707710537693, 2557023, -15552, -4000, -10384
1707710537703, 2557033, -14864, -3024, -11568
1707710537713, 2557043, -14336, -2400, -12000
1707710537723, 2557053, -14000, -1888, -11888
1707710537733, 2557063, -14176, -2256, -10928
1707710537743, 2557073, -13392, -1728, -9568
1707710537753, 2557083, -13088, -1664, -8720
1707710537763, 2557093, -12496, -1744, -8240
1707710537773, 2557103, -11904, -1568, -7856
1707710537783, 2557113, -11296, -1600, -7408
1707710537793, 2557123, -10544, -1696, -7232
1707710537803, 2557133, -9856, -1712, -7152
1707710537813, 2557143, -9216, -1840, -7232
1707710537823, 2557153, -8512, -2016, -7328
1707710537833, 2557163, -7968, -2336, -7040
1707710537843, 2557173, -7360, -2672, -6704
1707710537853, 2557183, -6560, -3584, -5888
1707710537863, 2557193, -5744, -4688, -5024
1707710537873, 2557203, -5104, -5488, -4336
1707710537883, 2557213, -4448, -6112, -3920
1707710537893, 2557223, -4000, -6624, -3520
1707710537903, 2557233, -3424, -6992, -3312
1707710537913, 2557243, -2960, -7088, -3488
1707710537923, 2557253, -2608, -7168, -3648
1707710537933, 2557263, -2240, -7472, -3760
1707710537943, 2557273, -1856, -7760, -3728
1707710537953, 2557283, -1584, -7984, -3824
1707710537963, 2557293, -1456, -7888, -4096
1707710537973, 2557303, -1776, -7936, -4240
1707710537983, 2557313, -1856, -8112, -4016
1707710537993, 2557323, -2096, -8032, -3712
1707710538003, 2557333, -2352, -7840, -3568
1707710538013, 2557343, -2416, -7824, -3280
1707710538023, 2557353, -2432, -8208, -3040
1707710538033, 2557363, -2352, -8640, -3232
1707710538043, 2557373, -2560, -8752, -3664
1707710538053, 2557383, -3008, -8448, -3968
1707710538063, 2557393, -3728, -7792, -4096
1707710538073, 2557403, -4736, -6736, -3904
1707710538083, 2557413, -5904, -5360, -3648
1707710538093, 2557423, -7104, -3968, -3296
1707710538103, 2557433, -8096, -2848, -2528
1707710538113, 2557443, -8832, -2096, -1184
1707710538123, 2557453, -9168, -1456, 256
1707710538133, 2557463, -9008, -1760, 1680
1707710538143, 2557473, -8800, -2816, 3200
1707710538153, 2557483, -8800, -3904, 4064
1707710538163, 2557493, -8464, -4320, 4912
1707710538173, 2557503, -8480, -4400, 5376
1707710538183, 2557513, -8688, -3152, 5616
1707710538193, 2557523, -9008, -1200, 6272
1707710538203, 2557533, -9472, 128, 7376
1707710538213, 2557543, -9952, 96, 9264
1707710538223, 2557553, -10096, -528, 12176
1707710538233, 2557563, -9872, -1520, 15376
1707710538243, 2557573, -9328, -2160, 17744
1707710538253, 2557583, -8352, -1920, 18992
1707710538263, 2557593, -7232, -1264, 18704
1707710538273, 2557603, -6320, -592, 17168
1707710538283, 2557613, -5792, 384, 15584
1707710538293, 2557623, -5536, 800, 14128
1707710538303, 2557633, -5040, 576, 12864
1707710538313, 2557643, -4640, 128, 11728
1707710538323, 2557653, -4448, -464, 11344
1707710538333, 2557663, -4416, -1200, 11728
1707710538343, 2557673, -4336, -2624, 11936
1707710538353, 2557683, -4496, -2976, 12736
1707710538363, 2557693, -4480, -3792, 13584
1707710538373, 2557703, -4560, -4304, 14016
1707710538383, 2557713, -4432, -4768, 14320
1707710538393, 2557723, -4192, -5168, 14096
1707710538403, 2557733, -4048, -5168, 13360
1707710538413, 2557743, -3952, -5248, 12496
1707710538423, 2557753, -3616, -5904, 11968
1707710538433, 2557763, -3552, -6608, 11344
1707710538443, 2557773, -3392, -7072, 11120
1707710538453, 2557783, -3408, -7200, 10880
1707710538463, 2557793, -3520, -6800, 10816
1707710538473, 2557803, -3792, -5904, 10912
1707710538483, 2557813, -3984, -4912, 11040
1707710538493, 2557823, -4224, -4352, 11200
1707710538503, 2557833, -4416, -4112, 11456
1707710538513, 2557843, -4528, -3968, 11600
1707710538523, 2557853, -4400, -4192, 11584
1707710538533, 2557863, -4368, -4304, 11696
1707710538543, 2557873, -4128, -4528, 11728
1707710538553, 2557883, -4064, -4656, 11312
1707710538563, 2557893, -3968, -4672, 10448
1707710538573, 2557903, -4096, -5232, 9808
1707710538583, 2557913, -3536, -5696, 8240
1707710538593, 2557923, -3392, -6656, 7040
