Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707711451799, 3471133, -3856, -3216, 6592
1707711451809, 3471143, -3952, -3408, 6544
1707711451819, 3471153, -4048, -3280, 6768
1707711451829, 3471163, -3904, -3392, 6816
1707711451839, 3471173, -4016, -3216, 7056
1707711451849, 3471183, -4192, -3104, 7008
1707711451859, 3471193, -4272, -3008, 7152
1707711451869, 3471203, -4208, -2704, 7168
1707711451879, 3471213, -4256, -2800, 7168
1707711451889, 3471223, -4224, -2704, 7168
1707711451899, 3471233, -4160, -2768, 7040
1707711451909, 3471243, -4032, -2768, 6896
1707711451919, 3471253, -4016, -2832, 6720
1707711451929, 3471263, -4080, -2720, 6784
1707711451939, 3471273, -4112, -2608, 6816
1707711451949, 3471283, -4048, -2544, 6928
1707711451959, 3471293, -4048, -2432, 7008
1707711451969, 3471303, -3840, -2464, 6928
1707711451979, 3471313, -3792, -2592, 7008
1707711451989, 3471323, -3456, -2928, 7024
1707711451999, 3471333, -3056, -3472, 7040
1707711452009, 3471343, -2816, -3984, 7504
1707711452019, 3471353, -2368, -4544, 8256
1707711452029, 3471363, -2176, -5072, 9232
1707711452039, 3471373, -2080, -5328, 10432
1707711452049, 3471383, -2112, -5520, 11472
1707711452059, 3471393, -2464, -5872, 12608
1707711452069, 3471403, -2928, -5936, 13536
1707711452079, 3471413, -2944, -5760, 14176
1707711452089, 3471423, -2800, -5936, 14592
1707711452099, 3471433, -2944, -6560, 14816
1707711452109, 3471443, -3040, -7488, 14608
1707711452119, 3471453, -2864, -8400, 14128
1707711452129, 3471463, -2608, -9536, 13456
1707711452139, 3471473, -2432, -10464, 12656
1707711452149, 3471483, -2480, -10816, 11696
1707711452159, 3471493, -2272, -10304, 10720
1707711452169, 3471503, -2304, -9744, 10096
1707711452179, 3471513, -2288, -9296, 9392
1707711452189, 3471523, -2368, -8960, 8896
1707711452199, 3471533, -2160, -8784, 8432
1707711452209, 3471543, -2064, -8672, 7920
1707711452219, 3471553, -1888, -8336, 7648
1707711452229, 3471563, -1712, -8064, 7296
1707711452239, 3471573, -1696, -7984, 7248
1707711452249, 3471583, -1552, -7824, 7136
1707711452259, 3471593, -1232, -7744, 7168
1707711452269, 3471603, -960, -7664, 6960
1707711452279, 3471613, -576, -7472, 6368
1707711452289, 3471623, -192, -7504, 5664
1707711452299, 3471633, 16, -7440, 4704
1707711452309, 3471643, 160, -7424, 3936
1707711452319, 3471653, 352, -7120, 3360
1707711452329, 3471663, 480, -6672, 2896
1707711452339, 3471673, 464, -6240, 2864
1707711452349, 3471683, 64, -5920, 3088
1707711452359, 3471693, -784, -5248, 3232
1707711452369, 3471703, -1824, -3728, 2800
1707711452379, 3471713, -2848, -2016, 2192
1707711452389, 3471723, -3280, 528, 2528
1707711452399, 3471733, -4208, 2640, 3056
1707711452409, 3471743, -5088, 4320, 3648
1707711452419, 3471753, -5856, 5680, 4416
1707711452429, 3471763, -6880, 6608, 5440
1707711452439, 3471773, -7744, 7488, 6000
1707711452449, 3471783, -8640, 8096, 6096
1707711452459, 3471793, -8848, 8000, 5936
1707711452469, 3471803, -10784, 10704, 5456
1707711452479, 3471813, -10272, 12272, 5168
1707711452489, 3471823, -9840, 12992, 4832
1707711452499, 3471833, -9584, 13184, 5152
1707711452509, 3471843, -9184, 12608, 5600
1707711452519, 3471853, -8784, 11440, 5904
