Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707710868142, 2887473, -3728, -5808, 7584
1707710868152, 2887483, -3648, -5984, 7520
1707710868162, 2887493, -3600, -6240, 7568
1707710868172, 2887503, -3664, -6512, 7840
1707710868182, 2887513, -3360, -6848, 8208
1707710868192, 2887523, -3360, -7456, 8624
1707710868202, 2887533, -3280, -7984, 8560
1707710868212, 2887543, -3072, -8080, 8976
1707710868222, 2887553, -3520, -8112, 9232
1707710868232, 2887563, -3296, -8368, 9680
1707710868242, 2887573, -3984, -8416, 9728
1707710868252, 2887583, -4320, -8448, 9648
1707710868262, 2887593, -4416, -8272, 9360
1707710868272, 2887603, -4368, -7664, 8640
1707710868282, 2887613, -4208, -7120, 7888
1707710868292, 2887623, -4048, -6848, 7216
1707710868302, 2887633, -3984, -6768, 6784
1707710868312, 2887643, -3888, -6848, 6528
1707710868322, 2887653, -3664, -7104, 6352
1707710868332, 2887663, -3328, -7120, 6224
1707710868342, 2887673, -3008, -7296, 6192
1707710868352, 2887683, -2704, -7648, 6128
1707710868362, 2887693, -2336, -7792, 5792
1707710868372, 2887703, -2112, -7888, 5456
1707710868382, 2887713, -1936, -7584, 5040
1707710868392, 2887723, -1456, -7392, 4480
1707710868402, 2887733, -1152, -7024, 4096
1707710868412, 2887743, -704, -6496, 3760
1707710868422, 2887753, -272, -5872, 3632
1707710868432, 2887763, -128, -5008, 3264
1707710868442, 2887773, -48, -4448, 2960
1707710868452, 2887783, 128, -3792, 2256
1707710868462, 2887793, 208, -3088, 1536
1707710868472, 2887803, 224, -2512, 1136
1707710868482, 2887813, 192, -1984, 1392
1707710868492, 2887823, 144, -1712, 1792
1707710868502, 2887833, 96, -1648, 2048
1707710868512, 2887843, 336, -1648, 2304
1707710868522, 2887853, 688, -1904, 2512
1707710868532, 2887863, 1088, -2448, 2432
1707710868542, 2887873, 1488, -2992, 2144
1707710868552, 2887883, 1824, -3424, 1744
1707710868562, 2887893, 1984, -3488, 1472
1707710868572, 2887903, 2064, -3648, 1632
1707710868582, 2887913, 2160, -3504, 1488
1707710868592, 2887923, 2064, -2800, 1376
1707710868602, 2887933, 1952, -1488, 2128
1707710868612, 2887943, 1936, -176, 2752
1707710868622, 2887953, 1984, 864, 3328
1707710868632, 2887963, 1712, 1856, 3424
1707710868642, 2887973, 912, 2752, 2688
1707710868652, 2887983, -272, 3552, 1472
1707710868662, 2887993, -2144, 4240, 736
1707710868672, 2888003, -3840, 4592, 336
1707710868682, 2888013, -5664, 4128, 80
1707710868692, 2888023, -8272, 3072, 272
1707710868702, 2888033, -11232, 1296, 992
1707710868712, 2888043, -14128, -1296, 2416
1707710868722, 2888053, -16544, -4880, 3328
1707710868732, 2888063, -17424, -8912, 2928
1707710868742, 2888073, -17344, -12656, 1488
1707710868752, 2888083, -16112, -15136, -992
1707710868762, 2888093, -13680, -17200, -3472
1707710868772, 2888103, -10384, -19360, -5472
1707710868782, 2888113, -7184, -20304, -6544
1707710868792, 2888123, -5712, -20000, -6304
1707710868802, 2888133, -4224, -18496, -3840
1707710868812, 2888143, -3472, -16496, 16
1707710868822, 2888153, -3456, -13920, 3856
1707710868832, 2888163, -2944, -11248, 6112
1707710868842, 2888173, -2848, -9200, 6528
1707710868852, 2888183, -3408, -8176, 5072
1707710868862, 2888193, -4144, -7344, 2448
1707710868872, 2888203, -4976, -6528, -336
1707710868882, 2888213, -5824, -5728, -2208
1707710868892, 2888223, -6416, -4800, -2944
1707710868902, 2888233, -6672, -3920, -2800
1707710868912, 2888243, -6848, -3696, -1632
