Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707711179130, 3198463, -4592, -5040, 4032
1707711179140, 3198473, -4800, -4912, 4032
1707711179150, 3198483, -4832, -4784, 3952
1707711179160, 3198493, -4944, -4720, 3936
1707711179170, 3198503, -4960, -4608, 3872
1707711179180, 3198513, -5024, -4464, 3968
1707711179190, 3198523, -5088, -4272, 3968
1707711179200, 3198533, -5152, -4160, 4176
1707711179210, 3198543, -5200, -4080, 4288
1707711179220, 3198553, -5168, -4000, 4400
1707711179230, 3198563, -5232, -3936, 4336
1707711179240, 3198573, -5184, -3984, 4416
1707711179250, 3198583, -5200, -4000, 4432
1707711179260, 3198593, -5232, -3968, 4368
1707711179270, 3198603, -5264, -3888, 4352
1707711179280, 3198613, -5200, -3920, 4192
1707711179290, 3198623, -5200, -3968, 4048
1707711179300, 3198633, -5152, -3888, 3920
1707711179310, 3198643, -5184, -3856, 3744
1707711179320, 3198653, -5168, -3760, 3648
1707711179330, 3198663, -5184, -3584, 3648
1707711179340, 3198673, -5104, -3488, 3632
1707711179350, 3198683, -4928, -3440, 3712
1707711179360, 3198693, -4816, -3360, 3792
1707711179370, 3198703, -4528, -3344, 4112
1707711179380, 3198713, -4128, -3568, 4496
1707711179390, 3198723, -4064, -3872, 5088
1707711179400, 3198733, -4112, -4288, 5840
1707711179410, 3198743, -4032, -4624, 6560
1707711179420, 3198753, -3968, -4960, 7152
1707711179430, 3198763, -4032, -5376, 7424
1707711179440, 3198773, -3984, -5600, 7328
1707711179450, 3198783, -3776, -5296, 6672
1707711179460, 3198793, -3536, -5712, 6000
1707711179470, 3198803, -3392, -5584, 5520
1707711179480, 3198813, -3152, -5392, 5360
1707711179490, 3198823, -3024, -5440, 5600
1707711179500, 3198833, -3088, -5440, 6080
1707711179510, 3198843, -2992, -5328, 6832
1707711179520, 3198853, -3216, -5408, 7712
1707711179530, 3198863, -3424, -5280, 8480
1707711179540, 3198873, -3600, -5088, 9104
1707711179550, 3198883, -3696, -4560, 9040
1707711179560, 3198893, -3776, -4880, 9280
1707711179570, 3198903, -3904, -5056, 9104
1707711179580, 3198913, -4080, -5248, 8816
1707711179590, 3198923, -3968, -5520, 8384
1707711179600, 3198933, -3904, -5520, 8000
1707711179610, 3198943, -3776, -5488, 7824
1707711179620, 3198953, -3856, -5456, 7856
1707711179630, 3198963, -4128, -5232, 7824
1707711179640, 3198973, -4272, -4976, 7888
1707711179650, 3198983, -4336, -4672, 7888
1707711179660, 3198993, -4448, -4368, 7984
1707711179670, 3199003, -4576, -4160, 7952
1707711179680, 3199013, -4704, -4224, 7968
1707711179690, 3199023, -4832, -4240, 8048
1707711179700, 3199033, -4864, -4144, 7936
1707711179710, 3199043, -4624, -4032, 7664
1707711179720, 3199053, -4368, -3632, 7216
1707711179730, 3199063, -4192, -3328, 6896
1707711179740, 3199073, -4128, -3072, 6656
1707711179750, 3199083, -4080, -2800, 6192
1707711179760, 3199093, -3952, -2368, 5696
1707711179770, 3199103, -3792, -2096, 5104
1707711179780, 3199113, -3584, -2176, 4448
1707711179790, 3199123, -3472, -2432, 3808
1707711179800, 3199133, -3200, -2816, 2800
1707711179810, 3199143, -3120, -2752, 1616
1707711179820, 3199153, -3248, -2704, 432
1707711179830, 3199163, -3568, -2528, -352
1707711179840, 3199173, -3840, -2320, -672
1707711179850, 3199183, -3952, -2368, -528
1707711179860, 3199193, -3872, -3008, 368
1707711179870, 3199203, -3936, -3760, 1792
1707711179880, 3199213, -4128, -4352, 3424
1707711179890, 3199223, -4224, -4864, 4912
1707711179900, 3199233, -4208, -5360, 5984
1707711179910, 3199243, -4128, -5824, 6832
1707711179920, 3199253, -4192, -6080, 6880
1707711179930, 3199263, -4160, -6144, 6480
1707711179940, 3199273, -4016, -6208, 5920
1707711179950, 3199283, -3952, -6032, 5728
1707711179960, 3199293, -3872, -5792, 5840
1707711179970, 3199303, -3776, -5296, 5872
1707711179980, 3199313, -3664, -4736, 5968
1707711179990, 3199323, -3712, -4224, 5904
1707711180000, 3199333, -3760, -3744, 5744
1707711180010, 3199343, -3712, -3360, 5376
1707711180020, 3199353, -3536, -3200, 4752
1707711180030, 3199363, -3344, -3312, 4208
1707711180040, 3199373, -2960, -3744, 3856
1707711180050, 3199383, -2416, -4208, 3840
1707711180060, 3199393, -2016, -4720, 3856
1707711180070, 3199403, -1680, -5088, 3760
1707711180080, 3199413, -1504, -5376, 3920
1707711180090, 3199423, -1504, -5392, 4032
1707711180100, 3199433, -1408, -5392, 4096
1707711180110, 3199443, -1344, -5472, 4272
1707711180120, 3199453, -1200, -5616, 4512
1707711180130, 3199463, -1168, -5728, 4480
1707711180140, 3199473, -976, -5808, 4352
1707711180150, 3199483, -1184, -5680, 4064
1707711180160, 3199493, -1264, -5552, 3824
1707711180170, 3199503, -1424, -5728, 3712
1707711180180, 3199513, -1504, -5680, 3552
1707711180190, 3199523, -1680, -5712, 3504
1707711180200, 3199533, -1824, -5856, 3328
1707711180210, 3199543, -1760, -5968, 3056
1707711180220, 3199553, -1712, -6480, 2656
1707711180230, 3199563, -1632, -7216, 2112
1707711180240, 3199573, -1616, -7872, 1264
1707711180250, 3199583, -1584, -8544, 336
1707711180260, 3199593, -1536, -9152, -384
1707711180270, 3199603, -1648, -9728, -400
1707711180280, 3199613, -1808, -10256, -320
1707711180290, 3199623, -1840, -10736, -256
1707711180300, 3199633, -1952, -11136, 256
1707711180310, 3199643, -2320, -11200, 1088
1707711180320, 3199653, -2512, -11088, 2016
1707711180330, 3199663, -2688, -10944, 3072
1707711180340, 3199673, -2944, -10624, 4160
1707711180350, 3199683, -3184, -10576, 5328
1707711180360, 3199693, -3344, -10752, 6096
1707711180370, 3199703, -3296, -10928, 7024
1707711180380, 3199713, -3248, -10848, 8016
1707711180390, 3199723, -3408, -10672, 9040
1707711180400, 3199733, -3616, -10688, 10096
1707711180410, 3199743, -3936, -10640, 11248
1707711180420, 3199753, -4192, -9488, 12112
1707711180430, 3199763, -4976, -9008, 13504
1707711180440, 3199773, -5600, -8000, 14784
1707711180450, 3199783, -5680, -6272, 15760
1707711180460, 3199793, -5472, -5072, 16336
1707711180470, 3199803, -5424, -4544, 16496
1707711180480, 3199813, -5936, -4416, 16704
1707711180490, 3199823, -6112, -4064, 16576
1707711180500, 3199833, -6016, -3488, 16096
1707711180510, 3199843, -5792, -3056, 15472
1707711180520, 3199853, -6160, -2496, 15280
1707711180530, 3199863, -6112, -1808, 14624
1707711180540, 3199873, -6464, -1120, 14224
1707711180550, 3199883, -6432, -352, 13712
1707711180560, 3199893, -6336, 32, 13264
1707711180570, 3199903, -6192, 480, 12992
1707711180580, 3199913, -6432, 544, 12992
1707711180590, 3199923, -6224, 1200, 12400
1707711180600, 3199933, -6640, 912, 12304
1707711180610, 3199943, -6576, 1776, 11584
1707711180620, 3199953, -6640, 2384, 10736
1707711180630, 3199963, -6672, 2640, 9856
1707711180640, 3199973, -6496, 2816, 9024
1707711180650, 3199983, -6240, 2960, 8144
1707711180660, 3199993, -6000, 3120, 7488
1707711180670, 3200003, -5728, 3504, 6848
1707711180680, 3200013, -5424, 3824, 6272
1707711180690, 3200023, -5088, 4208, 5696
1707711180700, 3200033, -4624, 4480, 4992
1707711180710, 3200043, -4256, 4224, 4384
1707711180720, 3200053, -3856, 3872, 3904
1707711180730, 3200063, -3408, 3568, 3632
1707711180740, 3200073, -3088, 3312, 3472
1707711180750, 3200083, -2896, 3136, 3456
1707711180760, 3200093, -2800, 3264, 3392
1707711180770, 3200103, -2672, 3824, 3120
1707711180780, 3200113, -2656, 4048, 2816
1707711180790, 3200123, -2736, 3584, 2736
1707711180800, 3200133, -2480, 3040, 2336
1707711180810, 3200143, -2400, 2544, 1552
1707711180820, 3200153, -2208, 1696, 448
1707711180830, 3200163, -1984, 1344, -304
1707711180840, 3200173, -1760, 1440, -752
1707711180850, 3200183, -1920, 1888, -928
