Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707711264069, 3283403, -5488, -2016, 4752
1707711264079, 3283413, -5504, -2096, 4688
1707711264089, 3283423, -5552, -2160, 4512
1707711264099, 3283433, -5520, -2320, 4384
1707711264109, 3283443, -5472, -2416, 4192
1707711264119, 3283453, -5488, -2480, 4064
1707711264129, 3283463, -5504, -2544, 4048
1707711264139, 3283473, -5408, -2496, 4032
1707711264149, 3283483, -5520, -2448, 4048
1707711264159, 3283493, -5440, -2464, 4176
1707711264169, 3283503, -5408, -2464, 4208
1707711264179, 3283513, -5360, -2480, 4256
1707711264189, 3283523, -5392, -2528, 4240
1707711264199, 3283533, -5376, -2560, 4272
1707711264209, 3283543, -5424, -2608, 4160
1707711264219, 3283553, -5280, -2592, 3856
1707711264229, 3283563, -5184, -2816, 3488
1707711264239, 3283573, -4896, -3104, 3232
1707711264249, 3283583, -4656, -3504, 3216
1707711264259, 3283593, -4160, -3664, 3040
1707711264269, 3283603, -4384, -4144, 3376
1707711264279, 3283613, -4448, -4416, 3808
1707711264289, 3283623, -4528, -4288, 4224
1707711264299, 3283633, -4480, -4064, 4416
1707711264309, 3283643, -4528, -3568, 4496
1707711264319, 3283653, -4832, -2736, 4832
1707711264329, 3283663, -4928, -2032, 5536
1707711264339, 3283673, -4944, -1680, 6560
1707711264349, 3283683, -5088, -2016, 8528
1707711264359, 3283693, -4560, -2752, 9920
1707711264369, 3283703, -4416, -3984, 12432
1707711264379, 3283713, -4688, -5680, 15504
1707711264389, 3283723, -4992, -6432, 16976
1707711264399, 3283733, -5168, -8304, 18576
1707711264409, 3283743, -5504, -8480, 19376
1707711264419, 3283753, -5168, -7232, 18800
1707711264429, 3283763, -4944, -6416, 18064
1707711264439, 3283773, -5904, -6384, 17856
1707711264449, 3283783, -7040, -6096, 17680
1707711264459, 3283793, -8192, -5312, 17264
1707711264469, 3283803, -9264, -4912, 16208
1707711264479, 3283813, -10592, -3920, 14992
1707711264489, 3283823, -11408, -2720, 13808
1707711264499, 3283833, -12016, -2048, 13056
1707711264509, 3283843, -12384, -1616, 12720
1707711264519, 3283853, -12688, -1232, 12464
1707711264529, 3283863, -13232, -528, 12016
1707711264539, 3283873, -13744, -128, 11344
1707711264549, 3283883, -14128, -144, 10592
1707711264559, 3283893, -14128, -544, 9872
1707711264569, 3283903, -13488, -1136, 8944
1707711264579, 3283913, -13008, -1712, 8512
1707711264589, 3283923, -12656, -2160, 8592
1707711264599, 3283933, -12368, -2464, 9152
1707711264609, 3283943, -12256, -2896, 9824
1707711264619, 3283953, -12464, -3472, 10944
1707711264629, 3283963, -12656, -4016, 12112
1707711264639, 3283973, -13120, -4464, 13344
1707711264649, 3283983, -13744, -4560, 14224
1707711264659, 3283993, -14544, -4608, 14224
1707711264669, 3284003, -15248, -4576, 12640
1707711264679, 3284013, -16096, -4064, 10416
1707711264689, 3284023, -16448, -4128, 7952
1707711264699, 3284033, -15920, -4256, 5168
1707711264709, 3284043, -14576, -4480, 1664
1707711264719, 3284053, -12800, -5520, -3056
1707711264729, 3284063, -10832, -6240, -9360
1707711264739, 3284073, -8608, -6528, -14432
1707711264749, 3284083, -6464, -7648, -16064
1707711264759, 3284093, -5184, -8160, -14416
1707711264769, 3284103, -3696, -7312, -11664
1707711264779, 3284113, -2512, -6480, -8400
1707711264789, 3284123, -1696, -5872, -6400
1707711264799, 3284133, -1456, -5120, -5904
1707711264809, 3284143, -1520, -4560, -6160
1707711264819, 3284153, -1616, -4560, -6704
1707711264829, 3284163, -1360, -4944, -6720
1707711264839, 3284173, -1360, -5568, -6016
1707711264849, 3284183, -1040, -6496, -4736
1707711264859, 3284193, -416, -7200, -3408
1707711264869, 3284203, 320, -8112, -2384
1707711264879, 3284213, 816, -8704, -1408
1707711264889, 3284223, 1376, -9328, -560
1707711264899, 3284233, 1776, -9776, 256
1707711264909, 3284243, 1856, -10048, 944
1707711264919, 3284253, 1616, -10256, 1712
1707711264929, 3284263, 1408, -10464, 2112
1707711264939, 3284273, 1584, -11104, 2384
1707711264949, 3284283, 1792, -11888, 2576
1707711264959, 3284293, 1968, -12448, 2688
1707711264969, 3284303, 1808, -13056, 3312
1707711264979, 3284313, 1728, -13360, 4384
