Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707711645038, 3664373, -4032, -6144, 2304
1707711645048, 3664383, -3728, -6224, 2576
1707711645058, 3664393, -3840, -6336, 2864
1707711645068, 3664403, -4336, -6192, 2832
1707711645078, 3664413, -3680, -4944, 3280
1707711645088, 3664423, -4544, -5872, 3168
1707711645098, 3664433, -5136, -6640, 3552
1707711645108, 3664443, -4816, -6304, 3744
1707711645118, 3664453, -4464, -6528, 4160
1707711645128, 3664463, -4432, -6416, 4144
1707711645138, 3664473, -4176, -6112, 4192
1707711645148, 3664483, -4064, -6096, 3760
1707711645158, 3664493, -3728, -6448, 3232
1707711645168, 3664503, -4000, -6992, 2816
1707711645178, 3664513, -3728, -6704, 2672
1707711645188, 3664523, -3840, -7312, 2688
1707711645198, 3664533, -2928, -7424, 3648
1707711645208, 3664543, -2848, -7488, 4144
1707711645218, 3664553, -3328, -8192, 4416
1707711645228, 3664563, -3264, -8768, 4096
1707711645238, 3664573, -3136, -9952, 3520
1707711645248, 3664583, -2576, -9648, 2608
1707711645258, 3664593, -1840, -9104, 2384
1707711645268, 3664603, -1424, -9152, 2400
1707711645278, 3664613, -1728, -9408, 3280
1707711645288, 3664623, -1440, -10560, 3920
1707711645298, 3664633, -1504, -10496, 3936
1707711645308, 3664643, -1008, -10848, 3408
1707711645318, 3664653, -624, -11824, 2784
1707711645328, 3664663, -352, -11456, 2080
1707711645338, 3664673, -1248, -15920, 3440
1707711645348, 3664683, -2704, -17216, 5408
1707711645358, 3664693, -2976, -15904, 6656
1707711645368, 3664703, -3568, -18176, 6000
1707711645378, 3664713, -3504, -14224, 4576
1707711645388, 3664723, -2384, -13056, 3552
1707711645398, 3664733, -2112, -13280, 3504
1707711645408, 3664743, -1968, -12624, 4176
1707711645418, 3664753, -3424, -14784, 4464
1707711645428, 3664763, -3984, -13376, 4576
1707711645438, 3664773, -3872, -11728, 4096
1707711645448, 3664783, -3808, -11056, 4544
1707711645458, 3664793, -3808, -11408, 4816
1707711645468, 3664803, -3952, -11952, 5296
1707711645478, 3664813, -3872, -12304, 5552
1707711645488, 3664823, -3936, -12608, 5440
1707711645498, 3664833, -3792, -12784, 4992
1707711645508, 3664843, -4032, -12480, 4576
1707711645518, 3664853, -3856, -12400, 4080
1707711645528, 3664863, -3648, -12480, 3472
1707711645538, 3664873, -3264, -12560, 2736
1707711645548, 3664883, -3072, -12544, 2064
1707711645558, 3664893, -3328, -12096, 1552
1707711645568, 3664903, -3632, -11280, 1280
1707711645578, 3664913, -3296, -10144, 1104
1707711645588, 3664923, -3056, -9440, 736
1707711645598, 3664933, -2672, -8944, 240
1707711645608, 3664943, -2208, -8480, -368
1707711645618, 3664953, -1776, -8432, -992
1707711645628, 3664963, -1584, -8032, -1360
1707711645638, 3664973, -1328, -7264, -2000
1707711645648, 3664983, -864, -6544, -2288
1707711645658, 3664993, -416, -6032, -2224
1707711645668, 3665003, -384, -5776, -2240
1707711645678, 3665013, -1152, -4096, -2544
1707711645688, 3665023, 816, -3904, -2400
1707711645698, 3665033, 1872, -5168, -2096
1707711645708, 3665043, 992, -4896, -1936
1707711645718, 3665053, 1664, -4880, -2240
1707711645728, 3665063, 2032, -5248, -2224
1707711645738, 3665073, 2368, -5376, -2048
1707711645748, 3665083, 2544, -5088, -1920
1707711645758, 3665093, 2608, -4736, -2032
1707711645768, 3665103, 2800, -3952, -2160
1707711645778, 3665113, 3376, -4128, -2608
1707711645788, 3665123, 3184, -4176, -2704
1707711645798, 3665133, 3424, -3648, -3216
1707711645808, 3665143, 3696, -3760, -3520
1707711645818, 3665153, 3728, -3872, -3760
1707711645828, 3665163, 3952, -4224, -3888
1707711645838, 3665173, 4352, -4816, -4080
1707711645848, 3665183, 4352, -5152, -3824
1707711645858, 3665193, 4336, -4992, -3664
1707711645868, 3665203, 4352, -4736, -3328
1707711645878, 3665213, 4352, -4304, -2544
1707711645888, 3665223, 4400, -3872, -2160
1707711645898, 3665233, 4688, -3152, -3008
1707711645908, 3665243, 4528, -2960, -3920
1707711645918, 3665253, 4304, -2784, -4400
1707711645928, 3665263, 4256, -2176, -4736
1707711645938, 3665273, 4272, -1328, -5040
1707711645948, 3665283, 4272, -384, -4496
1707711645958, 3665293, 4128, 288, -3360
1707711645968, 3665303, 4064, 256, -2704
1707711645978, 3665313, 4256, 480, -3856
1707711645988, 3665323, 4448, 1136, -4800
1707711645998, 3665333, 3760, 1360, -4496
1707711646008, 3665343, 3552, 1760, -4016
1707711646018, 3665353, 3440, 1408, -3280
1707711646028, 3665363, 3456, 496, -2240
1707711646038, 3665373, 3408, -1040, -1008
1707711646048, 3665383, 3440, -2432, 48
1707711646058, 3665393, 3456, -3248, 1344
1707711646068, 3665403, 3648, -3840, 3232
1707711646078, 3665413, 3872, -4096, 5072
1707711646088, 3665423, 3808, -4176, 6576
1707711646098, 3665433, 4400, -5296, 7664
1707711646108, 3665443, 4160, -4528, 7872
1707711646118, 3665453, 3440, -1616, 7632
1707711646128, 3665463, 2752, 1728, 6960
1707711646138, 3665473, 2752, 3984, 5808
1707711646148, 3665483, 2512, 5984, 4416
1707711646158, 3665493, 2816, 8032, 1104
1707711646168, 3665503, 2864, 11856, 784
1707711646178, 3665513, 2704, 15808, -1120
1707711646188, 3665523, 3248, 19120, -4048
1707711646198, 3665533, 3520, 20512, -6224
1707711646208, 3665543, 3136, 20304, -6896
1707711646218, 3665553, 2560, 18624, -7264
1707711646228, 3665563, 1456, 16208, -6640
1707711646238, 3665573, 368, 13136, -4848
1707711646248, 3665583, 160, 8480, -3632
1707711646258, 3665593, 304, 3184, -3008
1707711646268, 3665603, 944, -1088, -1488
1707711646278, 3665613, 2080, -4912, 1920
1707711646288, 3665623, 3984, -8896, 6048
1707711646298, 3665633, 6208, -12144, 10240
1707711646308, 3665643, 8288, -13536, 13344
1707711646318, 3665653, 9392, -14736, 13344
1707711646328, 3665663, 9776, -13392, 11072
1707711646338, 3665673, 8960, -11024, 8256
1707711646348, 3665683, 8144, -8448, 4960
1707711646358, 3665693, 7712, -5488, 2480
1707711646368, 3665703, 6976, -3216, 736
1707711646378, 3665713, 5776, -1040, 192
1707711646388, 3665723, 4720, 1488, -304
1707711646398, 3665733, 4208, 3680, -480
1707711646408, 3665743, 4272, 7520, -608
1707711646418, 3665753, 3680, 11296, -2096
1707711646428, 3665763, 3696, 15344, -2848
1707711646438, 3665773, 4336, 17552, -4320
1707711646448, 3665783, 4528, 18688, -6272
1707711646458, 3665793, 4064, 19264, -7712
1707711646468, 3665803, 3632, 18704, -7760
1707711646478, 3665813, 3424, 15632, -7072
1707711646488, 3665823, 3216, 12624, -5920
1707711646498, 3665833, 3040, 9856, -4576
1707711646508, 3665843, 3200, 5952, -3040
1707711646518, 3665853, 3200, 1584, -880
1707711646528, 3665863, 3824, -1440, 1888
1707711646538, 3665873, 4400, -6672, 4544
1707711646548, 3665883, 5520, -12144, 8512
1707711646558, 3665893, 7680, -15264, 12560
1707711646568, 3665903, 9440, -14752, 15072
1707711646578, 3665913, 9168, -12448, 14272
1707711646588, 3665923, 7872, -8720, 11120
1707711646598, 3665933, 6768, -5344, 8048
1707711646608, 3665943, 5504, -2768, 5024
1707711646618, 3665953, 4192, 16, 2352
1707711646628, 3665963, 3200, 3408, 0
1707711646638, 3665973, 2400, 7504, -2032
1707711646648, 3665983, 2352, 12864, -4064
1707711646658, 3665993, 2720, 17680, -6304
1707711646668, 3666003, 3328, 20832, -8432
1707711646678, 3666013, 3696, 22080, -10016
1707711646688, 3666023, 3552, 21712, -10016
1707711646698, 3666033, 3200, 19056, -9280
1707711646708, 3666043, 2944, 15488, -8576
1707711646718, 3666053, 2240, 12624, -6448
1707711646728, 3666063, 1680, 8928, -2912
1707711646738, 3666073, 2160, 2752, 928
1707711646748, 3666083, 3920, -5024, 4208
1707711646758, 3666093, 6464, -11536, 8400
1707711646768, 3666103, 9024, -15200, 12000
1707711646778, 3666113, 10304, -15824, 14384
1707711646788, 3666123, 10128, -13488, 13520
1707711646798, 3666133, 9056, -9776, 10544
1707711646808, 3666143, 7488, -6400, 7152
1707711646818, 3666153, 6048, -2112, 4096
1707711646828, 3666163, 4912, 3664, 400
1707711646838, 3666173, 4544, 8816, -2976
1707711646848, 3666183, 4176, 13200, -6208
1707711646858, 3666193, 3952, 16464, -8704
1707711646868, 3666203, 3984, 18208, -10288
1707711646878, 3666213, 3744, 19216, -9760
1707711646888, 3666223, 3392, 19376, -8272
1707711646898, 3666233, 3136, 18128, -7136
1707711646908, 3666243, 2864, 15600, -5456
1707711646918, 3666253, 2448, 12736, -3232
1707711646928, 3666263, 1824, 8416, -944
1707711646938, 3666273, 2400, 1312, 832
1707711646948, 3666283, 4112, -6128, 3696
1707711646958, 3666293, 6768, -12880, 7808
1707711646968, 3666303, 9776, -16608, 11520
1707711646978, 3666313, 11024, -16928, 13568
1707711646988, 3666323, 10144, -14224, 13040
1707711646998, 3666333, 8784, -9424, 9888
1707711647008, 3666343, 6992, -5824, 6800
1707711647018, 3666353, 5280, -1760, 4256
1707711647028, 3666363, 4416, 2000, 1648
1707711647038, 3666373, 3760, 4912, -752
1707711647048, 3666383, 3024, 8480, -3328
1707711647058, 3666393, 2576, 13024, -5584
1707711647068, 3666403, 3104, 17168, -8256
1707711647078, 3666413, 3296, 20112, -10352
1707711647088, 3666423, 3840, 21040, -11296
1707711647098, 3666433, 3616, 20400, -10608
1707711647108, 3666443, 2928, 18080, -9120
1707711647118, 3666453, 2400, 14944, -7344
1707711647128, 3666463, 1712, 11392, -4608
1707711647138, 3666473, 1376, 6000, -1440
1707711647148, 3666483, 2624, -1952, 1792
1707711647158, 3666493, 5056, -9312, 5872
1707711647168, 3666503, 7856, -14000, 10736
1707711647178, 3666513, 9840, -15440, 14304
1707711647188, 3666523, 9904, -14272, 14896
1707711647198, 3666533, 8736, -9680, 12528
1707711647208, 3666543, 7392, -6448, 9168
1707711647218, 3666553, 6304, -3392, 5936
1707711647228, 3666563, 5120, 992, 2704
1707711647238, 3666573, 4448, 6240, -1184
1707711647248, 3666583, 4416, 11408, -5776
1707711647258, 3666593, 4576, 15504, -10176
1707711647268, 3666603, 4656, 18352, -13440
1707711647278, 3666613, 4672, 19664, -14720
1707711647288, 3666623, 4288, 19024, -13056
1707711647298, 3666633, 3648, 16592, -10736
1707711647308, 3666643, 2896, 13632, -7808
1707711647318, 3666653, 1584, 10576, -3904
1707711647328, 3666663, 784, 6320, 1040
1707711647338, 3666673, 1472, -288, 6320
1707711647348, 3666683, 4032, -8096, 10960
1707711647358, 3666693, 6992, -12224, 14704
1707711647368, 3666703, 8400, -12416, 16000
1707711647378, 3666713, 8288, -10960, 13552
1707711647388, 3666723, 7392, -7744, 9904
1707711647398, 3666733, 5984, -3776, 6160
1707711647408, 3666743, 5152, 656, 2640
1707711647418, 3666753, 4896, 5040, -1200
1707711647428, 3666763, 4144, 8384, -4544
1707711647438, 3666773, 3504, 10416, -6560
1707711647448, 3666783, 3104, 11776, -7520
1707711647458, 3666793, 2768, 12368, -7824
1707711647468, 3666803, 2496, 12800, -7200
1707711647478, 3666813, 2192, 12400, -5504
1707711647488, 3666823, 1632, 11312, -3376
1707711647498, 3666833, 960, 9808, -1216
1707711647508, 3666843, 304, 7840, 720
1707711647518, 3666853, -336, 5664, 2608
