Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707711596137, 3615473, -4800, -8976, 4080
1707711596149, 3615483, -1376, -11856, 2864
1707711596160, 3615493, 3344, -15664, -1376
1707711596169, 3615503, 7664, -18624, -8640
1707711596179, 3615513, 8752, -21216, -13600
1707711596189, 3615523, 7728, -21024, -13184
1707711596199, 3615533, 4608, -17488, -8336
1707711596207, 3615543, 960, -12320, -2480
1707711596217, 3615553, -1728, -8976, 1248
1707711596227, 3615563, -3728, -8208, 2720
1707711596237, 3615573, -6352, -8448, 3264
1707711596249, 3615583, -10976, -7424, 5552
1707711596259, 3615593, -16704, -1456, 9360
1707711596269, 3615603, -19648, 12704, 14592
1707711596279, 3615613, -17968, 26912, 20752
1707711596289, 3615623, -17760, 29216, 23152
1707711596299, 3615633, -16688, 22128, 23216
1707711596309, 3615643, -13712, 13888, 17872
1707711596319, 3615653, -11248, 6704, 12336
1707711596327, 3615663, -8400, 3792, 7568
1707711596337, 3615673, -6368, 1440, 4368
1707711596347, 3615683, -4784, -800, 3920
1707711596357, 3615693, -4784, -2320, 5312
1707711596367, 3615703, -3616, -5248, 7616
1707711596377, 3615713, -1776, -8928, 8272
1707711596387, 3615723, 1328, -13600, 6816
1707711596397, 3615733, 4288, -17184, 2192
1707711596409, 3615743, 6992, -18928, -2688
1707711596419, 3615753, 9520, -20720, -4560
1707711596429, 3615763, 7808, -20784, -4016
1707711596439, 3615773, 5040, -18016, -1904
1707711596447, 3615783, 1840, -15504, -480
1707711596459, 3615793, -2592, -13024, 1008
1707711596467, 3615803, -7728, -9392, 3712
1707711596479, 3615813, -14720, -2528, 8544
1707711596489, 3615823, -18992, 11152, 14560
1707711596499, 3615833, -17936, 28112, 18208
1707711596509, 3615843, -18752, 30272, 21952
1707711596519, 3615853, -18480, 26992, 23648
1707711596529, 3615863, -14656, 18752, 18240
1707711596539, 3615873, -10912, 10336, 13792
1707711596547, 3615883, -8032, 5232, 10032
1707711596557, 3615893, -5744, 2064, 6672
1707711596567, 3615903, -3872, -1328, 5360
1707711596577, 3615913, -1072, -5376, 6768
1707711596587, 3615923, 2336, -10560, 8624
1707711596597, 3615933, 5088, -14960, 7520
1707711596607, 3615943, 7280, -17600, 3792
1707711596617, 3615953, 8512, -19024, 320
1707711596629, 3615963, 8272, -19328, -1248
1707711596637, 3615973, 6640, -18432, -864
1707711596647, 3615983, 4032, -15808, 64
1707711596657, 3615993, 832, -12448, 1056
1707711596667, 3616003, -2368, -9056, 2768
1707711596677, 3616013, -5696, -5600, 4656
1707711596687, 3616023, -9584, -144, 6736
1707711596699, 3616033, -12752, 8304, 10048
1707711596709, 3616043, -14304, 20096, 14352
1707711596719, 3616053, -16128, 28016, 18400
1707711596729, 3616063, -17408, 27520, 19392
1707711596739, 3616073, -15168, 21648, 16352
1707711596749, 3616083, -11920, 12224, 13136
1707711596757, 3616093, -9024, 5520, 10608
1707711596767, 3616103, -6592, 1024, 8208
1707711596777, 3616113, -3904, -3200, 7024
1707711596787, 3616123, -384, -8368, 7648
1707711596797, 3616133, 3408, -13216, 7792
1707711596807, 3616143, 6320, -17456, 5328
1707711596817, 3616153, 8272, -19888, 1232
1707711596829, 3616163, 9136, -20688, -1872
1707711596839, 3616173, 8352, -21024, -3120
1707711596849, 3616183, 6320, -19456, -2560
